CountryCode,Country,SeriesCode,MDG,Series,1990,Footnotes,Type,1991,Footnotes,Type,1992,Footnotes,Type,1993,Footnotes,Type,1994,Footnotes,Type,1995,Footnotes,Type,1996,Footnotes,Type,1997,Footnotes,Type,1998,Footnotes,Type,1999,Footnotes,Type,2000,Footnotes,Type,2001,Footnotes,Type,2002,Footnotes,Type,2003,Footnotes,Type,2004,Footnotes,Type,2005,Footnotes,Type,2006,Footnotes,Type,2007,Footnotes,Type,2008,Footnotes,Type,2009,Footnotes,Type,2010,Footnotes,Type,2011,Footnotes,Type,2012,Footnotes,Type,2013,Footnotes,Type
"196","Cyprus","561","Y","Children under five mortality rate per 1,000 live births","11","","E","10.8","","E","10.5","","E","10.1","","E","9.6","","E","9","","E","8.4","","E","7.9","","E","7.4","","E","6.9","","E","6.5","","E","6.2","","E","5.8","","E","5.5","","E","5.2","","E","4.9","","E","4.6","","E","4.2","","E","3.9","","E","3.6","","E","3.4","","E","3.1","","E"," "," "," "," "," "," "
"203","Czech Republic","561","Y","Children under five mortality rate per 1,000 live births","14.3","","E","13.5","","E","12.7","","E","11.9","","E","11","","E","10.1","","E","9.2","","E","8.4","","E","7.7","","E","7.2","","E","6.7","","E","6.3","","E","6","","E","5.7","","E","5.5","","E","5.2","","E","5","","E","4.7","","E","4.5","","E","4.3","","E","4.1","","E","3.9","","E"," "," "," "," "," "," "
"180","Democratic Republic of the Congo","561","Y","Children under five mortality rate per 1,000 live births","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","181.4","","E","179","","E","176.7","","E","174.4","","E","172.1","","E","169.9","","E","167.7","","E"," "," "," "," "," "," "
"208","Denmark","561","Y","Children under five mortality rate per 1,000 live births","8.7","","E","8.2","","E","7.8","","E","7.4","","E","7","","E","6.6","","E","6.2","","E","6","","E","5.8","","E","5.7","","E","5.6","","E","5.5","","E","5.4","","E","5.2","","E","5.1","","E","4.9","","E","4.7","","E","4.5","","E","4.3","","E","4.1","","E","3.9","","E","3.7","","E"," "," "," "," "," "," "
"262","Djibouti","561","Y","Children under five mortality rate per 1,000 live births","121.6","","E","120","","E","118.2","","E","116.6","","E","114.8","","E","113.2","","E","111.5","","E","110","","E","108.2","","E","106.8","","E","105.7","","E","103.9","","E","102.5","","E","100.7","","E","99.4","","E","98","","E","96.9","","E","95.5","","E","94","","E","92.9","","E","91.2","","E","89.5","","E"," "," "," "," "," "," "
"212","Dominica","561","Y","Children under five mortality rate per 1,000 live births","17.4","","E","17.5","","E","17.5","","E","17.4","","E","17","","E","16.7","","E","16.5","","E","16.1","","E","15.7","","E","15.3","","E","14.9","","E","14.5","","E","14.3","","E","13.9","","E","13.7","","E","13.5","","E","13.2","","E","12.9","","E","12.7","","E","12.3","","E","12.1","","E","11.8","","E"," "," "," "," "," "," "
"214","Dominican Republic","561","Y","Children under five mortality rate per 1,000 live births","58.3","","E","55.6","","E","53.2","","E","50.9","","E","48.9","","E","47","","E","45.2","","E","43.5","","E","41.7","","E","40.1","","E","38.5","","E","37","","E","35.6","","E","34.1","","E","32.8","","E","31.5","","E","30.2","","E","29","","E","27.8","","E","26.7","","E","25.7","","E","24.7","","E"," "," "," "," "," "," "
"218","Ecuador","561","Y","Children under five mortality rate per 1,000 live births","52.4","","E","49.7","","E","47.5","","E","45.2","","E","43.2","","E","41.5","","E","39.9","","E","38.4","","E","36.9","","E","35.5","","E","34.2","","E","32.9","","E","31.7","","E","30.5","","E","29.5","","E","28.4","","E","27.4","","E","26.3","","E","25.4","","E","24.5","","E","23.6","","E","22.8","","E"," "," "," "," "," "," "
"818","Egypt","561","Y","Children under five mortality rate per 1,000 live births","85.7","","E","80.8","","E","76","","E","71.2","","E","66.8","","E","62.4","","E","58.5","","E","54.6","","E","51","","E","47.6","","E","44.4","","E","41.5","","E","38.7","","E","36.3","","E","33.9","","E","31.6","","E","29.5","","E","27.6","","E","25.8","","E","24.1","","E","22.5","","E","21.1","","E"," "," "," "," "," "," "
"222","El Salvador","561","Y","Children under five mortality rate per 1,000 live births","60.2","","E","58","","E","55.3","","E","52.8","","E","49.8","","E","46.9","","E","44.3","","E","41.8","","E","39.1","","E","36.5","","E","33.9","","E","31.6","","E","29.3","","E","27.2","","E","25.3","","E","23.5","","E","21.8","","E","20.3","","E","18.8","","E","17.6","","E","16.3","","E","15.2","","E"," "," "," "," "," "," "
"226","Equatorial Guinea","561","Y","Children under five mortality rate per 1,000 live births","189.6","","E","186.3","","E","182.5","","E","178.5","","E","174.4","","E","170.3","","E","167","","E","162.9","","E","159.9","","E","155.5","","E","152.2","","E","149.1","","E","145.5","","E","142.7","","E","139","","E","136.4","","E","132.5","","E","130.6","","E","127.1","","E","123.8","","E","122","","E","118.1","","E"," "," "," "," "," "," "
"232","Eritrea","561","Y","Children under five mortality rate per 1,000 live births","137.7","","E","133","","E","128.5","","E","124.4","","E","120.3","","E","116.4","","E","112.2","","E","108.7","","E","105.1","","E","101.7","","E","98.2","","E","94.8","","E","91.4","","E","88.7","","E","85.6","","E","82.8","","E","80.4","","E","77.4","","E","75","","E","72.2","","E","69.8","","E","67.8","","E"," "," "," "," "," "," "
"233","Estonia","561","Y","Children under five mortality rate per 1,000 live births","20.1","","E","19.3","","E","18.5","","E","17.5","","E","16.4","","E","15.4","","E","14.5","","E","13.5","","E","12.6","","E","11.6","","E","10.8","","E","10.1","","E","9.3","","E","8.5","","E","7.8","","E","7.2","","E","6.6","","E","5.9","","E","5.2","","E","4.7","","E","4.1","","E","3.7","","E"," "," "," "," "," "," "
"231","Ethiopia","561","Y","Children under five mortality rate per 1,000 live births","198.3","","E","193.9","","E","188.4","","E","182.6","","E","176.4","","E","170.1","","E","163.6","","E","157.4","","E","150.9","","E","144.7","","E","138.6","","E","131.5","","E","124.6","","E","118.2","","E","112.4","","E","106.6","","E","100.9","","E","95.8","","E","90.3","","E","85.8","","E","81.5","","E","77","","E"," "," "," "," "," "," "
"242","Fiji","561","Y","Children under five mortality rate per 1,000 live births","29.6","","E","28.8","","E","28","","E","27.2","","E","26.4","","E","25.8","","E","25","","E","24.3","","E","23.7","","E","23","","E","22.3","","E","21.8","","E","21.3","","E","20.7","","E","20.1","","E","19.6","","E","18.9","","E","18.4","","E","17.9","","E","17.4","","E","17.1","","E","16.4","","E"," "," "," "," "," "," "
