"Children out of school, primary",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Luxembourg,,,2667,2956,2179,2380,2374,2719,2911,,,5936,4195,4351,4573,,4487,5290,3757,,,,,,,,,,,982,973,1023,901,1240,1005,631,596,748,1141,,1951,
"Macao, China",,,,,,,,,,,,,,,,,,,,,4738,,4172,,,,,,,6721,6403,6730,5738,5102,4463,4091,4050,3777,3853,4355,4710,4884
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,6055,6317,2769,2321,4128,5989,5953,6286,7766,8154,10330,7730,2212,
Madagascar,,,354916,,,,,,,,,,,,,,,,,467205,468369,429037,,,,725230,744325,,,714664,705347,693908,697690,485306,,,,,,,,
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17327,,,,22752,53531,53208,66021,134555,69893,62275,,
Malaysia,312427,328264,312972,,,,,,,,,,,,,,,,,,,,,,109061,,,,,148463,67392,99743,156073,161519,113446,136646,,,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975,1273,782,1248,1272,,127,979,882,1253,1178,1330,1388,
Mali,,739973,749364,765793,764737,,,820041,,,,,,,,,,,,,,,,,,,,,,1038117,,,974473,1001681,1033249,965095,969481,958102,,860731,858255,849651
Malta,,5467,5111,5080,4371,3250,1608,80,390,,409,488,227,1306,1577,1128,1850,2761,3112,2980,2678,2576,2738,2898,3640,3618,3224,2978,2543,2244,2130,2299,2453,2470,2258,2966,,2393,2188,2875,1529,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,50
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,199394,,,,,,,,,189922,170434,161466,,155099,161174,163972,152518,149968,147492,117454,125204,113396,110177,129333,134496,133538,
Mauritius,,,37651,35413,31869,27467,26690,20495,21570,22653,18624,12444,5680,5604,7232,5802,11085,6880,3288,896,625,1342,,6141,10897,15195,15347,14700,12137,10767,9940,10575,8762,8940,9984,8871,8140,7698,7682,8034,7797,7143
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
