Electricity generation total (kilowatt-hours),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Romania,"63,769,000,000.00 ","56,914,000,000.00 ","54,195,000,000.00 ","55,476,000,000.00 ","55,136,000,000.00 ","59,267,000,000.00 ","61,350,000,000.00 ","57,148,000,000.00 ","53,496,000,000.00 ","50,713,000,000.00 ","51,935,000,000.00 ","53,866,000,000.00 ","54,935,000,000.00 ","56,645,000,000.00 ","56,482,000,000.00 ","59,413,000,000.00 ","62,697,000,000.00 ","61,673,000,000.00 ","64,636,000,000.00 "
Russia,"1,082,200,000,000.00 ","1,068,000,000,000.00 ","1,008,000,000,000.00 ","956,000,000,000.00 ","876,400,000,000.00 ","862,100,000,000.00 ","847,000,000,000.00 ","834,000,000,000.00 ","826,100,000,000.00 ","846,200,000,000.00 ","877,800,000,000.00 ","891,300,000,000.00 ","891,270,000,000.00 ","912,080,000,000.00 ","931,900,000,000.00 ","953,100,000,000.00 ","995,950,000,000.00 ","1,014,371,000,000.00 ","1,036,200,000,000.00 "
Saudi Arabia,"70,116,000,000.00 ","74,574,000,000.00 ","79,630,000,000.00 ","87,913,000,000.00 ","96,901,000,000.00 ","99,857,000,000.00 ","103,381,000,000.00 ","107,289,000,000.00 ","112,691,000,000.00 ","120,000,000,000.00 ","126,191,000,000.00 ","133,673,000,000.00 ","141,737,000,000.00 ","153,000,000,000.00 ","159,414,000,000.00 ","174,970,000,000.00 ","179,782,000,000.00 ","185,895,000,000.00 ","193,702,000,000.00 "
Singapore,"15,618,000,000.00 ","16,597,000,000.00 ","17,543,000,000.00 ","18,962,000,000.00 ","20,676,000,000.00 ","22,057,000,000.00 ","23,458,000,000.00 ","26,188,000,000.00 ","28,283,000,000.00 ","29,520,000,000.00 ","31,665,000,000.00 ","33,089,000,000.00 ","34,665,000,000.00 ","35,331,000,000.00 ","36,810,000,000.00 ","38,213,000,000.00 ","39,442,100,000.00 ","41,137,700,000.00 ","41,716,800,000.00 "
Slovak Republic,"24,019,000,000.00 ","22,732,000,000.00 ","22,255,000,000.00 ","24,429,000,000.00 ","24,740,000,000.00 ","25,905,000,000.00 ","25,261,000,000.00 ","24,251,000,000.00 ","25,000,000,000.00 ","27,743,000,000.00 ","30,685,000,000.00 ","32,046,000,000.00 ","32,427,000,000.00 ","31,178,000,000.00 ","30,567,000,000.00 ","31,455,000,000.00 ","31,418,000,000.00 ","28,056,000,000.00 ","29,488,000,000.00 "
South Africa,"165,385,000,000.00 ","168,316,000,000.00 ","167,816,000,000.00 ","174,581,000,000.00 ","182,452,000,000.00 ","188,138,000,000.00 ","200,092,000,000.00 ","210,362,000,000.00 ","205,374,000,000.00 ","203,102,000,000.00 ","210,670,000,000.00 ","210,100,000,000.00 ","217,712,000,000.00 ","234,229,000,000.00 ","244,607,000,000.00 ","244,920,000,000.00 ","253,798,000,000.00 ","266,234,000,000.00 ","273,689,000,000.00 "
Spain,"151,741,000,000.00 ","159,392,000,000.00 ","161,105,000,000.00 ","160,890,000,000.00 ","164,477,000,000.00 ","168,903,000,000.00 ","176,510,000,000.00 ","183,879,000,000.00 ","196,046,000,000.00 ","208,913,000,000.00 ","224,779,000,000.00 ","237,417,000,000.00 ","246,164,000,000.00 ","264,413,000,000.00 ","280,007,000,000.00 ","294,077,000,000.00 ","303,051,000,000.00 ","306,400,000,000.00 ","310,099,843,054.00 "
Sweden,"146,508,000,000.00 ","147,384,000,000.00 ","146,444,000,000.00 ","145,975,000,000.00 ","142,895,000,000.00 ","147,617,000,000.00 ","139,686,000,000.00 ","149,407,000,000.00 ","154,234,000,000.00 ","155,159,000,000.00 ","145,757,000,000.00 ","161,729,000,000.00 ","146,731,000,000.00 ","135,213,000,000.00 ","147,647,000,000.00 ","158,413,000,000.00 ","143,300,000,000.00 ","148,557,000,000.00 ","149,256,000,000.00 "
Switzerland,"55,804,000,000.00 ","57,810,000,000.00 ","59,126,000,000.00 ","61,267,000,000.00 ","66,453,000,000.00 ","63,080,000,000.00 ","56,888,000,000.00 ","62,715,000,000.00 ","62,877,000,000.00 ","69,546,000,000.00 ","67,351,000,000.00 ","71,912,000,000.00 ","66,654,000,000.00 ","66,988,000,000.00 ","65,549,000,000.00 ","59,772,000,000.00 ","64,130,181,500.00 ","68,026,022,170.00 ","69,110,660,000.00 "
Taiwan,"90,201,000,000.00 ","99,176,000,000.00 ","105,528,000,000.00 ","115,205,000,000.00 ","124,635,000,000.00 ","133,117,000,000.00 ","141,962,000,000.00 ","150,186,000,000.00 ","162,879,000,000.00 ","169,473,000,000.00 ","184,856,000,000.00 ","188,518,000,000.00 ","198,812,000,000.00 ","209,051,000,000.00 ","218,371,000,000.00 ","227,356,928,000.00 ","235,186,000,000.00 ","242,674,000,000.00 ","237,723,000,000.00 "
Thailand,"46,176,000,000.00 ","52,487,000,000.00 ","59,699,000,000.00 ","66,305,000,000.00 ","74,452,000,000.00 ","83,660,000,000.00 ","91,202,000,000.00 ","97,553,000,000.00 ","94,269,000,000.00 ","94,267,000,000.00 ","95,977,000,000.00 ","102,420,000,000.00 ","109,013,000,000.00 ","116,983,000,000.00 ","125,727,000,000.00 ","132,197,000,000.00 ","138,742,000,000.00 ","144,596,200,000.00 ","147,538,000,000.00 "
Turkey,"57,543,000,000.00 ","60,246,000,000.00 ","67,342,000,000.00 ","73,808,000,000.00 ","78,322,000,000.00 ","86,247,000,000.00 ","94,862,000,000.00 ","102,000,000,000.00 ","110,900,000,000.00 ","116,594,000,000.00 ","124,921,000,000.00 ","122,725,000,000.00 ","132,482,000,000.00 ","141,280,000,000.00 ","149,608,000,000.00 ","161,983,000,000.00 ","176,237,000,000.00 ","190,689,000,000.00 ","199,079,000,000.00 "
