Suicide 60+ all age adj,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
New Zealand,25.49451,19.32401,27.04069,25.14255,23.5928,19.45304,19.70477,23.96817,23.43806,19.06773,19.6407,16.66169,19.67703,21.07014,18.57624,21.44939,21.44636,22.7622,20.01105,22.37462,20.94078,15.88612,17.39279,19.44086,19.77841,18.88923,20.176,18.10566,20.79815,18.31664,17.9971,19.30338,21.05774,18.44746,20.17762,17.27288,18.89997,16.79219,20.76728,17.69851,14.86752,12.66268,15.69207,12.58079,17.76905,14.65013,13.95944,12.49396,14.6874,10.85675,10.40769,13.5097,10.18532,13.6276,11.25505,9.161794,9.560364,,
Norway,,12.77548,14.75691,14.01769,14.73532,11.70044,12.19984,12.12815,12.43287,13.5789,8.827716,10.14454,11.55039,13.78696,12.96609,11.55278,11.09102,11.15157,11.36413,12.1598,12.1663,11.28056,13.22678,11.9136,13.75207,14.16421,14.29963,13.88082,13.67592,15.10035,17.13864,15.02725,16.89682,18.64076,20.43375,14.69259,16.54948,20.20091,19.53146,19.61797,21.31304,21.83749,18.71441,18.76317,14.0362,16.81716,14.57938,16.90303,14.44278,16.11505,13.20722,15.32291,13.85992,11.49417,13.98584,10.78745,13.17885,11.63623,
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.813276,4.431659,8.321983,7.510365,6.351586,5.010482,,,,,,,7.640038,7.949199,9.614075,8.497499,9.304009,9.43968,9.544994,10.71107,7.706794,,10.19188,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.999301,3.669135,4.151039,2.062795,5.635629,3.303215,4.712883,5.980189,3.190845,5.154235,6.957521,6.343604,5.466638,,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7922615,1.511705,,,,1.804674,2.159415,2.413661,3.222398,2.78987,2.480329,3.039816,,,,,
Poland,,,,,,,,,,10.36377,11.23776,10.94922,12.8225,11.31521,13.40079,13.43353,13.39874,13.98671,14.13565,14.21508,15.61856,14.98289,15.56951,15.7326,15.35069,14.12303,15.28799,15.57891,14.99367,14.54047,,,,13.72687,15.45908,15.86771,16.08606,16.70942,16.16907,14.88213,16.58197,17.00851,18.66773,17.95892,18.21302,17.5422,17.43009,,,17.37069,17.26061,16.98344,18.30328,17.75506,18.21016,18.7365,17.8684,17.28474,17.36926
Portugal,,,,,,27.32493,28.01126,24.4938,26.18552,29.59039,25.19669,24.99691,24.38268,27.76098,28.32299,28.66539,28.0246,25.62322,27.2975,30.36695,24.70415,25.66361,25.206,24.37943,24.86629,22.94793,24.63187,22.45127,25.44059,24.77143,18.90567,19.20062,19.61479,20.16378,21.70226,23.61548,21.14151,21.7611,20.17912,19.07202,19.10316,20.83044,18.80441,18.09117,16.62022,17.2184,15.83724,14.73807,12.75979,13.00362,12.84214,15.32342,23.75555,23.14935,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96931,15.61812,17.12628,19.98865,18.58954,18.60441,16.46201,17.71718,17.21306,16.69551,17.64452,17.9137,16.47458,18.55208,18.82394,18.46625,18.56927,18.42814,17.26175,17.49411
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.68531,42.78896,42.5976,,,39.21376,36.32847,38.32985,39.5779,39.37681,39.90538,38.81424,40.83274,46.05315,49.29805,47.72266,45.88258,46.32738,43.07926,47.7356,44.90437,43.93315,43.76625,41.81217,39.33924,36.00253,34.43982,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.38357,50.46717,48.69693,42.08639,44.12804,40.29604,39.43058,42.69948,40.96906,38.67073,33.81883
