,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Costa Rica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.94954529,4.315291959,4.914866824,5.543758993,5.852590078,6.706305162,7.068932869,7.597625125,7.635180567,7.716286529,7.784725799,7.749088145,8.448904725,8.779334352,9.071135713,9.150272184,9.669224189,10.20933032,11.14097266,12.88962211,14.32241013,16.0579769,20.49312216,22.7109424,24.50082284,28.2617809,31.68301392,37.60032785,46.39246695,53.28608709,57.53193499,63.53757982,..
Cote d'Ivoire,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.364400518,0.379627864,0.382855653,0.402387403,0.41049869,0.449018565,0.486722109,0.51260507,0.5303689,0.514532083,0.543397146,0.55762689,0.557524109,0.561558951,0.554692835,0.569260853,0.614407278,0.613362331,0.638867323,0.709724779,0.772660768,0.929575951,1.124651869,1.604611271,2.856348199,4.320551552,5.879339157,7.641526541,8.44556862,10.57304301,14.03280042,22.87295433,..
Croatia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.851572884,5.406490066,5.88700353,6.639157155,7.255020783,7.890148213,8.59375,9.557713053,10.73191672,11.53846154,12.33780047,13.13002965,13.92405063,14.81225562,15.81548143,17.2223431,19.80567627,21.49744966,22.38818966,26.38460215,28.28156317,32.38238307,35.19660832,38.67708889,42.38602198,61.16910605,79.62529274,93.73980172,99.24808645,106.307888,124.5051594,141.8926891,..
Cuba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.065766887,2.046717948,2.020555232,2.160718104,..,2.350709203,2.460346078,2.55984388,2.561012248,2.663221467,2.828523745,3.602808284,3.398680739,2.894573604,3.174454995,3.17204289,3.133510352,3.22959391,3.22345173,3.248899923,3.26582436,3.390105359,3.538884836,3.951515254,4.443897967,5.217475196,6.101173487,6.76579878,7.504381297,8.80550946,9.990608609,..
Cyprus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.666599252,9.559875739,8.643668993,10.57443013,11.90334646,13.02146341,14.87839661,16.26732862,18.93097245,22.33105898,25.12539243,28.46572341,32.5269526,36.16760475,39.53936939,42.95516468,46.04755503,49.18448826,52.11692357,55.27685207,60.19758777,66.10373507,71.26067835,76.74530594,83.83704675,94.87247839,106.8186743,119.0145009,135.0198547,143.1305758,150.2866192,153.7665975,..
Czech Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11.26860829,11.52005473,11.73514224,11.96213432,12.31246605,12.60778919,12.89144654,13.3480998,13.88706997,14.44065276,15.03066975,15.6676831,16.5742555,17.67095367,19.22694802,21.36590557,24.1317975,29.25380514,36.93784028,45.72135718,55.9242439,79.99046071,105.7119914,120.4357122,130.7094393,139.2215166,146.5026697,..,..
Denmark,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,33.72847826,36.17668047,38.41029874,40.2653605,42.11946453,43.44669139,44.68242874,46.08542399,47.30827141,48.83789124,50.63337896,52.45020504,54.40068266,56.39803119,57.89333723,59.52175097,60.66548312,62.20516441,65.85845057,69.67389049,76.81094109,86.80570125,90.54348608,102.3761366,117.8148755,134.8714267,146.1229539,152.1814465,155.5796973,160.3024489,162.4400247,164.4287422,..
Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.692726152,0.666625894,0.614439324,0.648101266,0.708803527,0.771712502,0.844308401,0.940348369,0.974094044,0.95590093,1.005506939,1.000835776,0.961218753,0.960953387,0.901063052,1.018571538,1.074614096,1.146105201,1.222195428,1.230366278,1.210598666,1.286611824,1.279048386,1.187081893,1.28431754,1.361314229,1.730491823,3.293894005,4.270041607,5.767741642,6.818153558,..,..
Dominica,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.074753173,3.564912281,4.086471409,4.352044352,0.550206327,1.649625085,..,4.169020146,4.197484209,5.282548627,6.541598695,8.185538881,9.589041096,10.99354129,13.7892995,16.09787152,17.22777778,19.04237435,22.05516296,23.05270117,24.38356164,26.59628999,27.4228922,28.85512554,30.94086397,33.50811766,43.55716878,50.48045133,64.95178061,87.86920569,..,..,..
Dominican Rep.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.828579056,1.877095561,1.908922779,1.977184896,2.071864817,2.174666423,2.197606003,..,..,..,4.720711103,5.596250761,6.421268574,6.996469039,7.326368924,7.969043786,8.592766539,10.18600717,11.61386185,14.55209715,18.29366548,25.03172518,28.88337665,33.02213413,37.21559873,47.72683664,57.2321775,..
