"Electricity consumption, total (kWh)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
France,66806144088,71730826835,77593166199,83285049106,91398599976,96922883383,103175184129,108576210804,113440046741,124507975088,133354895886,140794225566,151089083095,164394071665,170951252548,171474342059,190405575179,196388962147,210125050755,225524541055,238237232391,247926605718,251203879764,257526479061,271731308058,290542442556,305990245197,315538910528,322032112977,330553736717,338243482814,362247549327,370562091162,370733648919,376453235063,382752847932,400591988182,397659488258,409614565518,420044754651,427359581570,436371380078,436450573076,453275283611,464491185629,466960332464,462571161927,464312973020,475114176198,458336407868,485255972720,
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,,112000000,131000000,162000000,190000000,249000000,324000000,439000000,432000000,516000000,526000000,590000000,660000000,723000000,787000000,852000000,878000000,883000000,897000000,771000000,873000000,885000000,888000000,893000000,810000000,837000000,945000000,978000000,1075000000,1083000000,1081000000,1113000000,1182000000,1213000000,1230000000,1261000000,1343000000,1430000000,1503000000,1521000000,1512000000,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16593757894,14612157481,11361627937,10176236299,10202957306,7443280274,5590300207,6294267731,6981270041,7015882120,6894748101,6790226420,6984175270,7299942295,7458194077,7677595128,6934968992,7108356846,7258043283,6933078117,7585736095,
Germany,115538998413,123605204620,132633917164,143240814644,155289708147,166680010971,176031161891,182007340552,199872881058,219195014741,299714992332,318646136948,340574521922,366048277759,377896903693,373223023720,404800153275,415423633050,437765653931,453762318558,453878005798,455626872052,453797509159,464019025552,484763848043,500954012897,507944424630,519796619734,530315029484,537512449088,525190121466,522898589369,517494005645,508897123577,508934000839,518425722955,526356164585,529175083536,533589047967,535642701603,546420496516,557136168654,568845319824,576014379212,584481248101,587146307224,592125616522,592822538315,589624668581,556488179670,593846956416,
Ghana,,,,,,,,,,,,2764000000,3151000000,3668000000,3837000000,3710000000,3917000000,4091000000,3429000000,4217000000,4601000000,4652000000,4327000000,1970000000,1151000000,2083000000,3398000000,3891000000,4226000000,4396000000,4780000000,5110000000,5493000000,5413000000,5567000000,5947000000,6318000000,6927000000,5036000000,6412000000,6332000000,6608000000,6262000000,4645000000,4651000000,5337000000,6612000000,5614000000,6207000000,6580000000,7264000000,
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2014428823,2285804468,2574767460,2897983579,3471712381,4065319482,5375335113,6417737798,6982004772,8026157668,9002200663,10585050805,12072615815,13795808267,14011154684,14979004967,16496197238,17575337225,19765936374,20791376451,21670997753,22022441941,22240504880,23877438064,25341589963,26487978669,27167740819,28612181902,31114894964,32353201860,32859639371,33543015608,35276486009,36182736615,37906636655,39312862716,40832630406,42719969011,44971442477,46685897555,49874040058,51645916756,53942924487,56079923692,57407628120,58616863528,60271561839,63345294593,64622118171,62751861190,59544795337,
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,,,,,,,666000000,758000000,851000000,909000000,973000000,1075000000,1296000000,1446000000,1608000000,1700000000,1420000000,1359000000,1349000000,1400000000,1456000000,1217000000,1426000000,1440000000,1688000000,1857000000,1958000000,2490000000,2416000000,2710000000,3077000000,2760000000,2619000000,3503000000,4135000000,3850000000,4269000000,4432000000,5635000000,5940000000,6068000000,7138000000,7445000000,7430000000,7691000000,8163000000,
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
