Cervix Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Ireland,1.54,1.67,2.07,1.85,1.96,2.72,2.37,2.73,3.02,1.37,2.55,1.94,2.54,2.99,3.07,2.58,3.31,4.22,3.79,4.18,4.25,3.37,4.2,4.25,2.63,3.89,2.6,3.04,2.53,3.19,2.65,3.15,2.78,2.77,2.47,3.23,2.72,3.04,3.46,3.25,3.01,2.64,3.13,3.3,2.73,3.35,3.65,3.4,3.36,3.21,2.72,2.57,3.03
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,2.14,1.53,1.11,1.88,1.41,0.79,1.5,1.11,1.76,1.42,1.46,1.38,1.02,1.42,1.56,1.66,1.33,1.28,1.53,1.58,1.85,1.68,1.44,1.68,1.38,1.47,1.42,1.52
Italy,,1.11,1.19,1.21,1.71,1.67,1.74,1.81,1.81,1.98,1.87,1.67,1.9,1.9,1.81,1.75,1.65,1.65,1.73,1.65,1.59,1.54,1.35,1.29,1.16,1.07,1.05,1.11,1.06,1.17,1.09,1.14,0.91,0.87,0.76,0.77,0.68,0.96,0.91,0.94,0.95,0.79,0.83,0.87,0.9,0.84,0.8,0.78,0.77,0.72,0.66,0.7,0.64
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.2
Japan,1.43,1.2,1.18,1.45,1.77,2.16,2.09,1.85,3.8,4.2,4.03,3.63,3.6,3.74,3.54,3.59,3.35,3.13,3.01,2.8,2.59,2.45,2.58,2.2,2.32,2.34,2.41,2.33,2.36,2.42,2.28,2.18,2.11,2.02,1.98,1.97,1.87,1.89,1.87,1.81,1.82,1.79,1.83,1.73,1.68,1.97,1.89,1.89,1.91,1.87,1.99,1.92,2.01
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,7.03,,,7.33,7.55,7.28,7.26,6.75,6.81,,6.35,5.86,6.41,5.84,6.75,6.36,6.24,6.4,6.57,6.12,5.84
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,1.03,1.18,1.33,1.81,1.69,1.74,2.04,1.91,2.43,2.31,2.73,2.72,2.29,2.58,2.59,2.73,3.29
Kuwait,,,,,,,,,,,,,,,,,,,,,,,0.23,,,1.91,1.71,3.37,2.79,0.19,0.93,0.91,3.01,2.66,2.32,2.65,2.83,2.96,,,,,,3.88,3.22,,1.18,1.86,0.49,0.58,1.68,0.71,1.73
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,7.62,,,6.46,5.69,7.14,6.76,5.57,6.21,7.83,6.77,5.65,5.53,5.89,6.94,6.36,6.11,6.85,6.69,5.81,6.97
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91,6.22,4.4,4.08,5.4,4.77,4.55,4.92,5.06,4.61,4.43,3.91,4.53,5.15,4.18,4.33,4.44,4.47,4.85,4.45,5.46,5.05,4.54
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.6
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.53,7.04,,,7.31,7.33,6.52,7.07,6.67,6.94,6.77,6.33,7.43,7.33,8.11,7.11,8.39,7.86,8.14,9.12,8.04,9.24
Luxembourg,,,,,,,,,,,,,,,,,,7.73,8.48,6.16,3.82,7.78,4.59,7.22,3.58,5.98,6.16,3.55,3.01,3.13,3.75,1.96,2.59,1.52,2.53,1.95,2.89,4.31,2.41,3.05,3.98,3.32,2.74,1.56,1.78,0.98,1.09,0.74,1.74,2.54,1.32,1.93,1.67
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,2.45,2.82,2.77,2.57,3.91,3.19,3.43,3.24,4.27,3.63,3.41
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5
Malta,,,,,,,,,,,,,,,,5.16,,3.2,2.42,1.85,4.55,3.39,2.22,2.33,1.72,2.67,2.81,2.05,1.3,2.86,0.36,4.71,2.13,3.78,0.47,2.3,1.94,2.49,2.25,1.87,1.71,1.88,1.32,2.59,0.38,2.31,2.22,3.55,1.59,0.61,1.64,1.33,3.63
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8
