Under five mortality,1761,1762,1763,1764,1765,1766,1767,1768,1769,1770,1771,1772,1773,1774,1775,1776,1777,1778,1779,1780,1781,1782,1783,1784,1785,1786,1787,1788,1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.13,437.11,437.08,437.01,436.9,436.73,436.49,436.18,435.8,435.36,434.85,434.26,433.61,432.9,432.11,431.26,430.34,429.39,428.39,427.38,426.35,425.33,424.3,423.28,422.25,421.23,420.2,419.17,418.15,417.12,416.1,415.07,414.05,413.02,411.99,410.97,409.94,408.92,407.89,406.87,405.84,404.81,403.79,402.76,401.74,400.71,399.69,398.66,397.63,396.61,395.58,394.56,393.53,380.67,369.28,357.02,345.06,334.44,330.38,324.23,317.78,311.99,304.92,,,,,,,,,,192.1,186.3,180.3,174.8,170.1,166.4,164,162.6,162.5,163.3,164.8,166.4,168,169.7,171.7,174.3,177.5,180.7,183.1,184,183.4,181.1,177.3,172.2,166.5,160.8,155.9,151.4,147.6,143.8,139.6,134.7,129.2,123.2,116.9,110.6,104.4,98.5,92.9,87.6,82.3,77.4,73,69.2,65.8,63,60.6,58.1,56
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.78,439.75,439.68,439.56,439.39,439.15,438.84,438.46,438.01,437.5,436.91,436.26,435.54,434.75,433.89,432.97,432.01,431.01,429.99,428.96,427.92,426.89,425.86,424.83,423.79,422.76,421.73,420.7,419.67,418.63,417.6,416.57,415.54,414.51,413.47,412.44,411.41,410.38,409.35,408.31,407.28,406.25,405.22,404.19,403.15,402.12,401.09,,,,,,,,,,,,,,,,,,,,,375.1,372.3,369,366,363.1,360,356.4,352.8,348.6,343.6,337.9,331.2,323.4,315,306.1,296.9,287.3,277.6,268.2,260.3,254,250,248.8,249.8,251.7,253.6,254.3,253,249.8,245.3,239.4,233.2,226.7,220.5,214.1,207.8,201.1,193.4,184.5,174.2,162.9,151.5,140.5,130.1,120.7,111.9,103.7,95.7,88.5,82.7,76.7,70.5,67.9
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.79,435.78,435.75,435.68,435.57,435.39,435.16,434.85,434.47,434.03,433.52,432.94,432.29,431.58,430.79,429.94,429.03,428.08,427.09,426.08,425.05,424.03,423.01,421.99,420.96,419.94,418.92,417.9,416.87,415.85,414.83,413.81,412.78,411.76,410.74,409.72,408.69,407.67,393.16,377.86,364.14,349.69,336.7,322.97,310.63,297.57,285.83,274.37,262.26,251.36,239.81,229.42,218.4,208.5,,,,,,,,,,116.4,110,103.9,98.2,92.7,87.6,83,78.6,74.5,70.7,67.3,64.2,61.2,58.5,55.8,53.1,50.4,47.8,45.1,42.5,39.9,37.3,34.9,32.6,30.5,28.4,26.5,24.8,23.2,21.8,20.5,19.4,18.4,17.4,16.6,15.8,15.1,14.4,13.9,13.3,12.9,12.4,11.8,11,10.1,9.5,8.9,8.5,8.3,8.2,8.1,8.1,8.2,8.3,8.5,8.5,8.5,8.5
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.11,362.02,358.81,355.17,,,,,,,,,336.4,327.5,318.4,309.2,300.1,290.7,281.4,272,262.3,251.9,241,229.4,217.3,205.6,194.3,183.8,173.8,164.2,155.5,147.4,139.9,132.9,126.2,120,114.1,108.5,103.3,98.3,93.5,88.9,84.3,79.6,74.8,69.9,64.9,59.7,54.4,49.1,43.8,38.7,34,29.7,25.9,22.7,20.1,17.8,16,14.4,13,11.8,10.7,9.9
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.48,494.47,494.43,494.35,494.22,494.03,493.76,493.41,492.98,492.48,491.9,491.24,490.51,489.7,488.81,487.84,486.81,485.73,484.6,483.46,482.3,481.14,479.98,478.82,477.66,476.5,475.33,474.17,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,497.9,484.5,471.5,458.5,446.1,435.1,425.1,416.5,409.3,403.1,398,393.1,387.6,381.2,374.1,366,357.3,348.3,339.4,331.2,323.3,315.5,307.5,299.6,291.8,284.5,277.5,271,265,259.3,254.2,249.8,246.4,243.8,241.8,240.1,238.1,235.5,231.9,226.8,219.9,211.6,202.4,192.4,182.2,172.3,163.4,155.5,148.6,142.6,137.1,132,127.5,122.7
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1,53.7,50.6,47.7,45,42.7,40.7,39.1,37.8,36.5,35.4,34.3,33.1,31.8,30.5,29.1,27.8,26.4,25.1,23.8,22.6,21.4,20.2,19.2,18.3,17.6,16.9,16.3,15.7,15.1,14.5,13.9,13.3,12.7,12.2,11.8,11.4,11,10.6,10.2,9.9,9.5,9.1,8.7,8.4,8.1,7.8,7.5,7.3,7.1,7,6.9,6.8,6.7,6.6,6.5,6.4,6.3,6.2,6.1
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.6,129.2,124,118.9,114.1,109.7,105.3,101.2,97.3,93.6,90.3,87.3,84.6,82.2,80.1,78.4,76.8,75.5,74.2,72.8,71.2,69.5,67.8,65.8,63.8,61.8,59.7,57.8,55.8,53.7,51.6,49.6,47.6,45.9,44.3,43,42.2,41.8,41.5,41.5,41.5,41.5,41.4,41.2,41,40.7,40.4,40.1,39.8,39.5,39.3,39,38.7,38.2,37.5
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.44,417.42,417.39,417.33,417.22,417.05,416.83,416.53,416.17,415.75,415.26,414.7,414.08,413.4,412.65,411.83,410.96,410.05,409.1,408.13,407.15,406.17,405.19,404.21,403.23,402.25,401.27,400.29,399.31,398.33,397.35,396.38,395.4,394.42,393.44,392.46,391.48,390.5,389.52,388.54,387.56,386.58,385.6,384.62,383.64,382.66,381.68,380.7,,,,,,,,,,310.9,305.8,300.7,295.3,289.6,284.1,278.6,272.9,267.1,261.1,254.8,248.4,241.9,235.4,229,222.4,215.9,209.4,203.6,198.5,194.9,192.3,190.5,189.1,187.5,184.9,181.5,177.4,172.8,168,163.3,158.7,154,149.1,144,138.4,133,128,123.8,120.5,117.8,115.9,114.6,113.8,113.5,113.4,113.3,113.3,113.3,113.3,113.1,112.9,112.7,112.1,111.3,110,108.1,105.9,103.4,100.8,98.2,95.6,92.9,90.1
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,427.86,,,,,,,,,,203.48,227.77,351.19,274.71,270.05,251.47,242.48,249.7,225.92,216.59,268.45,284.37,335.02,270.05,281.07,249.7,299.15,266.83,212.85,284.37,273.18,336.63,351.19,308.99,343.12,483.95,,310.63,286.02,330.14,362.47,318.75,251.47,225.92,312.26,281.07,261.86,305.71,268.45,253.24,242.48,286.02,227.77,231.47,270.05,220.33,290.96,323.63,344.73,,287.67,261.86,246.11,224.05,201.61,201.61,235.16,212.85,225.92,321.99,330.14,258.46,209.1,205.35,222.2,227.77,249.7,265.2,256.73,263.54,214.72,265.2,227.77,225.92,305.71,233.32,175.3,302.43,132.98,106.89,120.64,115.43,138.36,115.43,129,135.5,121.1,111.7,105.8,102,98.6,93.4,87,83.6,86.3,92.7,96,92.7,86.9,82.9,81,79.4,76.9,72.3,65.2,57.3,50.8,46.2,42.9,40.3,37.8,34.7,31.3,28.9,28.4,28.9,28.8,27.1,24.9,23.1,21.8,21.2,21.2,21.6,22.2,22.7,22.6,21.6,20.2,18.6,17.1,16.1,15.6,15.6,15.7,15.9,16,15.8,15.5,15.2,14.9,14.6,14.3
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,487.15,504.87,523.15,542.03,491.53,450.55,460.09,497.15,485.24,514.67,476.06,488.6,463.91,459.2,453.07,484.69,468.23,465.97,455.4,447.64,471.46,464.76,456.77,450.23,443.74,436.06,429.73,423.54,416.09,410.04,404.04,396.88,391.04,379.28,386.69,394.19,368.27,300.79,363,351.87,342.07,324.93,316.7,327.57,317.19,293.79,314.54,329.59,301.63,242.29,302.11,267.94,294.52,264.66,260.23,250.32,244.22,230.25,212.46,233.42,,,,,,,,,,151.6,146.7,142,137.5,133.4,129.5,125.9,122.5,119.2,115.8,112.1,108.4,104.6,100.8,97.4,94.1,91.1,88.2,85.2,82,78.5,74.9,71.3,67.7,64.3,61.4,58.7,56.2,53.7,51.3,48.9,46.4,44,41.6,39.3,37.1,35,32.9,30.9,29,27.3,25.6,24,22.6,21.4,20.4,19.5,18.9,18.4,17.9,17.4,16.8,16,15.3,14.5
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.32,165.35,161.93,158.31,154.54,150.62,146.55,142.39,138.1,133.89,129.75,125.67,121.68,117.73,113.84,110,106.19,102.46,98.9,95.53,92.35,88.8,,,,,,,,,,57.3,58,58.5,58.8,58.8,58.3,57.7,56.9,56.1,55.4,55,54.9,54.9,55.1,55.3,55.4,55.4,55,54.2,53.1,52,50.7,49.5,48,46.7,45.4,44.1,42.8,41.4,40.2,38.9,37.6,36.4
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,396.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.51,,,,,,,,,,,,,,,,,,,,135.88,133.44,130.31,126.4,123.04,119.57,116.03,112.37,108.65,105.62,102.01,98.51,,,,,,,,,,63.8,61.9,59.9,58.1,56.3,54.7,52.9,51.4,49.9,48.5,46.9,45.1,43.2,41.2,39,36.9,35.2,33.7,32.7,32.3,32.5,33.3,34.5,35.5,36.2,36.2,35.5,34.2,32.4,30.6,28.6,26.7,25,23.5,22.2,21.1,20,19,18.1,17.4,16.7,16,15.4
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,7.7,7.4,7.1,6.8,6.5,6.2,6,5.8,5.5,5.3,5.2,5,4.9,4.7,4.6,4.5,4.4,4.3,4.2,4.1,4,3.9,3.8,3.7
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.04,420.03,420,419.93,419.82,419.66,419.43,419.13,418.77,418.34,417.85,417.29,416.67,415.98,415.22,414.4,413.52,412.6,411.65,410.68,409.69,408.71,407.72,406.73,405.75,404.76,403.78,402.79,401.81,400.82,399.83,398.85,397.86,396.88,395.89,394.91,393.92,392.93,391.95,390.96,389.98,388.99,388.01,387.02,386.04,385.05,384.06,383.08,382.09,381.11,380.12,379.14,378.15,353.29,328.53,305.94,283.34,262.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.8,171.1,164.6,158.4,152.5,146.6,140.9,135.2,129.6,123.9,118.4,113,107.9,103,98.4,93.9,89.6,85.4,81.2,77,72.8,68.7,64.6,60.5,56.7,53,49.6,46.4,43.6,41.1,39,37.2,35.7,34.2,32.9,31.8
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.2,375.19,375.16,375.1,375.01,374.86,374.65,374.39,374.07,373.69,373.24,372.75,372.19,371.57,370.9,370.16,369.38,368.56,367.71,366.84,365.96,365.08,364.2,363.32,362.43,361.55,360.67,359.79,349.79,339.98,330.37,320.94,311.67,302.56,294.63,285.85,277.22,268.74,260.39,252.21,244.18,236.28,228.52,220.89,213.4,206.06,198.84,191.76,185.58,178.71,171.98,165.37,158.87,152.5,146.26,140.15,134.14,128.25,127.24,124.87,122.35,119.06,115.65,110.88,106.7,101.27,96.57,91.43,86.45,81.61,77.44,73.39,69.43,65.61,62.34,58.8,55.44,52.25,49.7,47.27,45.38,43.51,,,,,,,,,,26.8,24.5,22.4,20.5,18.9,17.7,16.7,16,15.6,15.4,15.2,15.1,15,14.8,14.6,14.2,13.7,13.2,12.5,11.8,11.1,10.4,9.6,8.9,8.1,7.5,6.8,6.2,5.7,5.3
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.44,403.43,403.4,403.34,403.23,403.07,402.85,402.57,402.22,401.81,401.34,400.8,400.2,399.54,398.81,398.02,397.18,396.3,395.38,394.45,393.5,392.55,391.61,390.66,389.71,388.77,387.82,386.87,385.93,384.98,384.03,383.09,382.14,381.19,380.25,379.3,378.35,377.41,376.46,375.51,374.57,373.62,372.67,371.73,370.78,369.83,368.89,367.94,353.44,339.34,325.6,312.23,,,,,,,,,,275.1,269.3,263.7,258.3,253.1,247.9,242.7,237.6,232.5,227.2,222,216.5,211,205.5,200.1,195,190.1,185.4,180.9,176.4,171.5,166.1,160.3,154.1,147.6,141,134.4,127.9,121.6,115.5,109.6,103.9,98.6,93.6,88.9,84.6,80.7,77.1,73.6,70.3,67,63.9,61,58.2,55.6,53.1,50.8,48.6,46.5,44.7,42.8,41.2,39.6,38.1,36.7,35.3,34,32.7,31.5,30.4
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.79,439.78,439.75,439.68,439.56,439.39,439.15,438.84,438.46,438.01,437.5,436.91,436.26,435.54,434.75,433.89,432.97,432.01,431.01,429.99,428.96,427.92,426.89,425.86,424.83,423.79,422.76,421.73,420.7,419.67,418.63,417.6,416.57,415.54,414.51,413.47,412.44,411.41,410.38,409.35,408.31,407.28,406.25,405.22,404.19,403.15,402.12,401.09,400.06,399.03,397.99,396.96,395.93,394.9,393.87,392.83,391.8,390.77,387.38,380.46,373.22,365.55,,,,,,,,279.9,278.7,277.6,276.3,275.1,274,273,272.1,270.9,269.6,268.3,266.9,265.6,264.4,263.2,262,260.9,260.1,259.2,258.7,257.5,255.8,254,251.6,248.8,245.8,242.9,240.1,237,233.6,229.6,224.7,219,212.1,204.2,195.5,186.4,177.2,168.5,160.2,152.9,146,139.5,133.4,127.5,119.9,113.3,107.3,102.5,97.2,90.6,87.2
