,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
United States,2881.06,2860.05,2862.73,2928.8,2925.92,2958.43,2982.51,3006.96,3039.23,3035.46,3058.27,3067.94,3044.98,3035.34,3037.97,3168.2,3148.33,3161.76,3221.83,3187.86,3230.36,3204.68,3245.92,3292.55,3397.62,3366.74,3462.02,3460.3,3434.12,3486.01,3509.14,3539.06,3578.14,3633.65,3544.07,3550.14,3609.17,3618.14,3650,3731.61,3683.83,3753.78,3750.54,3785.3,3795.8,3766.28,3748.36
Uruguay,2795.17,2708.65,2772.98,2947.7,2780.55,2813.92,2703.67,2796.42,2942.58,3027.69,2872.15,2893.18,2780.69,2906.71,2978.39,2880.66,2697.46,2698.89,2881.45,2864.29,2864.04,2788.97,2572.35,2667.53,2641.93,2555.01,2613.51,2589.02,2494.29,2508.82,2682.99,2773.26,2762.73,2770.36,2696.86,2784.01,2747.22,2790.4,2834.02,2830.97,2795.15,2782.66,2770.53,2750.07,2804.76,2818.53,2829.47
USSR,3095.31,3157.5,3204.11,3205.98,3213.55,3209.06,3239.82,3299.91,3299.54,3354.2,3330.46,3283.69,3324.04,3356.8,3340.64,3395.85,3358.3,3378.31,3375.31,3369.48,3344.35,3366.9,3377.62,3379.66,3372.66,3356.53,3396.96,3388.92,3342.55,3363.71,3026.97,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716.25,2707.19,2593.89,2654.35,2908.98,2441.73,2508.76,2399.12,2380.84,2273.43,2298.29,2358.98,2392.39,2477.28,2516.02,2581.11
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,2449.31,2520.67,2541.17,2491.67,2517.95,2469.2,2624.44,2538.06,2604.47,2546.45,2630.41,2583.58,2562.23,2618.75,2476.72,2390.94,2492.49,2578.09,2644.52,2571.97,2494.03,2531.2,2599.19,2713.36,2759.44,2670.24,2637.91,2544.8,2491.28,2561.36,2524.1,2492.34,2548.98,2535.42,2546.44,2573.61,2633.61,2642.22,2637.69,2632.73,2617.04,2640.4,2686.84,2690.68,2714.59,2709.88,2740.23
Venezuela,2162.06,2128.48,2145.35,2304.56,2266.82,2218.65,2233.68,2267.06,2332.4,2340.89,2322.72,2268.96,2265.11,2280.77,2390.71,2461.79,2601.5,2597.6,2662.91,2844.58,2757.82,2574.95,2612.13,2754.81,2634.02,2396.76,2570.01,2766.16,2299.21,2386.73,2447.3,2546.33,2427.02,2396.58,2457.38,2401.99,2304.4,2377.67,2365.76,2478.85,2530.67,2253.62,2447.83,2555.2,2557.13,2555.9,2631.9
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2304.04,2292.14,2292.45,2208.81,2146.22,2144.5,2185.64,2215.19,2238.06,2218.35,2167.85,2019.71
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,1875.67,1939.37,1943.76,1936.56,1946.28,1927.43,1939.58,1962.95,1980.41,2055.98,2000.84,1977.11,2011.79,2020.92,1914.23,1939.13,1872.09,1824.38,1977.6,1987.89,2063.67,2011.43,2038.47,2095.15,2075.21,2132.05,2065.22,2065.39,2067.36,2097.58,2086.39,2096.88,2291.42,2302.96,2332.64,2330.25,2270.5,2404.35,2465.1,2493.31,2537.24,2541.65,2623.38,2686.29,2720.18,2770.6,2816.25
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen Arab Republic (Former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yemen Democratic (Former),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yemen, Rep.",1739.94,1741.95,1754.28,1755.99,1770.53,1776.77,1768.35,1759.72,1778.84,1755.57,1739.52,1736.53,1759.24,1761.51,1760.22,1822.32,1881.69,1971.45,1942.64,1908.17,1914.51,1979.32,1950.99,2001.49,1955.83,2032.69,2059.16,2143.19,2098.43,1961.31,1947.04,2028.48,2018.52,1982.13,1976.65,1967.89,1982.93,2010.12,2008.28,2013.67,2016.53,2006.5,2017.24,2016.64,2009.2,2019.84,2067.57
Yugoslavia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,2211.03,2207.54,2158.9,2110.79,2095.86,2231.13,2256.9,2285.42,2301.45,2278.86,2310.93,2323.57,2369.85,2372.05,2378.1,2365.19,2465.81,2350.39,2327.08,2301.95,2267.83,2166.94,2161.7,2141.08,2040.39,2044.72,2042.23,2067.96,2062.35,2041.68,2006.22,1980.86,1944.74,1987.98,2015.88,1979.54,1912.11,1864.73,1900.48,1891.6,1883.86,1884.89,1868.43,1872.84,1894.3,1888.79,1873.04
Zimbabwe,2102.09,2143.87,2133.41,2124.27,2130.82,2136.36,2246.22,2261.97,2212.25,2275.56,2300.98,2323.66,2308.38,2306.98,2254.39,2281.41,2296.33,2277.56,2249.22,2289.79,2217.44,2223.33,2182.85,2131.73,2085.74,2054.03,2015.39,2049.35,2047.81,2022.13,1980.74,1947.34,1923.83,1940.92,1912.65,1943.74,1966,1971.97,1953.08,1960.36,2008.81,2072.55,2107.25,2134.77,2170.43,2213.64,2237.75
Åland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
