Female above 60 (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Egypt,5.676250347,5.792358668,5.82566168,5.843537847,5.897262589,5.994936709,6.084799278,6.251735491,6.440264716,6.740899628,7.015730853,7.155901075,7.883896469,8.576430682,9.605415625,10.89161773,12.25728593,13.59357886,15.48834774,17.88980699,20.66652372
El Salvador,6.278026906,5.991902834,5.90747331,5.86797066,5.750798722,5.931807567,6.205149852,6.6796875,7.236842105,7.952622673,8.961501132,9.845863479,10.80256332,11.78550383,12.83286119,14.11892479,15.71391282,17.53098912,19.37793137,21.28844757,23.71626463
Equatorial Guinea,8.695652174,8.403361345,7.692307692,8.02919708,7.432432432,9.016393443,9.649122807,8.125,7.731958763,6.493506494,5.204460967,4.590163934,4.285714286,5.063291139,6.575963719,7.959183673,8.955223881,8.576329331,7.911392405,8.100147275,8.953168044
Eritrea,5.54592721,5.188679245,4.881450488,4.656862745,4.726100967,4.596622889,5.901116427,5.10846746,4.788557214,4.636973764,4.60385439,4.690925033,4.90011308,4.998355804,5.067766647,5.088377076,5.551461557,6.927779036,9.009009009,10.63954625,12.14075166
Estonia,17.64705882,17.73700306,18.32844575,19.63788301,20.70365359,21.2987013,20.12658228,20.46568627,21.22302158,23.05699482,25.27173913,26.1707989,27.18446602,28.47222222,29.93006993,30.53977273,31.3583815,32.34859675,33.28313253,34.50381679,36.33540373
Ethiopia,5.513757524,5.128455602,4.896703297,4.888681302,4.90511749,4.943996146,4.976462677,4.949968579,4.928680067,4.921918572,5.026085901,5.193629148,5.378056779,5.548656815,5.765965301,6.110565805,6.546644845,7.093058925,7.789097593,8.730649404,10.0420375
Fiji,2.898550725,3.636363636,3.141361257,3.097345133,3.90625,4.210526316,4.792332268,4.558404558,4.532577904,5.305039788,6.329113924,7.579462103,9.026128266,10.46511628,12.3853211,14.12556054,15.38461538,16.08695652,17.3245614,19.82378855,21.38084633
Finland,11.84902054,12.06896552,13.06620209,14.35832274,16.59663866,18.43942505,19.7485807,21.13177681,22.11838006,22.32824427,22.96072508,24.14953271,27.30275229,29.63498374,31.35289907,32.85968028,33.84070796,33.92414038,34.23583897,34.49389806,34.59732756
France,18.67231378,19.28714636,19.88691919,20.49448794,21.08746681,21.26885075,20.18245665,21.1437621,22.11643836,23.06532158,23.28524008,23.2689365,25.5423634,27.64659223,29.58796992,31.48236274,33.04655274,34.3289689,34.71285748,35.13952544,35.32368666
French Guiana,0,0,6.25,5.263157895,4.545454545,3.703703704,6.060606061,6.976744186,5.454545455,4.47761194,6.25,5.940594059,6.086956522,8.396946565,9.655172414,12.19512195,14.04494382,15.8974359,16.50485437,17.80821918,18.53448276
