"Malnutrition prevalence, weight for age (% of children under 5)",1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon Islands,,,,6,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,2.4,,,,
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.4,,,,,,,
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7,,,,,,,3.7,,3.9,,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,15.6,,,,,17.8,,,,,,16.4,,,,,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,,,,,1.2,,,,,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,1.5,,1.1,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,3.8,,,,,3.4,,,3.7,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,,6,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,,,9,,,7.8,,,,,4.1,,,,,,4.1,
Thailand,,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,,,,,0.7,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,,,,,,14.6,16.9,,
Togo,,,,,,,,,,,,,,,,,,,,,,7.1,,,,,,,,,,,,,,,,,,8.6,,3.2,,,
