Agricultural land (% of land area),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Turks and Caicos Islands,,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,1.052631579,,
Tuvalu,,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,66.66666667,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,33.33333333,,
Uganda,,45.13287623,45.61333267,46.33401732,49.41194134,49.40193184,49.4719984,49.48701266,49.67218858,49.79730744,49.94745008,50.1976878,50.54802062,50.94840098,51.36880036,52.08448026,52.7401031,52.7401031,53.10044542,53.10044542,53.45077824,53.8511586,54.25153896,56.55372604,57.55467694,58.05515239,59.14118412,59.14118412,59.14118412,59.36639808,59.86687353,60.21720635,60.31730144,60.46744407,60.56753916,60.66763425,60.91787198,60.91787198,61.26820479,61.36829988,62.61948851,63.11996397,64.12091487,65.62234122,66.3730544,66.3730544,66.87352985,67.62424303,68.87543166,69.87638256,,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.37248641,72.30516959,72.25511349,72.24130491,72.21886597,72.24303098,71.82359541,71.55087598,71.46975058,71.43350306,71.4537232,71.38295302,71.38122691,71.28999965,71.2579398,71.23055944,71.2766692,71.24905061,,
United Arab Emirates,,2.488038278,2.488038278,2.488038278,2.488038278,2.5,2.511961722,2.511961722,2.511961722,2.511961722,2.535885167,2.535885167,2.535885167,2.54784689,2.559808612,2.571770335,2.583732057,2.59569378,2.607655502,2.619617225,2.667464115,2.715311005,2.715311005,2.775119617,2.775119617,2.811004785,2.846889952,2.846889952,2.858851675,2.858851675,3.409090909,3.708133971,4.055023923,4.246411483,4.449760766,4.581339713,4.688995215,4.784688995,4.820574163,6.232057416,6.602870813,6.782296651,6.830143541,6.686602871,6.698564593,6.674641148,6.806220096,6.806220096,6.806220096,6.806220096,,
United Kingdom,,81.84185508,81.75505311,81.62278345,81.44091266,80.95316827,80.80849833,80.82503203,80.29595337,80.10581573,77.91096598,77.88616542,77.52655727,77.27855165,77.03881288,76.81147439,76.74947299,76.42706568,76.37746456,76.26999545,76.34026371,75.72438309,75.56317943,75.29450668,75.2366387,75.09610218,74.93903195,74.88116397,76.15012607,75.66651511,75.24077212,74.9927665,74.69102633,72.47550944,71.95883107,71.83482826,72.31017236,72.68631422,72.40937461,71.17347993,70.11945604,70.07398834,70.16905717,70.08638862,70.47906419,70.08638862,73.73207126,72.9425867,73.0955235,71.6116232,,
United States,,48.86024177,48.47613703,48.1979395,47.93251636,47.58979185,47.55452584,47.52799444,47.5812756,47.54328002,47.42896573,47.30886476,47.19968206,47.07958109,46.96581271,46.96581271,46.96581271,46.98470132,46.74799322,46.74799322,46.74799322,46.74799322,47.10130845,47.10130845,47.10130845,47.10130845,47.10130845,46.61533624,46.61533624,46.61533624,46.61533624,46.61533624,46.44948771,46.17860543,45.98109392,45.87191122,45.45341392,45.29826531,45.26583804,45.18930097,45.23058486,45.2900702,45.08487304,44.95389613,44.47604869,44.26419353,43.75076403,43.92965667,44.20492336,44.10544175,,
Uruguay,,87.01862644,86.80722203,86.5215404,86.57867672,86.27585419,86.32727688,86.32727688,86.11587247,86.11587247,86.03016798,86.03016798,86.03016798,86.02445435,86.05873614,86.08730431,86.1558679,86.16158153,86.16158153,86.16729517,86.16729517,85.96731802,85.71020455,85.52165467,85.27025483,85.08170495,84.83030511,84.71603245,84.69889156,84.70460519,84.70460519,84.70460519,84.81887784,84.81887784,84.81887784,84.87601417,85.04170952,85.03599589,85.20169124,85.1959776,85.46451834,85.44737744,84.80173694,84.80173694,84.21894641,84.21894641,83.36761513,83.46474689,85.07599132,84.6017598,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.1716032,64.99294781,64.98119417,64.98589563,64.98119417,64.97414198,64.26187118,64.25246827,64.23366244,64.24541608,63.57780912,63.093559,63.093559,62.85848613,62.74094969,62.62341326,62.57639868,62.64927127,,
Vanuatu,,8.613617719,8.613617719,8.613617719,8.613617719,9.269893355,9.269893355,9.269893355,9.269893355,9.269893355,9.844134537,9.844134537,9.844134537,9.844134537,9.844134537,10.33634126,10.33634126,10.41837572,10.41837572,10.50041017,10.50041017,10.74651354,10.82854799,11.07465135,11.07465135,11.23872026,11.56685808,11.73092699,12.05906481,12.22313372,12.46923708,12.63330599,12.87940935,13.04347826,13.12551272,13.53568499,13.6997539,13.78178835,14.10992617,14.19196062,14.35602953,14.52009844,14.6021329,14.7662018,14.84823626,15.01230517,15.17637408,15.34044299,15.34044299,15.34044299,,
Venezuela,,21.80375262,21.8831132,21.96247378,22.04410181,22.12346239,22.20282297,22.29578822,22.4000907,22.49305595,22.59849215,22.70392835,22.74814353,22.8773879,22.95107987,23.01230089,23.20730117,23.44991781,23.51340627,23.69480188,23.83084859,23.85352304,23.98956975,24.12561646,24.25032595,24.53375659,24.77183833,24.89654781,24.95323394,24.72648943,24.78317556,24.77977439,24.49634374,24.49180885,24.49974491,24.51108214,24.52468681,24.5292217,24.53602403,24.52582053,24.25599456,24.25939573,24.14829091,24.14829091,24.20497704,24.20497704,24.20497704,24.20497704,24.20497704,24.26166317,,
Vietnam,,19.33085502,19.34621647,19.36157793,19.37693938,19.39230084,19.40766229,19.48446957,19.56127684,19.60736121,19.71489139,19.73025285,19.80706012,19.91459031,19.99139759,20.00675904,20.65194015,20.92844634,21.00218133,21.0451934,21.06977173,21.12507297,21.14965129,21.20495253,21.22953086,20.7379643,20.66115702,20.61507266,20.61507266,20.63043411,20.66422932,20.74103659,21.58284433,21.77332637,21.93615779,21.74874804,23.60133952,24.09905066,24.74730406,25.84718425,28.22606571,30.48313993,30.44598293,30.75757087,31.58964105,32.4249363,32.50233818,32.45073693,33.02480085,33.12800335,,
Virgin Islands (U.S.),,34.28571429,34.28571429,40,45.71428571,45.71428571,45.71428571,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,42.85714286,45.71428571,45.71428571,42.85714286,40,40,34.28571429,34.28571429,34.28571429,31.42857143,31.42857143,28.57142857,28.57142857,28.57142857,28.57142857,25.71428571,22.85714286,22.85714286,22.85714286,22.85714286,20,20,20,17.14285714,17.14285714,17.14285714,17.14285714,11.42857143,11.42857143,11.42857143,11.42857143,,
West Bank and Gaza,,60.79734219,60.79734219,60.79734219,60.63122924,60.63122924,60.79734219,60.96345515,60.96345515,60.96345515,61.12956811,61.12956811,61.12956811,61.12956811,61.29568106,61.29568106,61.62790698,61.96013289,62.2923588,62.12624585,62.2923588,62.95681063,63.12292359,63.4551495,63.62126246,63.12292359,63.12292359,62.79069767,62.79069767,62.62458472,62.2923588,61.79401993,61.46179402,61.46179402,61.46179402,62.45847176,61.79401993,61.46179402,57.97342193,60.46511628,61.79401993,61.29568106,61.46179402,60.96345515,60.96345515,61.46179402,60.96345515,60.96345515,61.12956811,60.96345515,,
"Yemen, Rep.",,44.20137508,44.2222096,44.24493816,44.26387863,44.2828191,44.30365362,44.31691195,44.32638218,44.34532265,44.35479289,44.36994526,44.39077978,44.40025001,44.40972025,44.43434286,44.43434286,44.43434286,44.43813095,44.440025,44.440025,44.4438131,44.4438131,44.4438131,44.4438131,44.45328333,44.45328333,44.47032975,44.47032975,44.47411785,44.74875466,44.7582249,44.47411785,44.93626532,44.94573555,44.95709984,44.99308673,44.92679508,44.8510332,44.82830464,44.83019869,44.69003921,44.80557607,44.50063451,44.61806542,44.55366782,44.75064871,44.75064871,44.54230354,44.41919048,,
Zambia,,25.97156271,26.04285772,26.10204603,26.17603142,26.24867163,26.37511939,26.44775959,26.54730357,26.64012161,26.73428483,26.97507365,27.24142106,27.09748584,27.1755068,27.22258841,27.4553061,27.2723604,27.11228292,26.60783707,26.69661954,26.68316765,26.64550236,26.85131627,26.87956523,27.07192725,27.20644615,27.39611778,27.61538358,28.11041311,27.99472686,28.01490469,28.33640485,28.52069573,28.88524193,28.8650641,29.41255599,29.55514602,29.62778622,30.13895802,30.26406059,30.34073636,30.42279288,30.81693324,30.80079097,30.61919047,31.0039145,30.91782241,31.05637687,31.45724317,,
Zimbabwe,,28.39601913,28.61574254,28.83546594,29.05518935,29.22321313,29.49463616,29.71435957,29.93408298,30.15380638,30.37352979,30.5932532,30.76127698,30.85175132,31.07147473,31.16194908,31.25242342,31.31704795,31.44629701,31.57554608,31.73064495,31.92451855,32.14424195,32.33811555,32.48028952,32.67416311,32.86803671,33.0619103,33.29455861,33.48843221,33.63060618,34.07005299,34.50949981,34.94894662,35.38839343,35.82784025,36.26728706,37.01434665,37.53392788,38.36112188,38.92981776,39.39511439,39.98966007,40.4549567,41.35970014,41.61819827,42.00594546,42.00594546,42.52294171,42.39369265,,
