Per capita government expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Guinea-Bissau,29.00424864,30.13277683,28.76156364,19.39410047,13.75234023,10.1698202,9.67261892,23.72277098,12.31302446,8.363207,9.08152299,9.24340958,10.02131124,9.88716934,9.60447152,10.04085699
Guyana,68.69951047,73.05809157,84.26837339,84.40447413,78.5121623,101.6857063,105.6281931,110.8785878,104.8271308,139.8800993,152.9154374,108.1139698,81.78521215,153.959828,157.8807274,142.3493056
Haiti,24.19452653,22.87725646,23.37461193,19.76019821,16.88642279,16.92719219,14.76902386,11.93662176,9.78918956,10.33409164,9.60298316,14.44096883,14.83187038,15.41623614,15.48715362,16.34292162
Holy See,,,,,,,,,,,,,,,,
Honduras,64.63429951,57.14567794,57.67341211,72.58576828,70.22190233,91.97105076,95.27117691,106.3193939,134.8433113,128.3420638,123.8527711,123.3159953,137.6497588,146.190805,177.7894743,
"Hong Kong, China",,,,,,,,,,,,,,,,
Hungary,552.6422975,536.6290536,551.400975,570.6617361,586.1243659,603.1073463,669.1128466,781.9724675,934.5785425,944.4548198,1020.305236,1077.897879,1006.826136,1061.400834,1052.886083,1018.852912
Iceland,1651.062636,1684.528452,2142.455997,2068.731696,2427.864988,2305.534983,2383.688707,2667.183041,2679.016155,2767.549296,2763.255694,2772.410681,2902.136481,3053.781937,2939.893776,2645.538398
India,12.26855392,12.61671271,14.00684086,15.26885394,16.85433642,17.30903459,17.72432833,17.47492087,18.24292006,18.70757367,22.00641001,24.6048911,27.75214756,31.9789958,37.59329468,38.56519878
Indonesia,15.38174445,17.29930093,16.95783577,15.44770554,17.34766826,16.44630243,23.44713512,21.72270744,27.35879528,26.87360437,28.30625102,34.60561417,45.03463488,44.27536737,46.30863089,55.00758094
Iran,93.86116481,102.682044,120.1454262,135.6821314,122.5596763,127.2414649,154.4660612,168.2265362,180.1179482,185.0562052,231.2852347,255.2172238,267.8169023,309.1332225,299.1562919,335.6096363
Iraq,,0.6603641,0.12,1.35263439,1.47349259,0.87407105,1.46154604,0.82268372,33.8102946,109.7788533,82.17950809,76.14584883,94.32527335,118.3458451,266.950487,276.1242204
Ireland,862.7077214,910.5484299,1031.128665,1101.913899,1183.737893,1322.446817,1560.265728,1781.040132,1942.250042,2136.838145,2262.476214,2440.435459,2670.009338,2888.790699,2814.19383,2561.556843
Isle of Man,,,,,,,,,,,,,,,,
Israel,967.5512078,1051.104488,1092.611656,1041.789893,1031.606461,1104.852587,1166.776013,1182.800731,1079.662174,1117.609695,1084.640129,1119.612011,1172.891016,1251.201162,1273.525123,1318.915434
Italy,1083.997004,1135.25437,1224.599175,1289.816704,1333.380163,1496.4558,1663.082455,1664.971122,1687.101201,1802.192451,1917.228415,2087.100108,2120.172624,2332.29276,2391.879436,2345.359047
Jamaica,122.2589527,160.9388828,191.6047923,166.4975467,133.9196921,167.089283,132.041642,170.0083628,149.4894157,183.0430128,139.0104013,168.3789073,192.1867483,221.1703686,210.0390138,198.8531009
Japan,1278.750161,1364.626672,1377.451885,1403.241041,1477.770931,1594.953871,1688.133156,1738.867546,1796.497497,1893.804844,2031.885607,2072.786139,2210.097824,2324.574396,2506.7246,2643.955311
Jersey,,,,,,,,,,,,,,,,
Jordan,140.1990496,141.5891678,153.5203287,154.6799881,150.557988,146.561173,160.1328979,171.2804316,169.3321052,197.0496437,202.0374492,199.9012755,247.7911442,288.5664766,346.7161322,303.4133384
Kazakhstan,107.27398,103.889163,118.9224651,123.6155777,96.78521154,101.0517942,109.2287219,119.8235267,138.874818,177.1868745,218.9932009,226.7854338,194.6401219,257.5526655,304.6087867,321.0062275
Kenya,21.1206847,18.32441241,17.58033682,22.38462383,18.98851507,24.64587661,24.317164,22.75120978,23.13375567,22.66458936,24.78463572,26.85495294,29.0580897,26.24349045,32.64079498,34.43059639
Kiribati,138.3697164,144.2224949,155.7748649,127.7041725,163.7781156,156.6161134,170.6404491,179.6312333,205.8926841,227.0778278,215.8035742,216.4227049,270.3353245,257.7156088,249.2346365,212.0341447
North Korea,,,,,,,,,,,,,,,,
South Korea,184.8196921,226.6424144,257.1233937,277.741559,333.8196128,374.7860685,504.1262173,518.8902973,548.2103466,597.2610509,682.9026861,812.3695356,921.2698844,970.9958384,1093.286453,1192.949542
"United Korea (former)
",,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,872.5996667,798.8344002,865.5287859,1023.571342,802.1345601,535.325027,814.6748604,801.0031475,850.8674864,795.3749205,758.3500456,763.444306,721.5639258,823.0591817,1427.904952,910.1979083
Kyrgyz Republic,39.37455192,33.52372223,33.74410104,42.23873003,35.99144916,27.34472081,27.81798086,30.76250281,32.14619562,39.057724,41.95512254,55.16080644,66.4751273,62.09965883,78.40437601,78.80368416
Lao,22.43316606,25.73117627,37.51571379,29.50460024,13.05077479,13.99247071,14.23460312,14.08012078,17.29377012,11.83054294,9.21184637,9.71882623,9.37613599,23.09522233,26.14213168,32.3380293
Latvia,209.5183879,206.3348214,227.7928323,262.7005189,278.3909594,260.545118,278.4422642,320.4410167,343.829458,431.5833136,471.6747094,650.4374577,727.3962876,741.9483573,657.4015208,667.9894276
Lebanon,213.0385272,234.4099648,250.5985152,236.5042385,226.2923682,245.7875614,278.291275,309.8632496,285.5501197,332.1782624,352.5198564,341.6885743,378.2849729,399.4784203,404.2721164,383.948534
Lesotho,30.15019474,32.4879023,27.73937488,30.4901069,30.19284756,34.77996203,45.81909952,40.78056031,45.12254735,44.85499473,39.94633722,53.97158695,77.07231858,89.07582862,103.4593715,129.5919073
Liberia,,,,4.24680637,5.27913144,5.65754766,6.67524601,4.58080198,3.5768278,4.20471686,5.41426026,6.97089682,10.80099535,15.8906996,17.1258355,16.02606618
Libya,110.59142,104.0734444,99.70958227,137.2716501,195.9619478,213.7258698,288.7339219,341.6076001,337.8758193,275.1327145,245.4259551,236.8373753,312.0580005,362.0815862,477.6632736,490.1418466
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,247.3564743,262.1327275,304.53051,369.6731625,372.4266423,390.0075212,436.6187942,509.1099937,595.7837719,499.5411051,564.5094988,694.7423366,830.0781052,941.1445826,948.565577,954.9299005
