Gross capital formation (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Malta,,,,,,,,,,,30.02682163,26.64201126,22.88991491,20.27513908,24.88434433,21.56203588,25.22800217,23.82014472,21.51482177,23.37164507,22.57686862,24.83642441,28.93152414,27.48765298,26.51172788,25.78056234,23.39094607,25.23852785,26.40661381,27.15323341,30.62667606,28.96001767,25.27804404,27.37688427,28.09763244,29.31261381,26.27161177,21.66965048,19.17518599,18.23348701,26.24287481,17.64550429,14.26142375,16.50957493,15.91141321,19.73210008,20.52849537,22.32175503,20.76364251,16.97052309,16.81373335,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,22.62825465,35.39344288,43.20686965,26.34376378,11.68834297,10.10794372,9.969802457,15.56592318,19.9668209,16.30112787,15.98511917,16.58180883,22.06337547,6.268813578,11.67741348,25.02898813,30.77300909,28.38020389,22.49342798,18.52323235,26.29567944,30.40645252,34.21271117,26.39470382,24.4463915,28.17294486,29.77978778,28.32063876,27.99189469,18.58507978,19.96617544,20.94302866,20.67182664,14.32651394,49.09900223,20.37732956,17.625,15.1397494,13.97158688,17.77247323,20.62999055,23.53514888,14.58774431,26.22253031,47.23841906,61.46867759,29.96498491,36.50292963,35.46229303,30.60778422,27.31008057,
Mauritius,,,,,,,,,,,,,,,,,30.67470253,29.82691622,30.60011178,31.08667782,20.64455586,25.14658396,18.09031127,17.3914818,21.94818246,23.37034587,21.83719278,25.48536888,30.88860572,30.98720718,30.21044625,28.22175893,29.06688132,30.53955426,31.77928493,25.58049174,24.67869352,29.38878337,25.77860946,26.77397831,26.13778038,20.69684112,22.09232699,23.59944072,24.42093897,22.52950477,26.55138203,26.92341932,27.29720066,21.24432451,23.84543677,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,18.34609273,17.57123629,16.43218828,18.39906794,18.87393698,20.2703877,19.44266977,20.15922922,19.3869186,19.64318024,22.72529809,20.24130071,20.32307675,21.38546252,23.17984037,23.69121834,22.28907116,22.84246581,23.60147581,25.95071444,27.15722113,27.38386955,22.9111961,20.75051421,19.86086629,21.17546822,18.53823827,19.26055495,22.56086517,22.9428885,23.14161522,23.32860036,23.2916313,20.9980644,21.89205919,19.96874319,23.23766162,25.97579986,24.335565,23.57087355,23.86800263,20.85847337,20.66136109,22.89136065,24.65846752,23.72397617,26.206053,25.5428705,26.94015876,23.41204272,24.96740867,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,37.74647887,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8901334,28.95752896,59.77071391,55.79901055,28.82536588,24.87615167,24.24720407,23.82210131,26.80114946,22.88424792,23.94714823,20.00334255,21.66018247,23.17667187,26.35933373,30.8256703,32.74781207,38.10586089,39.22820236,23.1424789,23.6565575,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,69.9558708,70.22933985,58.00629745,57.80033267,62.79199177,63.8526579,50.83144098,46.80279034,47.80109576,29.06732538,30.964359,25.6548698,21.06595756,19.06659768,26.78499581,26.20102876,25.03468614,30.46552432,31.68812282,29.01074048,25.17394978,24.64170759,32.26278843,31.18315702,37.52855915,35.88518795,38.7051386,43.56614148,34.37094592,40.79469122,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38840423,23.43587368,18.76457613,15.41421098,16.63097377,17.72644628,25.4460887,33.80575101,40.55144815,27.12133345,22.79333281,
Morocco,10.24347474,9.695464443,11.43449073,12.01055016,10.45456411,10.61662198,10.09892872,13.25246497,12.5883415,14.19449104,18.48559013,17.94463888,15.27950311,16.86300515,20.45915325,25.38793222,29.19775238,32.50939491,25.43423868,24.49269055,24.20448104,26.11663544,28.2197514,23.99178154,25.2849039,25.0430672,22.79672426,21.08654783,21.03096144,23.68668428,25.29249631,22.62102225,23.20717628,22.45983619,21.34513235,20.72970728,19.58330906,20.7012703,25.99841305,24.80330827,25.53249903,26.14598431,25.92798804,27.3533031,29.12962981,28.79686324,29.42820918,32.48449503,38.11608741,35.64411993,35.12145723,
Mozambique,,,,,,,,,,,,,,,,,,,,,7.632269761,9.528304257,11.38419816,11.59990601,11.6828722,3.456970937,7.02613185,17.01416475,21.42629093,21.00551754,22.06780837,16.17939551,19.76984653,20.4332141,22.3436474,26.97539779,20.22333706,20.58600002,18.33642972,19.99086462,30.95057612,19.97176848,29.95829531,22.27637688,18.64994527,18.69438489,17.65328798,16.13550466,15.65697048,20.47794612,23.70089732,
Myanmar,11.99150073,11.8929226,11.63323882,10.76922626,10.9700268,18.66474626,4.353037608,12.16298622,15.76918599,12.80887701,14.17154031,11.79457738,12.22614155,10.78824025,10.33645139,9.962942645,10.34017562,12.98197026,18.16980741,22.29077484,21.47944388,22.95009194,22.16359377,17.98767665,15.13144234,15.5262686,12.67025466,11.5592915,12.8051088,9.226252394,13.37568299,15.31200884,13.54712029,12.44047317,12.36764027,14.24142054,12.25422359,12.50226662,12.38103935,13.43488623,12.44509316,11.57041679,10.14787774,11.02221492,12.04957105,13.19138927,13.68569465,14.80824591,15.63496381,18.85711373,22.66104755,
Namibia,,,,,,,,,,,,,,,,,,,,,30.55062167,28.44626168,20.83758938,19.40437413,16.38865721,10.52980132,8.366762178,14.80071084,17.44162017,16.94200351,33.66222661,18.744551,21.85839614,16.45882606,21.711267,21.6984102,23.11638132,20.17789983,25.75443078,23.2885322,17.09861751,22.31865073,18.52102738,19.37057688,19.06792568,19.68945579,22.26253054,23.72384465,28.13243243,27.26700252,23.46729481,
Nepal,,,,,,6.444127245,4.834274001,4.988308602,5.687996502,4.84658739,5.964872263,7.753412063,7.329539658,9.178452792,8.760150256,14.49520186,15.1316547,16.02430519,18.27995096,15.81814027,18.28615607,17.60720707,17.14857365,19.63270066,18.66209757,22.55613274,20.26415907,21.18877615,22.29214886,21.50690609,18.12582192,20.2534713,20.70466177,22.57089514,22.40354892,25.19949812,27.20508772,25.34071505,24.83936911,20.48351636,24.31486635,22.39410022,20.24621117,21.40937893,24.53114957,26.4511581,26.85185695,28.68511336,30.56347145,31.65923285,34.68824691,
Netherlands,,,,,,,,,,,28.75346547,27.42128822,24.89465198,24.76301504,24.29670432,22.10528284,21.97466321,22.7847049,22.70666153,22.00594059,22.84614111,20.02579101,19.04507584,19.87701133,20.4477189,20.77061351,21.97901006,21.89104085,23.21733855,23.95549708,23.45517377,22.57523069,22.56661411,20.57801625,20.8165545,21.02233826,21.6984879,22.25913621,22.75288029,22.86188512,22.03129486,21.48410541,19.68706875,19.30809632,18.98351738,19.0129858,20.00921853,20.42891147,20.49787966,18.65585797,18.67630614,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,17.06555676,18.13253347,16.7307576,14.54671925,14.03508628,20.8882825,,,,31.3999986,,,,,,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,23.76790308,23.89570744,23.39420446,26.57124939,34.38561863,26.86161504,26.53800516,24.37276112,21.14811599,22.58487133,20.4980767,24.3715584,25.64968365,26.07372384,28.3372596,26.38843757,24.14838463,21.93452049,20.31201381,22.76372076,19.83174297,16.73182555,17.89941367,20.51125585,21.96353499,23.03870306,22.51729912,21.59859492,20.05930512,21.99944062,21.32093752,22.10268763,21.93261464,23.20012847,24.3387328,24.70005679,23.149886,23.85939462,22.37104562,18.91412208,19.92773205,
Nicaragua,14.88343556,14.84132905,17.22341104,17.38647969,19.62446358,20.91885619,22.98961526,20.99256529,17.73653946,18.96940279,18.59421363,17.71517473,12.84808284,23.98171052,31.49732766,21.41920521,17.32108814,25.62536029,12.33952848,-5.739737945,16.77885309,23.59401806,18.77746918,22.48170603,22.22851493,23.13860585,16.89278248,15.79869303,26.75106121,27.46106263,19.27580198,20.77637902,20.92481035,19.46602168,20.37349407,21.99814393,25.77234931,31.16328976,31.03466519,38.35349271,30.17556855,28.24782025,26.06920416,25.85800173,28.02014177,29.50958108,30.02142724,33.17901057,33.22113419,23.39488163,27.50709193,
Niger,6.695547049,6.908799234,9.876606438,12.31646219,10.79939295,7.970064424,7.842110798,8.668275498,9.715827912,6.222641683,9.849693697,7.778458621,11.06927831,14.93725677,15.05518347,14.31416967,14.20970923,19.68237008,22.99356189,25.83281469,28.11320738,20.29157353,20.58823602,12.54548104,3.148003033,12.74721943,11.60145542,11.65251066,19.05182429,13.67754964,8.098904344,7.476311541,6.925740132,6.401398914,10.39290225,7.317000596,9.654137334,10.85952697,11.26092195,10.22050521,11.4339269,12.11781206,14.17900582,14.18582677,13.85406746,22.59069651,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,31.57624862,32.18302896,32.43071371,27.9710387,26.03775635,31.89961398,33.1554781,30.14447275,32.22894138,35.49071761,36.50297558,37.93652347,37.15690534,29.0611294,27.7452303,27.21498071,26.3655436,27.38762075,24.90151643,26.0456106,25.92282851,31.34288097,29.83478014,28.52660442,25.6982911,22.68524995,20.29399518,19.59968093,20.30721772,21.16494293,22.32666304,21.03420269,23.35881341,26.6642113,22.93357282,20.36878511,18.99749298,18.91579168,18.08710081,20.30839588,21.45885435,23.00576715,25.79133688,24.49609635,22.46860836,22.44032045,
Oman,,,,,,,,31.18556701,12.5794155,9.3,13.76404494,28.45723421,29.82954545,26.21015348,30.62445203,35.62552411,35.85887013,30.61890249,28.89591931,26.01007334,22.29321442,22.95696989,26.59615663,26.48271928,29.9714425,27.57892469,32.11209097,18.7887076,15.85052541,12.32655966,12.34837188,15.02017978,16.35372501,17.53476558,15.74295894,14.97993253,13.69524878,17.64512684,23.98020113,14.85049679,11.93449574,12.64063619,18.89998703,22.3373174,25.57499736,23.14735336,24.21524981,30.64676308,29.5860529,,,
Pakistan,11.55613615,16.86351361,18.18140775,20.88155405,20.51496328,21.46808053,15.96090231,16.70022977,18.0194674,14.75310142,15.79300118,15.63174696,14.17551521,12.93048027,13.37201817,16.22753103,17.24333753,19.26970663,17.85805447,17.87513809,18.48180123,18.7741744,19.26122572,18.79979167,18.27051854,18.32017752,18.77434162,19.13432695,18.01421201,18.91145767,18.93537261,19.02640245,20.23674,20.8182644,19.54642356,18.54552334,18.99665735,17.91919654,17.71119965,15.56494244,17.22663038,16.99635595,16.58276165,16.75801863,16.57801148,19.08125534,22.14041207,22.55651356,22.05088452,18.21725233,15.36521733,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panama,,,,,,,,,,,,,,,,,,,,,28.10802299,28.36042386,26.91460113,17.88671069,14.8267826,15.22028878,17.23462244,18.38320061,7.514616884,6.154475703,16.82790032,19.18936035,23.68777667,24.72499897,26.81182844,30.28294608,26.73539224,25.67631892,27.21335468,25.79454099,24.13923669,17.63709507,15.74997555,18.99529892,18.70261578,18.35793776,19.46023225,23.13074669,27.41416494,24.79867266,26.67,
Papua New Guinea,13.41107872,13.12900274,13.20754717,16.07142857,19.11225238,21.60754963,22.40045832,21.93204334,21.72206351,29.05324173,41.6030442,42.75567962,27.83434391,15.48048486,17.42149999,20.04245813,18.64675554,21.60184882,22.6229276,23.47789299,25.20929735,27.248394,32.15755591,29.43756889,26.9956827,19.83004319,19.73719993,20.50590294,27.20734288,23.22290337,24.44249711,27.40459197,23.3033381,17.63473115,21.3665639,21.93918559,22.7455169,21.05757941,17.90668488,16.36833651,21.89201734,22.95188711,21.19198313,19.92146917,20.00130672,19.82967385,19.8005752,19.58439269,19.95784807,19.8575665,17.81462551,
Paraguay,16.90061292,16.84583552,12.53641641,11.16591184,11.85585845,15.0828657,15.80862428,16.53580868,15.86218729,16.03512522,14.72755356,14.56362848,15.05691533,19.02309469,20.99239347,24.09853113,24.62570418,24.68476376,27.19552816,28.5639939,31.65270622,31.55918716,25.6375492,21.4154747,22.9324391,21.98530599,25.02355658,25.096848,24.36606727,23.84406828,22.86567095,24.82484996,22.90568964,22.94630453,27.68524864,26.02086623,25.45636041,26.4707372,22.738606,20.83706529,18.87566422,18.71952712,18.86356926,19.92475462,20.80852744,19.77077974,19.64712167,18.03868767,18.05085326,15.52270863,19.49219778,
Peru,41.92666784,41.02514188,41.01674192,37.02237113,34.69290028,34.42136463,35.98746058,35.1425442,26.00647854,25.13435415,15.49999969,17.89945608,15.19352878,20.35248536,25.85711634,24.67688558,21.92782219,19.21690416,19.37621611,21.6841918,29.01544754,34.29438543,33.55437528,24.27194406,20.64606379,18.42300832,21.38117091,21.48299259,33.61450134,20.69685731,16.48007939,17.28646883,17.30678872,19.31224136,22.2474829,24.81895858,22.82157027,24.09084621,23.60802713,21.09429507,20.16266599,18.653608,18.95367898,18.80240114,17.95044504,17.88974285,20.04266773,22.84204936,26.87872332,20.70828142,24.42719074,
Philippines,18.0636871,20.33547043,20.1488547,22.01518066,23.77788435,23.43812177,22.21239649,23.5355766,22.58421317,22.38219104,21.34359338,21.01872062,20.75119125,21.81348443,26.94638944,30.85317277,32.85800756,30.62749655,30.77985519,30.83045835,29.0864783,27.46274805,27.8752873,29.59490838,20.34754357,14.34681569,15.23714581,17.49887223,18.66821325,21.6004426,24.15113851,20.21833141,21.33839514,23.98137077,24.06280937,22.4505247,24.01582561,24.77575911,23.386363,18.95821734,18.36759856,22.14142916,24.47046554,22.98048897,21.61159581,21.55040603,18.00905229,17.33734461,19.28805833,16.59156002,20.54072426,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,27.65299479,28.87439203,28.83860186,32.59441015,38.48309692,24.33240846,18.91184878,14.41042218,14.7741751,16.74114926,18.71615731,20.87535153,23.42937753,25.06149089,25.25943084,24.84974032,20.77096941,18.62380624,18.74243912,20.06861806,19.26620713,21.05240318,24.44530936,23.90154865,20.36436831,20.95244891,
Portugal,,,,,,,,,,,27.86669752,25.89665814,28.50356812,31.00939768,29.40927815,19.29205789,24.57574076,29.87485491,31.36123792,30.34689653,33.74481935,35.55490318,35.08910331,29.08098925,22.87015375,21.22857113,22.98294786,27.15500677,30.22203997,28.06251121,27.49483919,25.52857163,24.74236439,21.96467739,22.76341846,23.99588347,24.20794602,26.24466241,28.10725109,28.71380247,28.42961147,27.7162156,25.74064431,23.48909227,23.98339054,23.54670779,23.05051618,22.82771239,23.15198412,20.20793621,19.6083124,
Puerto Rico,23.46474499,21.44657405,25.6498717,23.72153457,25.70417187,29.31991803,27.62634922,26.05633619,26.66733654,27.11233566,28.84042463,30.23889986,29.97629887,25.60301742,23.41375182,27.05283919,22.00678102,15.09751933,16.61173357,16.39999958,17.13620703,14.33844924,9.036518329,10.10789178,13.75335347,12.32478308,10.28066363,13.71471597,15.58689555,17.27680573,16.95410269,15.59760807,,,,,,,,,,17.56904766,16.19384001,15.52781869,15.53264242,14.7913934,14.17312712,13.56015551,12.28172564,10.54858977,9.490026543,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.52408397,35.08540973,35.76540587,35.43186483,31.97428177,18.88231252,20.15128546,29.11967419,32.64712559,34.86569464,33.4489757,35.00440427,33.33348471,37.56740482,40.25380093,38.92919019,,
Romania,,,,,,,,,,,,,,,,,,,,,,36.29950297,33.7228485,,,,,,,,30.24828069,28.0457371,31.40549459,28.92771972,24.80913552,24.27376208,25.85383991,20.62716435,17.74580565,16.07763264,19.50423955,22.55224602,21.67994101,21.84945705,22.32389119,22.61651684,23.73025291,29.02189279,31.4,30.54209636,31.35414621,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.83944084,30.13039329,36.2674291,34.61336139,27.00717159,25.53745395,25.43927196,23.66769599,21.97652081,14.96425312,14.83040305,18.69387867,21.94977414,20.05056976,20.85895848,20.90127508,20.07749692,21.1715918,24.16451403,25.50121971,18.92520385,22.84199708,
Rwanda,6.050418997,6.557376224,7.999999508,7.8125,8.307692635,9.811831028,9.664097825,7.307595068,8.188152458,6.624270027,7.048658276,9.131804026,9.559471125,9.426229904,10.46025049,13.73886825,13.81930248,15.06351974,16.60703041,12.03077865,16.14038307,13.29908656,17.77822042,13.53058232,15.80657431,17.30935061,15.87481474,15.6646116,14.49243686,13.42601509,14.64998321,14.02174997,15.63409605,16.74702087,9.982508993,13.409133,14.37042637,13.80977944,14.80766113,17.2274776,18.30117004,19.0310465,17.69939133,17.93611146,15.03312019,15.78032774,16.00160821,18.03656862,22.70214,21.56330733,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,38.16604709,27.17837838,34.58681523,38.14814815,30.15717092,33.96168109,37.19428926,30.16922263,30.31813865,27.28166798,33.55700103,55.94444444,58.11789038,55.39722931,42.92777479,39.03222919,45.340893,38.05912608,46.2937374,45.87179246,44.0296496,42.97341935,35.66305927,46.67094737,49.18369442,46.22325808,39.41108334,36.51549434,36.24275093,33.15604318,36.46282321,35.25407745,30.97862879,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,34.3373494,34.24560891,33.47262126,21.71349123,19.55312512,24.1390105,24.60793963,24.52020048,29.90915598,34.63047701,25.79120347,25.3362751,24.06651311,24.8,23.89999901,18.70000099,21.39680879,25.59638756,24.39433883,26.76532408,28.90961617,25.61062454,23.0762945,23.29005263,26.35761529,30.6203318,39.3552233,29.99521142,32.31725473,29.80410734,33.49597012,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,34.00912316,27.02273089,32.76939802,38.21777314,31.4567241,27.90516232,24.61798992,27.57201804,28.03661658,29.00761284,32.26469728,30.16090811,28.82180907,29.73129531,29.44242147,24.26422768,25.64178196,28.22820011,29.93745524,27.99631745,30.81424004,35.67933149,34.40694612,23.33970561,23.10293098,23.20730832,27.56604293,26.55027103,26.59944825,28.46148732,27.2374463,28.21651504,22.60699953,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,27.6296315,24.45070966,16.78097817,19.62615555,16.40921154,-17.37551007,30.28287784,16.96384043,30.58510226,30.44853131,36.14635645,26.1897991,22.79992003,21.00786295,25.69281556,34.1915248,32.64202268,21.45307286,19.45948931,17.71818403,19.68831863,19.44503407,15.06871997,19.44488674,22.52066411,24.59193525,19.85432536,19.79067332,18.09671854,18.30015206,22.41936294,21.14302988,18.71162382,18.88299455,19.67409171,19.81872819,19.1909422,18.23959205,18.72608251,21.44544605,22.16849379,27.27028783,22.00315583,
Senegal,3.940966304,4.447791221,3.646736258,4.898125717,5.110480761,5.103889032,6.540335273,9.843383379,9.62347532,11.62941235,13.99246671,15.14779767,15.13439059,16.55211167,20.53033857,16.6283561,14.63396892,15.25427904,15.25985826,13.36612061,16.59073244,24.88995832,19.90058123,19.93909048,19.38426908,17.19161421,11.70499053,14.66453129,10.91996219,9.344566978,9.139008937,10.72525432,10.7530117,10.01777739,11.12840768,13.62049566,11.73438698,14.79072612,15.51570125,17.89329523,20.46099507,18.38962913,17.17602086,20.88206471,20.85253044,29.67600776,28.2,30.9,30.2,27.9,29,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.12896703,9.560005586,10.52494896,8.781703429,13.87894225,11.02594471,14.49991633,28.28235093,23.7405622,24.12612192,28.97331013,29.7488486,22.98932884,22.8308155,
Seychelles,,,,,,,,,,,,,,,,,38.92231947,40.02028398,43.28458564,32.93227487,38.31616944,32.63017082,32.34868829,21.19045221,21.67400056,22.69897917,22.79772568,19.76502615,25.54319372,27.13957496,24.57424635,22.31200444,21.20925626,28.39224629,27.05944539,30.33220395,39.08487321,31.90910376,34.59219692,43.25030797,25.18145333,40.6595517,25.59910004,10.37441293,12.73610642,24.70067887,26.14929159,29.72507373,25.55687623,23.47931304,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,16.2094327,19.09147144,13.38111535,14.27962286,12.70562389,10.92325267,10.63640933,10.18601006,5.894184434,8.325568165,10.03191472,9.328159064,8.299999848,7.699999765,8.499999932,5.600000155,10.01669988,4.35049886,5.495578959,3.480034246,6.875348601,6.655297034,10.1024083,13.86003899,10.476284,16.9839313,15.22869974,13.16352608,14.71620575,15.39641964,15.75952758,
Singapore,9.744033947,14.01393329,15.49285558,17.1491445,21.87716396,21.72892495,21.73005842,21.93769799,24.64296357,28.31433241,38.20626276,40.10915234,40.89134207,38.93653681,44.54082389,38.77629843,39.54233104,35.14541346,37.73584906,42.00812388,44.97801695,44.75229594,46.23686419,46.47873573,46.95346118,40.88414927,36.26601287,36.14619755,32.87555033,33.62558777,35.05013454,33.39012798,34.63806895,36.47048108,32.30581912,33.26828731,34.25290371,37.19117852,30.02781173,31.26479222,33.18344168,26.77042386,23.77333264,16.11674064,21.74721053,19.97473699,21.03257019,21.07063144,30.20094278,26.35911306,23.8345054,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,31.12069087,30.90608301,32.62010458,31.29622429,31.79947657,33.20143729,31.21676436,28.07703882,24.15829786,20.55072865,24.34071387,34.06663085,34.28239116,33.55417361,27.79660104,25.98205573,29.57182723,29.08289108,24.60531384,26.34279345,28.87408306,28.01589118,27.82014413,27.65106152,19.86193324,23.39438441,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.1796373,17.12954638,17.77717564,19.34589807,20.57752956,23.67326605,23.32429876,24.55642705,25.65260612,27.71748528,27.42460824,25.04299296,23.96823279,25.38015687,27.48234858,27.15879568,28.91695136,31.95502138,31.93501954,22.50534861,22.62531247,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,25.07142857,23.37423313,20.6557377,25.31400966,15.80745342,18.08139535,18.52861035,23.43096234,23.95672334,19.94750656,20.26143791,,,,,,,7.627078497,6.7562803,6.193741963,6.629934062,6.74190444,5.182569373,9.405405405,11.39407323,13.76135015,14.59730095,,,,,
Somalia,9.666397038,9.634757499,9.678076889,9.605534078,9.978641098,11.18961477,11.45017406,12.02287147,12.17285156,12.35251954,11.73500985,11.94764286,13.57248768,14.34896032,26.87368843,22.52613547,29.89097762,21.42441223,28.68843169,22.98288868,42.39581572,27.56462995,29.28017418,22.42062678,24.20012579,29.80036269,25.19957638,33.3009944,23.89983224,30.29992315,15.50000531,,,,,,,,,,,,,,,,,,,,,
South Africa,20.48890314,18.67163841,17.88952844,21.25992496,23.74802992,26.92454495,23.98459309,26.89611866,24.89361764,25.7765588,27.62098237,30.68052996,25.81959434,25.29888486,29.78951142,30.74332933,28.23197676,26.95192826,25.13953692,26.1507445,29.85971673,33.38150825,25.05153963,24.76947532,25.00542713,20.58417884,19.0843068,15.79700784,19.87901531,20.86571642,17.73297543,17.39713207,14.74618796,14.31360667,16.87090353,18.17423719,17.29449028,16.63861925,17.00201042,16.38082647,15.91317237,15.2920516,15.87210504,16.65224665,18.07481666,17.95768776,19.68941204,21.27265314,22.05291761,19.52771509,19.25676424,
Spain,,,,,,,,,,,27.57605186,25.35196713,26.55834888,27.90598521,30.96638929,29.27716085,27.63353775,25.63745942,23.50426353,22.9132383,23.6994824,22.08018321,21.95980573,21.12875699,20.02763065,20.24482228,21.12875082,22.52124441,24.64897659,25.93955307,26.09550725,25.29895113,23.40171867,20.8711192,21.05389047,21.89734015,21.7047409,22.06397431,23.45331635,25.12233982,26.27760157,26.3538707,26.63006064,27.38422003,28.27516343,29.48133346,30.98374047,30.98343959,29.08804511,24.42039863,22.99040741,
Sri Lanka,,,,,,12.53092528,14.33369318,15.23735753,15.85331716,19.27319367,18.94759953,17.06761566,17.30176428,13.73614432,15.7124227,15.57737894,16.21031023,14.44502431,20.04922067,25.82129154,33.76824447,27.77483677,30.76140188,28.89120978,25.82701339,23.82263279,23.65969444,23.33229973,22.7775225,21.72447606,22.20588967,22.87018759,24.27536487,25.55723479,27.02716704,25.73108786,24.24908349,24.38611527,25.1367897,27.29049047,28.03928034,22.00402003,22.02920839,21.62408339,24.73062275,26.82745552,27.97990935,27.95214336,27.55235414,24.4338708,27.78792932,
Sudan,10.6942863,14.58153095,15.03383529,13.38887874,13.31393071,,,,,,,,,,,,19.74878212,15.56785324,13.77028877,14.2408348,14.6620195,19.31063745,18.86064145,14.75384478,8.540410399,9.492060165,14.36951309,15.08684466,4.329238595,5.190141024,11.19658062,16.11123546,19.04739686,21.70873154,17.39043328,14.12363109,12.47305926,15.77054625,17.94907256,16.81062921,18.34288002,17.5893366,19.45637278,19.95575412,22.49533434,28.88310566,29.50437966,30.50211752,26.00857937,25.19040616,23.3246015,
Suriname,36.76078849,35.6199187,35.74879227,36.81818182,58.37815474,49.26072845,29.19345412,28.04232804,23.45874887,22.16748768,21.34331378,20.41382094,24.04381085,33.6062889,43.70591427,39.46236559,51.33531157,37.36349454,32.42691771,22.86079183,26.41841949,31.21309263,27.70037699,15.60660933,11.79193427,14.44030919,21.95286195,25.96826045,16.68102334,20.83609821,10.77259851,11.36961856,11.13362992,9.933465944,13.68960757,15.25759981,15.58124477,17.64325874,25.49146667,17.6497938,12.35886416,28.90113132,22.03324655,22.83346752,22.44866468,24.85453401,,,,,,
Swaziland,19.15790319,23.42770033,31.70176733,34.91627698,37.91900174,,,,,,,,,,,,22.19409283,26.92889561,47.90681972,42.69241856,40.65290884,31.04412058,30.18845531,32.77840464,28.70459148,26.21806958,19.95517818,14.85747959,23.54922771,23.93040774,15.11405094,15.64939871,19.71806168,18.05659263,17.35445827,16.02303207,17.03251498,17.21750625,19.1038818,16.67688859,18.1167708,22.9662724,19.30224268,20.60291475,15.27077844,15.03925029,12.81384631,12.29078842,11.04782138,11.03060612,11.1,
Sweden,,,,,,28.21881945,26.7320304,25.65156933,24.85358246,25.3367285,27.32218008,24.70749234,23.81833621,22.99382076,25.29426018,25.73115869,24.98410645,21.91881431,19.10131572,21.3734061,22.62880877,19.63247884,19.29156619,18.9294335,19.5638096,21.31231232,20.01165202,21.00662451,22.0184568,24.21446643,23.52259271,20.04024806,18.37756329,15.32837618,16.53365805,17.15916721,16.56456742,16.26306009,17.39312719,17.73074619,18.64210463,18.21893793,17.42878423,17.14690787,16.98847445,17.74400361,18.7309474,20.32013251,20.22388525,16.32555369,18.44965026,
Switzerland,,,,,,33.7575042,32.48744615,32.05190343,30.99511538,31.20943614,35.13830926,,,,,,,,,,30.22701502,27.99877622,25.81782679,25.28651242,26.89208858,26.87397816,26.72590118,27.06380152,28.42586595,29.85790785,30.18076742,27.28859135,23.78048075,22.36717038,23.6226083,23.38811627,22.59258664,22.22341077,23.56030476,22.55235762,23.22650602,23.06458412,21.2712209,20.74935547,21.02939183,21.60299081,22.10162558,21.95223374,21.16493959,19.28792702,19.24135574,
