Stomach Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Luxembourg,,,,,,,,,,,,,,,,,,22.14,25.41,19.09,20.62,21.68,20.98,21.71,19.02,19.52,16.81,16.02,17.74,20.53,12.54,18.25,14.58,16.96,15.3,12.55,10.94,13.61,9.59,12.18,13.29,10.11,11.93,9.77,9.13,10.09,8.9,7.86,7.09,7.63,6.54,5.73,6.4
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.18,21.11,23.55,22.23,22.39,22.36,21.3,24.51,17.28,19.27,19.44,20
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.1
Malta,,,,,,,,,,,,,,,,17.95,,23.11,21.51,9.4,20.36,22.55,22.78,15.98,13.75,17.8,21.63,18.47,14.91,12.19,17.42,18.94,15.95,22.59,11.17,16.1,14.3,11.81,10.95,13.6,17.23,16.18,11.29,8.46,9.58,11.34,13.24,11.92,8.8,12.13,8.9,5.94,9.18
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Mauritius,,,,,,,,,,,,18.48,16.81,13.27,15.43,26.36,27.36,17.99,21.98,21.92,34.31,29.47,25.62,22.29,25.9,29.02,24.25,21.57,20.07,21.73,17.73,18.96,17.2,14.27,19.99,14.72,15.54,12.35,13.45,13.92,14.09,7.88,14.04,14.3,11.76,8.73,11.28,10.95,9.86,9.27,9.32,12.25,8.82
Mexico,,,,,,6.84,6.97,8.93,8.02,8.25,8.71,8.53,8.42,9.53,9.39,9.39,9.23,9.56,9.36,10.27,10.51,9.9,9.82,9.64,9.52,8.65,8.88,8.85,9.07,9.32,8.4,8.96,9.02,9.21,8.57,9.18,9.17,9.17,9.87,9.95,9.3,9.08,9.84,9.67,9.4,8.79,8.82,8.55,8.01,7.99,8.02,7.45,7.39
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.76,21.88,,,20.34,21.53,22.83,21.2,20.5,24.46,22.79,20.36,20.53,19.42,21.4,19.75,15.7,14.68,14.04,15.89,13.47,13.77
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7
Netherlands,42.98,41.06,38.66,38.62,37.6,36.15,35.07,33.04,33.09,31.72,31.25,31.53,29.78,29.71,29.44,27.69,27.48,26.25,26.66,24.98,23.92,22.86,22.27,22.26,21.75,21.12,20.6,19.49,18.85,18.14,17.41,16.63,16.44,16.04,15.61,15.12,13.9,14.21,14.34,13.13,12,11.95,12.24,11.15,10.76,9.94,10.19,8.92,8.73,8.46,8.26,7.56,7.29
New Zealand,27.29,28.19,20.73,24.86,20.55,21.35,20.42,21.3,21.11,19.17,19.21,19.55,18.6,18.03,17.37,17.38,17.06,17.25,15.94,16.31,16.48,13.31,13.3,15.97,14.6,13.41,15.16,13.02,11.81,13.07,10.91,12.72,12.42,10.33,10.78,10.6,10.58,10.51,8.96,8.39,8.42,9.07,8.99,7.7,5.87,6.14,7.21,6.11,7.08,7.95,6.65,7.07,6.55
Nicaragua,,,,,,,,,,,,2.31,2.51,2.33,0.55,1.85,,,1.93,1.9,,,,2.75,0.29,1.72,2.09,1.62,0.09,,,,,,,,,,8.48,9.12,7.65,7.87,7.93,9.18,7.89,,10.52,9,10.77,10.17,10.31,8.66,9.93
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6
Norway,,43.1,45.24,41.82,40.66,35.72,33.93,35.39,32.48,31.86,28.39,29.85,27.63,27.74,25.8,26.36,25.68,25.79,25.81,23.74,22.44,21.13,19.84,19.32,16.4,17.63,17.49,17.02,14.91,15.77,13.56,14.37,14.43,13.77,13.33,13.15,12.4,11.75,11.3,11.3,10.54,10.68,10.52,9.32,9.6,8.56,9.04,8.85,7.61,8.59,6.54,7.44,5.84
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.2
Panama,,,,,,17.95,13.67,10.68,16.87,14.34,13.08,13.66,15.15,13.38,11.62,11.15,10.81,12.12,11.46,12.87,14.34,10.3,11.94,12.22,14.44,13.28,12.32,11.24,10.15,13.25,12.35,9.99,11.06,12.02,11.08,10.55,10.86,13.81,11.52,12.44,,,,,,,12.69,11.68,13.31,10.95,11.48,9.17,11.59
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5
