Population density (per square km),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
China,57.39,58.995,60.278,61.376,62.389,63.391,64.419,65.48,66.555,67.604,68.592,69.51,70.402,71.367,72.541,74.012,75.816,77.908,80.199,82.558,84.883,87.156,89.383,91.519,93.517,95.347,96.983,98.44,99.78,101.092,102.446,103.852,105.302,106.814,108.409,110.095,111.889,113.776,115.697,117.568,119.329,120.955,122.459,123.861,125.198,126.497,127.763,128.984,130.147,131.237,132.242,133.157,133.994,134.771,135.517,136.251,136.979,137.698,138.406,139.097,139.767
Christmas Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cocos Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,10.536,10.839,11.149,11.468,11.797,12.139,12.494,12.863,13.245,13.642,14.053,14.476,14.913,15.362,15.822,16.292,16.774,17.265,17.759,18.248,18.728,19.195,19.652,20.105,20.565,21.038,21.527,22.029,22.544,23.067,23.597,24.133,24.676,25.225,25.779,26.335,26.895,27.457,28.021,28.586,29.153,29.721,30.29,30.859,31.432,32.007,32.586,33.168,33.751,34.333,34.914,35.492,36.068,36.642,37.216,37.791,38.367,38.943,39.516,40.086,40.648
Comoros,84.005,86.224,88.306,90.299,92.241,94.159,96.073,97.99,99.909,101.826,103.736,105.645,107.576,109.573,111.69,113.969,116.458,119.159,122.018,124.948,127.905,130.833,133.799,137.021,140.801,145.334,150.706,156.806,163.391,170.114,176.712,183.116,189.369,195.464,201.425,207.276,212.999,218.591,224.114,229.657,235.291,241.04,246.918,252.963,259.216,265.71,272.467,279.501,286.81,294.392,302.24,310.354,318.737,327.389,336.312,345.499,354.948,364.644,374.548,384.618,394.815
"Congo, Dem. Rep.",5.196,5.306,5.419,5.537,5.66,5.792,5.93,6.076,6.229,6.389,6.554,6.724,6.901,7.085,7.278,7.482,7.697,7.923,8.158,8.399,8.643,8.89,9.14,9.396,9.663,9.944,10.24,10.551,10.872,11.197,11.523,11.848,12.176,12.513,12.865,13.239,13.631,14.042,14.485,14.977,15.526,16.144,16.821,17.52,18.189,18.793,19.317,19.775,20.203,20.654,21.164,21.745,22.386,23.071,23.778,24.488,25.199,25.917,26.643,27.381,28.132
"Congo, Rep.",2.362,2.41,2.461,2.514,2.57,2.628,2.689,2.753,2.82,2.89,2.964,3.041,3.122,3.206,3.294,3.386,3.481,3.579,3.682,3.79,3.904,4.023,4.149,4.278,4.411,4.546,4.682,4.821,4.962,5.107,5.258,5.415,5.577,5.744,5.913,6.085,6.259,6.436,6.615,6.798,6.985,7.175,7.369,7.568,7.775,7.99,8.217,8.453,8.694,8.934,9.169,9.396,9.617,9.84,10.075,10.331,10.61,10.908,11.217,11.525,11.821
Cook Is,63.894,65.297,66.263,67.123,68.114,69.377,70.932,72.699,74.504,76.131,77.369,78.119,78.453,78.691,79.237,80.381,82.246,84.657,87.22,89.369,90.703,91.131,90.775,89.733,88.169,86.254,83.949,81.292,78.61,76.314,74.691,73.903,73.852,74.284,74.797,75.106,75.11,74.907,74.631,74.492,74.636,75.127,75.886,76.716,77.339,77.572,77.314,76.674,75.928,75.458,75.551,76.301,77.589,79.208,80.826,82.212,83.301,84.157,84.826,85.407,85.966
Costa Rica,18.904,19.457,20.064,20.713,21.394,22.102,22.835,23.597,24.391,25.225,26.106,27.034,28.002,28.994,29.988,30.968,31.932,32.882,33.815,34.728,35.624,36.498,37.356,38.223,39.128,40.094,41.13,42.232,43.394,44.606,45.858,47.15,48.484,49.854,51.254,52.677,54.122,55.59,57.076,58.574,60.083,61.594,63.109,64.646,66.233,67.885,69.61,71.395,73.201,74.981,76.696,78.336,79.906,81.418,82.889,84.333,85.75,87.135,88.496,89.839,91.172
Cote d'Ivoire,8.156,8.4,8.662,8.938,9.226,9.526,9.838,10.165,10.512,10.883,11.283,11.715,12.178,12.669,13.184,13.719,14.273,14.85,15.457,16.104,16.797,17.538,18.327,19.165,20.052,20.989,21.975,23.009,24.087,25.206,26.363,27.556,28.783,30.033,31.29,32.546,33.791,35.027,36.266,37.526,38.819,40.147,41.499,42.858,44.203,45.516,46.796,48.043,49.241,50.371,51.422,52.387,53.279,54.132,54.989,55.885,56.831,57.826,58.881,60.007,61.21
