"Total above 60, number",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
"Korea, Rep.",1000000,1198000,1500000,1510000,1703000,1945000,2268000,2756000,3304000,4127000,5222000,6332000,7564000,9068000,11266000,13401000,15296000,16877000,17674000,18224000,17982000
Kuwait,6000,8000,10000,11000,19000,27000,32000,35000,44000,37000,59000,83000,124000,183000,283000,417000,603000,816000,1031000,1197000,1307000
Kyrgyzstan,216000,215000,220000,245000,266000,280000,281000,309000,364000,364000,406000,382000,403000,480000,602000,740000,849000,981000,1109000,1265000,1454000
Laos,64000,80000,97000,116000,137000,160000,183000,208000,235000,262000,291000,318000,357000,424000,506000,614000,740000,891000,1055000,1264000,1542000
Latvia,304000,307000,317000,365000,407000,437000,416000,428000,464000,482000,504000,511000,505000,516000,533000,552000,559000,572000,584000,607000,642000
Lebanon,149000,153000,160000,168000,180000,200000,200000,213000,235000,326000,379000,410000,443000,504000,595000,703000,821000,948000,1072000,1195000,1296000
Lesotho,51000,53000,57000,62000,67000,74000,82000,95000,106000,119000,132000,136000,147000,156000,169000,169000,160000,156000,168000,195000,232000
Liberia,41000,45000,52000,59000,69000,82000,94000,109000,102000,92000,132000,159000,200000,234000,291000,360000,434000,504000,604000,728000,877000
Libya,74000,74000,80000,88000,88000,90000,114000,146000,181000,227000,285000,354000,435000,540000,677000,842000,1052000,1337000,1666000,2042000,2273000
Lithuania,340000,337000,329000,405000,470000,498000,489000,521000,597000,636000,670000,693000,700000,714000,757000,804000,830000,842000,834000,842000,871000
Luxembourg,42000,46000,50000,59000,62000,67000,65000,66000,72000,78000,82000,86000,94000,102000,115000,134000,150000,164000,175000,185000,197000
"Macao, China",9000,11000,15000,15000,18000,21000,28000,29000,35000,39000,43000,48000,65000,91000,127000,162000,194000,221000,237000,245000,259000
"Macedonia, FYR",138000,119000,109000,115000,141000,155000,164000,188000,219000,261000,291000,316000,343000,386000,430000,468000,500000,528000,560000,590000,612000
Madagascar,219000,248000,281000,334000,399000,432000,458000,507000,564000,643000,727000,815000,932000,1144000,1413000,1735000,2123000,2600000,3152000,3675000,4403000
Malawi,142000,145000,149000,159000,167000,225000,279000,305000,403000,489000,555000,643000,761000,885000,1029000,1189000,1343000,1503000,1811000,2186000,2652000
Malaysia,448000,415000,431000,474000,602000,685000,787000,882000,1026000,1192000,1433000,1713000,2172000,2799000,3594000,4468000,5283000,6096000,6908000,7873000,8817000
Maldives,7000,7000,7000,8000,8000,9000,11000,10000,11000,12000,15000,17000,18000,21000,27000,33000,44000,56000,71000,91000,112000
Mali,211000,238000,263000,285000,306000,333000,358000,383000,404000,426000,452000,477000,504000,536000,619000,734000,895000,1100000,1340000,1670000,2074000
Malta,28000,31000,35000,35000,41000,40000,43000,48000,52000,60000,66000,74000,89000,102000,114000,121000,124000,129000,139000,147000,154000
Martinique,16000,16000,20000,21000,26000,32000,37000,42000,48000,54000,61000,70000,78000,90000,101000,116000,127000,135000,135000,134000,136000
Mauritania,18000,26000,35000,41000,51000,59000,69000,80000,90000,102000,115000,129000,148000,172000,210000,259000,323000,400000,493000,592000,701000
Mauritius,22000,23000,26000,29000,34000,41000,57000,66000,76000,89000,105000,123000,151000,182000,214000,251000,293000,326000,348000,365000,373000
Mayotte,2000,2000,2000,3000,3000,3000,3000,3000,4000,5000,6000,8000,10000,11000,15000,20000,26000,33000,41000,53000,63000
Mexico,1487000,1672000,2026000,2466000,2877000,3349000,3805000,4530000,5397000,6378000,7417000,8768000,10364000,12720000,15430000,18536000,22368000,27072000,31063000,34050000,36426000
"Micronesia, Fed. Sts.",2000,2000,2000,3000,3000,4000,3000,4000,5000,5000,6000,6000,6000,8000,10000,11000,12000,12000,14000,16000,20000
Moldova,263000,259000,271000,308000,350000,415000,434000,497000,558000,568000,587000,558000,571000,633000,699000,748000,742000,729000,731000,772000,853000
Mongolia,41000,45000,50000,54000,59000,67000,79000,93000,130000,129000,125000,146000,161000,191000,252000,334000,416000,509000,608000,712000,836000
Montenegro,41000,43000,47000,53000,56000,62000,62000,64000,76000,84000,95000,105000,110000,122000,136000,143000,151000,156000,164000,173000,183000
Morocco,411000,441000,503000,704000,950000,899000,1235000,1290000,1552000,1772000,2071000,2279000,2611000,3154000,3990000,4789000,5603000,6501000,7449000,8642000,9766000
Mozambique,303000,328000,362000,407000,462000,524000,599000,664000,701000,791000,905000,1036000,1193000,1375000,1584000,1803000,2023000,2265000,2541000,2907000,3409000
Myanmar,978000,1116000,1289000,1504000,1738000,2000000,2338000,2683000,3052000,3368000,3581000,3756000,4132000,5102000,6225000,7464000,8864000,10500000,12067000,13680000,14966000
Namibia,31000,31000,35000,40000,43000,48000,56000,63000,74000,82000,94000,107000,126000,149000,177000,210000,239000,269000,307000,363000,433000
Nepal,307000,378000,442000,512000,588000,670000,762000,870000,998000,1155000,1365000,1616000,1846000,2157000,2555000,3055000,3665000,4411000,5336000,6422000,7649000
Netherlands,1159000,1326000,1508000,1704000,1894000,2067000,2221000,2429000,2594000,2740000,2896000,3140000,3650000,4074000,4518000,4992000,5396000,5582000,5559000,5484000,5445000
Netherlands Antilles,9000,9000,9000,11000,12000,15000,17000,18000,19000,21000,23000,26000,30000,36000,44000,53000,60000,66000,71000,75000,76000
New Caledonia,3000,4000,4000,5000,6000,8000,8000,10000,12000,14000,18000,24000,29000,34000,42000,51000,61000,70000,79000,86000,94000
New Zealand,250000,270000,290000,311000,352000,393000,431000,471000,518000,569000,611000,678000,783000,893000,1029000,1184000,1306000,1386000,1436000,1493000,1562000
Nicaragua,60000,65000,72000,82000,98000,117000,141000,170000,201000,236000,275000,325000,363000,457000,572000,698000,834000,997000,1190000,1422000,1645000
Niger,40000,57000,81000,107000,134000,164000,194000,231000,277000,325000,383000,463000,554000,647000,800000,1018000,1221000,1485000,1831000,2247000,2785000
Nigeria,1875000,2111000,2362000,2572000,2815000,3121000,3565000,4085000,4637000,5225000,5965000,6864000,7793000,8977000,10316000,11811000,13546000,15892000,19149000,23174000,27719000
Norway,453000,504000,580000,637000,703000,765000,828000,882000,888000,872000,859000,909000,1025000,1127000,1240000,1366000,1501000,1610000,1666000,1706000,1762000
Oman,22000,23000,27000,30000,33000,39000,43000,49000,56000,68000,84000,110000,140000,189000,253000,342000,442000,538000,674000,847000,1006000
Pakistan,4318000,4324000,4436000,4691000,5020000,5218000,5456000,5936000,6543000,7261000,8378000,9861000,11458000,13470000,16088000,19355000,23344000,28141000,33849000,40916000,49803000
Panama,56000,64000,76000,86000,96000,112000,132000,152000,175000,204000,236000,285000,341000,412000,502000,610000,732000,858000,967000,1064000,1163000
Papua New Guinea,109000,88000,86000,83000,96000,106000,116000,134000,152000,173000,206000,240000,293000,366000,462000,593000,738000,902000,1051000,1221000,1417000
Paraguay,67000,80000,96000,114000,135000,158000,187000,221000,261000,295000,348000,412000,495000,606000,732000,863000,1002000,1134000,1310000,1551000,1804000
Peru,432000,489000,561000,637000,733000,846000,966000,1124000,1329000,1584000,1877000,2188000,2568000,3057000,3650000,4379000,5183000,6064000,7037000,7965000,8932000
Philippines,1104000,1177000,1304000,1487000,1774000,2084000,2370000,2713000,3050000,3603000,4288000,5169000,6242000,7792000,9628000,11729000,14055000,16587000,19469000,22625000,26112000
Poland,2045000,2311000,2776000,3455000,4176000,4683000,4696000,5148000,5663000,6091000,6419000,6563000,7379000,8541000,9591000,10015000,10143000,10498000,11115000,11840000,12175000
Portugal,880000,923000,1021000,1119000,1219000,1352000,1529000,1689000,1874000,2042000,2202000,2349000,2536000,2719000,2917000,3150000,3361000,3599000,3805000,3894000,3848000
Puerto Rico,135000,157000,182000,212000,260000,271000,358000,405000,468000,527000,589000,676000,782000,876000,972000,1061000,1130000,1185000,1242000,1289000,1317000
Qatar,1000,1000,2000,2000,3000,6000,5000,6000,10000,12000,16000,21000,31000,54000,52000,83000,124000,182000,259000,361000,454000
Reunion,15000,17000,17000,20000,25000,30000,34000,42000,49000,57000,68000,81000,94000,113000,137000,169000,200000,221000,233000,247000,261000
Romania,1415000,1722000,1953000,2320000,2679000,3031000,2943000,3261000,3631000,3959000,4210000,4169000,4299000,4604000,4858000,4818000,5237000,5570000,5987000,6147000,6391000
Russia,9439000,10177000,11206000,13160000,15557000,18252000,18712000,19921000,23710000,24726000,26930000,24615000,25377000,27692000,30453000,32203000,32198000,32615000,33347000,35095000,36845000
Rwanda,81000,95000,109000,120000,142000,167000,193000,256000,307000,223000,323000,348000,393000,476000,604000,734000,854000,998000,1227000,1640000,2123000
Saint Lucia,5000,4000,5000,6000,7000,8000,8000,10000,13000,16000,16000,15000,16000,18000,23000,28000,32000,38000,43000,49000,55000
Saint Vincent and the Grenadines,4000,5000,5000,6000,7000,8000,8000,8000,9000,10000,9000,10000,9000,12000,12000,17000,19000,21000,23000,26000,26000
Samoa,3000,2000,3000,2000,4000,4000,5000,7000,10000,10000,12000,12000,13000,13000,15000,19000,20000,22000,21000,22000,25000
Sao Tome and Principe,3000,3000,3000,2000,5000,5000,7000,7000,7000,8000,8000,9000,8000,10000,11000,13000,15000,19000,26000,33000,39000
Saudi Arabia,179000,199000,223000,254000,293000,350000,419000,497000,575000,663000,843000,986000,1211000,1593000,2148000,2950000,3962000,4992000,6128000,7069000,8126000
Senegal,132000,140000,151000,168000,189000,216000,246000,282000,322000,369000,415000,465000,504000,546000,628000,755000,945000,1209000,1548000,1952000,2419000
Serbia,736000,707000,785000,897000,1061000,1113000,1123000,1258000,1467000,1789000,1916000,1869000,1940000,2121000,2218000,2288000,2371000,2482000,2607000,2730000,2825000
Sierra Leone,102000,116000,129000,140000,153000,164000,177000,191000,199000,177000,171000,186000,203000,217000,247000,293000,355000,441000,553000,687000,834000
Singapore,38000,44000,60000,88000,119000,153000,175000,212000,253000,324000,424000,524000,776000,1057000,1385000,1704000,1942000,2065000,2085000,2072000,2067000
Slovak Republic,344000,374000,436000,509000,631000,655000,666000,703000,778000,805000,824000,866000,955000,1103000,1235000,1332000,1391000,1489000,1620000,1721000,1780000
Slovenia,156000,167000,195000,224000,249000,267000,265000,284000,314000,351000,384000,410000,454000,511000,562000,606000,639000,668000,701000,720000,725000
Solomon Islands,3000,4000,6000,6000,8000,10000,11000,15000,16000,17000,19000,22000,25000,31000,38000,47000,58000,75000,95000,114000,133000
