,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Eritrea and Ethiopia,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,8.22,8.22,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,8.22,8.22,8.22,8.22,8.22,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.06,57.53,76.71,65.75,90.41,101.37,98.63,136.99,147.95,150.69,153.43,167.12,167.12
Ethiopia,5.48,5.48,5.48,5.48,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,8.22,8.22,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,10.96,10.96,10.96,10.96,10.96,10.96,10.96
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,79.45,79.45,79.45,79.45,79.45,82.19,82.19,84.93,84.93,84.93,87.67,87.67,87.67,87.67,87.67,87.67,87.67,87.67,90.41,87.67,87.67,87.67,87.67,87.67,90.41,90.41,90.41,87.67,54.8,52.06,52.06,54.8,52.06,49.32,46.58,46.58,49.32,60.27,73.97,76.71,98.63,109.59,120.55,120.55
Finland,123.29,112.33,87.67,115.07,117.81,126.03,123.29,126.03,134.25,136.99,134.25,134.25,139.73,131.51,120.55,120.55,112.33,104.11,90.41,104.11,98.63,98.63,101.37,95.89,98.63,90.41,95.89,104.11,109.59,115.07,109.59,117.81,117.81,109.59,109.59,101.37,104.11,98.63,98.63,104.11,93.15,93.15,93.15,93.15
France,82.19,87.67,90.41,95.89,90.41,93.15,106.85,90.41,104.11,106.85,115.07,106.85,120.55,115.07,106.85,106.85,104.11,106.85,95.89,90.41,95.89,90.41,95.89,95.89,93.15,93.15,101.37,98.63,95.89,98.63,98.63,101.37,98.63,98.63,101.37,104.11,106.85,109.59,109.59,106.85,109.59,112.33,109.59,109.59
French Guiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,93.15,95.89,98.63,95.89,82.19,73.97,84.93,84.93,95.89,98.63,79.45,95.89,90.41,104.11,101.37,98.63,101.37,82.19,71.23,76.71,71.23,82.19,84.93,79.45,79.45,76.71,87.67,84.93,87.67,73.97,79.45,82.19,73.97,76.71,76.71,84.93,95.89,79.45,79.45,76.71,68.49,65.75,65.75,65.75
Gabon,5.48,5.48,5.48,8.22,8.22,10.96,10.96,10.96,13.7,10.96,10.96,13.7,10.96,21.92,49.32,46.58,54.8,52.06,57.53,57.53,71.23,63.01,60.27,71.23,57.53,63.01,60.27,57.53,57.53,49.32,38.36,38.36,43.84,41.1,41.1,43.84,43.84,46.58,46.58,46.58,46.58,46.58,46.58,46.58
Gambia,30.14,30.14,16.44,8.22,38.36,27.4,49.32,52.06,49.32,41.1,49.32,16.44,19.18,19.18,2.74,19.18,35.62,38.36,46.58,46.58,52.06,52.06,65.75,87.67,76.71,117.81,131.51,120.55,123.29,123.29,123.29,98.63,98.63,95.89,98.63,93.15,90.41,87.67,82.19,84.93,65.75,71.23,73.97,73.97
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1,30.14,16.44,35.62,63.01,79.45,73.97,73.97,82.19,79.45,82.19,90.41,90.41
Germany,93.15,93.15,93.15,98.63,93.15,98.63,95.89,101.37,101.37,106.85,106.85,109.59,115.07,115.07,109.59,117.81,109.59,115.07,117.81,117.81,120.55,120.55,120.55,115.07,120.55,123.29,117.81,120.55,115.07,95.89,120.55,126.03,117.81,112.33,120.55,109.59,115.07,112.33,112.33,115.07,126.03,126.03,123.29,123.29
Ghana,24.66,24.66,13.7,13.7,21.92,21.92,19.18,24.66,24.66,24.66,24.66,24.66,24.66,19.18,16.44,13.7,8.22,8.22,2.74,2.74,0,2.74,2.74,5.48,5.48,5.48,19.18,19.18,16.44,13.7,13.7,21.92,19.18,13.7,19.18,10.96,5.48,10.96,13.7,19.18,16.44,19.18,19.18,19.18
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,41.1,41.1,38.36,41.1,49.32,54.8,57.53,57.53,52.06,60.27,65.75,65.75,79.45,82.19,76.71,84.93,84.93,87.67,93.15,71.23,87.67,87.67,87.67,90.41,93.15,93.15,95.89,93.15,98.63,84.93,82.19,87.67,84.93,87.67,87.67,84.93,73.97,87.67,87.67,90.41,93.15,93.15,95.89,95.89
Greenland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,76.71,93.15,93.15,106.85,109.59,104.11,104.11,106.85,106.85,106.85,106.85,109.59,104.11,76.71,68.49,71.23,71.23,76.71,82.19,84.93,87.67,115.07,112.33,115.07,104.11,112.33,123.29,128.77,131.51,134.25,131.51,131.51,136.99,134.25,131.51,136.99,128.77,123.29,120.55,123.29,123.29,128.77,153.43,153.43
Guadeloupe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,60.27,65.75,63.01,65.75,73.97,76.71,76.71,79.45,76.71,79.45,76.71,82.19,84.93,84.93,93.15,93.15,98.63,95.89,95.89,106.85,104.11,104.11,95.89,101.37,104.11,109.59,109.59,104.11,106.85,117.81,117.81,117.81,117.81,123.29,123.29,112.33,109.59,112.33,117.81,117.81,112.33,112.33,109.59,109.59
Guernsey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,8.22,10.96,8.22,5.48,10.96,10.96,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,8.22,10.96,16.44,13.7,13.7,10.96,13.7,19.18,24.66,30.14,30.14,19.18,24.66,21.92,24.66,27.4,27.4,27.4,30.14,30.14,32.88,32.88,32.88,32.88,32.88,24.66,27.4,27.4
Guinea-Bissau,2.74,2.74,5.48,8.22,8.22,8.22,8.22,8.22,10.96,10.96,13.7,13.7,13.7,8.22,8.22,8.22,5.48,8.22,2.74,8.22,8.22,8.22,8.22,5.48,8.22,2.74,5.48,8.22,10.96,5.48,5.48,0,2.74,8.22,5.48,10.96,13.7,8.22,10.96,10.96,16.44,10.96,16.44,16.44
Guyana,106.85,106.85,106.85,109.59,109.59,101.37,101.37,104.11,106.85,109.59,109.59,120.55,131.51,123.29,112.33,136.99,131.51,131.51,120.55,120.55,134.25,134.25,150.69,134.25,115.07,126.03,164.38,147.95,128.77,112.33,87.67,71.23,84.93,82.19,101.37,101.37,112.33,93.15,90.41,90.41,104.11,98.63,98.63,98.63
Haiti,65.75,65.75,65.75,68.49,65.75,63.01,63.01,63.01,63.01,65.75,65.75,65.75,68.49,68.49,68.49,71.23,68.49,71.23,73.97,71.23,68.49,65.75,71.23,57.53,52.06,46.58,43.84,41.1,43.84,43.84,52.06,52.06,46.58,43.84,57.53,52.06,52.06,54.8,68.49,63.01,65.75,73.97,65.75,65.75
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
