,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.560000002,,0.680000007,,,0.550000012,,0.800000012,,0.74000001,,1.120000005,,1.22,
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.340000004,,,0.340000004,,0.370000005,,0.349999994,,0.519999981,,0.76,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.550000012,,,0.540000021,,0.75999999,,0.829999983,,1.200000048,,1.3,
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.019999981,,0.769999981,,0.970000029,,1.379999995,,1.56,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.340000004,,,,,,0.50999999,,0.65,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159999996,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289999992,,,0.529999971,,0.460000008,,0.639999986,,0.959999979,,1.26,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349999994,,,0.280000001,,0.330000013,,0.349999994,,0.550000012,,0.77,
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.810000002,,0.930000007,,,,,0.720000029,,0.889999986,,0.839999974,,0.980000019,,1.11,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.899999976,,0.899999976,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.159999996,,,0.159999996,,0.239999995,,0.239999995,,0.239999995,,0.16,
