Total population male,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Melanesia,1207038,1220829,1236201,1253273,1272106,1292694,1314972,1338814,1364039,1390442,1417842,1446139,1475375,1505748,1537562,1571020,1606309,1643364,1681844,1721265,1761344,1801713,1842647,1885255,1931065,1981054,2035709,2094360,2155403,2216578,2276239,2333974,2390224,2445248,2499597,2553790,2607720,2661510,2716222,2773229,2833520,2897553,2965112,3035665,3108343,3182500,3257993,3335000,3413542,3493711,3575559,3658995,3743879,3830132,3917668,4006390,4096223,4187046,4278662,4370837,4463374,4556188,4649214,4742321,4835371,4928273,5020912,5113292,5205594,5298075,5390917,5484141,5577645,5671304,5764948,5858426,5951673,6044648,6137263,6229421,6321034,6412023,6502313,6591814,6680423,6768058,6854651,6940149,7024491,7107619,7189483,7270046,7349279,7427162,7503679,7578826,7652596,7724995,7796025,7865701,7934039
Mexico,13795186,14194944,14621644,15074769,15553541,16056929,16583621,17132048,17700454,18287005,18890136,19508906,20143323,20794474,21464144,22153680,22861749,23587668,24334062,25104457,25900477,26720999,27562030,28418414,29283441,30150619,31021192,31891791,32746105,33563418,34330436,35039307,35697992,36328822,36963556,37625662,38321777,39046658,39797296,40566654,41348847,42141994,42946127,43758695,44576820,45396461,46218836,47038524,47837053,48590696,49283348,49906821,50467764,50983538,51479755,51975554,52475854,52976627,53477288,53974733,54466437,54953948,55438464,55916289,56382298,56832742,57266185,57683452,58085829,58475559,58854262,59221755,59577240,59920998,60253334,60574259,60883688,61180906,61464455,61732441,61983271,62216247,62430943,62626376,62801542,62955631,63088097,63198651,63287115,63353466,63397729,63419940,63420157,63398492,63355146,63290441,63204831,63098911,62973413,62829210,62667316
Micronesia,85132,86380,87515,88578,89618,90681,91820,93080,94519,96178,98098,100295,102758,105448,108302,111268,114353,117543,120722,123751,126529,129036,131326,133495,135687,138022,140499,143141,146131,149689,153960,159006,164743,171001,177526,184118,190710,197282,203716,209886,215691,221108,226119,230642,234595,237944,240620,242710,244520,246471,248860,251817,255259,259026,262864,266581,270144,273617,277024,280420,283843,287288,290735,294193,297667,301162,304682,308219,311760,315291,318797,322272,325713,329110,332446,335715,338907,342022,345054,348013,350896,353702,356425,359063,361614,364076,366445,368722,370912,373011,375025,376956,378806,380579,382284,383921,385497,387022,388502,389942,391354
"Micronesia, Fed. Sts.",16475,17192,17807,18372,18929,19508,20126,20786,21485,22207,22938,23670,24409,25178,26008,26914,27925,29017,30088,31002,31668,32042,32177,32205,32313,32638,33218,34017,35001,36108,37288,38543,39878,41246,42586,43858,45021,46081,47091,48135,49262,50511,51836,53104,54135,54806,55059,54958,54651,54351,54211,54285,54530,54887,55257,55571,55818,56028,56218,56418,56648,56911,57199,57512,57846,58199,58570,58960,59367,59791,60231,60685,61151,61618,62075,62514,62930,63323,63692,64040,64368,64674,64957,65214,65445,65648,65823,65970,66090,66183,66251,66295,66316,66316,66298,66263,66214,66155,66089,66018,65948
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,372770,381058,389707,398729,408134,417940,428166,438835,449973,461605,473758,486449,499688,513473,527795,542652,558039,573968,590473,607596,625364,643800,662887,682561,702732,723340,744375,765871,787861,810397,833525,856883,880408,904768,930882,959191,990323,1023489,1056011,1084267,1105788,1119513,1126548,1129283,1131235,1135032,1141346,1149623,1159782,1171396,1184107,1198132,1213613,1229979,1246442,1262426,1277697,1292377,1306682,1320984,1335548,1350391,1365377,1380441,1395480,1410411,1425196,1439828,1454277,1468519,1482521,1496264,1509697,1522720,1535210,1547075,1558281,1568833,1578737,1588012,1596685,1604752,1612232,1619199,1625752,1631968,1637877,1643488,1648830,1653930,1658806,1663468,1667915,1672139,1676127,1679858,1683309,1686451,1689253,1691676,1693679
Montenegro,189902,191666,194588,198211,202181,206249,210277,214231,218167,222208,226469,230981,235619,240080,243956,246987,249010,250183,250956,251966,253669,256191,259373,263023,266834,270557,274198,277772,281043,283721,285618,286662,286962,286749,286358,286066,285898,285882,286300,287488,289669,292850,296900,301696,307053,312741,318942,325458,331243,334925,335614,332777,326924,319498,312552,307566,305058,304590,305520,306802,307672,307989,308021,307891,307825,307984,308369,308882,309468,310049,310567,311004,311370,311676,311942,312185,312402,312583,312731,312847,312932,312987,313012,313000,312941,312832,312669,312458,312202,311913,311596,311256,310894,310510,310104,309677,309231,308772,308306,307842,307391
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,4480850,4589852,4700770,4816239,4938119,5067490,5204615,5348981,5499410,5654261,5812000,5971831,6134230,6301184,6475524,6658999,6852851,7055660,7263315,7470124,7672197,7868105,8059659,8250218,8444740,8646999,8857118,9074354,9300481,9537471,9786215,10047548,10319684,10597526,10874167,11144312,11405996,11659506,11904586,12141726,12371285,12592710,12805422,13009899,13206927,13397183,13581427,13759916,13932339,14098127,14257307,14409601,14556516,14702026,14851317,15008119,15173960,15347944,15528318,15712166,15897208,16082942,16269642,16456633,16643266,16828917,17013029,17195040,17374335,17550297,17722384,17890211,18053449,18211723,18364689,18512086,18653714,18789512,18919574,19044104,19163292,19277200,19385899,19489625,19588667,19683294,19773609,19859769,19942163,20021247,20097362,20170661,20241138,20308677,20373118,20434306,20492118,20546470,20597319,20644666,20688549
Mozambique,3148618,3194090,3242746,3294413,3348968,3406334,3466482,3529432,3595244,3664009,3735817,3810725,3888728,3969742,4053648,4140387,4230135,4323061,4419116,4518218,4620436,4724821,4831601,4943353,5063556,5194194,5335231,5484149,5637203,5789329,5936026,6080462,6221927,6347909,6442097,6495321,6499017,6463151,6419749,6412774,6473078,6613522,6823188,7079864,7349729,7607989,7847991,8076941,8300335,8528253,8767786,9019231,9278479,9543209,9810033,10076418,10341652,10606247,10870374,11134577,11399271,11664311,11929464,12195000,12461296,12728642,12997136,13266761,13537551,13809514,14082652,14356916,14632316,14908968,15187026,15466542,15747489,16029642,16312589,16595793,16878802,17161410,17443484,17724731,18004846,18283576,18560726,18836186,19109918,19381939,19652249,19920809,20187547,20452380,20715237,20976079,21234909,21491773,21746766,22000024,22251731
Myanmar,8506757,8663578,8828980,9003110,9185904,9377088,9576161,9782411,9994967,10212890,10435433,10662322,10894000,11131737,11377325,11632208,11896310,12169607,12453599,12750117,13060195,13384614,13722289,14070034,14423460,14779304,15135360,15491962,15851372,16217181,16591389,16974736,17364434,17754698,18137763,18507948,18863011,19204078,19533028,19853217,20167193,20473662,20771558,21063865,21354526,21645534,21940734,22237386,22523087,22780913,22999891,23175095,23313540,23430992,23549776,23686518,23845908,24024704,24221834,24433683,24657072,24892917,25141444,25397510,25654288,25906518,26152021,26390884,26622933,26848813,27068936,27282629,27489047,27688371,27881025,28067335,28247259,28420667,28587720,28748627,28903553,29052594,29195773,29333090,29464513,29590039,29709613,29823300,29931352,30034096,30131728,30224238,30311435,30393006,30468589,30537828,30600404,30656040,30704509,30745631,30779270
Namibia,240988,245316,249970,254923,260153,265647,271402,277421,283715,290300,297194,304411,311957,319829,328019,336529,345284,354295,363751,373908,384906,396910,409756,422859,435422,446908,457222,466659,475573,484490,493892,503613,513780,525496,540181,558723,581716,608550,637417,665780,691805,714806,735294,754101,772582,791716,811720,832220,852922,873346,893169,912305,930960,949447,968203,987540,1007578,1028207,1049232,1070348,1091335,1112126,1132791,1153412,1174120,1195004,1216070,1237253,1258489,1279686,1300770,1321709,1342491,1363082,1383449,1403560,1423398,1442941,1462155,1481005,1499464,1517517,1535170,1552455,1569419,1586098,1602498,1618617,1634478,1650105,1665515,1680712,1695689,1710431,1724917,1739128,1753043,1766644,1779913,1792834,1805390
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,4281107,4354602,4427912,4501177,4574628,4648586,4723469,4799785,4878116,4959091,5043298,5131197,5223039,5318835,5418449,5521879,5629128,5740601,5857159,5979901,6109583,6246489,6390324,6540517,6696198,6856650,7021798,7191599,7365396,7542399,7722070,7903956,8088193,8275555,8467185,8663859,8866294,9074172,9286035,9499818,9714293,9928233,10142737,10361670,10590355,10832304,11088924,11358156,11635741,11915589,12193110,12466973,12737898,13005835,13271333,13534858,13796035,14054605,14311417,14567674,14824329,15081572,15339395,15598299,15858819,16121294,16385833,16652235,16920092,17188799,17457780,17726818,17995589,18263257,18528811,18791432,19050701,19306424,19558297,19806088,20049619,20288635,20523025,20752962,20978752,21200619,21418511,21632312,21842101,22047976,22249966,22448002,22641925,22831514,23016510,23196648,23371662,23541291,23705282,23863389,24015367
Netherlands,5040997,5098987,5160093,5223593,5288990,5356002,5424588,5494926,5567371,5642382,5720302,5801121,5884274,5968547,6052334,6134366,6214118,6291512,6366281,6438288,6507405,6573379,6636003,6695292,6751345,6804244,6854350,6901710,6945770,6985760,7021381,7052271,7079346,7105147,7133059,7165519,7203487,7246349,7293001,7341611,7390766,7440207,7490181,7540327,7590310,7639832,7688711,7736748,7783643,7829087,7872884,7914750,7954753,7993500,8031850,8070385,8109371,8148501,8187080,8224114,8258898,8291208,8321305,8349566,8376576,8402778,8428232,8452840,8476704,8499912,8522511,8544559,8566009,8586656,8606218,8624470,8641336,8656818,8670863,8683434,8694500,8704050,8712062,8718492,8723296,8726462,8728020,8728049,8726650,8723956,8720103,8715225,8709455,8702931,8695807,8688256,8680477,8672694,8665155,8658137,8651938
Netherlands Antilles,54060,55188,56292,57410,58568,59778,61041,62346,63669,64980,66253,67472,68643,69798,70982,72223,73534,74890,76236,77500,78627,79607,80455,81172,81767,82252,82619,82884,83114,83396,83796,84329,84978,85725,86539,87391,88276,89179,90038,90776,91332,91712,91919,91899,91586,90950,89957,88673,87298,86103,85288,84912,84931,85309,85968,86840,87934,89237,90625,91938,93058,93931,94575,95041,95417,95767,96098,96388,96638,96845,97008,97131,97221,97275,97291,97267,97205,97107,96976,96816,96630,96419,96184,95926,95649,95352,95038,94706,94357,93992,93609,93209,92792,92357,91906,91436,90948,90440,89912,89362,88787
New Caledonia,34135,33802,33863,34232,34836,35616,36529,37547,38652,39840,41108,42449,43844,45258,46653,48007,49272,50469,51722,53202,55018,57232,59769,62429,64937,67095,68836,70226,71362,72399,73456,74558,75686,76857,78084,79378,80745,82201,83777,85510,87422,89528,91806,94184,96567,98884,101109,103252,105319,107323,109280,111182,113024,114823,116601,118375,120152,121928,123697,125449,127176,128876,130552,132211,133858,135499,137135,138762,140377,141970,143537,145075,146586,148069,149525,150956,152361,153739,155089,156411,157705,158970,160206,161414,162594,163745,164868,165964,167032,168073,169087,170075,171037,171973,172883,173769,174630,175466,176279,177069,177836
New Zealand,959002,979479,1002423,1026559,1050951,1075000,1098463,1121435,1144299,1167641,1191999,1217591,1244080,1270475,1295412,1318004,1337483,1354316,1370317,1388048,1409170,1434711,1463635,1493046,1518871,1538317,1550180,1555716,1557603,1559759,1565000,1574523,1587467,1602136,1615910,1627067,1634707,1639951,1645490,1655084,1671240,1695244,1725763,1759492,1791709,1819082,1840281,1856529,1870139,1884618,1902448,1924352,1949311,1975966,2002251,2026673,2048842,2069279,2088499,2107347,2126434,2145859,2165388,2184920,2204266,2223289,2241973,2260369,2278474,2296294,2313827,2331065,2347980,2364527,2380651,2396309,2411485,2426181,2440394,2454129,2467392,2480185,2492515,2504406,2515885,2526981,2537706,2548076,2558124,2567888,2577399,2586678,2595734,2604572,2613193,2621600,2629798,2637796,2645605,2653240,2660721
Nicaragua,643903,662076,681940,703411,726373,750683,776162,802603,829777,857450,885428,913610,942026,970861,1000400,1030870,1062297,1094677,1128181,1163006,1199290,1237057,1276252,1316808,1358619,1401564,1445576,1490536,1536197,1582254,1628442,1674821,1721317,1767405,1812420,1855983,1897610,1937645,1977530,2019262,2064176,2112799,2164415,2217589,2270246,2320823,2368970,2414972,2458686,2500119,2539346,2576283,2611059,2644280,2676768,2709214,2741706,2774368,2807952,2843353,2881150,2921716,2964748,3009285,3053944,3097686,3140166,3181548,3221907,3261487,3300449,3338721,3376128,3412623,3448162,3482708,3516223,3548688,3580116,3610533,3639954,3668369,3695745,3722055,3747260,3771329,3794242,3815983,3836525,3855841,3873907,3890703,3906213,3920425,3933328,3944911,3955163,3964072,3971626,3977812,3982616
Niger,1155398,1194614,1233498,1272231,1311045,1350230,1390134,1431160,1473750,1518359,1565379,1615057,1667421,1722253,1779173,1837895,1898441,1960912,2025197,2091164,2158745,2227717,2298139,2370559,2445733,2524117,2606151,2691461,2778712,2866059,2952274,3037146,3121426,3206079,3292511,3381962,3474714,3571157,3672796,3781435,3898420,4024427,4159391,4302940,4454322,4612930,4779379,4953893,5135030,5320844,5510264,5702364,5898455,6102433,6319614,6553753,6806489,7076606,7361491,7657127,7960607,8271361,8590423,8918420,9256472,9605489,9965647,10336914,10719806,11114917,11522779,11943611,12377684,12825623,13288135,13765721,14258472,14766250,15288982,15826489,16378473,16944662,17524547,18117236,18721632,19336705,19961836,20596375,21239209,21889100,22544979,23206049,23871747,24541661,25215438,25892695,26572989,27255801,27940527,28626487,29312923
Nigeria,17987001,18351073,18732478,19128345,19536598,19955950,20385941,20826902,21279856,21746343,22227915,22725590,23239376,23768067,24309821,24863861,25432352,26018045,26621819,27244543,27888539,28549632,29232131,29956640,30750315,31630405,32608432,33673246,34791554,35916483,37014839,38073514,39103848,40126919,41175166,42271944,43423402,44621099,45856476,47115709,48388921,49674770,50977614,52300017,53646178,55019518,56420038,57847616,59305454,60797481,62326336,63892164,65493584,67129535,68798291,70497635,72226478,73982076,75758296,77547502,79343355,81142647,82943665,84743458,86539400,88329258,90111245,91883961,93646314,95397568,97137375,98864937,100580505,102286232,103985180,105679752,107370361,109056882,110740501,112422477,114103550,115783762,117462425,119138484,120810432,122476701,124136374,125788131,127429385,129057056,130668448,132261552,133834937,135387508,136918220,138425813,139908728,141365052,142792498,144188427,145549845
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,1618000,1636687,1654482,1671670,1688463,1705002,1721353,1737512,1753410,1768940,1784000,1798558,1812697,1826635,1840671,1855001,1869671,1884564,1899509,1914254,1928585,1942504,1955974,1968695,1980298,1990541,1999335,2006820,2013280,2019132,2024719,2030136,2035434,2040874,2046744,2053268,2060568,2068661,2077514,2087035,2097145,2107888,2119274,2131139,2143264,2155501,2167841,2180365,2193133,2206239,2219791,2233649,2247882,2263050,2279893,2298864,2320230,2343621,2368068,2392221,2415092,2436333,2456166,2474869,2492949,2510786,2528387,2545621,2562591,2579408,2596150,2612866,2629539,2646094,2662416,2678412,2694066,2709382,2724307,2738784,2752770,2766247,2779220,2791700,2803713,2815282,2826417,2837134,2847480,2857511,2867279,2876818,2886151,2895296,2904267,2913087,2921783,2930392,2938958,2947536,2956187
West Bank and Gaza,521437,515047,517303,524148,532540,540457,546941,552055,556730,562526,570897,582411,596063,608986,617280,618451,611102,596897,580169,567013,561803,566109,578623,597320,618926,641022,663166,686105,709984,735223,762112,790564,820327,851370,883665,917201,951978,988019,1025367,1064082,1104228,1145807,1188862,1233552,1280074,1328566,1379040,1431444,1485771,1541993,1600049,1659944,1721563,1784571,1848535,1913127,1978198,2043765,2109869,2176621,2244103,2312284,2381106,2450599,2520805,2591751,2663433,2735824,2808907,2882655,2957038,3032017,3107558,3183636,3260229,3337298,3414811,3492693,3570805,3648976,3727068,3804998,3882733,3960245,4037527,4114563,4191310,4267712,4343717,4419275,4494339,4568873,4642847,4716239,4789028,4861194,4932717,5003574,5073743,5143198,5211915
Oman,231675,234875,238739,243074,247731,252607,257646,262837,268211,273831,279774,286102,292846,299992,307512,315435,323829,332878,342871,354170,367093,381696,398088,416688,437997,462339,489836,520308,553382,588513,625230,663554,703406,744107,784813,824978,863741,901290,939361,980405,1025901,1076819,1131812,1187223,1238018,1280662,1313925,1339114,1358381,1375047,1391694,1408744,1425866,1444007,1464139,1486912,1512942,1542109,1573369,1605162,1636337,1666558,1696115,1725227,1754325,1783706,1813348,1843047,1872713,1902223,1931477,1960432,1989068,2017328,2045155,2072498,2099324,2125606,2151317,2176433,2200938,2224816,2248061,2270686,2292710,2314151,2335008,2355283,2375010,2394232,2412977,2431256,2449062,2466377,2483177,2499442,2515157,2530311,2544902,2558930,2572404
