Urban population (% of total),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Liechtenstein,20.4,20.2438,20.0506,19.8574,19.6642,19.471,19.2674,19.0638,18.8602,18.6566,18.453,18.4272,18.4014,18.3756,18.3498,18.324,18.314,18.304,18.294,18.284,18.274,18.143,18.012,17.881,17.75,17.619,17.4808,17.3426,17.2044,17.0662,16.928,16.8388,16.7496,16.6604,16.5712,16.482,16.2116,15.9412,15.6708,15.4004,15.13,15.0502,14.9704,14.8906,14.8108,14.731,14.6744,14.6178,14.5612,14.5046,14.448,14.4142
Lithuania,39.5,40.458,41.456,42.454,43.452,44.45,45.471,46.492,47.513,48.534,49.555,50.781,52.007,53.233,54.459,55.685,56.7796,57.8742,58.9688,60.0634,61.158,61.934,62.71,63.486,64.262,65.038,65.547,66.056,66.565,67.074,67.583,67.5234,67.4638,67.4042,67.3446,67.285,67.2252,67.1654,67.1056,67.0458,66.986,66.9158,66.8456,66.7754,66.7052,66.635,66.7082,66.7814,66.8546,66.9278,67.001,67.1152
Luxembourg,69.6,70.0364,70.5168,70.9972,71.4776,71.958,72.4412,72.9244,73.4076,73.8908,74.374,74.9586,75.5432,76.1278,76.7124,77.297,77.846,78.395,78.944,79.493,80.042,80.1674,80.2928,80.4182,80.5436,80.669,80.7246,80.7802,80.8358,80.8914,80.947,81.3362,81.7254,82.1146,82.5038,82.893,83.0648,83.2366,83.4084,83.5802,83.752,83.7872,83.8224,83.8576,83.8928,83.928,84.1796,84.4312,84.6828,84.9344,85.186,85.4134
"Macao, China",95.3,95.4666,95.6442,95.8218,95.9994,96.177,96.348,96.519,96.69,96.861,97.032,97.2038,97.3756,97.5474,97.7192,97.891,98.0166,98.1422,98.2678,98.3934,98.519,98.6906,98.8622,99.0338,99.2054,99.377,99.4542,99.5314,99.6086,99.6858,99.763,99.7924,99.8218,99.8512,99.8806,99.91,99.928,99.946,99.964,99.982,100,100,100,100,100,100,100,100,100,100,100,100
"Macedonia, FYR",34,35.287,36.554,37.821,39.088,40.355,41.6998,43.0446,44.3894,45.7342,47.079,47.777,48.475,49.173,49.871,50.569,51.149,51.729,52.309,52.889,53.469,53.9144,54.3598,54.8052,55.2506,55.696,56.1146,56.5332,56.9518,57.3704,57.789,58.1762,58.5634,58.9506,59.3378,59.725,59.6522,59.5794,59.5066,59.4338,59.361,59.2998,59.2386,59.1774,59.1162,59.055,59.0818,59.1086,59.1354,59.1622,59.189,59.3156
Madagascar,10.6,10.9894,11.3368,11.6842,12.0316,12.379,12.7232,13.0674,13.4116,13.7558,14.1,14.5468,14.9936,15.4404,15.8872,16.334,16.772,17.21,17.648,18.086,18.524,19.0058,19.4876,19.9694,20.4512,20.933,21.4596,21.9862,22.5128,23.0394,23.566,24.012,24.458,24.904,25.35,25.796,26.061,26.326,26.591,26.856,27.121,27.4596,27.7982,28.1368,28.4754,28.814,29.4372,30.0604,30.6836,31.3068,31.93,32.5684
Malawi,4.4,4.4936,4.5972,4.7008,4.8044,4.908,5.137,5.366,5.595,5.824,6.053,6.3728,6.6926,7.0124,7.3322,7.652,7.9316,8.2112,8.4908,8.7704,9.05,9.2726,9.4952,9.7178,9.9404,10.163,10.4424,10.7218,11.0012,11.2806,11.56,11.9006,12.2412,12.5818,12.9224,13.263,13.5324,13.8018,14.0712,14.3406,14.61,14.6988,14.7876,14.8764,14.9652,15.054,15.1518,15.2496,15.3474,15.4452,15.543,15.6956
Malaysia,26.6,27.261,27.924,28.587,29.25,29.913,30.6212,31.3294,32.0376,32.7458,33.454,34.2936,35.1332,35.9728,36.8124,37.652,38.5304,39.4088,40.2872,41.1656,42.044,42.8138,43.5836,44.3534,45.1232,45.893,46.6732,47.4534,48.2336,49.0138,49.794,50.9728,52.1516,53.3304,54.5092,55.688,56.9458,58.2036,59.4614,60.7192,61.977,63.0966,64.2162,65.3358,66.4554,67.575,68.4612,69.3474,70.2336,71.1198,72.006,72.684
Maldives,11.2,11.23,11.287,11.344,11.401,11.458,11.545,11.632,11.719,11.806,11.893,12.9752,14.0574,15.1396,16.2218,17.304,18.2932,19.2824,20.2716,21.2608,22.25,22.8982,23.5464,24.1946,24.8428,25.491,25.5608,25.6306,25.7004,25.7702,25.84,25.7996,25.7592,25.7188,25.6784,25.638,26.0516,26.4652,26.8788,27.2924,27.706,28.9148,30.1236,31.3324,32.5412,33.75,34.9988,36.2476,37.4964,38.7452,39.994,41.1136
Mali,11.1,11.3744,11.6828,11.9912,12.2996,12.608,12.9524,13.2968,13.6412,13.9856,14.33,14.7128,15.0956,15.4784,15.8612,16.244,16.692,17.14,17.588,18.036,18.484,18.9898,19.4956,20.0014,20.5072,21.013,21.4748,21.9366,22.3984,22.8602,23.322,23.7614,24.2008,24.6402,25.0796,25.519,26.0308,26.5426,27.0544,27.5662,28.078,28.6812,29.2844,29.8876,30.4908,31.094,31.7306,32.3672,33.0038,33.6404,34.277,34.9258
Malta,90.1,90.0682,90.0074,89.9466,89.8858,89.825,89.7998,89.7746,89.7494,89.7242,89.699,89.7076,89.7162,89.7248,89.7334,89.742,89.7506,89.7592,89.7678,89.7764,89.785,89.7936,89.8022,89.8108,89.8194,89.828,89.9386,90.0492,90.1598,90.2704,90.381,90.494,90.607,90.72,90.833,90.946,91.2304,91.5148,91.7992,92.0836,92.368,92.6234,92.8788,93.1342,93.3896,93.645,93.8502,94.0554,94.2606,94.4658,94.671,94.8232
Marshall Islands,35.6,36.9998,38.4156,39.8314,41.2472,42.663,44.8288,46.9946,49.1604,51.3262,53.492,54.92,56.348,57.776,59.204,60.632,60.1652,59.6984,59.2316,58.7648,58.298,59.0274,59.7568,60.4862,61.2156,61.945,62.5668,63.1886,63.8104,64.4322,65.054,65.3886,65.7232,66.0578,66.3924,66.727,67.0538,67.3806,67.7074,68.0342,68.361,68.6812,69.0014,69.3216,69.6418,69.962,70.276,70.59,70.904,71.218,71.532,71.839
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,6.9,7.522,8.164,8.806,9.448,10.09,10.9848,11.8796,12.7744,13.6692,14.564,15.765,16.966,18.167,19.368,20.569,21.9294,23.2898,24.6502,26.0106,27.371,28.8956,30.4202,31.9448,33.4694,34.994,35.9294,36.8648,37.8002,38.7356,39.671,39.7028,39.7346,39.7664,39.7982,39.83,39.8618,39.8936,39.9254,39.9572,39.989,40.0618,40.1346,40.2074,40.2802,40.353,40.5284,40.7038,40.8792,41.0546,41.23,41.51
Mauritius,33.2,33.9414,34.7058,35.4702,36.2346,36.999,38.0056,39.0122,40.0188,41.0254,42.032,42.3142,42.5964,42.8786,43.1608,43.443,43.2246,43.0062,42.7878,42.5694,42.351,42.3458,42.3406,42.3354,42.3302,42.325,42.64,42.955,43.27,43.585,43.9,43.7768,43.6536,43.5304,43.4072,43.284,43.1612,43.0384,42.9156,42.7928,42.67,42.572,42.474,42.376,42.278,42.18,42.0998,42.0196,41.9394,41.8592,41.779,41.7974
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,50.8,51.5886,52.4242,53.2598,54.0954,54.931,55.749,56.567,57.385,58.203,59.021,59.7686,60.5162,61.2638,62.0114,62.759,63.475,64.191,64.907,65.623,66.339,66.8612,67.3834,67.9056,68.4278,68.95,69.4438,69.9376,70.4314,70.9252,71.419,71.8088,72.1986,72.5884,72.9782,73.368,73.6388,73.9096,74.1804,74.4512,74.722,75.0392,75.3564,75.6736,75.9908,76.308,76.6114,76.9148,77.2182,77.5216,77.825,78.1058
"Micronesia, Fed. Sts.",22.3,22.557,22.802,23.047,23.292,23.537,23.7912,24.0454,24.2996,24.5538,24.808,25.018,25.228,25.438,25.648,25.858,25.9754,26.0928,26.2102,26.3276,26.445,26.3858,26.3266,26.2674,26.2082,26.149,26.0828,26.0166,25.9504,25.8842,25.818,25.668,25.518,25.368,25.218,25.068,24.5204,23.9728,23.4252,22.8776,22.33,22.33,22.33,22.33,22.33,22.33,22.3668,22.4036,22.4404,22.4772,22.514,22.6132
Moldova,23.4,24.2524,25.0808,25.9092,26.7376,27.566,28.4664,29.3668,30.2672,31.1676,32.068,32.8988,33.7296,34.5604,35.3912,36.222,37.055,37.888,38.721,39.554,40.387,41.1448,41.9026,42.6604,43.4182,44.176,44.6932,45.2104,45.7276,46.2448,46.762,46.6684,46.5748,46.4812,46.3876,46.294,45.953,45.612,45.271,44.93,44.589,44.3038,44.0186,43.7334,43.4482,43.163,43.9176,44.6722,45.4268,46.1814,46.936,47.6556
Monaco,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Mongolia,35.7,36.966,38.253,39.54,40.827,42.114,42.7016,43.2892,43.8768,44.4644,45.052,45.7728,46.4936,47.2144,47.9352,48.656,49.3414,50.0268,50.7122,51.3976,52.083,52.6744,53.2658,53.8572,54.4486,55.04,55.4386,55.8372,56.2358,56.6344,57.033,56.9874,56.9418,56.8962,56.8506,56.805,56.8706,56.9362,57.0018,57.0674,57.133,58.2052,59.2774,60.3496,61.4218,62.494,63.5086,64.5232,65.5378,66.5524,67.567,68.4582
Montenegro,18.8,19.5436,20.2992,21.0548,21.8104,22.566,23.4234,24.2808,25.1382,25.9956,26.853,27.8068,28.7606,29.7144,30.6682,31.622,32.6602,33.6984,34.7366,35.7748,36.813,37.9154,39.0178,40.1202,41.2226,42.325,43.4674,44.6098,45.7522,46.8946,48.037,49.1026,50.1682,51.2338,52.2994,53.365,54.4008,55.4366,56.4724,57.5082,58.544,59.2752,60.0064,60.7376,61.4688,62.2,62.3792,62.5584,62.7376,62.9168,63.096,63.2886
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,29.4,29.858,30.359,30.86,31.361,31.862,32.385,32.908,33.431,33.954,34.477,35.1244,35.7718,36.4192,37.0666,37.714,38.4132,39.1124,39.8116,40.5108,41.21,41.9238,42.6376,43.3514,44.0652,44.779,45.5014,46.2238,46.9462,47.6686,48.391,49.0512,49.7114,50.3716,51.0318,51.692,52.0206,52.3492,52.6778,53.0064,53.335,53.662,53.989,54.316,54.643,54.97,55.3112,55.6524,55.9936,56.3348,56.676,57.041
Mozambique,3.7,3.8552,4.0434,4.2316,4.4198,4.608,4.8424,5.0768,5.3112,5.5456,5.78,6.363,6.946,7.529,8.112,8.695,9.5782,10.4614,11.3446,12.2278,13.111,13.838,14.565,15.292,16.019,16.746,17.616,18.486,19.356,20.226,21.096,22.121,23.146,24.171,25.196,26.221,26.7964,27.3718,27.9472,28.5226,29.098,29.2782,29.4584,29.6386,29.8188,29.999,30.1908,30.3826,30.5744,30.7662,30.958,31.2156
Myanmar,19.2,19.575,19.924,20.273,20.622,20.971,21.3428,21.7146,22.0864,22.4582,22.83,23.0484,23.2668,23.4852,23.7036,23.922,23.9322,23.9424,23.9526,23.9628,23.973,23.9944,24.0158,24.0372,24.0586,24.08,24.186,24.292,24.398,24.504,24.61,24.8164,25.0228,25.2292,25.4356,25.642,25.9566,26.2712,26.5858,26.9004,27.215,27.649,28.083,28.517,28.951,29.385,29.9246,30.4642,31.0038,31.5434,32.083,32.6524
Namibia,17.9,18.3342,18.7594,19.1846,19.6098,20.035,20.4864,20.9378,21.3892,21.8406,22.292,22.5638,22.8356,23.1074,23.3792,23.651,23.934,24.217,24.5,24.783,25.066,25.326,25.586,25.846,26.106,26.366,26.624,26.882,27.14,27.398,27.656,28.0874,28.5188,28.9502,29.3816,29.813,30.325,30.837,31.349,31.861,32.373,32.907,33.441,33.975,34.509,35.043,35.598,36.153,36.708,37.263,37.818,38.3908
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,3.5,3.5314,3.5828,3.6342,3.6856,3.737,3.7808,3.8246,3.8684,3.9122,3.956,4.1308,4.3056,4.4804,4.6552,4.83,5.0822,5.3344,5.5866,5.8388,6.091,6.35,6.609,6.868,7.127,7.386,7.6796,7.9732,8.2668,8.5604,8.854,9.2622,9.6704,10.0786,10.4868,10.895,11.4022,11.9094,12.4166,12.9238,13.431,13.7676,14.1042,14.4408,14.7774,15.114,15.4224,15.7308,16.0392,16.3476,16.656,16.9958
Netherlands,59.8,59.9522,60.1524,60.3526,60.5528,60.753,60.935,61.117,61.299,61.481,61.663,61.967,62.271,62.575,62.879,63.183,63.4954,63.8078,64.1202,64.4326,64.745,65.1398,65.5346,65.9294,66.3242,66.719,67.112,67.505,67.898,68.291,68.684,69.5094,70.3348,71.1602,71.9856,72.811,73.6086,74.4062,75.2038,76.0014,76.799,77.4736,78.1482,78.8228,79.4974,80.172,80.687,81.202,81.717,82.232,82.747,83.132
Netherlands Antilles,69.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,37.4,38.8172,40.2744,41.7316,43.1888,44.646,45.9632,47.2804,48.5976,49.9148,51.232,52.0186,52.8052,53.5918,54.3784,55.165,55.6172,56.0694,56.5216,56.9738,57.426,57.7076,57.9892,58.2708,58.5524,58.834,58.9746,59.1152,59.2558,59.3964,59.537,59.6476,59.7582,59.8688,59.9794,60.09,60.428,60.766,61.104,61.442,61.78,62.0592,62.3384,62.6176,62.8968,63.176,62.9206,62.6652,62.4098,62.1544,61.899,61.7552
New Zealand,76,76.5766,77.1552,77.7338,78.3124,78.891,79.334,79.777,80.22,80.663,81.106,81.4396,81.7732,82.1068,82.4404,82.774,82.9048,83.0356,83.1664,83.2972,83.428,83.477,83.526,83.575,83.624,83.673,83.8868,84.1006,84.3144,84.5282,84.742,84.8602,84.9784,85.0966,85.2148,85.333,85.4018,85.4706,85.5394,85.6082,85.677,85.752,85.827,85.902,85.977,86.052,86.0804,86.1088,86.1372,86.1656,86.194,86.24
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,39.6,40.2062,40.8314,41.4566,42.0818,42.707,43.5716,44.4362,45.3008,46.1654,47.03,47.3714,47.7128,48.0542,48.3956,48.737,48.9772,49.2174,49.4576,49.6978,49.938,50.178,50.418,50.658,50.898,51.138,51.3778,51.6176,51.8574,52.0972,52.337,52.5764,52.8158,53.0552,53.2946,53.534,53.7746,54.0152,54.2558,54.4964,54.737,54.9762,55.2154,55.4546,55.6938,55.933,56.1968,56.4606,56.7244,56.9882,57.252,57.5564
Niger,5.8,5.9962,6.1994,6.4026,6.6058,6.809,7.206,7.603,8,8.397,8.794,9.319,9.844,10.369,10.894,11.419,11.8238,12.2286,12.6334,13.0382,13.443,13.6616,13.8802,14.0988,14.3174,14.536,14.7024,14.8688,15.0352,15.2016,15.368,15.449,15.53,15.611,15.692,15.773,15.8556,15.9382,16.0208,16.1034,16.186,16.2952,16.4044,16.5136,16.6228,16.732,16.9088,17.0856,17.2624,17.4392,17.616,17.8684
Nigeria,16.2,16.9504,17.7398,18.5292,19.3186,20.108,20.6276,21.1472,21.6668,22.1864,22.706,23.2714,23.8368,24.4022,24.9676,25.533,26.1428,26.7526,27.3624,27.9722,28.582,29.233,29.884,30.535,31.186,31.837,32.526,33.215,33.904,34.593,35.282,35.9942,36.7064,37.4186,38.1308,38.843,39.5446,40.2462,40.9478,41.6494,42.351,43.0308,43.7106,44.3904,45.0702,45.75,46.4002,47.0504,47.7006,48.3508,49.001,49.6152
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,51.2,52.727,54.235,55.743,57.251,58.759,61.0196,63.2802,65.5408,67.8014,70.062,72.1604,74.2588,76.3572,78.4556,80.554,81.8,83.046,84.292,85.538,86.784,87.1034,87.4228,87.7422,88.0616,88.381,88.651,88.921,89.191,89.461,89.731,89.6962,89.6614,89.6266,89.5918,89.557,89.678,89.799,89.92,90.041,90.162,90.2834,90.4048,90.5262,90.6476,90.769,90.8846,91.0002,91.1158,91.2314,91.347,91.4574
Norway,49.9,51.4496,52.9792,54.5088,56.0384,57.568,59.1336,60.6992,62.2648,63.8304,65.396,65.9542,66.5124,67.0706,67.6288,68.187,68.6586,69.1302,69.6018,70.0734,70.545,70.698,70.851,71.004,71.157,71.31,71.4392,71.5684,71.6976,71.8268,71.956,72.3176,72.6792,73.0408,73.4024,73.764,74.2274,74.6908,75.1542,75.6176,76.081,76.3628,76.6446,76.9264,77.2082,77.49,77.8124,78.1348,78.4572,78.7796,79.102,79.374
Oman,16.4,17.5876,18.7752,19.9628,21.1504,22.338,23.8034,25.2688,26.7342,28.1996,29.665,31.3746,33.0842,34.7938,36.5034,38.213,40.0828,41.9526,43.8224,45.6922,47.562,49.4654,51.3688,53.2722,55.1756,57.079,58.8836,60.6882,62.4928,64.2974,66.102,67.2154,68.3288,69.4422,70.5556,71.669,71.649,71.629,71.609,71.589,71.569,71.6366,71.7042,71.7718,71.8394,71.907,72.1632,72.4194,72.6756,72.9318,73.188,73.4404
Pakistan,22.1,22.3854,22.6668,22.9482,23.2296,23.511,23.7722,24.0334,24.2946,24.5558,24.817,25.1218,25.4266,25.7314,26.0362,26.341,26.686,27.031,27.376,27.721,28.066,28.3216,28.5772,28.8328,29.0884,29.344,29.5904,29.8368,30.0832,30.3296,30.576,30.828,31.08,31.332,31.584,31.836,32.0964,32.3568,32.6172,32.8776,33.138,33.4066,33.6752,33.9438,34.2124,34.481,34.7612,35.0414,35.3216,35.6018,35.882,36.2156
Palau,56.8,57.1136,57.4042,57.6948,57.9854,58.276,58.5638,58.8516,59.1394,59.4272,59.715,59.9996,60.2842,60.5688,60.8534,61.138,61.4188,61.6996,61.9804,62.2612,62.542,63.5096,64.4772,65.4448,66.4124,67.38,67.8226,68.2652,68.7078,69.1504,69.593,69.9606,70.3282,70.6958,71.0634,71.431,71.1374,70.8438,70.5502,70.2566,69.963,71.5104,73.0578,74.6052,76.1526,77.7,78.8336,79.9672,81.1008,82.2344,83.368,84.1154
Panama,41.2,41.8854,42.5218,43.1582,43.7946,44.431,45.0728,45.7146,46.3564,46.9982,47.64,47.9196,48.1992,48.4788,48.7584,49.038,49.3196,49.6012,49.8828,50.1644,50.446,50.7762,51.1064,51.4366,51.7668,52.097,52.4508,52.8046,53.1584,53.5122,53.866,55.0876,56.3092,57.5308,58.7524,59.974,61.1366,62.2992,63.4618,64.6244,65.787,66.7778,67.7686,68.7594,69.7502,70.741,71.515,72.289,73.063,73.837,74.611,75.1972
Papua New Guinea,3.7,4.074,4.423,4.772,5.121,5.47,6.3352,7.2004,8.0656,8.9308,9.796,10.2228,10.6496,11.0764,11.5032,11.93,12.1534,12.3768,12.6002,12.8236,13.047,13.2372,13.4274,13.6176,13.8078,13.998,14.1972,14.3964,14.5956,14.7948,14.994,14.8114,14.6288,14.4462,14.2636,14.081,13.9056,13.7302,13.5548,13.3794,13.204,13.0766,12.9492,12.8218,12.6944,12.567,12.54,12.513,12.486,12.459,12.432,12.5022
Paraguay,35.6,35.7038,35.8386,35.9734,36.1082,36.243,36.4074,36.5718,36.7362,36.9006,37.065,37.4482,37.8314,38.2146,38.5978,38.981,39.5224,40.0638,40.6052,41.1466,41.688,42.347,43.006,43.665,44.324,44.983,45.7252,46.4674,47.2096,47.9518,48.694,49.3814,50.0688,50.7562,51.4436,52.131,52.771,53.411,54.051,54.691,55.331,55.9578,56.5846,57.2114,57.8382,58.465,59.0468,59.6286,60.2104,60.7922,61.374,61.9048
Peru,46.8,47.8224,48.8338,49.8452,50.8566,51.868,52.9756,54.0832,55.1908,56.2984,57.406,58.217,59.028,59.839,60.65,61.461,62.0836,62.7062,63.3288,63.9514,64.574,65.032,65.49,65.948,66.406,66.864,67.2714,67.6788,68.0862,68.4936,68.901,69.311,69.721,70.131,70.541,70.951,71.3692,71.7874,72.2056,72.6238,73.042,73.4404,73.8388,74.2372,74.6356,75.034,75.4094,75.7848,76.1602,76.5356,76.911,77.244
Philippines,30.3,30.5584,30.8198,31.0812,31.3426,31.604,31.879,32.154,32.429,32.704,32.979,33.4952,34.0114,34.5276,35.0438,35.56,35.9442,36.3284,36.7126,37.0968,37.481,38.594,39.707,40.82,41.933,43.046,44.1548,45.2636,46.3724,47.4812,48.59,48.53,48.47,48.41,48.35,48.29,48.23,48.17,48.11,48.05,47.99,47.9986,48.0072,48.0158,48.0244,48.033,48.156,48.279,48.402,48.525,48.648,48.8856
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,47.9,48.3388,48.7856,49.2324,49.6792,50.126,50.5258,50.9256,51.3254,51.7252,52.125,52.756,53.387,54.018,54.649,55.28,55.8412,56.4024,56.9636,57.5248,58.086,58.4572,58.8284,59.1996,59.5708,59.942,60.2076,60.4732,60.7388,61.0044,61.27,61.3146,61.3592,61.4038,61.4484,61.493,61.5376,61.5822,61.6268,61.6714,61.716,61.664,61.612,61.56,61.508,61.456,61.3538,61.2516,61.1494,61.0472,60.945,60.8948
Portugal,35,35.3372,35.7194,36.1016,36.4838,36.866,37.2536,37.6412,38.0288,38.4164,38.804,39.199,39.594,39.989,40.384,40.779,41.1802,41.5814,41.9826,42.3838,42.785,43.2876,43.7902,44.2928,44.7954,45.298,45.8214,46.3448,46.8682,47.3916,47.915,48.5538,49.1926,49.8314,50.4702,51.109,51.767,52.425,53.083,53.741,54.399,55.0342,55.6694,56.3046,56.9398,57.575,58.1612,58.7474,59.3336,59.9198,60.506,61.0416
Puerto Rico,44.5,45.9392,47.3344,48.7296,50.1248,51.52,52.8812,54.2424,55.6036,56.9648,58.326,59.2144,60.1028,60.9912,61.8796,62.768,63.597,64.426,65.255,66.084,66.913,67.3608,67.8086,68.2564,68.7042,69.152,69.7558,70.3596,70.9634,71.5672,72.171,75.163,78.155,81.147,84.139,87.131,88.6342,90.1374,91.6406,93.1438,94.647,95.2452,95.8434,96.4416,97.0398,97.638,97.865,98.092,98.319,98.546,98.773,98.8662
Qatar,85.2,85.6366,86.0362,86.4358,86.8354,87.235,87.4644,87.6938,87.9232,88.1526,88.382,88.4874,88.5928,88.6982,88.8036,88.909,88.9998,89.0906,89.1814,89.2722,89.363,89.5104,89.6578,89.8052,89.9526,90.1,90.6372,91.1744,91.7116,92.2488,92.786,93.2284,93.6708,94.1132,94.5556,94.998,95.2606,95.5232,95.7858,96.0484,96.311,96.5386,96.7662,96.9938,97.2214,97.449,97.6902,97.9314,98.1726,98.4138,98.655,98.7728
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,34.2,34.9066,35.6042,36.3018,36.9994,37.697,38.2214,38.7458,39.2702,39.7946,40.319,40.8214,41.3238,41.8262,42.3286,42.831,43.4788,44.1266,44.7744,45.4222,46.07,46.7842,47.4984,48.2126,48.9268,49.641,50.3562,51.0714,51.7866,52.5018,53.217,53.3274,53.4378,53.5482,53.6586,53.769,53.616,53.463,53.31,53.157,53.004,52.9556,52.9072,52.8588,52.8104,52.762,52.768,52.774,52.78,52.786,52.792,52.8208
Russia,53.8,54.6194,55.5078,56.3962,57.2846,58.173,59.0326,59.8922,60.7518,61.6114,62.471,63.2622,64.0534,64.8446,65.6358,66.427,67.0918,67.7566,68.4214,69.0862,69.751,70.1854,70.6198,71.0542,71.4886,71.923,72.2172,72.5114,72.8056,73.0998,73.394,73.3896,73.3852,73.3808,73.3764,73.372,73.3676,73.3632,73.3588,73.3544,73.35,73.266,73.182,73.098,73.014,72.93,73.0744,73.2188,73.3632,73.5076,73.652,73.8244
Rwanda,2.4,2.4738,2.5476,2.6214,2.6952,2.769,2.8536,2.9382,3.0228,3.1074,3.192,3.3532,3.5144,3.6756,3.8368,3.998,4.1426,4.2872,4.4318,4.5764,4.721,4.7882,4.8554,4.9226,4.9898,5.057,5.1288,5.2006,5.2724,5.3442,5.416,5.9916,6.5672,7.1428,7.7184,8.294,9.3896,10.4852,11.5808,12.6764,13.772,14.5254,15.2788,16.0322,16.7856,17.539,17.7932,18.0474,18.3016,18.5558,18.81,19.1192
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,27.6,28.2862,28.9284,29.5706,30.2128,30.855,31.5122,32.1694,32.8266,33.4838,34.141,34.3182,34.4954,34.6726,34.8498,35.027,35.198,35.369,35.54,35.711,35.882,35.7542,35.6264,35.4986,35.3708,35.243,35.1162,34.9894,34.8626,34.7358,34.609,34.4302,34.2514,34.0726,33.8938,33.715,33.5276,33.3402,33.1528,32.9654,32.778,32.638,32.498,32.358,32.218,32.078,32.0504,32.0228,31.9952,31.9676,31.94,32.0244
St. Lucia,21.5,21.7,21.94,22.18,22.42,22.66,22.9094,23.1588,23.4082,23.6576,23.907,24.1656,24.4242,24.6828,24.9414,25.2,25.468,25.736,26.004,26.272,26.54,26.8166,27.0932,27.3698,27.6464,27.923,28.2082,28.4934,28.7786,29.0638,29.349,29.3992,29.4494,29.4996,29.5498,29.6,29.2714,28.9428,28.6142,28.2856,27.957,26.9826,26.0082,25.0338,24.0594,23.085,22.1332,21.1814,20.2296,19.2778,18.326,17.6476
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,13.9,26.4048,26.8666,27.3284,27.7902,28.252,28.7382,29.2244,29.7106,30.1968,30.683,31.1914,31.6998,32.2082,32.7166,33.225,33.754,34.283,34.812,35.341,35.87,36.4164,36.9628,37.5092,38.0556,38.602,39.1634,39.7248,40.2862,40.8476,41.409,41.8032,42.1974,42.5916,42.9858,43.38,43.7412,44.1024,44.4636,44.8248,45.186,45.5534,45.9208,46.2882,46.6556,47.023,47.402,47.781,48.16,48.539,48.918,49.3078
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,18.9,19.001,19.076,19.151,19.226,19.301,19.5114,19.7218,19.9322,20.1426,20.353,20.4808,20.6086,20.7364,20.8642,20.992,21.0282,21.0644,21.1006,21.1368,21.173,21.1784,21.1838,21.1892,21.1946,21.2,21.2,21.2,21.2,21.2,21.2,21.2652,21.3304,21.3956,21.4608,21.526,21.6162,21.7064,21.7966,21.8868,21.977,21.8252,21.6734,21.5216,21.3698,21.218,20.99,20.762,20.534,20.306,20.078,19.8846
San Marino,48.9,50.0004,51.1008,52.2012,53.3016,54.402,55.4816,56.5612,57.6408,58.7204,59.8,62.1368,64.4736,66.8104,69.1472,71.484,73.4334,75.3828,77.3322,79.2816,81.231,82.643,84.055,85.467,86.879,88.291,88.7128,89.1346,89.5564,89.9782,90.4,90.6528,90.9056,91.1584,91.4112,91.664,92.0192,92.3744,92.7296,93.0848,93.44,93.5558,93.6716,93.7874,93.9032,94.019,94.033,94.047,94.061,94.075,94.089,94.1148
