GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Monaco,,,,,,,,,,,1195305426.48991,1257796711.66029,1316262997.15696,1402527682.16965,1465285340.82263,1451033426.20738,1515047634.47605,1568880853.69384,1630907363.10165,1688546971.51053,1717006711.95972,1732844010.46926,1774993525.74049,1796204225.32075,1822869157.86104,1854016517.40026,1899483763.6787,1946677846.66341,2036197802.80865,2120978142.17636,2177045227.3776,2199145064.84165,2229199373.81045,2208826373.05266,2257765662.91562,2305565976.31752,2331174598.63139,2383328745.06424,2466823142.90958,2548241661.56743,2647883820.18625,2705812352.27233,2733587430.45005,2763316163.84424,2831583508.70378,2885253732.83757,3030940182.62071,3472925286.43414,3820217815.07755,3719800903.40154,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,739932438.069755,801658609.187085,848427676.717301,898768449.548461,950113942.984117,1039187072.96529,1075128900.79598,1130046187.4039,1177261729.08064,1139772298.09852,1040685683.55311,944354970.160972,914430329.695368,933947772.378265,993500269.238828,1015705932.58652,1055285083.63296,1090530936.40348,1124014260.31553,1136896162.14218,1170465415.00598,1225863291.05693,1311730534.98085,1451107229.39026,1556365693.02251,1689531996.17992,1862675511.53404,2028460485.75373,2002727457.49262,2130204298.27089,2497918714.23488
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1004514317.85277,1053735519.42755,954684380.601355,984279596.4,995106671.9604,1014013698.72765,1039364041.19583,1085096059.00846,1130670093.48681,1227907721.52668,1359293847.73003,1453085123.2234,1370259271.19967,1404515752.97966,1440190453.10534
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,7532416437,7349737687.85742,8269776687.39885,8671985898.88533,8783539136.60841,8951060777.5344,8817757771.43665,9702076703.96139,10661780838.3701,11553336581.4871,12097898527.7844,12775005041.9971,13086362238.3062,13552146554.2465,14310531434.9608,15392153119.1218,17056472975.7841,18089953268.2609,18493841033.2707,19380396414.5499,20086262400.7709,19531009680.795,21409694693.0587,21290326609.1734,22213551848.4714,23618587123.3835,25578766675.7697,24927867669.183,27524008273.5293,28175395271.3743,29312116686.1427,31334081353.9444,30071024424.5484,29766626321.922,32849863533.8466,30688523140.5726,34437705756.2123,33670529277.0423,36248368734.4713,36440273804.5824,37020609824.9576,39816388504.8512,41136714247.6646,43735306931.6847,45835417944.6449,47200631556.4376,50863330781.5553,52239577756.1013,55158232262.2134,57782852366.0619,59908047776.3928,62633129053.6422
Mozambique,,,,,,,,,,,,,,,,,,,,,2462152426.58066,2585260119.62419,2406877184.56559,2028997418.10979,1897112587.36695,1916083654.43472,1872013803.10123,2147199839.32856,2323270125.17948,2474282790.8879,2499025440.94482,2621477663.45504,2487658528.1217,2702957512.83807,2885825834.38977,2963765703.31726,3183084365.36274,3508986383.39406,3887330273.75412,4202894942.16882,4248747769.46269,4754303084.39786,5173488004.64998,5485124961.33554,5917558733.10904,6483607269.67489,6893450298.39693,7395431382.91549,7900511175.26117,8401035414.95649,8972305823.17354,9609339536.61886
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,2292422011.99592,2312871046.85483,2304350615.66362,2263452545.9458,2257914265.67151,2270268890.89877,2377200302.34849,2460700528.02238,2482001606.00042,2527585912.87341,2590637103.68839,2802369818.79004,3003878016.46223,2943541614.97796,3158897455.96122,3288835715.78525,3393925224.72661,3537064383.45707,3653542903.21965,3776751293.01296,3908501440.92219,3954636211.97157,4143947858.69143,4319623612.49029,4849718949.79411,4972328353.64208,5324020758.56284,5610147245.02179,5799458891.74165,5774346122.27881,6155469329.42072,6389324893.01584
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1354713257,1380564790.35913,1406937994.9696,1433601040.84341,1541586301.84838,1523038105.53571,1630269782.65353,1604650134.51602,1615489280.34026,1687595377.60177,1731067701.59437,1710374808.42235,1763700879.76273,1755296205.92443,1866469476.94809,1893654057.99912,1976947116.71383,2036591086.82714,2126318022.42724,2176687898.33823,2126201925.60637,2303569140.44959,2390629647.83885,2319450900.64336,2543999958.45171,2700326345.78555,2823613809.62003,2871491521.25989,3092504730.49339,3226399298.60553,3375944078.74668,3590929275.13418,3738387432.30511,3882309740.90118,4201280414.34178,4346999804.97745,4578620307.68014,4809777105.6727,4954858716.85007,5173495487.66952,5494252207.90502,5757963272.59674,5764888196.37731,5992315212.96738,6272911559.60148,6491157509.63501,6709559955.12121,6938460637.22391,7362028621.15813,7695759086.3594,8066414653.61772,8379718549.85947
Netherlands,98359287391,98649984992.4033,105401103937.551,109221495044.229,118259468830.709,128480746992.261,132002538317.134,138972291806.663,147888940327.3,157397384437.033,166360843660.454,173565563197.829,177916034509.272,188207174820.331,196217127717.766,196458513461.857,205864265604.704,209819490793.189,214709855410.118,219051113525.222,226172474358.968,224400160606.337,221615900425.476,226203256620.852,233128874303.451,239144018447.466,245808904499.717,250556085328.743,259178268693.966,270634604236.655,281955594046.613,288832598821.522,293760304700.177,297454682600.102,306262566437.816,315805641888.825,326563625485.116,340535469587.02,353896255735.827,370474105839.544,385074626865.672,392490611984.532,392790134493.653,394108353878.711,402922644615.016,411168323101.386,425124149956.814,441791696640.802,449761878487.767,433855151011.438,441185443861.646,446362217923.02
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,694967526.119343,668221160.87869,704310392.152448,804763047.013616,931242129.47771,1219920575.34248,1305305447.50438,1349666247.19585,1198512958.74842,1350737470.27582,1438528271.31319,1471614395.9132,1499572483.50364,1646530694.81428,1422602436.83987,1416912104.60935,1317728266.23094,1349353645.63745,1322366605.52028,1346169194.28283,1406746814.73375,1392679297.39303,1472062055.65564,1981395536.45303,2199349035.0279,2278525628.31422,2390174025.25532,2402602806.81561,2415331667.98348,2477893272.2879,2625080903.62639,2636890593.97445,2689817004.32205,2603735449.57398,2627173560.12466,2682347064.36419,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,31541493669.0866,31613826996.1506,32227359317.0747,32457368889.4653,33922769242.0711,34122076179.2331,35085826695.2225,36847845727.1555,37135617884.4677,37974476324.9509,38551087262.8055,38493205665.9246,38702098237.9446,38715939298.5474,38214854046.7331,38643270230.8996,41106184617.6535,43279635658.6835,45152836111.0781,46778305308.305,47605110082.7685,47808215118.8227,50282008367.8422,51599748517.9818,53451262720.7858,56077241190.4358,58513885618.5613,60712724762.831,62717853637.3156,63200977861.2817,65084119223.7571,64081242758.2353,63779599883.9907,64991412281.7865,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,2103502588,1741191321.12645,1944829722.61737,2138207607.36191,2375786759.72277,2589699300.0754,2675188806.26235,2861636459.96302,2900067094.4955,3080964692.96636,3122675612.24251,3225872437.496,3297510125.1682,3509111810.69474,4007139875.92455,4000999058.51341,4209429283.90864,4561694554.0832,4204112424.27671,3090914371.80972,3233459067.61406,3406878860.57921,3379066398.93738,3534949882.9411,3479589248.00171,3337557582.51273,3303604303.45976,3280269197.29744,2871881519.89704,2823128093.56457,2820500756.495,2815121711.3703,2825973079.85884,2814919608.5188,2908866341.7226,3080833197.69159,3276286557.20436,3406249571.61428,3532675435.72262,3781225302.96834,3936327817.17888,4052872049.31031,4083427038.16698,4186354768.15103,4408746005.97779,4597552924.8684,4788455383.60474,4962899553.22515,5099835100.65866,5024905085.63877,5250044048.11411,5494417083.12948
Niger,1020197091,1066579260.01594,1176209886.35746,1287105651.78361,1288792273.61575,1377973629.23466,1372702918.73818,1374389540.57032,1379660251.0668,1303972837.28388,1343819364.42337,1420139175.03809,1346770918.08751,1117179020.32736,1215214138.844,1181270857.20119,1189282276.36174,1281625063.46596,1454293439.84938,1558231734.77849,1523445073.13541,1532721562.29637,1557599199.77829,1483598545.99591,1233977823.99757,1329272302.93435,1413814377.70968,1414868464.54161,1512481962.14231,1526607471.79961,1507000406.64576,1544738760.1214,1444076714.62979,1465007709.5285,1523674847.20822,1563378093.70219,1616831446.27208,1661358428.4426,1834509565.26523,1824075639.29852,1798365122.6158,1926127106.36332,1983894008.81976,2089040391.28721,2091129431.67849,2185230256.10403,2311973610.95806,2390580713.73063,2598561235.8252,2575174184.70277,2781188119.47899,2845155446.22701
Nigeria,12836410903,12861030559.6737,13388717690.5135,14537284759.5172,15256951392.7964,16002249934.4912,15322072030.6578,12909821976.7516,12748660891.3491,15833503315.5929,19793025794.9032,22611064089.1772,23371759532.9419,24632142545.3323,27381255809.3364,25949832877.2232,28296308039.3546,30000910981.7514,28271610953.554,30182610970.1411,31451738766.9935,27322792091.2632,27258666776.8683,25815460905.9089,24571584325.4782,26956196167.4033,27633761236.3709,27440226401.9622,30156667431.0272,32328043287.7356,34977654922.883,36641050126.4032,37710320429.084,38539752619.6476,38578292372.2672,39542749681.5739,41243087917.8816,42356651291.6644,43152718561.7312,43627561283.5314,45983449592.8421,47408936530.2202,48143264348.1839,53102020576.0468,58730834757.1078,61902299833.9916,65740242423.6991,69980375056.9984,74179197560.4183,79371741389.6476,85581744176.4646,91293024018.3164
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,38302651835,40705505693.5141,41850936292.0563,43435012261.626,45610954781.9308,48021771421.9004,49840122162.0271,52958159581.3477,54154948069.9077,56594418064.4343,57725534131.6206,60968411443.3433,64180254603.099,67054745036.8418,69615254142.967,73113684286.3201,77348888185.6328,80550482412.4858,83654855453.3924,87300314680.9106,91232456676.4459,92644319022.1097,92760122385.4684,96347057332.5795,102025828220.461,107488317888.769,111828214158.761,113818805967.959,113622064769.995,114755481807.732,116966569350.968,120598906112.994,124847807184.317,128326793090.481,134809195259.238,140452717480.688,147615476382.23,155575832146.212,159749542448.108,162985714850.455,168288531891.204,171637634124.32,174215767563.661,175929063477.969,182897667360.878,187632770146.352,192233391606.635,197333337246.562,197402589381.97,194111628291.582,195424832685.005,198252580321.958
Oman,538829577,544970113.38189,654987545.660702,684666626.635144,685178342.686576,688248615.926492,724068246.495157,1203539587.10714,2189091627.9942,2750947627.67347,3133194420.48882,3161337597.20122,3471946111.36054,2977122354.27666,3319455844.45835,4130515113.5752,4978927994.05691,5029076786.8281,4843326253.13228,5053126618.96927,5358105187.81104,6271505603.56512,6997108649.59088,8163293642.85187,9527510186.00365,10862047279.1905,11079522788.9087,10698300396.5909,11336349949.4532,12669148915.4441,12652625161.4445,13421155506.912,14550395886.4326,15429670540.5986,16027689807.5864,16828564522.5764,17341152465.7088,18387433053.0889,18873291187.3623,18849736048.6861,19867880550.2714,21354315271.5084,21902763276.506,21968471566.3355,22715399599.5909,23622652659.5986,24921898555.8765,26616587657.6761,30023510877.8586,30353769497.515,31567920277.4157,33304155892.6735
Pakistan,8608436616,9123853537.21072,9532862992.81697,10361157396.8518,11145471880.9173,12306759369.2557,13019314804.3233,13722437559.5652,14715011784.9371,15525499865.0309,17288181548.8722,17369154645.3867,17510436462.5091,18747419896.2922,19411114501.3538,20228597212.2168,21271622035.3377,22111361494.6033,23891001858.7055,24788929769.4211,27321293468.6984,29485348529.234,31412949297.8312,33542237848.2809,35241221159.2646,37916775091.557,40002824737.7986,42583944208.7002,45831088670.5849,48104204750.3484,50248972481.2039,52792358268.5397,56860483455.3426,57859947293.801,60022413963.5855,63001091770.1642,66054490892.3434,66724545016.0692,68426177245.8095,70930666164.4494,73952374969.7995,75418468995.4034,77850284714.506,81623159361.2372,87637620103.5938,94357063094.1427,100186010330.491,105879697771.565,107569517451.685,111437023701.397,116055243076.07,118790417252.851
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112264251.426463,105079339.335169,92154580.5969431,98881864.98052,109659988.263397,121064627.04279,123849111.272426,126326095.708646,119504486.540379,119863000,121421219,117171476.335,115648247.142645,121315011.252635,127987336.871529,131826956.977675,134595323.074207,128000152.24357,125312149.046455,127818392.027385,135231858.764973
Panama,1930103379,2137615699.05496,2316423138.52518,2511526588.60776,2625299370.3042,2865104693.72698,3080540664.65304,3344416101.28395,3576148208.82641,3881137437.33836,4129015842.08332,4527295893.43422,4734658715.75904,4990610460.47103,5112456503.82769,5193786964.76421,5279154095.68425,5340151941.38664,5860278418.82577,6124452768.82134,6191729852.36395,6761790601.5385,7123442044.56322,6803502363.67323,6987841441.49442,7333196891.42707,7594829808.04271,7457435150.68855,6459641958.97838,6560557512.53012,7091896590.04555,7759882802.29624,8396323560.02927,8854405420.89232,9106769057.03358,9266290383.90723,9526727264.33264,10142248212.5425,10886841542.8858,11313301598.818,11620500000,11687233385.2202,11947728636.2557,12450221829.4066,13386737514.1809,14349415138.6434,15573098989.5259,17459415719.0724,19225857623.4071,19840254425.7711,21486310529.5095,23764034403.6092
Papua New Guinea,837055577,888794937.029784,945447625.27922,983951146.740278,1068278573.63257,1177974928.92296,1246459543.61537,1297196227.31736,1353748649.84993,1465750490.04868,1624678936.86506,1726955621.40411,1824417280.27795,1943538340.50611,1994275024.20811,1976727697.89609,1909747297.42686,1925690171.34946,2090333990.48425,2128637162.8493,2079605041.35702,2073889669.03861,2081209365.4005,2148290132.3819,2140669593.17538,2226300453.16892,2330781992.3274,2395356163.42327,2465042866.03497,2430049606.6905,2356852386.37983,2581858705.13154,2939422490.49443,3474464558.994,3680921041.42543,3558992414.12118,3834234097.39779,3684530642.17733,3545656502.59626,3611448068.22955,3521348154.79666,3517077155.37019,3511488507.18449,3587480704.5142,3685102349.03135,3817622469.96785,3916288942.35423,4198261746.20374,4479545283.19938,4725920273.77534,5103993895.67739,5563353346.28835
Paraguay,1263290494,1352424687.02033,1370623898.22331,1423698934.12907,1479030545.48629,1558360064.16933,1576475780.58142,1710726966.34866,1764594759.65066,1837339143.48808,1926997659.5921,2031863394.47864,2162739399.18981,2318340828.06216,2509329973.04326,2667922951.60021,2855159777.50486,3167340617.70841,3526837250.50437,3927378983.90926,4509372595.78922,4894303894.25539,4712404602.94415,4569856275.99699,4710487179.20708,4897781397.95682,4897781397.95682,5110005895.62138,5434734613.14297,5749875374.12744,5927581217.41419,6073964810.76138,6281869444.14064,6527603718.86073,6770891592.88184,7140058290.09743,7168801118.75142,7383288950.22544,7426066465.57434,7316030415.92868,7071265939.07756,7217236773.87586,7213731473.66012,7490710349.43664,7800472022.86642,8023446451.24074,8371707752.4899,8937744399.20134,9458532784.87821,9094701457.009,10463076858.9848,10886238238.1756
Peru,16356280982,17558476237.0432,19022886908.8324,19730642246.0698,21032920216.5861,22071787232.8917,23924687145.845,24827773150.0307,24915797888.2949,25861265879.0687,27370756021.7671,28515096191.5001,29333415569.3242,30910283360.0384,33769507381.605,34918198775.7028,35602848010.4011,35746297795.6055,35847365594.2219,37925221153.6531,39092384025.8169,41899446418.7169,41648049740.2046,36733579870.8605,38643726024.1452,39725750352.8213,43698325388.1034,47194191419.1517,43088296765.6855,38046966044.1003,36090118316.6593,36871793988.5444,36713699865.8919,38463105665.4893,43394706495.3388,47130518411.5397,48317368875.5832,51633902574.4376,51294176778.6806,51763072745.7825,53290390318.025,53404908563.408,56085932802.1459,58347474126.218,61251271117.7545,65432704695.7598,70497520780.107,76775759558.4706,84302372401.808,85006410418.1741,92506872120.9707,98901255440.381
Philippines,17990832237,19001301598.834,19908256877.026,21313876850.5389,22048562380.1384,23209597885.2256,24236853336.2638,25527259808.1836,26789689528.5277,28037113536.6631,29092600073.3822,30671930088.8473,32342566048.0912,35227732137.8604,36481175386.4862,38511270214.4602,41902815507.7493,44250234521.0196,46538902355.981,49163545543.9559,51694932893.3452,53464589597.56,55399648248.2118,56438179177.9153,52304826077.6952,48483117034.4212,50139679839.8422,52301519734.3271,55833203119.5998,59297827079.126,61098682100.2495,60745327250.045,60950405316.8984,62240303120.6077,64971173186.5351,68010974412.2862,71986809923.3317,75719586807.8091,75282895149.1231,77603058843.2644,81026294681.2439,83371189499.7551,86410818146.8529,90705750112.1173,96780891472.2465,101404756761.125,106721360538.834,113782759189.143,118507880851.959,119868742884.677,129017441693.536,133814916391.099
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118170362821.502,109880027887.578,112643487102.409,116854450200.425,123039324940.625,131592842398.765,139802810346.359,149709629669.794,157167615404.722,164278190494.17,171276118424.232,173340512232.891,175842681117.193,182642797860.366,192404689711.394,199364063180.759,211779433442.259,226149246711.66,237742898867.65,241612593968.933,251030838904.173,261950140322.322
Portugal,20981025078,22142318528.7012,23606910622.5776,24993510231.3766,26570787524.1168,28555356596.6088,29719818177.1689,31962024667.1812,34798817117.8157,35536809956.2167,40018991717.0777,42672912124.066,46093443125.1204,51256218073.9325,51842005084.5669,49588105981.1185,53009799834.7994,55979725443.058,57556095542.5106,60801647711.3539,63592042133.6987,64621027188.7463,66000928625.1535,65886672393.9229,64648016404.146,66462970413.3157,69215172549.7177,73632065331.6297,79146450269.3901,84243987334.4223,87572065709.8449,91397394349.1909,92393147457.5915,90505299487.7453,91378529219.2057,95292070961.449,98806759496.482,103161131028.676,108461880496.342,112879698512.806,117299520913.949,119616127052.83,120530280649.997,119432109120.933,121295724322.308,122235857828.586,124006192050.659,126939300661.841,126928507821.26,123236970884.144,124963902468.739,122952502443.13
Puerto Rico,8883563977,9731036208.8714,10463734697.5333,11551922879.2813,12373336953.0889,13496888757.216,14449829268.6452,15357479694.0346,16087074773.0976,17511522308.4111,19032753658.5337,20238818993.3113,21732751774.2498,23028155281.974,23041183566.9994,22454901211.4502,23639252208.4407,25185919129.0476,26850464790.9182,28490812116.7353,28925715107.3413,29235296891.2893,28344395983.6225,28476543420.8108,30560478201.7614,31189568233.3182,33736327161.8598,35395908003.6658,37698847572.9531,39560680508.905,41057095699.8758,42003209980.7748,43920097565.8049,45960227805.6348,47883790341.8889,50062266271.3772,51220336159.0113,53720073236.6438,56690976980.4261,59746907062.8167,61701800000,65596986165.6148,66198512904.2418,66233696710.7885,68237156795.178,68800856188.9537,68698523857.1379,67026665309.6002,65768976159.7471,64272661027.53,62940362095.1869,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17759889598.0531,18350889420.2336,19659942528.3123,20346088722.6434,24586857388.3186,26455458549.8308,31376173840.0994,37023885131.3173,43577112799.5604,48806366335.5077,56908223147.2019,67606969098.8759
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,40945223259.8408,41258753229.4706,42909325745.9598,45526793810.3093,48212873919.579,48165021730.0784,49321357908.2448,49716312211.7113,49468155771.7948,46599150980.4118,43989597124.4687,38314937346.892,34927739544.1808,35455614743.0325,36863281939.9705,39502657934.2291,41086280750.9428,38578877726.1592,36731311750.3368,36290534541.5765,37052636395.1938,39164637562.0489,41162034208.366,43302459253.3229,46939862239.0469,48898332853.4018,52761301148.8206,55926979217.7498,61198545646.6439,55996669266.6792,56527456853.2395,56320357839.3145
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397827114198.706,385892318110.267,366416566464.76,313172304874.568,286024837286.706,250072213201.152,239710400009.99,231080825609.63,234315957168.165,221897211438.252,236098632970.3,259708496267.33,272932811944.543,285879843583.363,306737220531.814,328748527632.259,349710148602.651,378223527671.339,410505209127.69,432048331749.881,398209755703.906,415332775199.174,433192084532.738
Rwanda,623378345,597789677.475732,665541954.290785,600182776.536224,525370037.408338,562196003.857325,601599820.451651,643206569.370058,688319669.000357,764085562.80383,809941586.673695,819714671.489404,821871080.787653,850127732.819931,862113033.933835,843889469.57006,1008486542.36841,1028596868.16008,1122722130.23755,1255988214.55378,1368419410.47645,1442809419.3164,1468936482.42009,1556784024.3577,1490764343.42265,1556398945.74256,1641567235.90647,1641172667.00667,1715006153.17618,1714379588.07883,1673246631.30599,1631174858.43979,1726969275.90748,1586934658.68664,789530666.431296,1067635566.68361,1203713147.82701,1370424439.41903,1491825811.12955,1604922564.84085,1734921292.59296,1882389602.46336,2089452458.73433,2135420412.82648,2293441523.37565,2506731585.04958,2737350890.87414,2887905189.87222,3211350571.13791,3343015944.55456,3583713092.56249,3891912418.52286
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,118650235.447215,127411353.708927,139114506.289137,150551812.394783,152223691.334813,149825165.364311,148365963.603932,163749612.931981,174229871.729201,194593721.133051,211537003.111871,230719293.724136,248294690.090153,253930654.255528,254929046.007679,263365240.80048,280899292.722774,295237288.703194,306066092.314744,326093212.303134,348170275.638419,352152046.152792,370501370.049397,380822120.961879,388620284.215729,392602073.63474,394445749.655872,424562727.576656,448388479.396942,473076755.334699,449975325.893383,468164897.264335,441972417.303024,430078474.991852,429699134.827198
St. Lucia,,,,,,,,,,,,,,,,,,,,,267518285.352927,276908780.704343,246942772.013257,257440039.110006,317943819.501367,299478529.658475,344032616.133437,350689789.191322,393360867.591546,429014030.692865,530024926.306173,544218686.409411,582432186.331562,597417934.59551,605908337.727098,625829659.799789,659732321.571938,662395345.78299,704478316.276784,721094046.963822,721059216.710079,684141271.025697,705388184.828522,719715168.658741,760216629.985416,793196038.335983,839865385.414421,849688217.915676,895572648.552286,743962494.309216,776681179.079685,782128965.229412
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,107215633,112069602.071316,116209757.985377,108928800.163285,112926189.970938,113925535.238146,113925535.238146,103075477.188802,109785379.324086,112926181.232118,125061108.022664,128772965.617504,162036935.342291,144048694.316082,131342720.577548,121349250.427825,133941435.987897,137740192.411292,154136395.164549,159303240.114377,162531133.105009,172493388.188803,180767949.8732,188720276.299737,199840425.066516,212063867.367364,226193438.618552,236461552.411058,271007209.946477,277763401.61262,291778284.586861,293575213.23937,315662581.418571,316159610.55905,306664532.805764,309736577.676077,313887517.294325,355555287.116171,373955982.98049,390428641.672105,397447006.684536,406289600.423934,421897051.462105,434863023.536494,463458928.938857,473319264.652326,518425049.505827,534605272.238834,531422080.393228,519211092.635786,509682321.570582,509866725.862873
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,175593116.049241,176349982.981288,178620583.77743,185621605.945295,195839303.435076,196785390.146563,193947142.197815,201137371.959406,192244188.55428,187822577.56706,187446928.536869,195132251.705138,190171788.409388,202640783.932936,217381536.900192,219128135.901148,224375383.726228,229494645.872346,245617502.951311,263035595.6233,274630824.869932,287713853.519013,301501274.723072,314000699.041826,320241629.404258,341011349.512864,328406851.763993,322746752.532853,328269116.211904,335162767.652354
San Marino,,,,,,,,,,,250919316.763026,255481090.046504,264909874.466966,283786974.918257,299395479.024945,293137632.897253,314025130.486594,322065351.009804,332500696.862014,352315315.644156,364399494.976759,367475954.541883,368995789.29406,373310009.25789,385352399.644312,396135226.928205,407464484.670369,420470739.311627,438106445.408031,452951398.182451,462250274.610713,469336170.918154,472965422.689683,514357505.105625,550271224.477726,601402621.497334,630620563.241827,645784080.786672,694347043.661829,757375569.946609,773907642.414748,817304332.643612,819370841.702129,851401732.109149,890665404.220978,911330494.806152,946461148.800946,979525293.737225,998123875.263881,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,37099721527.4583,39339763036.3793,44074095961.5992,52863669423.6702,65283338515.7426,82007434857.8251,104553438731.087,110018966654.547,124012084323.035,132697452565.362,131404162524.545,144315366316.255,153723600651.111,160934662342.549,143073869142.696,131318117489.846,127262586721.727,121759538480.415,127957463788.797,122859910090.259,132963919014.089,133046978812.891,144127803749.687,157248891087.488,164527237654.698,164570123592.628,165665432008.253,165998276055.177,171615358356.648,176064764661.156,181055435207.747,179700216155.562,188441864874.667,189473468746.462,189716092330.699,204246598743.061,215004097758.978,226944734103.356,234111140402.644,238833567253.182,248933106154.379,249173365798.08,260739768719.742,278403467184.148
Senegal,1870217818,1931233186.12511,1928602163.61174,1964560537.60307,2040862636.72818,2068050794.28488,2127543672.5862,2101592046.66052,2233798442.88567,2087392100.3993,2266115561.96293,2262932815.38714,2407380544.5961,2272970708.43386,2368453105.70758,2546931740.61153,2774130880.79105,2699703576.24948,2592959152.63066,2774510000.6217,2682655747.90177,2818653422.59458,3039722231.57407,2877814688.0393,2985610844.88683,3083642502.41406,3179646769.19897,3373426353.90991,3353441130.22514,3486836192.28962,3463277796.82699,3551793131.46848,3595929390.61188,3642704535.66728,3642073303.99599,3837414918.1388,3914628506.40409,4036922805.3329,4275047661.25913,4546389886.41558,4691828356.9328,4906757092.51683,4938886719.17829,5267878967.83309,5578711667.59518,5892630724.94706,6041595931.75405,6334999295.44468,6569659706.64144,6707035904.14327,6984284543.78132,7168101437.50578
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11908238671.0551,10955579577.3708,9883838096.97579,7199338860.76012,5002930394.76551,5128003654.63465,5440811877.56736,5865195204.01761,6457579919.6234,6502782979.06075,5774471285.40595,6082791506.17659,6405179456.00395,6669246165.27864,6847617226.92742,7484445629.03167,7888605692.99938,8172595497.94736,8613915654.83652,8941244449.72031,8628300893.9801,8710614884.50866,8865794488.67618
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,48981400,46589992.7118022,50507548.8761138,55626795.7595847,58919480.4751253,118082215.118099,120565081.73159,121173627.470191,130326155.378747,130326155.378747,141888524.412162,164380374.910848,174749994.296605,190572183.500226,193055050.113717,199189191.158813,231612508.111464,217275170.510029,263232544.68916,304808389.550368,291858536.232942,267881834.132071,264887789.098156,260360208.802965,272105407.231461,302379135.86073,301844520.995097,315138082.839319,332145280.448921,369341648.479864,395179106.893573,406087733.557778,435169568.005238,462135505.039382,458444439.551709,454659334.179,477017316.846368,534076017.092111,578956552.225661,589794648.976088,614879764.780006,600914842.386517,608202933.197934,572397248.340553,556081328.911121,597623469.405356,653242423.266413,715953695.899989,708840351.297541,712543437.456963,760361490.459278,798003689.832878
