Male service workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Rwanda,,,,,,,,,,10.69999981,,,,,,,,,,,,,,,,,,
Saint Kitts and Nevis,,,,,28,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,42.59999847,41.5,42.90000153,44.29999924,50.20000076,49.29999924,48.90000153,47.40000153,,46.70000076,50.59999847,48.79999924,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,42.40000153,,,,,,,,,,48.09999847,,,,,,
San Marino,42.59999847,42.90000153,43.90000153,45,44.59999847,45,45.09999847,45.59999847,45.59999847,45.79999924,46,46.40000153,47.5,47.5,,43.09999847,43.29999924,43.59999847,43.29999924,43.90000153,,46.79999924,47.20000076,46.70000076,47.20000076,49.09999847,49.90000153,50.79999924
Sao Tome and Principe,25.20000076,30.79999924,33.70000076,24.89999962,28.89999962,,,,,,,35.59999847,,,,,,,,,42.59999847,,,,,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,68.59999847,70.40000153,68.80000305,70.5,,,,71.90000153,71.59999847
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,42.79999924,42.29999924,41.79999924,41.70000076
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,23.39999962,,,
Singapore,64.59999847,62.79999924,62.5,62.79999924,61.5,62.40000153,63,63.5,62.90000153,62.29999924,59.20000076,62.70000076,63,63.09999847,63.79999924,63.79999924,66.30000305,66,66.5,67.19999695,56.90000153,69.59999847,70.5,70.59999847,71.59999847,,72.5,72.09999847
Slovak Republic,,,,,,,,,,,,,,,39.20000076,41.29999924,40.5,39.59999847,40.09999847,41.79999924,43.90000153,43.90000153,43.5,43.29999924,43.29999924,44,44.29999924,43
Slovenia,,,,,,,,,,,,,,36.79999924,38.09999847,38.5,38.20000076,38.59999847,40.5,42.29999924,44.29999924,42.5,42.59999847,44.70000076,44,43.40000153,44.70000076,45
South Africa,,,,,,,,,,,,,,,,,,,,,50.40000153,51.90000153,51.5,53.5,54.90000153,56.59999847,56.09999847,53.79999924
Spain,38.5,39.59999847,40.79999924,41,41.79999924,43,44.59999847,45.09999847,45.20000076,45.90000153,46.29999924,47.5,48.40000153,50,51.09999847,51.40000153,52,51.59999847,51,51,51.40000153,50.59999847,51.20000076,51.40000153,51.29999924,52,52,52.79999924
Sri Lanka,,29.89999962,,,,29.39999962,,,,,,,,38.40000153,38.5,36.29999924,41,,36.70000076,,,43.70000076,,,,40.70000076,41.29999924,40.90000153
Saint Helena,,,,,,,,,,,,,,,,,,,50.5,,,,,,,,,
Suriname,,,,,,,,,,,,,65.40000153,65.09999847,62.5,56.09999847,52.90000153,56.90000153,56.29999924,64.30000305,,,,,54.59999847,,,
Sweden,47,47.5,48.5,48.90000153,49.29999924,49.5,51,50.20000076,51,51.5,51.70000076,52.90000153,55,56.09999847,56.79999924,56.29999924,56.59999847,57.20000076,58,58.70000076,59.70000076,60.79999924,61.5,61.90000153,62.20000076,63.09999847,63.09999847,63.5
Switzerland,45.5,46,47.09999847,48.5,48.40000153,48.90000153,49.59999847,50.90000153,52,53.09999847,54.20000076,55.70000076,56.70000076,57.59999847,57.79999924,57,58.20000076,59.40000153,59.40000153,59.59999847,59.29999924,59.70000076,60.70000076,62.09999847,62.5,62.20000076,62.09999847,62.20000076
Syria,,,,40.59999847,42,,,,,47.29999924,,,,44.09999847,44.29999924,43.90000153,,47.29999924,,44.40000153,43.29999924,44.70000076,43.09999847,48.29999924,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,30.79999924,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,15.69999981,,,,,20.70000076,
Thailand,19.60000038,23.10000038,24.20000076,23.20000076,23,20.20000076,22.10000038,22.70000076,21.29999924,20.70000076,22.89999962,24.79999924,24.10000038,26.29999924,26.29999924,29.10000038,29.70000076,30.5,30.39999962,32.79999924,31.89999962,32.79999924,31.60000038,32.59999847,34.40000153,34.09999847,34.20000076,34.59999847
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,40.79999924,41.79999924,47.20000076,46.40000153,45.20000076,47.90000153
Tonga,,,,,30.29999924,,,,,,,,,,,,,,,,,,,35.5,,,,
Trinidad and Tobago,45,42,42.90000153,44.40000153,46.09999847,46.5,49.5,49.09999847,49.79999924,49.20000076,,50,51.29999924,52.20000076,52.09999847,53.5,54.70000076,53.20000076,52.29999924,52.5,53.40000153,51.09999847,53,53.40000153,53.40000153,52.29999924,,
Tunisia,31.70000076,,,,,,,,,40.79999924,,,,,,,,,,,,,,,,,,
Turkey,,,60.29999924,62.70000076,62.90000153,44.59999847,,,39.5,39.09999847,40.70000076,39.70000076,40.90000153,40.59999847,40.09999847,40.5,40.59999847,40.29999924,41.20000076,41.59999847,45,45.5,48.40000153,49.29999924,48.09999847,50.20000076,51.09999847,51.59999847
Uganda,,,,,,,,,,,,,,,,,,,,,,,,27.60000038,,,,
United Arab Emirates,,,,,,,,,,,,,,,,54.59999847,,,,,54.59999847,,,,,48.79999924,,
United Kingdom,47.70000076,49.20000076,50.29999924,51.59999847,52.90000153,53.59999847,54.40000153,55.09999847,52.20000076,52,52.5,53.5,54.59999847,55.40000153,57.5,58.20000076,58.09999847,58.79999924,59.29999924,60.20000076,61,61.59999847,62.40000153,63.20000076,64.40000153,64.59999847,64.80000305,64.5
