"Foreign direct investment, net outflows (% of GDP)",1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,1.344279091,1.408303256,1.243808464,2.72142394,2.213133508,1.269200005,1.909646232,1.626642434,2.096152451,2.967988624,2.072108237,2.359753261,1.458975596,1.757456559,1.817859446,2.284559655,2.98341064,4.535258016,4.437898393,4.179603423,1.987381706,1.586775533,1.804306721,2.777881748,3.290303993,4.24425728,3.008670881,4.480995184,8.434482202,13.47515383,16.67103917,4.203460026,3.122610085,3.528270121,4.267529836,3.542582246,3.502576246,11.66382058,6.189236597,1.974024205,1.314164979,
United States,,,,,,,,,,,0.637197502,0.5138801545,0.6048979592,0.6959760462,0.3331314355,0.8611555994,0.6445193743,0.5591974573,0.6467486819,0.9974444663,0.6948509485,0.3099426509,-0.03042414103,0.2207077476,0.3166341914,0.3359778245,0.5423050847,0.7455574709,0.4450305221,0.7987572844,0.6468665229,0.6390476672,0.7708646076,1.275273815,1.146525961,1.346069988,1.18538014,1.269545207,1.631849903,2.41838512,1.608396977,1.390965321,1.458489925,1.348735707,2.677056966,0.2880513844,1.836527647,2.958499464,2.301778707,2.161188605,2.408701936,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,0.1492569436,-0.1097548227,-0.07009960309,0.1669478056,0.07652914222,-0.0665083657,0.02800262581,,,,,,,,,0.05506941764,0.03663446902,,0.003419319341,0.02949268521,0.1009857511,0.1251618381,0.129451453,0.2088344462,-0.005263121503,0.3818304251,-0.03593653899,0.004861923877,-0.01575444724,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2171141068,0.2148113045,0.2091677681,0.1955397373,0.1680510481,0.1201037087,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,0.005215555801,,0.03753194298,0.0189865523,0.7807844454,0.08159881871,0.1163817506,0.4247513404,0.797405631,0.3633948289,0.2668018532,1.524758692,0.6332931301,0.1215135912,0.7427636704,0.6489014023,1.141905674,0.8900308099,0.4447380358,0.1659754621,1.104537154,1.576136642,0.5504600189,0.549089986,0.8306194581,0.01456712424,0.369619685,0.5635737833,0.6816427452,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.122833183,0.1395421014,0.259098027,0.3293299565,0.7203105623,0.8456513004,
Virgin Islands (U.S.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.006086894,4.221470745,4.217462232,4.059279419,4.063620414,5.182916806,11.32347479,12.69844572,1.542426814,-1.273038854,0.3228555636,,,,,,
"Yemen, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.105110651,1.782884863,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2831446556,,,,,,0.06859230953,,,,,,,,,,,,,,,,,
