"Total GNI, PPP (current international $)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121550285048,122956740667,128761044465,138615487309,146162667068,147055210648,146868147279,149543740250,156975978813,167289992339,172663155581,184798688224,195244457619,208484614657,226606389797,244033226448,257188755590,250758423764,247756587152,256038259284
Czechoslovakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,50821157561,54620265062,59672832643,63816044031,68632999286,73491428238,79073368468,81920360448,84464378234,87881776340,92533678566,96979320614,101663355948,104512990089,112722514929,119074535228,125064694323,131707572657,137107381939,142064259191,150646122173,155444557606,163392827215,163012313893,175262560827,182397082911,199652103014,208182142632,222270206816,214907579802,228095951892,235781540823
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148616553,1169787953,1124418281,1119709700,1106791598,1076992211,1081523692,1093884081,1136896468,1172656157,1215702267,1272814318,1414563145,1531752257,1628194823,1787187720,1921010241,2054448653,2132326235,,
Dominica,,,,,,,,,,,,,,,,,,,,144648666.6,177760414.7,195457380.1,207039041.6,222797383.9,225043640.7,254276330.5,276890733.2,313670360.7,318985299.3,354784243.1,364216504.4,381123526.7,398741081.3,404426215.4,418246120.1,427746984.4,444230508.4,482597993.7,472804213.5,459510776.6,493062290,487043335.3,538481534.1,564870401.7,587945437.9,663143371,702774918.2,779470537.4,791156069.2,810079859.6,843002334.8
Dominican Republic,,,,,,,,,,,,,,,,,,,,10087064112,11402591200,12410856958,13463270989,14141471695,13840994095,15012749459,16815253519,17616882638,19348122083,19032769024,20020732217,22562198038,24325336359,25572647283,27604618915,30319050975,33355536360,36140787582,39016375617,42182033649,43897727576,47217532771,46976411790,48025554989,55802818109,64047100013,71577207924,77876700462,81577365817,89203091614,95391911631
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,,,,,,,,,,,,20880606252,23444891424,24287465256,24548165244,26056206694,27220192220,28721204793,28398576917,31549238407,32956162006,35430082131,39340665378,41670163884,43710441263,47020610049,49208838613,51156563783,54521185311,56048758688,51714992966,53716071107,59496110828,64234815735,67664394040,75345102824,83116856913,90374419625,94998683217,105847507024,107399723264,113502633258,121881090834
Egypt,,,,,,,,,,,,,,,,,,,,48302714978,54379238459,63505712284,71129043060,78248033122,83441339427,86443239621,100748259847,110554393341,119583553838,129498768781,137540508943,146963698037,153839763035,164849844241,177346151780,190553564113,205780214732,217516453634,233435173874,250855694598,266044252984,274067422493,288089856747,307899373601,332275442757,369323152916,408619695635,447247298970,469668201989,489151308776,508213534569
El Salvador,,,,,,,,,,,,,,,,,,,,9491141936,9242061525,9130372927,9615112734,10117361246,10554088136,10807960712,11403256043,12049711685,12637113006,13842048800,14800024131,16361689986,17910499426,19491211720,21279777562,22047241589,23298101416,24538392778,25520382900,26725491718,27799522221,28812766211,29926563770,31309410095,33511566521,36134586732,38644992562,40188904126,38992577758,40030319964,41654403634
