Total sex ratio,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Mauritania,96.752,97.959,98.942,99.674,100.154,100.427,100.764,100.909,101,101.277,101.923,102.562,102.905,102.955,102.91,102.773,102.573,102.339,102.086,101.83,101.573
Mauritius,99.192,99.18,99.416,100.033,100.136,97.44,97.291,98.57,99.51,99.424,98.993,98.611,98.101,97.445,96.794,96.172,95.576,94.999,94.462,94.062,93.89
Mayotte,119.658,117.923,116.309,114.541,111.202,108.404,106.269,106.507,104.374,102.615,101.593,100.83,100.206,99.668,99.196,98.773,98.368,97.96,97.549,97.139,96.725
Melanesia,111.519,108.605,107.677,105.767,105.809,105.167,111.294,108.633,106.714,105.313,104.116,103.66,103.454,103.317,103.227,103.15,103.1,103.066,103.056,103.059,103.07
Mexico,98.922,99.119,99.317,99.453,99.58,99.574,99.388,98.653,98.321,98.147,98.082,97.416,96.952,96.826,96.755,96.469,96.137,95.766,95.361,94.939,94.525
Micronesia,135.107,124.017,114.571,112.011,109.663,107.268,104.424,105.932,107.024,104.435,100.398,98.528,98.117,97.846,97.556,97.213,96.83,96.416,95.995,95.608,95.282
"Micronesia, Fed. Sts.",106.119,106.143,106.214,106.308,106.418,107.003,104.536,104.871,104.699,104.548,102.502,103.207,104.031,104.656,105.112,105.422,105.681,105.913,106.098,106.264,106.376
Middle Africa,92.558,93.315,94.045,94.721,95.341,95.966,96.556,97.067,97.467,97.74,97.943,98.223,98.445,98.596,98.682,98.719,98.717,98.687,98.628,98.536,98.406
Mongolia,95.944,96.818,97.659,98.468,99.22,99.901,100.485,100.994,99.594,100.02,98.259,98.063,97.802,97.65,97.564,97.505,97.393,97.208,97.003,96.817,96.67
Montenegro,91.02,92.642,94.282,95.119,95.703,97.168,98.336,98.667,97.438,100.562,103.261,97.008,96.8,96.649,96.92,97.203,97.479,97.775,98.078,98.432,98.842
More developed regions,91.012,91.587,92.105,92.684,92.977,93.335,93.521,93.741,94.088,94.211,94.266,94.32,94.497,94.804,95.063,95.279,95.421,95.552,95.728,95.99,96.307
Morocco,100.195,100.055,99.966,99.925,100.45,99.873,100.056,99.906,99.476,98.847,97.855,96.909,96.44,96.157,95.914,95.657,95.36,95.027,94.723,94.526,94.493
Mozambique,95.601,95.535,95.538,95.607,95.692,95.833,95.71,95.121,91.555,91.251,92.471,93.665,94.943,96.22,97.372,98.364,99.199,99.942,100.613,101.184,101.622
Myanmar,98.335,98.158,98.083,97.976,97.885,97.834,97.77,97.745,97.533,97.423,97.416,96.057,95.427,95.312,95.22,95.086,94.923,94.752,94.603,94.498,94.433
Namibia,98.65,97.726,97.366,97.295,97.353,97.412,95.085,94.27,95.409,95.561,95.954,96.677,97.38,98.173,99.026,99.792,100.393,100.867,101.21,101.35,101.269
Nepal,111.342,110.265,108.501,107.117,105.639,105.497,105.271,104.407,103.45,100.372,99.628,98.891,98.642,98.41,98.018,97.671,97.343,97.022,96.688,96.358,96.012
Netherlands,99.369,99.277,99.202,99.578,99.637,99.157,98.498,97.863,97.736,97.839,97.899,97.871,98.385,98.717,98.864,98.863,98.758,98.654,98.615,98.691,98.909
Netherlands Antilles,93.787,95.141,96.955,97.48,97.752,97.98,93.248,92.551,91.98,91.213,89.422,87.179,86.431,86.053,86.076,85.975,85.787,85.618,85.545,85.61,85.856
New Caledonia,111.229,111.23,111.419,110.822,109.373,108.521,106.055,104.491,104.518,104.969,103.158,101.618,100.481,99.706,99.154,98.62,98.12,97.66,97.262,96.935,96.693
New Zealand,101.054,101.319,101.017,100.611,99.911,99.581,98.914,98.794,97.484,97.473,96.78,97.253,97.676,98.007,98.244,98.423,98.529,98.579,98.636,98.765,98.992
Nicaragua,98.896,99.132,99.582,99.884,99.908,100.364,100.395,100.122,99.546,99.239,99.132,98.66,97.961,97.805,97.607,97.404,97.137,96.827,96.481,96.109,95.72
Niger,88.446,91.541,93.387,95.345,97.063,98.383,99.406,98.176,97.326,98.38,99.809,100.085,100.375,100.639,100.866,101.053,101.2,101.304,101.368,101.405,101.419
Nigeria,96.223,96.619,96.98,97.314,97.584,97.873,98.685,98.585,98.855,99.26,99.697,100.166,100.542,100.834,101.064,101.247,101.383,101.475,101.517,101.497,101.405
Northern Africa,100.227,100.146,100.335,100.658,99.653,100.257,100.939,101.215,101.306,101.301,101.145,100.923,100.798,100.63,100.441,100.219,99.955,99.675,99.396,99.137,98.913
NORTHERN AMERICA,100.055,98.9,98.394,97.65,96.789,96.875,96.401,96.381,96.461,96.541,96.929,97.207,97.547,98.199,98.714,99.119,99.353,99.493,99.593,99.756,99.957
Northern Europe,94.117,93.68,93.639,94.523,94.744,94.996,94.922,94.735,94.785,94.762,95.033,95.717,96.363,96.993,97.349,97.6,97.749,97.894,98.095,98.369,98.691
Norway,98.239,99.013,99.277,99.304,98.963,98.699,98.244,97.808,97.799,97.814,98.04,98.384,98.97,99.442,99.701,99.71,99.548,99.309,99.083,98.934,98.856
