"Murder per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.85182,10.39651,,,8.699782,6.038987,6.885566,7.585229,10.80199,12.50441,12.80158,15.30907,18.48867,18.62109,20.69313,19.90731,18.93386,18.89562,17.09966,17.21426,15.94061,13.30208,14.94906,15.99455,14.25414
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.17729,,26.34147644,23.17690221
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.258041,,6.451722145,6.451722145
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.37821,,18.62838554,18.62838554
"Korea, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9966028,1.003678,1.090991,1.027491,1.398905,1.508307,1.45339,1.252727,1.615893,1.574409,1.717116,1.823621,2.008349,2.037527,1.58549,1.640239,1.499123,1.592072,1.637757,1.681149,1.660333
Kuwait,,,,,,,,,,,,,,,,,,,,,,,3.819734,,,1.641437,1.666337,1.035925,1.885209,0.4898502,0.9866735,0.4143752,0.5415069,0.8802984,2.569559,2.227516,0.7838306,0.4340189,,,,,,1.876558,1.839501,0.8945219,1.674619,1.352098,1.433769,2.175063,0.9562256,1.976638,0.9176651,,1.213149905,1.213149905
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.998158,8.170049,,,6.370983,3.428222,4.982136,5.883084,8.772698,16.83031,11.18246,14.54557,16.26453,17.93892,15.77864,13.88681,10.79377,9.147379,8.625963,9.512867,8.069104,7.618983,7.263677,7.443642,8.471581
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.692215,,7.117905617,7.117905617
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.572819,6.651856,5.755091,6.227204,5.789834,5.111862,4.265938,4.110788,5.896019,8.513233,8.798684,11.02826,15.49876,23.42637,22.0556,17.14901,14.75755,15.25825,11.9243,11.66165,11.40277,11.49115,10.21066,9.518736,8.401813,8.905146
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.988114,,2.730708599,2.730708599
