Trade balance (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.89250814,-16.42228739,-22.4,-20.3487285,-1.296596434,-12.00593604,-7.643752218,-6.306576145,-12.89183715,-25.8195758,-7.903355635,-21.54271036,-14.79360925,-5.735188372,-0.2977668837,-3.758026557,-6.570519307,-8.703907127,-18.97745473,-37.3092818,-31.23243012,-39.00817003,-23.98245925,-31.41913323,
Laos,,,,,,,,,,,,,,,,,,,,,,,,,-3.577235877,-5.727699414,-4.087677722,-7.930671695,-18.27086701,-19.86548158,-13.1896819,-12.27486868,-10.07924776,-9.705573482,-14.83538857,-14.11368831,-18.35967436,-17.37252118,-11.357795,-8.306773117,-14.08644463,-9.321360887,-7.216294185,-6.931365384,-15.48126616,-14.41022502,-7.584994114,-15.94001433,-15.18060614,-12.11446138,-4.560315608,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.31326073,9.761032618,6.87769115,16.25766871,2.066095471,-2.201465059,-7.434738793,-7.808246092,-12.43690589,-9.230940932,-7.032564922,-9.530826621,-9.745889647,-12.57512775,-15.61244444,-14.38443112,-21.46514376,-20.0344321,-13.64864304,-1.479561516,-0.8336254857,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-73.21725703,-81.91117829,-71.0077513,-64.48018973,-61.12736303,-54.530898,-51.52247724,-42.40397276,-33.02268041,-27.19033233,-22.68619151,-21.76018447,-24.34697636,-18.84524799,-20.61767135,-21.62145706,-21.22591413,-20.89221309,-25.17406613,-29.03738009,-27.45541226,-22.83946184,
Lesotho,-26.72064777,-32.94117647,-33.44481605,-36.01190476,-34.23180593,-37.75510204,-45.67901235,-44.64918498,-43.06220096,-37.98811545,-36.6598778,-42.04753199,-53.05466238,-53.50772889,-63.41463415,-89.51175407,-120.7165109,-100.5353956,-73.33908542,-101.5145313,-89.08063076,-97.71653543,-107.0004583,-113.332621,-116.4793164,-109.9325336,-105.2701489,-121.1036655,-121.6578114,-118.5068847,-105.1469612,-128.633053,-116.008333,-104.8036338,-99.58522671,-104.2353808,-101.7345022,-98.74659526,-82.61760098,-77.75139316,-69.16571804,-59.11693098,-65.50782615,-58.33109628,-73.41451685,-71.99379699,-65.54308438,-65.90126888,-64.72809066,-69.75867007,-70.0760959,
Liberia,7.506733172,-17.45315096,-35.8070221,-18.12918624,6.141682742,11.94071923,13.61278013,20.33083009,32.58026176,39.44205711,23.25678389,21.11294316,22.7452922,21.15968485,14.23659108,5.13057619,3.213082327,-8.439149573,-6.031397895,-3.707840249,-0.05245702363,2.898499634,-2.087621029,-2.085468853,4.817366898,6.6312195,10.25436676,,,,,,,,,,,-63.19702602,-28.55950961,-27.11634167,-4.528436567,-8.369065569,-8.087688035,-12.55287807,-13.87676654,-14.02525979,-54.60784314,-162.5496869,-141.507177,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.554673183,3.066473667,5.120008385,-3.302614659,0.9180294973,6.760299625,4.761904762,4.940278465,-1.514675875,6.655350449,20.13650894,11.89230054,11.01984127,25.71683311,31.13601213,38.13175836,45.83854007,38.20920601,39.91865304,,,
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.582089552,8.602409639,3.423370523,-7.812766592,-6.019876952,-10.56030901,-9.201217098,-10.00153307,-11.35257974,-10.01834319,-6.27547183,-5.518032605,-5.715948308,-5.826957447,-7.078717276,-7.1136158,-10.17745504,-13.34308309,-11.81292267,-1.422880004,-1.389893186,
Luxembourg,19.67427594,13.86950102,7.594422731,6.92645914,6.884380867,7.897924222,8.83974021,14.4140109,16.61508229,21.15079052,20.27442805,11.37290366,13.14614057,19.92461065,29.07495268,12.33059273,13.35522606,11.60355211,8.812368937,11.93687422,7.234737701,5.02677416,6.400374644,8.225277132,10.61810978,14.40935459,13.69415154,9.160233861,10.82974499,14.34363248,13.30539115,12.23471148,16.32651333,18.01049419,20.23468599,21.19547593,20.23156882,17.31655776,16.45688101,19.25347467,21.00806342,17.61185169,19.57294632,23.74556307,24.17367487,25.45133328,30.78784913,32.29991598,32.08677241,31.11150335,31.18864377,
"Macao, China",,,,,,,,,,,,,,,,,,,,,,,15.95839546,15.44726419,22.35285093,18.1533983,16.01140467,23.17730458,21.35009905,22.58238778,25.99631266,19.50505542,21.62012918,22.18546188,21.09767104,27.49378843,31.0552803,29.85670366,28.74438574,25.18190615,35.79222262,32.41650593,33.97498221,35.02093472,40.642471,32.38378096,28.89089849,27.66894188,33.73629026,44.57872346,57.10353421,
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.03790909,-2.971733484,0.9928009425,-7.944079666,-10.21521901,-9.756891721,-10.33675325,-13.53763347,-14.87896069,-9.98196753,-14.8919159,-13.9188594,-20.12585164,-16.43736258,-20.120971,-17.00818839,-17.83327449,-18.43863788,-25.2992021,-21.560172,-18.63840263,
Madagascar,-6.594340774,-4.898591262,-4.628499563,-7.145866411,-6.62504598,-6.788294354,-5.903351513,-3.989809144,-5.039836648,-5.00227812,-2.425291563,-6.580980344,-4.060258674,-4.630876126,-4.680992588,-5.030616791,-2.360958992,-3.603979804,-6.906362565,-15.81174772,-16.39510117,-11.3109674,-9.441295481,-6.963586324,-4.6258516,-8.266261073,-3.398346833,-5.94142606,-6.799650249,-3.822144768,-11.42503998,-8.579084919,-8.283494229,-9.2978068,-7.566584266,-7.576971603,-5.511852996,-8.093852015,-7.756845238,-7.744171737,-7.325794272,-3.213593038,-6.565465982,-8.987749299,-14.84745082,-17.3428544,-16.04203779,-21.7434884,-30.42563319,-23.99764488,,
Malawi,-16.32302405,-15.55733761,-13.60856269,-15.62729274,-8.770668584,-13.78889567,-15.80645161,-10.84953941,-15.32060695,-16.11738149,-14.91119372,-12.02239789,-14.65437788,-9.945054945,-10.94257855,-16.76420615,-8.431372549,-4.629120879,-17.92181769,-17.64025514,-13.95880962,-5.829798923,-6.350353243,-7.571329495,1.944477055,-5.707236044,-2.13809073,-2.357353306,-9.220802173,-15.73766178,-9.638693187,-6.035726612,-19.24960754,-16.0916687,-32.112313,-17.71993584,-9.050917351,-12.22889518,-5.334853098,-15.27141194,-9.731330581,-11.13595097,-13.35142038,-13.89936433,-18.23462989,-28.1400318,-24.48918648,-12.58903931,-21.7519382,-15.89025755,-16.6050178,
Malaysia,12.15515598,5.211611915,2.397496812,1.657408156,1.648913504,4.211941267,3.879402649,2.289601676,3.247220224,9.265135353,4.096840098,1.401418057,-1.225180497,5.364783629,0.2814360923,0.4815877164,9.918516396,7.141324427,5.442889509,8.700966504,2.416793453,-6.143502103,-8.637713815,-5.680933194,1.833808689,5.012063111,5.960493942,13.8693994,10.20677771,6.064631894,2.119562432,-3.660370086,1.356495271,-0.09988746722,-1.60339556,-3.934879063,1.38531726,0.9137817699,21.99525329,25.05186799,19.21262847,17.4403467,17.25437289,19.69176324,20.37240955,22.83111141,22.64148973,20.59188629,23.15729896,21.53273125,17.81079358,
Maldives,,,,,,,,,,,,,,,,,,,,,-51.57361198,-42.65158237,-35.67267966,-34.2384106,-9.771373057,4.797297297,7.328996649,11.53827255,7.176303702,5.223298704,2.826364831,-5.931464502,-5.279428712,-12.596762,-1.474394564,15.45963672,18.61724203,12.7671349,16.64994674,10.58041807,17.85454205,1.046934198,4.83782859,5.289564168,-3.166504885,-39.20625442,-21.00870196,-23.62634919,-29.03757508,-17.73447977,-17.59533001,
Mali,,,,,,,,-12.54207091,-7.872552723,-7.808591521,-5.73197392,-6.799846949,-9.540039544,-12.65530627,-28.14642299,-19.60321772,-10.0254432,-6.823716151,-18.23058323,-15.23361759,-14.40571035,-15.89170999,-15.45215967,-15.36671171,-15.02513186,-27.21453964,-21.97427716,-16.53600438,-18.20836573,-16.04933602,-16.57812339,-16.36400891,-17.4111824,-15.38718029,-19.8614217,-15.12632203,-15.71779406,-10.6390995,-10.46020992,-11.73658995,-12.60068904,-16.9700074,-7.348328422,-10.94085245,-12.38856883,-11.68530718,-8.11782844,-9.401459854,,,,
Malta,,,,,,,,,,,-27.17794518,-23.42842726,-20.93303973,-18.0139575,-26.4391717,-12.64031547,-11.07723057,-13.50531029,-6.978569638,-5.230150569,-5.47287748,-8.034831546,-14.96173501,-13.85233833,-14.05762865,-14.65213478,-9.48969987,-8.887486735,-9.508167336,-10.33406487,-12.81648555,-10.4938782,-6.946242624,-9.281066684,-9.778260512,-12.83747098,-13.04313766,-7.912849086,-5.460178247,-5.284887398,-10.65002171,-4.72264345,2.401229527,-1.716994958,-3.889555289,-5.347582443,-6.290672451,-3.857404022,-3.56479135,-1.192707446,1.748756618,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,-7.727957047,-12.70699936,-16.55303628,-4.345025507,20.91389322,20.57340053,21.94455583,18.30906815,16.0579382,15.33430807,15.85112185,15.61341254,-0.9811640302,0.4933123635,-10.99249265,-21.95740491,-39.95011372,-40.7937317,-31.4788976,-26.60197316,-29.83327303,-29.87887072,-44.63864652,-30.56568854,-27.55046428,-20.87908467,-23.15974388,-17.49534252,-12.76013171,-6.908103899,-15.08977489,-6.198045871,-10.72503779,-10.40010001,-7.2614371,-6.489213415,-12.6099948,-15.3733082,-8.138870883,-9.378077187,-15.34178411,-17.23247689,-13.92894653,-25.36271541,-40.95948858,-51.75645482,-4.184715379,-18.01173192,-22.96229303,-16.70778422,-11.61008057,
Mauritius,,,,,,,,,,,,,,,,,-6.858939697,-10.59495981,-12.28460026,-11.70475333,-10.21350185,-10.4175918,-2.802724281,-0.3589090009,-3.335568961,-1.887604859,6.632036326,2.04738082,-4.940371579,-7.296388941,-7.198275862,-3.743550255,-3.242332742,-6.039040989,-8.737893244,-2.424314327,-0.6866964343,-4.881221209,-0.8316548276,-3.480863844,-0.5586488195,5.922986085,3.036308203,1.290547561,-2.371907876,-6.00329161,-11.29321015,-9.307047689,-13.16549147,-9.379082216,-11.34717896,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,-3.154248098,-2.203715991,-1.537500942,-1.635727401,-2.221448332,-1.889314576,-1.541736431,-2.14200942,-2.315435538,-1.722611096,-1.901900505,-1.078853332,-0.7701072997,-1.052958693,-2.164482918,-2.725512972,-1.377442498,0.09688185459,-0.5687007762,-1.261990389,-2.268619775,-2.526981241,5.015536056,9.581397453,7.828492587,5.081044578,3.906496998,6.112285575,1.390044011,-0.06479016737,-1.104597434,-2.907581108,-5.033746564,-3.926070624,-4.814640937,2.658941944,2.057572692,-0.1065768071,-2.119774698,-1.619045592,-1.994160577,-2.214925804,-1.816525646,-1.461419882,-1.76838631,-1.45164084,-1.24740091,-1.58038213,-2.232876875,-1.425934293,-1.447933349,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,-80.93896714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.333450006,-1.544401544,-1.681582877,-8.601015617,-5.874355688,-8.612115664,-18.64988985,-19.49927817,-26.50995672,-15.33330139,-25.65389724,-23.68138113,-25.19349036,-33.76543366,-31.29359375,-40.52744715,-46.64170761,-49.68838324,-52.78448582,-36.61922886,-38.63519325,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,-47.16286228,-38.19881241,-35.81359671,-35.89201545,-41.47683999,-51.21489955,-41.45896162,-37.57352016,-31.39059583,-22.07249196,-28.46686747,-7.429660454,-11.07767986,-9.895908081,-1.02091452,-6.925424422,5.341241169,-11.66418175,-11.92445732,-13.89310682,-15.18164489,-17.06402116,-15.59529445,-9.753768396,-4.842692302,5.95654706,1.348470439,-13.16394157,-7.25775851,-7.651963708,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14.29521844,-23.56265925,-24.52172634,-16.37620025,-16.06539705,-17.52683196,-37.84377022,-43.58125444,-55.17664157,-33.11278122,-28.0602697,
Morocco,0.8730247103,-3.024093414,-3.072578667,-2.156613896,0.3530797377,1.273458445,-0.4122011542,-2.270368448,-1.570522501,-0.4545700525,-3.942360521,-2.772601245,-0.6489612337,-1.269308785,-0.6359570662,-10.8730878,-18.81433563,-20.42523261,-13.69746528,-12.8544719,-9.35321949,-13.12986925,-12.71742897,-7.887620474,-9.770359014,-8.005365645,-5.773134328,-3.419361034,-0.2562137827,-3.768351606,-5.41012446,-4.43599697,-6.415793406,-5.750068914,-5.855127421,-6.605027298,-3.904993991,-3.768867662,-3.693692522,-3.316999043,-5.369095101,-2.530710456,-2.108767786,-2.82838701,-4.953714246,-5.601511525,-5.477670159,-9.115559493,-13.39115009,-10.98834185,-9.915583107,
Mozambique,,,,,,,,,,,,,,,,,,,,,-16.49746529,-15.80483477,-17.90077836,-16.64638755,-14.21430695,-8.606514522,-9.501647092,-24.74388368,-29.22664852,-30.42545024,-27.8940847,-24.73967642,-30.88930868,-34.32029074,-33.92942578,-25.44303383,-14.66407416,-11.2564687,-12.30686392,-20.55003876,-20.50000439,-15.09955457,-21.51168811,-18.73418075,-10.91047331,-12.21666199,-8.863622913,-9.799626277,-14.08595594,-18.30203529,-17.97617471,
Myanmar,-0.9965511735,-1.089900091,1.500097337,0.6153999161,-2.25895142,-5.889298587,0.09318426396,-1.805538344,-2.580021704,-2.027230425,-3.528263012,-2.567787631,-2.385813945,-0.2045164028,-1.989766563,-1.175618681,-1.261530127,-4.27780384,-7.216981217,-4.834011324,-3.843666869,-6.287318209,-8.724440032,-3.660962475,-3.559900762,-3.993639454,-2.569966654,-3.509563246,-1.72474837,-0.2254024226,-1.691573199,-1.290561577,-0.7118435155,-1.025614127,-0.6191329009,-0.8712993754,-0.7943382409,-0.7073636746,-0.6300876644,-0.4210343694,-0.09530961522,-0.0571513598,0.08968482318,0.009343473875,0.05901577157,0.06746283501,0.07393448598,0.06674633432,0.02510836277,0.04670605792,0.02627139142,
Namibia,,,,,,,,,,,,,,,,,,,,,7.815275311,-23.13084112,-19.25434116,-17.07771056,-15.34612177,7.61589404,5.329512894,-13.63290175,-4.897706138,-2.970123023,-15.49087321,-14.71955827,-14.74113431,-4.783917437,-2.831904391,-6.178183535,-8.014122976,-10.01134261,-12.04428123,-10.75710694,-3.668202765,-6.500736859,-2.071690658,-9.082135964,-2.265751306,0.1407627174,-1.708373436,-1.311190219,-6.687837838,-13.32570812,1.109595815,
Nepal,,,,,,-6.158514957,-3.111882965,-0.0779423219,-0.6552348911,-3.206011297,-3.398722628,-3.725665537,-2.256726684,-3.761660981,-5.098376718,-4.465632784,-3.403471751,-2.528934815,-4.900668449,-4.181859956,-7.190270794,-6.716227125,-7.215695751,-11.0841236,-8.796649583,-8.470356725,-8.640442179,-9.09333897,-10.9346995,-11.21571878,-11.13413592,-11.69355256,-9.775960879,-10.32365296,-12.44419688,-9.54420044,-12.82261844,-11.37986475,-11.06549884,-6.870037072,-9.142581584,-10.72937005,-10.75645945,-12.84815463,-12.78189619,-14.89557389,-17.86875998,-18.86794527,-20.73226769,-22.24566901,-27.29746012,
Netherlands,1.900398028,0.1509851882,0.4132006649,-0.6799104708,-2.07356702,-0.1748919315,-0.9058642648,-0.4244520521,0.4450195538,0.2844829633,-1.186437759,0.5067900766,3.261385039,3.862413302,3.909671675,3.676113209,3.438329673,1.256706718,0.3406104356,0.1194719472,-0.1122072953,3.9209308,4.331058366,3.346878022,5.261341096,4.241959497,3.515404064,2.260756205,2.4825824,2.975546841,3.808710784,4.123943662,3.786819929,5.428729806,5.630792145,5.681367748,5.280605464,5.670631755,4.680188929,4.210589006,5.546942291,5.787180249,6.521299875,6.281646731,7.373407929,8.52442604,7.738756349,8.219170895,8.308928292,6.790744907,7.46583188,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-16.22468711,-15.70922314,-17.97091333,-17.15416397,-14.86562335,-10.8240016,-12.40096305,-11.72793928,-17.38876327,-19.90940008,,,,,,,,,,,,
New Zealand,,,,,,,,,,,-3.068873507,0.7506373831,3.014653385,0.06590860872,-12.53788042,-7.105899958,-2.697236149,-1.711658651,0.6581155116,-1.673412635,-1.21106838,-3.208058212,-3.222547119,-1.522120708,-3.198710671,-2.8898988,-0.2085512538,1.508484651,3.401510892,0.04159981541,0.2506036506,3.012735835,2.40230586,2.890913572,1.862576575,0.7956294039,0.5894187316,0.4191624449,0.2887639195,-0.7426803781,1.668445901,2.325950138,1.878324092,0.3531183647,-0.6630029636,-2.218494692,-1.409431477,-0.8443130152,-1.293690027,1.455931369,1.525656665,
Nicaragua,-2.516044997,-1.151431155,-2.471965253,-1.418217125,-1.626019465,-3.106560246,-7.005438624,-8.582235608,-3.707429076,-2.794222364,-2.459485265,-2.239889745,5.647189218,-9.592425313,-13.53240048,-8.896971925,1.152678599,-5.335161427,3.160406766,13.89221746,-19.03956131,-19.43683109,-10.07640489,-10.59231228,-13.00777256,-7.060061869,-8.055289225,-1.989683612,-40.28932663,-32.65546394,-21.39408991,-30.68400571,-36.0151718,-27.43011303,-16.5755797,-15.55143096,-19.23580887,-24.80362623,-23.77970876,-32.58623732,-27.21672806,-25.68928099,-26.30010081,-26.85476569,-27.36425524,-29.59164243,-30.3034233,-34.17056686,-37.98375762,-25.77820996,-28.29459283,
Niger,-0.3049323521,-1.584107729,-3.664217263,-1.011120277,-4.831980256,-4.530717445,-3.633039343,-5.945283457,-6.335128198,-7.115382931,-7.328308143,-3.233223472,-6.280901443,-8.220249101,-16.70241742,-11.74712479,-12.07416686,-9.686928431,-5.298053067,-8.330045742,-13.54716948,-12.05288818,-15.12820493,-6.083538227,-4.056383232,-12.14462389,-0.6824392848,-4.380865929,-5.28562965,-6.702142319,-6.944033672,-4.676990895,-1.081555604,-2.455200132,-10.34773723,-7.156157114,-6.515618124,-7.648019206,-8.555269396,-6.494446739,-7.895970009,-7.692847125,-8.910629297,-9.159055118,-9.951636905,-9.181003285,,,,,,
Nigeria,-7.683450644,-7.114756418,-5.291217815,-4.758130289,-6.211066373,-5.123805438,-4.208628348,-6.333745897,-5.808882907,-4.038997214,-2.806449813,-2.795072961,-0.8273899608,0.5680890659,10.61007958,-4.492839523,-5.706466653,2.349560816,-4.209635814,5.753868382,10.17903461,-4.050757242,-5.967123331,-3.91589685,1.897874079,3.658904634,-3.402589056,3.93901823,1.095405631,7.538370242,14.62144669,5.881011949,1.737848687,-3.07873625,0.9939197589,2.103313029,20.70017975,7.200752742,-4.542015713,-4.234962552,21.94911295,10.70553093,-0.6860473034,2.262779946,12.89416196,15.49075726,15.13809886,15.08058599,12.2585518,8.218597331,6.479903262,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,-1.091583998,-2.181359405,-1.739839541,-1.444300049,0.3536060676,-0.2999132584,-0.8385717278,-1.113779604,2.24582992,2.378434126,-0.6268627171,-2.55915726,0.762470581,-0.3873652179,-2.70882029,-5.83836117,-8.443789634,-9.197978366,0.3656322287,2.355443487,6.093143268,7.286871548,5.122449798,7.894018829,8.881473401,7.350044892,-3.450039587,-2.251845097,-0.5947196015,3.542406255,6.364620414,7.886021758,6.736241932,6.395219838,6.070843769,6.165859512,8.94820758,8.211405723,1.829334596,7.347395169,17.10868312,16.9421044,13.3820442,12.93228682,13.40006801,16.24523267,17.20904383,13.66700702,17.25632189,11.40236417,12.38850583,
Oman,,,,,,,,11.34020619,55.40025413,62.7,54.02621723,33.65307754,15.625,12.63282172,25.96309592,16.85994664,16.3632137,14.25856334,9.593247416,20.34896948,25.00362112,26.59832802,15.39434192,15.58451093,12.70143648,12.64504402,-1.679949043,19.81088569,8.652504264,,19.63097331,8.324160703,9.168946716,4.996252807,8.213717707,8.479207092,14.04422653,11.44593151,-7.755049783,11.12481113,27.83013925,21.14594873,21.28680763,17.03489074,12.55402129,27.37524194,24.78270087,16.56011421,21.40158021,11.15427303,,
Pakistan,,,,,,,,-8.941138196,-5.611685874,-5.200909997,-6.901159728,-5.647625477,-5.208176899,-2.776803556,-7.096749176,-11.53880036,-8.652408693,-9.736177681,-9.23844335,-12.06466104,-11.612632,-10.69514641,-11.81890399,-11.05905811,-11.55574671,-12.39082932,-10.76585514,-7.768796758,-8.083761935,-7.863848261,-7.83288111,-1.560797227,-3.169255993,-6.134394966,-2.762019699,-2.712814362,-4.523923284,-4.688359651,-1.042142829,-1.612964155,-1.246958073,-1.052454551,-0.0903955259,0.593439067,1.033670296,-3.874299169,-7.98876588,-7.148616391,-11.03213965,-7.536945178,-5.211450975,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.12652794,-13.58382554,-32.27633815,-37.83207825,-48.89906234,-54.08075562,-53.95316792,-44.43232185,-61.92712693,-96.45929102,-28.40858041,-25.41710267,-9.446906981,-10.25756214,-3.593530819,-14.10857267,3.686187146,-19.47181341,,,
Panama,,,,,,,,,,,,,,,,,,,,,9.432328163,6.562014515,12.32186706,14.83677099,9.184732585,9.068863384,9.624668222,8.773921217,16.59452252,8.685421995,8.179628096,3.86320456,3.804920649,4.425937927,4.790597241,2.627085415,1.25400929,4.400039667,-1.928195747,-1.197594337,2.756335786,6.79737455,5.174212053,5.055206755,3.701170015,6.432067871,7.236972632,7.256239264,5.790200138,15.92529643,-3.930957986,
Papua New Guinea,,-12.03110704,-11.70668954,-13.55519481,-15.99413059,-19.94793362,-23.3457462,-22.26165787,-21.21421506,-26.9809126,-35.4614772,-36.86868289,-17.04087925,10.05794214,7.042942164,-6.18544881,0.9928170061,-1.293800571,-3.48321943,-0.1102496588,-10.13992923,-20.50322151,-23.66224377,-17.25554135,-13.70275742,-10.32548253,-7.775142772,-6.505972541,-8.671649815,-12.0990238,-8.32195566,-9.89016907,2.147763012,15.69723244,13.7665509,17.3379922,11.00566355,-0.8929289028,5.222047755,10.22992541,16.93488067,13.07956772,2.912510576,15.38686347,13.24518798,9.56086905,16.29286006,12.81356317,12.73352852,0.8037124973,2.771082836,
Paraguay,-0.03466280087,-1.15120702,-2.047809919,-1.414618832,-2.079751812,-0.7947483427,-2.89685946,-3.408969217,-4.41645235,-4.623857008,-1.203938941,-2.567592852,-0.0722397726,0.6935757615,-2.268804355,-5.458964979,-3.378349936,-2.987344309,-3.694340642,-5.497846174,-13.39389725,-11.64235028,-7.609875925,-0.1466809632,-6.192032898,-4.223648853,-5.483475765,-8.567013399,-2.490120001,3.66504737,-6.245721611,-8.043859967,-10.5121921,-10.93752345,-13.36437711,-11.82045473,-11.87245582,-14.78056297,-9.487289039,-9.871902235,-10.74010259,-9.667644637,-4.9333814,-3.780302119,-4.036895178,-4.415351354,-4.539468858,-2.994354619,-5.181843798,-5.066711107,2.140828569,
Peru,-0.06099079422,-1.429544209,-2.047415202,-3.217091255,-0.2941070856,-3.412461699,-3.699059322,-4.879385919,-0.7866731675,0.661431306,1.89285687,-0.960614831,-0.6643556199,-2.076292138,-7.43152746,-11.09107309,-8.177250811,-6.824850946,0.6732245296,8.653046949,2.98247368,-3.603945372,-3.015266887,0.2118446831,3.94015508,6.510637846,-1.383117786,-1.749405291,-3.771159191,0.1339611383,1.929106283,-1.84069228,-2.842717906,-3.826064564,-3.448050449,-5.658338857,-4.854799583,-4.223118803,-5.396000209,-2.422980181,-2.154817439,-2.142033523,-1.230654297,-0.07707630361,3.638957083,5.92246641,8.674984289,6.673212281,0.1819794679,3.581249188,2.860150546,
Philippines,0.4721960951,-1.432465464,-2.286970922,1.663415072,-0.3062152483,0.4244594774,2.146474797,-0.6400419209,-2.587564941,-3.048817373,0.5315648256,0.03987575554,0.2111557507,4.877941371,-2.331498209,-6.091709125,-5.921657718,-3.067012258,-4.269681732,-5.075899458,-4.898481635,-3.33776048,-5.801492542,-6.741411684,-1.049037048,2.12211239,3.953771389,0.420789614,1.453736446,-2.156478404,-5.76781154,-2.990438386,-4.898417309,-8.447245325,-6.308168314,-7.823968192,-8.786641509,-10.3373534,-9.133785576,-3.930843792,-1.991272278,-6.855236993,-8.941069958,-7.535223069,-5.497223671,-5.604579657,-1.784712136,-0.09781238033,-2.458185514,-1.12567767,-1.812905364,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.534179373,-1.750699628,1.407265344,0.8956374613,1.966103293,2.152587909,-1.430985996,-3.926628932,-4.831569873,-5.912078932,-6.422006024,-3.664740804,-3.463116731,-2.690723899,-2.350795749,-0.7411761595,-1.806645277,-2.873964191,-3.969949006,0.07510983604,-1.208030172,
Portugal,-4.871860296,-9.108873413,-3.701180008,-4.006471506,-3.242835441,-3.464470397,-2.880551996,-1.502154932,-3.574263047,-3.098511013,-5.263113296,-5.650925827,-3.806146141,-5.643430614,-12.2754416,-9.91120545,-10.74037242,-12.03803954,-9.950487521,-8.696980749,-11.751824,-15.41483995,-14.88585636,-10.24218897,-6.42090735,-3.331365115,-2.281478537,-5.2258351,-8.324455872,-6.306076643,-7.100200401,-7.646402052,-7.7510869,-7.319866405,-7.265772524,-6.731260723,-7.16482597,-8.14921811,-9.256408746,-10.3282112,-10.99084254,-10.2468114,-8.303667722,-6.800783709,-8.317856844,-9.413186213,-8.686435146,-8.000628399,-10.07238502,-7.407260142,-7.173155196,
Puerto Rico,-19.85933238,-14.7498887,-18.28235361,-15.51354627,-18.91924247,-21.16585354,-17.94750393,-15.04224937,-15.03925689,-16.53327965,-18.44635466,-22.07484175,-21.26086291,-17.92554265,-15.83906059,-25.69160031,-23.50422703,-15.67163601,-12.93596354,-8.341178646,-7.447306855,-4.608388358,1.718539084,-1.94193465,-2.211604087,-1.646196626,3.320069289,1.552471958,1.415670676,1.524400405,,,-23.04679415,-23.55923353,-24.25571546,-24.88136948,-26.20538235,-28.07252994,-24.25508076,-26.75455127,-22.86430866,-19.39793196,-19.16722305,-18.50464001,-17.79006297,-18.23125887,-17.95377419,-16.88702739,-15.90337312,-14.58923091,-14.39297531,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.10158943,1.009384282,3.94226349,12.11458037,11.13313631,34.34860677,44.95405748,36.81704261,32.21582203,33.23021608,36.15674166,34.33482696,27.2356136,22.87255939,23.46666071,15.52786006,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.453316237,-3.933935297,-8.407417236,-4.971100051,-2.064363017,-5.59627517,-8.427961074,-7.063535718,-8.026766472,-4.832389649,-5.208805105,-7.675317903,-5.678181828,-7.506636391,-9.107611892,-10.35986968,-9.078779686,-12.12794798,-12.78819309,-6.921170546,-6.270768568,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8900515207,0.2173245278,0.2860211758,14.06785902,7.710745729,4.563045436,3.395169758,4.22352824,2.202774813,6.670216002,17.04677393,20.0271025,12.67610358,10.79098896,11.37169454,12.25392971,13.69288344,12.72754902,8.621998224,9.236654626,7.586427489,8.34061115,
