Population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Malta,4.006627035,-0.3988958956,-0.4159291215,-0.4176663199,-0.4038526769,-0.7655689293,-1.135658893,-1.164751899,-1.178478406,-1.176099803,-0.5437034565,0.016519369,-0.08262414747,-0.08269247143,-0.06752775846,0.7343925798,0.5088568938,0.3903755953,1.040919904,1.013602381,1.048602675,0.7353402328,2.144977411,1.409482493,0.02087376372,1.75674825,1.670898162,0.6886072482,0.8210392893,0.9732945823,0.9783136993,0.9993101813,0.982779504,0.9488144969,0.8836533555,0.6749992448,0.60663336,0.6816236081,0.605779054,0.487267042,0.5266055131,3.01291787,0.7455069211,0.6577323344,0.6716284545,0.6381797949,0.6346249909,0.647981685,0.7064584802,0.4942251697,0.48290065,0.7197678964
Marshall Islands,1.907442923,2.618708424,3.223238531,3.576774552,3.603059741,3.4256778,3.172157435,3.02568214,3.095128197,3.40562106,3.873644547,4.374168747,4.724927496,4.802250804,4.565860893,4.16726964,3.718413994,3.406853714,3.326300608,3.52224613,3.881004466,4.204304218,4.4134054,4.574236288,4.680919449,4.714515897,4.761287953,4.722992019,4.441874579,3.891160413,3.192880523,2.46678548,1.839827852,1.349998875,1.043695176,0.8722845814,0.7441658608,0.5975610975,0.4496905105,0.2884340044,0.1247301673,-0.02685181649,-0.124763685,-0.1422283966,-0.04617160528,0.132685948,0.3319043403,0.5291472465,0.7459675656,0.971064125,1.195166599,1.429461936
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,2.807471438,2.819048652,2.826101112,2.828803325,2.827756593,2.825135754,2.818985135,2.815221004,2.822326625,2.842862078,2.871074826,2.899149413,2.920305735,2.934556031,2.939458075,2.937400559,2.931536826,2.924186666,2.914501777,2.902918421,2.888838623,2.878611832,2.865391037,2.837340723,2.79169205,2.737669295,2.681592231,2.638956336,2.622216373,2.637388514,2.673699707,2.71435081,2.748290717,2.777461135,2.79878968,2.814029973,2.822931389,2.830850292,2.842963519,2.861114955,2.879086886,2.894940477,2.8971541,2.874719984,2.823161606,2.752206181,2.678068904,2.608308422,2.538026183,2.469102864,2.402869986,2.335868082
Mauritius,2.860416736,3.194910259,2.837337617,2.60892401,2.407963948,2.231785157,2.078227904,1.945538543,1.832286466,1.737298118,1.659603541,1.589050788,1.516321534,1.4871971,1.517350518,1.577215966,1.613284022,1.62727051,1.620864778,1.58744389,1.520906963,1.350369935,1.179832907,1.009295879,0.8387588503,0.6682218221,0.8507019569,0.7854461408,0.779387683,0.7733292252,0.9350580242,1.079463625,1.315743114,1.185540614,1.400064494,0.8599334611,1.022764541,1.25209761,1.051421625,1.271248552,0.9826761661,1.090026772,0.8559944752,1.036997678,0.8610926031,0.7968098867,0.7568293675,0.613188578,0.6454829273,0.5084935966,0.461041617,0.3994590378
Mayotte,4.780956011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,3.294346589,3.240360611,3.180950242,3.117917963,3.053644224,2.992641918,2.9225375,2.862045957,2.842493797,2.872736117,2.930752712,2.988739873,3.021259117,3.022818039,2.985535146,2.918891321,2.855917829,2.791109704,2.69105419,2.550523083,2.389385139,2.217247812,2.069470052,1.978616656,1.960837698,1.991280157,2.034885716,2.059488619,2.059466197,2.024016936,1.964625628,1.900066785,1.844451821,1.796286511,1.759354506,1.728708042,1.703812174,1.672489443,1.621903583,1.546461715,1.457052104,1.36119631,1.279274516,1.228287091,1.218120014,1.235763345,1.261222583,1.276640812,1.279451944,1.263115394,1.232784255,1.200887
"Micronesia, Fed. Sts.",3.231092428,3.134304527,3.066482677,3.091937383,3.237193111,3.41748845,3.689054573,3.842276449,3.628203579,2.974015033,2.080718502,1.091190726,0.3086769545,-0.01444796728,0.2981679322,1.065152527,1.944762764,2.640989119,3.143428635,3.357117866,3.367377836,3.361094724,3.377431712,3.300554768,3.130231955,2.901087927,2.612570265,2.345222577,2.200256821,2.218791498,2.32544193,2.49156777,2.564332791,2.404866888,1.951351247,1.321725068,0.6237905853,0.03984229915,-0.3173250881,-0.3425776709,-0.1250350074,0.1744460383,0.4074083154,0.5526435823,0.5532784964,0.4515796907,0.3375792411,0.2756037964,0.2494796245,0.2795837925,0.3499597691,0.4294589855
Moldova,2.51363268,2.380366074,2.237534605,2.093028732,1.953136327,1.820276107,1.678800054,1.544250949,1.449919749,1.407194253,1.398183384,1.409493606,1.407106462,1.3644249,1.265895231,1.133701542,0.986367598,0.865665748,0.802750763,0.817896734,0.885253908,0.96228827,1.013354528,1.035377081,1.015042096,0.959728016,0.89646876,0.827145731,0.727315643,0.592212874,0.429753798,0.258422204,0.083868751,-0.103892505,-0.304621864,-0.512908819,-0.2002221333,-0.2208969069,-0.1882823029,-0.1581420018,-0.2034149199,-0.2235717158,-0.2316074644,-0.2816503076,-0.2476166958,-0.2431410832,-0.2691103413,-0.2405890563,-0.1902054453,-0.1262383308,-0.09935933553,-0.08599841396
Monaco,1.309645384,0.9353006713,0.5979491265,0.377451102,0.3583678208,0.4670434997,0.6004181509,0.6966848696,0.8124504499,0.9168480317,1.022560197,1.170880196,1.301572779,1.32143392,1.199844721,1.00290522,0.7446463687,0.5548683146,0.5283873034,0.7195814709,1.06400387,1.450431808,1.764454175,1.945307625,1.965337404,1.871395505,1.747512725,1.656543507,1.576211826,1.512347437,1.463925855,1.394937928,1.315912766,1.280162712,1.297756441,1.341728977,1.416586344,1.449794884,1.373929064,1.143133515,0.8175445015,0.4601365803,0.1500800236,-0.05094531979,-0.1161390967,-0.06237419045,0.01985055375,0.07936283402,0.1160963447,0.1159617173,0.0847649237,0.05647005825
Mongolia,2.552884324,2.759561897,2.932522968,3.032899468,3.043705837,2.995901321,2.927925817,2.877300403,2.853631597,2.868324598,2.904675071,2.943451243,2.960771192,2.94785712,2.897374234,2.824351267,2.748145924,2.685051803,2.637239487,2.6098514,2.597464709,2.558187104,2.513855987,2.522577377,2.596775217,2.695823297,2.824122748,2.887195635,2.778272811,2.459055158,2.013380297,1.535030419,1.134006297,0.8567191243,0.7515597027,0.7731454829,0.8307507564,0.86701705,0.9030062975,0.9238132321,0.9377534096,0.9552922035,0.9947422998,1.064890333,1.171497979,1.299042074,1.434464004,1.549990598,1.623812626,1.642866752,1.622009129,1.587941464
Montenegro,1.75245314,1.846461071,1.883197502,1.788180501,1.528765764,1.171554539,0.7630990664,0.4249303716,0.2590745674,0.3330821305,0.5763336987,0.8612824982,1.081827342,1.230615356,1.271174464,1.22698902,1.20095846,1.183505051,1.068179832,0.8325488522,0.5278903222,0.1685875988,-0.1298844489,-0.2383576004,-0.08021723465,0.2673724012,0.6616982869,0.9825310063,1.2211109,1.333479339,1.342543974,1.358629662,1.365675801,1.241087735,0.9582275781,0.5745399424,0.1388902059,-0.2468419336,-0.5030271747,-0.5678455538,-0.486165454,-0.3653485521,-0.2708730674,-0.1741908291,-0.09374911003,-0.02759938788,0.05343699706,0.1415099086,0.194567602,0.1984726204,0.1672049045,0.1220177227
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,2.760752282,2.729390359,2.70317748,2.699449519,2.725710522,2.767070291,2.814985003,2.842272167,2.826674781,2.758457266,2.659012594,2.555131117,2.472431305,2.417260927,2.398328075,2.405779083,2.407255848,2.405279546,2.430181107,2.486206492,2.555596719,2.629264075,2.675890364,2.667519556,2.591558924,2.470307648,2.339024574,2.219666776,2.106930815,2.006983962,1.916961541,1.826738609,1.73559148,1.652827927,1.580185493,1.515401613,1.456422107,1.399139063,1.340862809,1.279863819,1.218870162,1.160074637,1.108613685,1.068440802,1.042024939,1.026293999,1.013555596,1.001786229,0.9954864817,0.9945793732,0.996731804,1.001378782
Mozambique,1.940469662,1.983340022,2.022876946,2.057622084,2.086875944,2.112411993,2.140307148,2.169293764,2.192956189,2.210338646,2.226026822,2.219669088,2.218856006,2.271012658,2.38991574,2.539683755,2.681270223,2.766041313,2.771687609,2.681498821,2.518958259,2.40903394,2.300895606,2.034971764,1.575286541,1.022936624,0.37004642,-0.1436133334,-0.2170971698,0.3135624565,1.255168905,2.337161759,3.198680228,3.677975785,3.66675714,3.34443187,2.964638601,2.701821714,2.53621646,2.514845501,2.586161614,2.660915117,2.684458423,2.677314141,2.628690452,2.553884507,2.477192994,2.414718243,2.363155138,2.326679283,2.301356597,2.277941324
Myanmar,2.127728352,2.122878436,2.121452983,2.131435437,2.156950405,2.192913743,2.22311102,2.248371415,2.283334063,2.329929928,2.379398986,2.429488335,2.462778533,2.461287857,2.417559061,2.345437594,2.264768013,2.191245138,2.125729202,2.073336426,2.029952082,1.98579318,1.937726244,1.891431977,1.847022676,1.803602883,1.763316094,1.722400723,1.674723206,1.6181854,1.557040626,1.485239366,1.41805092,1.37790599,1.373187221,1.387449031,1.420427105,1.431696825,1.375285283,1.230464008,1.030642101,0.8113395402,0.6276914322,0.5125771659,0.4930122696,0.543155726,0.6114877215,0.6641263376,0.7104260688,0.7402305783,0.7568504156,0.7762279333
Namibia,2.370437822,2.416523836,2.460398267,2.499099878,2.531248939,2.560658423,2.569144487,2.580379117,2.633997045,2.740882808,2.870298969,3.019609793,3.121199192,3.103856988,2.943051168,2.698928581,2.461687935,2.288361624,2.169390468,2.122518508,2.142303615,2.130720523,2.149382542,2.351164381,2.771547772,3.302436432,3.862814917,4.277692949,4.424023389,4.256632449,3.900276019,3.498305189,3.178734414,2.965846993,2.897809282,2.917800502,2.960726974,2.948331442,2.853348675,2.652598464,2.391708274,2.116857805,1.893193469,1.75475087,1.727572847,1.775910122,1.843617364,1.885723128,1.901141948,1.875395426,1.821383295,1.76746128
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,1.768669278,1.803117899,1.841933769,1.886876277,1.938373527,1.993540145,2.048826574,2.100781823,2.148026342,2.189073046,2.224507839,2.257419618,2.287281337,2.310708559,2.327050635,2.337918483,2.346246702,2.353318471,2.358225052,2.361367256,2.363309424,2.365415482,2.36750084,2.368416281,2.368155969,2.367942482,2.365527949,2.365504165,2.374907137,2.395983169,2.423531736,2.449213325,2.468172346,2.481745222,2.488480473,2.488333577,2.482995284,2.471726498,2.451904382,2.422892253,2.385690479,2.347490251,2.304641898,2.247245162,2.17310759,2.089231102,2.00211312,1.922126414,1.855945244,1.808078626,1.7734168,1.741900571
Netherlands,1.952179064,1.315294588,1.424475067,1.348491965,1.337781332,1.372661105,1.305170731,1.133144073,1.038546961,1.157969109,1.238932661,1.189133543,1.01117285,0.8273310162,0.7836722501,0.8913899554,0.784993389,0.5946260008,0.6152645769,0.6902822516,0.7913318081,0.686046798,0.4585598642,0.3792225958,0.3969331898,0.4663265199,0.5549577258,0.6345268793,0.6460962276,0.5999072131,0.6886038234,0.7880310354,0.7560565934,0.6969913301,0.6029384743,0.4939273725,0.4613957476,0.5147670021,0.6166405307,0.6654931871,0.7147703628,0.7548400577,0.6382916663,0.4718143988,0.347475412,0.2336631479,0.1606136689,0.2175216012,0.3892924615,0.5142845448,0.5129231006,0.4839554738
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,4.523956445,4.523956159,3.35014179,2.669041308,2.359619414,2.331312826,2.50742985,2.81779421,3.196767224,3.584275543,3.927997169,5.063677944,4.751111487,4.265697339,3.682668469,3.058633556,2.379875858,1.630068673,1.125098707,0.9995022568,1.115004252,0.6968668876,0.3466207758,0.6209057155,3.52449841,1.570436898,0.651468061,1.770492994,1.870521042,2.772245019,2.287878094,2.450093401,2.612308708,2.774524015,2.936739322,3.098954629,2.051353854,2.328885239,1.65173955,2.034767242,1.901374378,1.901793221,1.898811419,1.898430317,1.901317249,1.862427638,1.719819402,1.63918664,0.6517493799,0.6516011739,0.5765576896,0.8064559837
New Zealand,2.101566458,1.999440499,2.542112124,1.986582544,2.094972265,1.649506117,1.791047632,1.785232597,0.8771665467,0.8947876179,1.357592266,1.493750959,1.768358888,1.95737,2.085288594,1.945433727,0.8847900656,0.3113617358,0.03204409295,-0.3916412184,0.1253636513,0.3847515087,0.9934805483,1.359494772,0.8651865248,0.6178389182,-0.02464040423,0.8618759932,0.2744824682,0.4800543962,0.9232227288,,1.041735384,1.140231107,1.329237335,1.464363787,1.582661927,1.312358286,0.8872798886,0.5254845362,0.5875640864,0.589286035,1.737174864,1.973558544,1.486219082,1.12877351,1.21898486,1.03889011,0.9556161787,1.092652431,1.197674273,0.852621146
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,3.177258881,3.101886967,3.034501368,2.991471507,2.980712589,2.991769,3.003881298,3.009892677,3.019292296,3.03143769,3.043951904,3.051830105,3.055362255,3.057762656,3.059103501,3.05616051,3.048457148,3.029829241,2.99346024,2.937020809,2.865738611,2.800983601,2.736276497,2.647594293,2.530849348,2.402553808,2.257543549,2.136559571,2.089987881,2.137201943,2.240205895,2.359325706,2.43705929,2.443022552,2.356124794,2.207431696,2.051766901,1.917517524,1.788890621,1.672537448,1.568776627,1.466050814,1.371289593,1.304682241,1.272831896,1.267582732,1.267499442,1.26845966,1.284445134,1.315976508,1.355566702,1.401564302
Niger,2.811808658,2.870437286,2.92414317,2.963082899,2.982215322,2.987269523,2.989624844,2.99347537,2.993629207,2.990544786,2.98509882,2.97524473,2.9643162,2.957809166,2.957341236,2.959171213,2.965698747,2.966518125,2.948713082,2.908231719,2.856020545,2.80806701,2.774864419,2.755192674,2.752241362,2.764548468,2.778969253,2.802225634,2.852850609,2.934497586,3.034485383,3.136436918,3.226573096,3.302435793,3.359468867,3.401330617,3.44084663,3.476310251,3.495223895,3.496125892,3.486061854,3.470464074,3.459478855,3.460144388,3.475868744,3.500157557,3.525379154,3.54359154,3.552640682,3.550405628,3.541193275,3.528068865
Nigeria,2.089987371,2.12541992,2.157312929,2.180988133,2.194652435,2.203501282,2.214308373,2.233232185,2.261788128,2.302235091,2.352838907,2.391335115,2.431823991,2.508167371,2.62790731,2.76630156,2.914451836,3.024810368,3.052247194,2.979255732,2.844447374,2.691394463,2.569001028,2.495370726,2.487351036,2.521519174,2.563632025,2.585523255,2.586102329,2.557501921,2.510502722,2.464538291,2.4292317,2.398446521,2.374175279,2.356381278,2.339039383,2.326177683,2.327761057,2.346353894,2.375939495,2.40927565,2.438539415,2.460873981,2.473413543,2.479214349,2.48322599,2.48904153,2.496123048,2.505321514,2.515293021,2.522808587
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,3.527221289,2.645916235,1.925254619,1.581209415,1.777001873,2.321257546,2.932295226,3.363459406,3.603695733,3.572377957,3.365868966,3.388135404,3.482366264,3.221484266,2.521852199,1.681602022,0.5499555566,-0.1502826249,0.6322740485,3.297844868,6.933649826,10.34464372,12.35376884,12.77884939,11.83496752,10.33447437,8.926650342,7.913797586,7.159628632,6.700494889,6.407016155,6.074634686,5.676122933,5.325170382,5.030355992,4.744190714,4.514319044,4.218977887,3.709457069,2.930330004,2.002915517,1.092907053,0.3016375856,-0.4158910816,-1.019578461,-1.506822338,-2.061743208,-2.542425308,-2.584830976,-1.987503013,-0.908577212,0.4209980745
Norway,0.8393688352,0.7943539225,0.8034015565,0.7561235156,0.7554028136,0.7773270767,0.7983798818,0.8365365316,0.8406021061,0.8147282486,0.7265160195,0.7012933814,0.7648030022,0.6995048296,0.6203494152,0.5518888973,0.4690139195,0.4226613195,0.3817885829,0.3405655701,0.3212255756,0.3440796561,0.3672782801,0.3310602924,0.2822026728,0.2994715004,0.3566886437,0.4680495468,0.5379227593,0.4128075348,0.3441514128,0.476503585,0.5771802681,0.5952293302,0.5693882278,0.5191255198,0.5068816828,0.542219936,0.5954103433,0.6847594334,0.6490448212,0.5060469106,0.5392908051,0.586532692,0.5909309397,0.6810729642,0.8053927392,1.034734515,1.246333015,1.261127289,1.24566618,1.275220883
Oman,2.246788229,2.320698649,2.39767401,2.468647773,2.531154789,2.596730648,2.679644713,2.792754231,2.939897935,3.124781075,3.340670225,3.538784426,3.746825153,4.031106481,4.399717712,4.794947148,5.141468488,5.395028369,5.564824027,5.644250705,5.645790787,5.638309695,5.585101114,5.403639808,5.087866598,4.706064332,4.2556148,3.865244373,3.673107011,3.722322371,3.887823371,4.141351518,4.240259041,3.958319046,3.222845319,2.238057713,1.189659943,0.3420405399,-0.1545445902,-0.1579261808,0.2106748096,0.6606626142,1.034612774,1.426803006,1.797514534,2.128850744,2.484208454,2.793914744,2.915705327,2.81104837,2.558808373,2.263900346
Pakistan,2.339101101,2.395394123,2.446559012,2.490851259,2.527797079,2.559901967,2.593580527,2.628823878,2.660704787,2.688917243,2.717161974,2.74249424,2.775184113,2.829071684,2.908456062,3.002444384,3.090656476,3.16627002,3.237820048,3.303848459,3.360148197,3.404401952,3.431204631,3.435893513,3.416609179,3.376889972,3.337985036,3.289350206,3.2032277,3.074716564,2.92422768,2.756099779,2.609982226,2.526581223,2.522573209,2.56499118,2.627662186,2.655805541,2.611495538,2.474670858,2.282334206,2.078761495,1.912587339,1.800528809,1.760674183,1.771332821,1.791572073,1.799215129,1.805877137,1.806369458,1.801342709,1.799439016
Palau,2.884106859,2.692214392,2.483794335,2.250350672,2.02161934,1.768467142,1.500465395,1.234919898,1.121741919,1.144593482,1.279821115,1.512757378,1.67599312,1.606863597,1.23763956,0.6945891051,0.03256798596,-0.4814567218,-0.6071564434,-0.1977099252,0.5755648186,1.513454437,2.267562227,2.710235195,2.698564419,2.416165414,2.052095131,1.807342154,1.726942159,1.894268013,2.190969018,2.500130221,2.697437578,2.798036066,2.769491313,2.642704735,2.518159841,2.390107074,2.183254495,1.893205912,1.555960743,1.192527224,0.8774911981,0.6366042227,0.5316333627,0.5187752449,0.5260928536,0.5332814353,0.5452846506,0.5816549154,0.6173766486,0.6669774732
Panama,2.908938006,2.911013265,2.910469739,2.913702203,2.923445408,2.934651184,2.943237744,2.941004825,2.922640806,2.885373501,2.8355173,2.780455994,2.727425904,2.67862832,2.636329136,2.597569977,2.560707992,2.520386992,2.472063179,2.414205898,2.351200372,2.289580159,2.234414678,2.186774805,2.148411943,2.117906828,2.088943399,2.063144601,2.047788601,2.044387339,2.048762621,2.054841146,2.057808245,2.056911993,2.050345534,2.038740163,2.026122796,2.011720432,1.990935496,1.962830337,1.929441547,1.893548374,1.857674195,1.822321381,1.788512072,1.755479804,1.722461895,1.688161662,1.652033381,1.613630517,1.573931204,1.534030129
Papua New Guinea,1.654984146,1.7181831,1.788611974,1.870465035,1.965359422,2.069542848,2.165602994,2.258714031,2.368136564,2.497287925,2.631397321,2.767088393,2.875196406,2.925890433,2.907914419,2.845672413,2.766340939,2.701811517,2.66469637,2.666129605,2.690266622,2.721104814,2.734635079,2.719002742,2.666561492,2.593029991,2.516617146,2.457888068,2.424480604,2.423398709,2.445099108,2.467892044,2.486191196,2.512208931,2.545561783,2.581025406,2.617812581,2.645812025,2.653850954,2.637384077,2.604140007,2.565190513,2.529268348,2.496567108,2.469770243,2.446273343,2.422723425,2.395309984,2.363249511,2.325575473,2.28455977,2.24291315
Paraguay,2.623055368,2.634945116,2.645267719,2.654623294,2.662975251,2.668274062,2.679571883,2.684621309,2.662446514,2.607401924,2.535098425,2.461059146,2.407352993,2.385718541,2.404543175,2.452483484,2.499605487,2.543245277,2.605439712,2.687716945,2.777348464,2.866676462,2.935758644,2.968245273,2.9564431,2.913216218,2.861176601,2.81073902,2.754695828,2.695286065,2.633638861,2.569774951,2.504895903,2.441320547,2.380106999,2.321560994,2.263584719,2.207795476,2.158151364,2.115710191,2.078592365,2.044663199,2.010989272,1.975872572,1.938226483,1.899643008,1.860916414,1.825561678,1.796828254,1.77619703,1.760785197,1.746852604
Peru,2.799968644,2.849312981,2.887179222,2.903001669,2.892334739,2.864549671,2.830145888,2.801356688,2.783033861,2.779254159,2.783962744,2.785774615,2.779981123,2.770999539,2.758039379,2.740370842,2.722281945,2.699020997,2.661691633,2.607929573,2.543886194,2.474984894,2.410479383,2.356306875,2.316067643,2.28433372,2.25455455,2.219104239,2.175264221,2.120436997,2.058515982,1.992998609,1.930476149,1.87519041,1.829710196,1.789693812,1.753557935,1.711893833,1.655551532,1.580171601,1.49323591,1.406764868,1.329292223,1.260270001,1.202749995,1.155966758,1.110041652,1.069715058,1.049852714,1.054812894,1.076569835,1.105774934
Philippines,3.345124124,3.337438938,3.319280697,3.278270298,3.209770083,3.126133988,3.040677549,2.968853562,2.916866099,2.889802217,2.879916328,2.874130224,2.865330542,2.856774847,2.846836227,2.836165159,2.824850505,2.814933705,2.808074888,2.804777826,2.802548347,2.797476628,2.787581025,2.773675186,2.755153408,2.73166492,2.708919281,2.681578713,2.639074579,2.578745271,2.50817203,2.433622617,2.36674084,2.315494603,2.284554243,2.26696433,2.250175523,2.227827951,2.203585289,2.175951693,2.144653783,2.117411808,2.087896937,2.042213145,1.976484001,1.899631491,1.818448618,1.748199,1.700587834,1.68244866,1.684377253,1.69182503
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,3.336060721,1.095789675,1.143154014,1.322525647,1.382204638,0.9762893837,0.7478734188,0.961728386,0.9567320694,0.7823403289,0.355759845,0.364260164,0.826716475,0.9081136326,0.9597857702,0.9935955324,0.9977953825,0.9638667228,0.7940645833,0.8021854761,0.923267472,0.9078684881,0.9202845721,0.9376889261,0.9045906921,0.8035854747,0.6810655766,0.564203449,0.4144574829,0.3616555048,0.3923982052,0.3546791683,0.3066813908,0.2544509139,0.2110123288,0.1357210339,0.07607418236,0.06545536942,0.03575330136,-0.008302752825,-0.5356081093,-0.5363144138,-0.04631893725,-0.06749270165,-0.05851273513,-0.04394895333,-0.06337057429,-0.0543050208,0.01363737968,0.06776322702,0.08405025662,0.08459983251
Portugal,0.04881681984,0.8050852637,0.7216224358,0.4035659487,0.05546416227,-0.407786764,-0.7541203033,-0.6343001614,-0.4276403841,-0.8973961228,-0.8862702505,-0.4233971244,-0.1542880532,0.03093226033,1.394878048,3.80041404,2.844096717,1.061754967,1.078956555,1.071993612,1.081432067,0.8670807034,0.6113321014,0.4639650438,0.3845530798,0.2735387519,0.09095375772,-0.02694543864,-0.1039519953,-0.1459204708,-0.2179484797,-0.1537760434,0.02081470153,0.1266806046,0.2150433877,0.2624979065,0.2736429001,0.3301311387,0.3775397763,0.4202606825,0.5283625194,0.6546496413,0.7299053062,0.6984538049,0.5815312111,0.4508402662,0.3304666899,0.226408471,0.1326189926,0.09474524107,0.04573614873,-0.003252743939
Puerto Rico,0.9376716588,1.75389274,2.086654931,2.188164984,1.958550877,1.551464244,1.187798083,0.7846634109,0.6176059293,0.8262491028,1.253206163,1.612767142,1.973937217,2.160517561,2.080264572,1.843909924,1.651432002,1.462231532,1.310101539,1.228031106,1.189580209,1.133661919,1.070586057,1.022528017,0.9932814631,0.9763109387,0.9593631626,0.9427627079,0.9268189383,0.9098646699,0.8903071674,0.7074155695,0.6454500374,0.842176258,0.9288775775,0.9237498757,1.121862669,0.9293120073,0.5747886897,0.5007145233,0.2765586889,0.2141459514,0.1289373058,0.0625899064,0.02046263596,-0.1442423605,-0.4234672055,-0.5856207572,-0.5866773916,-0.5454018945,-0.4939983684,-0.4115952303
Qatar,7.070096942,8.169302256,8.961271789,9.245436854,9.02011637,8.554318982,8.03784588,7.702979131,7.638277922,7.864940804,8.19379352,8.662538971,8.910784408,8.609654707,7.759405138,6.747627189,5.563458048,4.822267178,5.14394178,6.657484709,8.623794337,10.34271877,11.14783307,10.96023798,9.87704175,8.39740479,7.115101304,6.114254155,5.076322711,3.995958968,2.950503798,1.924278106,1.086991848,0.6565808011,0.7513116332,1.253407037,2.180215831,3.143719996,3.719939125,3.762316912,3.633499208,2.852537085,2.615894596,4.591495953,9.014418459,13.80193393,17.53471124,18.58831697,16.96729233,13.49517943,9.602200062,6.133257743
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,0.8308324649,0.8026901922,0.6515958357,0.6473775358,0.643086646,0.5926126431,0.9615148462,1.645428266,1.350447671,1.051581683,1.198522854,1.037389838,0.9552226008,0.8566377661,0.9255887932,1.248292206,1.204587762,0.9442356786,0.8939840209,0.6313274296,0.6864643204,0.7726165337,0.4461113802,0.3254734547,0.2968303681,0.4381597196,0.4553014203,0.3936418994,0.470502242,0.4491482075,0.1741766281,-0.8686938312,-0.9034629285,-0.1361091422,-0.1453790646,-0.2023187964,-0.2881294855,-0.2878979515,-0.2069802419,-0.156978616,-0.1294400398,-1.395429986,-1.496967793,-0.2807019903,-0.2630767059,-0.233240465,-0.2161166915,-0.1891431466,-0.1544385712,-0.1545377906,-0.197584308,-0.2241571821
Russia,1.46984497,1.110883062,1.110883062,1.110883062,1.110883062,1.110883062,0.5692025981,0.5692025981,0.5692025981,0.5692025981,0.5692025981,0.5738780134,0.5738780134,0.5738780134,0.5738780134,0.5738780134,0.7029523414,0.7029523414,0.7029523414,0.7029523414,0.7096554795,0.6675032223,0.6282877444,0.5982509321,0.7573529676,0.7766880284,0.7175738664,0.69738455,0.6483038094,0.5866035329,0.3857943457,0.2236323663,0.04372496395,-0.1137246976,-0.1239658444,-0.1315447931,-0.2717319504,-0.2948724865,-0.275320276,-0.4024452241,-0.004100993808,-0.2418591731,-0.4462782803,-0.4830955456,-0.519935361,-0.4875098481,-0.4551031835,-0.2810964606,-0.1056152184,-0.02818290725,0.007046471482,0.00704597499
Rwanda,3.010340024,3.009943381,3.008401262,3.006994185,3.006692811,3.00853833,3.011206564,3.016822409,3.028828999,3.048251633,3.073008648,3.094831977,3.116428649,3.147591954,3.189610679,3.235615865,3.281569732,3.316056783,3.329536062,3.318110199,3.290272903,3.121354447,2.939673178,2.980880068,3.300805357,3.712884003,4.428157182,4.850281572,4.218360773,2.346962263,-0.2154217573,-3.409966361,-6.284081101,-7.53325169,-5.780859409,-1.39236401,4.108600735,8.167168292,9.770495492,8.799588679,6.576902726,4.333112061,2.791590019,1.839847042,1.699169254,2.109440373,2.571372592,2.810605695,2.97832426,3.024374743,2.987810664,2.957934993
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
