"Foreign direct investment, net inflows (% of GDP)",1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Nicaragua,1.926609191,1.605175271,1.138213174,1.207795756,0.9070592806,0.6891755365,0.7022701294,0.4490346011,0.3289937524,0.1786169962,0.584495327,-0.001212268043,0.4060569235,0.003632269002,0.2387876812,-0.0003726198994,0.002079146168,0.06257789588,-0.003420882463,0.2763521552,0.0663724155,2.82105613,0.8366800535,2.208995726,1.568465166,2.785836458,3.613877117,6.011629269,6.107776111,9.012921458,6.770269459,3.661042112,5.0640665,4.907228341,5.596889071,4.947726687,5.48339375,6.741370036,9.825422031,6.987810378,7.754325317,
Niger,0.4204940074,-0.769085568,0.1213858931,0.1056646694,0.6732884085,2.150844411,0.9289707587,0.9950016875,2.404110798,2.21823347,1.958108109,-0.2815716324,1.398486394,0.06738447674,0.09898160983,-0.6512641696,0.9241710346,0.6635340483,0.3028550485,0.03494880065,1.645242521,0.6510917379,2.404700994,-2.138160136,-0.7202381778,0.3821912397,0.4967282393,0.9845724408,-0.04929893378,0.01368101024,0.4691527205,1.176930868,0.1107879423,0.5459524611,0.8623511753,1.291464491,1.386620906,3.007539175,6.339527389,15.50260783,17.06441438,
Nigeria,1.634006584,3.114867861,2.484843267,2.459956251,1.034345032,1.692361519,0.9336558155,1.222448337,0.5774585718,0.6550982785,-1.150855804,0.9051077099,0.8653170206,1.042717588,0.6712126139,1.709316045,0.955998865,2.604596101,1.657351294,7.90256905,2.064741657,2.608150611,2.741153061,6.300677879,8.27954027,3.839618025,4.514157485,4.249165141,3.270694884,2.889681267,2.479452216,2.480500573,3.170063275,2.964104843,2.133330772,4.438849285,3.338016862,3.637261906,3.957459673,5.075022677,2.986604739,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,0.5027500577,0.6493392597,0.7026824861,0.9354615391,1.287402407,0.6745612008,1.043945455,1.870709115,1.064459391,0.763793635,0.09388149134,1.068655053,0.7146482368,0.5401890211,-0.2953480961,-0.6636882802,1.317784274,0.2020217207,0.2791769257,1.507718675,0.8528280977,-0.3322869806,-0.520748343,0.8390776407,2.197567125,1.606748238,1.984928093,2.456058926,2.880695073,4.260386332,4.136760229,1.230882165,0.3422936844,1.578510265,0.9783430746,1.759440919,2.122668225,1.660380392,1.65502519,4.00268623,2.81388052,
Oman,1.178215715,-0.08969654925,0.4660879463,0.307755797,-3.711521828,5.067661859,3.177654588,1.753273983,3.148441368,3.148507155,1.645612563,0.8614844488,2.410515814,1.948976345,1.7919827,1.61173649,1.915859802,0.4461610234,1.094743362,1.198801189,1.217476453,1.192441744,0.8375279279,1.136647512,0.5918708377,0.335399751,0.396654917,0.4072624973,0.7241554643,0.255249022,0.4127264596,0.02607391931,0.5448177411,0.1159000353,0.4500895927,4.977699194,4.336795951,7.952330642,4.873754684,3.22031074,,
Pakistan,0.2293786436,0.009432131007,0.1826168227,-0.06324226498,0.0455942776,0.2204585405,0.0616301616,0.1006422279,0.1811055501,0.2955864943,0.2686104046,0.3846349299,0.2077496235,0.1026667319,0.1781923519,0.421864139,0.3314526813,0.3879212072,0.4847368608,0.5242583117,0.6129976371,0.5685441948,0.6918436948,0.6770942094,0.8113041647,1.19175194,1.456054495,1.14722858,0.8136100455,0.8447950247,0.4164842578,0.5296658593,1.138205214,0.6414815015,1.141075209,2.008211679,3.351372549,3.904417004,3.318044944,1.444823876,1.143215311,
Palau,,,,,,,,,,,,,,,,,,,,,1.30059307,1.192534733,1.212841567,,,-0.2205025358,-3.493433639,71.74087781,-1.304125469,5.419218399,12.43920142,8.631754589,1.0380478,1.271103579,5.278526505,0.5982341777,0.7534447751,1.893005618,1.03368886,1.216412177,1.362419156,
Panama,,,,,,,,0.5246943138,-0.1015022305,1.766521292,5.73445661,7.030398597,7.694083581,1.623091234,-2.653584789,1.245834876,0.3616153339,-9.869996275,-12.20843163,1.05370844,2.550252202,1.857145302,2.175746078,2.338439478,5.191429938,2.820606873,4.457150213,12.88476795,11.0048022,6.595497674,5.368960028,3.955960195,0.8034288322,6.320941453,7.187237734,5.933513098,14.92151485,8.974941902,9.472912353,5.096111044,8.805574968,
Papua New Guinea,20.08404915,6.616822081,9.999976126,8.613620558,4.953841477,-0.1643826061,1.377784887,1.20689222,1.997331246,1.927202956,2.966383981,3.449839272,3.626137293,5.419213299,4.532271712,3.439382192,3.429134263,2.963847449,4.198431077,5.735035057,4.826910353,3.081807001,2.382368198,1.245326545,1.034963394,9.804955423,2.158749445,0.5788444864,2.892943602,8.527108322,2.724273204,2.029857995,0.6093866166,3.327248212,0.7767506547,0.7833223188,0.2296400112,1.616001889,-0.3805127962,5.347649631,0.3052867861,
Paraguay,0.799179975,1.068357663,0.4526424502,0.9241292314,1.774009907,1.614375224,1.294909572,1.037206172,0.9609910958,1.469220472,0.6923233235,0.551778877,0.6752034904,0.08744652476,0.1183849629,0.02213158865,0.01692878219,0.141979469,0.2125864685,0.293363438,1.460700914,1.377866174,1.822974189,1.090942068,1.975308237,1.279474468,1.708520307,2.657771166,4.319573355,1.295933924,1.47215507,1.306284069,0.1981946211,0.4935475253,0.5421625694,0.7158884766,1.868421305,1.687890707,1.651736118,1.409449582,1.87930579,
Peru,-0.19294715,-0.03990202032,0.6742094465,0.8935009723,0.4623245742,0.494138369,0.4632226411,0.3801560513,0.2055567232,0.4568078294,0.1301956027,0.500663884,0.1934123848,0.1986422643,-0.4484640544,0.005308306304,0.1223751881,0.1338617119,0.2100906434,0.2867328171,0.1559269067,-0.02026372807,-0.21893355,2.18342532,7.323951956,4.763903194,6.212224773,3.612218834,2.89674091,3.76631151,1.519404822,2.121523789,3.797336625,2.176166811,2.293349818,3.248368055,3.755566609,5.120574802,5.459313769,4.393206767,4.666095016,
Philippines,-0.01555204452,0.2914300348,0.05113865591,0.5881238329,0.948684377,0.7654104688,0.8977837453,1.068808894,0.4448107913,0.02545236613,-0.3266523806,0.4825138911,0.0430800466,0.3161495436,0.02865468305,0.03904436768,0.4251990515,0.9248109323,2.470603174,1.322365531,1.196075197,1.197776048,0.4303806197,2.277067049,2.48265794,1.994067226,1.831059821,1.484011517,3.167281965,1.502497515,2.76453466,0.2556974686,1.895334799,0.5851632695,0.7529721858,1.798847822,2.390134039,1.952330987,0.8893879428,1.16613718,0.858261808,
Poland,,,,,,,,,,,,,,,,0.02112534467,0.02165367096,0.01878598551,0.02179474631,0.01338013349,0.1378784768,0.3478773014,0.7346007716,1.825163019,1.729622107,2.63120491,2.870744397,3.123054551,3.681285967,4.332493556,5.454934457,3.000721506,2.084474711,2.116688741,5.030680214,3.392097577,5.81731006,5.560734616,2.829237278,3.024487906,1.939331422,
Portugal,0.3616416745,0.6168178172,0.6582990391,0.6380439636,0.6134695955,0.6042653833,0.3140284513,0.2737831014,0.2847707297,0.298100529,0.483555073,0.5530356653,0.4781893038,0.5463477738,0.7966603018,1.024277909,0.6229591733,0.979948046,1.657656277,2.905192646,3.36062146,2.780968799,1.764774878,1.636273564,1.290901556,0.5873825035,1.111746204,2.03750722,2.445333686,0.92355424,5.696200373,5.130637663,1.326539304,4.480195635,0.8957272757,2.115590827,5.435650309,1.281568829,1.858172334,1.154290387,0.6458705395,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,1.885408816,7.051842892,0.001959785481,0.1662710669,0.5401008958,0.3629440507,0.006089575027,0.05583843245,0.2198913871,0.081129055,0.1384579024,0.04364259323,0.04883697568,0.01468864224,-0.2228388783,0.1295240736,-0.02909150314,-0.05453114788,-0.3416588531,-0.02311991937,0.06630039135,0.6179981021,0.5176458806,1.00676391,1.78792981,1.149680691,3.740559419,3.702755698,3.386477287,0.9138126219,1.416675473,1.684982505,3.222105535,2.655415834,3.78519222,5.808535523,5.785439388,5.820374199,3.413012235,8.264137051,,
Romania,,,,,,,,,,,,,,,,,,,,,0.00002611026996,0.1386632781,0.3068914612,0.3565851922,1.133921675,1.181045024,0.7443323683,3.443302839,4.82245322,2.924786865,2.798721227,2.879488591,2.496479512,3.0987771,8.534968559,6.553369405,9.290027589,5.862980801,6.939034465,3.007876831,1.819659294,
Russia,,,,,,,,,,,,,,,,,,,,,,,0.2522786484,0.2783523322,0.1746452745,0.5220862869,0.6583760935,1.201364411,1.019091432,1.689296869,1.045106355,0.8963671335,1.002905566,1.849230028,2.61318691,1.686622029,3.000354654,4.237358892,4.515915292,2.986897157,2.925201617,
Rwanda,0.02728512881,0.7627669658,0.202876665,0.6889016487,0.712161719,0.5277998565,0.8414472633,0.6214704985,0.5568099053,1.299552444,1.52235389,1.453917248,1.464176956,0.7243001796,0.9484464247,0.8521992982,0.9051735588,0.8176677063,0.8785793676,0.6434593033,0.2926191487,0.2394380158,0.107339963,0.2968262712,0.0001326899867,0.1710313943,0.1604706078,0.1403445889,0.3563584369,0.08936049201,0.4795053529,0.2767169682,0.159087846,0.2521803366,0.3667014498,0.3110993987,0.3610521033,1.794759998,2.1931937,2.255275031,0.7522121895,
Saint Kitts and Nevis,,,,,,,,,,,2.08333337,1.591355627,3.671199076,22.62569872,8.566895974,10.25641044,9.775767285,15.38856583,10.36842124,28.47983504,30.64389036,13.03249008,6.891395736,6.937169824,6.921663357,8.871589242,14.32428381,7.150524145,11.11145789,18.92963431,25.26502782,21.42315713,18.39051422,17.43149916,11.79984989,18.19457288,18.73138673,20.77016617,25.33916605,19.4298771,18.46988929,
Saint Lucia,,,,,,,,,,25.13426468,23.16084656,25.091228,18.45546808,6.472336868,6.088623402,8.986784018,6.430446308,6.188497145,6.002108695,8.54853299,11.27543367,13.38317767,8.565075358,6.943273638,6.283677933,5.840086407,3.251373324,7.912814114,12.68327647,12.00735941,7.454054661,8.608487205,7.467246554,14.05870404,9.203186709,8.879765019,23.75610047,25.58580032,14.28936238,13.24358675,9.182541945,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,-1.072961392,1.100693048,1.823988241,0.6684492097,1.755450597,2.232986807,1.352657106,1.594592849,5.759268739,3.486950166,5.536176336,5.974514415,3.868002161,4.186638505,5.960833153,13.150507,19.2862253,11.49826237,15.14800775,31.55227596,27.98532069,17.11419163,9.496723792,4.881553333,7.359531622,11.43548642,12.5704397,7.269679777,17.85682147,19.056077,22.66880337,15.1701469,14.15255788,
Samoa,,,,,,,,,,,,,0.1484815625,-0.1003322515,0.01027764929,0.5049508922,-0.2223530555,0.5525390928,0.1012499998,0.1430813197,5.889760379,2.850549803,4.241486206,4.215364541,1.52283959,1.716931819,0.5209498254,7.858898462,1.249407506,0.8672220793,-0.6269911474,0.4931449083,-0.02727155494,0.1689267783,0.6145364369,-0.7236928143,4.561397086,1.286705062,8.076516271,1.878263131,0.1278367578,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.923596609,3.968535924,3.469605809,3.279179373,13.7634796,30.612182,25.10745193,46.30862044,8.159534878,12.52224204,
Saudi Arabia,0.1467759859,-1.639494879,0.3659311259,-4.334030951,-8.295871438,4.008050844,-0.6212585955,1.057647929,0.6941819072,-1.13723191,-1.942881332,3.532759371,7.277860122,3.836659156,4.065500594,0.4729864723,1.110757281,-1.369183139,-0.3716458091,-0.6852346956,1.593906,0.121825016,-0.05790971109,1.034570911,0.2600616863,-1.315946357,-0.7147485213,1.842169576,2.938454004,-0.4839385863,-0.9982212116,0.01073152099,-0.3257117139,-0.2733369125,-0.133546946,3.836348257,5.136266539,6.322265083,8.283561611,9.782999926,4.960168663,
Senegal,0.4901912271,0.9321358124,1.189326599,0.3329011971,0.6187963411,1.008022782,1.582148157,1.20490503,-0.1932601958,0.2768107443,0.4134182663,1.081978578,0.9023143255,-1.250541587,1.07512058,-0.5335074493,-0.2012407777,-0.07855304459,0.2997016457,0.545524099,0.9952017494,-0.1344150686,0.3560969676,-0.01430307049,1.724845833,0.6491637106,0.1721823459,3.767288169,1.396128745,2.975206963,1.341427812,0.6548793615,1.463347629,0.7654596251,0.9592619727,0.5132403084,2.351438052,2.627507597,2.970434614,2.592826486,1.845112216,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.461024629,0.6973517402,0.6351832813,0.853012962,1.558179966,3.756487509,7.191285217,4.347004328,8.126867151,17.00157823,8.810616847,6.273762123,4.821202121,3.488086592,
Seychelles,11.93575195,8.229762075,4.405266198,15.82814502,4.010709634,9.580959389,12.85557409,10.95334208,7.396204589,5.896293971,6.46019694,6.543555769,6.777693585,6.218243995,6.458862076,6.896081876,6.830296051,7.784599342,8.174825433,7.273320877,5.491246912,5.221849326,2.078600162,3.974586138,6.31129278,9.028179489,5.727541797,9.485439638,8.746446756,8.863378179,3.956382733,10.40401801,6.841075225,8.279033868,5.432245227,9.716885723,15.06657481,12.40522106,14.05599472,15.03368176,17.86308399,
Sierra Leone,1.887616096,1.239425002,0.8165350872,1.084783004,1.618894813,1.486746064,1.428822015,0.7312882614,2.525041167,1.449796188,-1.696239147,0.673271263,0.3614831964,0.170566589,0.5385601823,-3.612713919,-28.62425573,5.619436112,-2.18830517,2.396253742,4.992681776,0.9621169807,-0.8233485488,-0.9707014122,-0.3151824273,0.836853885,0.07049915374,0.2117108767,0.01559901992,0.07965457715,6.133392541,1.220824739,1.112753308,0.869229406,5.579528366,6.711514535,4.132744743,5.804960769,2.947764878,4.002050641,4.545383456,
Singapore,4.845021333,5.127005269,5.92178548,9.551695317,6.521018927,5.182329976,3.649587478,4.410254308,3.997603383,9.010930191,10.4185481,11.74603897,10.00098518,6.403112984,6.631677152,5.496510965,9.225188284,13.60626855,14.4446297,9.484472635,15.44550112,11.34785428,4.494688567,7.812606311,12.35027178,14.27826652,10.22523985,13.1527181,7.632635502,19.28485241,17.18515583,16.55180546,7.067536813,12.79024296,19.23057537,12.5172353,21.15468359,22.01762256,4.830471241,8.106222768,18.50794791,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,1.231501965,1.369572595,0.935046899,1.285811155,0.6425728303,1.919960989,1.183075586,7.145515473,,11.84872774,1.220106722,5.416879588,3.931505306,6.038899446,3.998821417,3.295392377,-0.036111052,0.6338432043,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,0.886401904,0.8885003695,0.8126235048,0.7182129361,0.8193889002,1.638080805,0.9918442758,0.4778194031,0.6796977849,2.455738295,7.17269504,1.034231801,2.457019171,1.51297393,1.667299824,3.2371133,3.546867611,-1.306183291,0.7805905225,
Solomon Islands,,-0.3396136364,-0.02462647059,1.266461538,-0.0591440678,10.52677513,5.882472752,4.761816756,4.123908009,2.290170688,1.428524539,0.1227041401,0.5464456219,0.2415546609,0.7763882878,0.2907042183,1.471389646,4.393323715,0.5409539396,3.490750223,3.451003137,4.530381242,3.741772608,5.687397585,0.4510745473,0.3900949796,1.05180828,5.964213779,1.868645531,2.053132768,2.994309457,-2.325622633,-0.1304768436,-0.5413354955,1.603737712,4.48901268,7.461247437,10.99079678,14.69781233,19.91306261,35.05612303,
Somalia,1.423384501,0.5134329198,1.079289534,0.1183365574,0.149707826,1.658577251,0.2725214856,1.561316217,0.05342199724,0.001693709953,-0.004970239416,0.01573424018,-0.09849516942,-1.121987327,-1.895345061,-0.08090915727,0.32891953,6.371604515,-4.178981321,-3.767874678,0.6095670929,,,,,,,,,,,,,,,,,,,,,
South Africa,1.868499971,1.315788904,0.5542779082,0.09625127756,1.948346088,0.5087287528,0.05186723118,-0.3093897505,-0.2410189248,-0.8662416574,-0.01276170555,0.07485890896,0.4116796282,0.08242930731,0.4925373331,-0.6749203636,-0.06350445531,-0.1842569372,0.1382148505,-0.1610848988,-0.06760089148,0.2113811014,0.002572936975,0.008657998996,0.2757520537,0.8261527447,0.5679940856,2.560605896,0.4097965787,1.128767108,0.7291153703,6.136400777,1.331947402,0.4655447273,0.320148161,2.639974472,-0.07035382133,2.004735138,3.503661621,1.893405707,0.3364235667,
Spain,0.5577624638,0.4462625792,0.4667831183,0.5107750579,0.379046243,0.6125473658,0.4150932119,0.4725280398,0.7555516702,0.6703625844,0.6604753359,0.8667529456,0.9367672856,0.9774371169,1.060326814,1.120998895,1.414071757,1.476866975,1.922229084,2.092937545,2.684158602,2.229278297,2.167168099,1.899003962,1.788960501,1.354926794,1.546074933,1.560711756,2.377054796,2.997896165,6.687952136,4.623750437,5.827817207,2.897797802,2.373989998,2.174241126,2.524503392,4.624456389,4.887218548,0.5842346343,1.752044916,
Sri Lanka,-0.01306352459,0.01266192171,0.0117465731,0.01738752445,0.03916536957,0.003764173339,0.00002784491607,-0.02968849716,0.05394413441,1.394269235,1.068684421,1.115631636,1.332999395,0.7310280822,0.5396297975,0.4376056026,0.4640459445,0.8904925728,0.6552034105,0.2825326572,0.5397428387,0.5371913997,1.26379157,1.881082276,1.420195947,0.429753548,0.8625457356,2.849576747,1.224592312,1.126764931,1.058988541,1.090991691,1.148946509,1.211327409,1.126677351,1.116128543,1.697007228,1.863919403,1.84746503,0.9603506882,0.9650758805,
Sudan,0.07903897236,,0.024693499,0.008492766846,-0.02945230218,0.02709300844,0.09762154586,0.1108515366,0.07418682202,-0.03165921534,0.1161848572,0.202662831,0.1814274006,0.0746580507,0.09036891639,-0.02439934259,-0.05116915773,0.05646789452,0.01302358343,0.02280970284,-0.2508734209,-0.005448527042,0.001279875999,-0.001801597916,0.7752195303,0.08676501114,0.004435418284,0.838098952,3.295047747,3.47124544,3.171563624,4.295658647,4.762271651,7.588116261,6.968349629,8.415179782,9.710828834,5.212597073,4.481143898,3.324302819,3.326142235,
Suriname,-1.907647219,-2.366621403,0.9340837819,4.151162724,1.803886298,0.2226451577,0.1871513323,-3.146723818,-1.638171146,-3.123180026,2.032236886,6.193942873,-1.082527437,8.23209018,-7.322600125,2.176953873,-6.050168253,-11.80466379,-13.14648097,-54.35833013,-19.24449993,4.22161466,-13.42066208,-10.70786775,-4.992141678,-2.969969999,2.220962533,-0.9896649865,0.9629629773,-6.945666738,-16.58887218,-3.510309024,-6.824912074,-5.987178431,-2.51293733,1.555377551,-7.662429499,-10.19559621,-7.620106952,-2.872638655,,
Swaziland,,,0.4565859951,0.02703896126,1.33634809,5.018709,2.700529949,6.581201189,6.38107898,13.46532221,4.875092844,6.442444242,-2.525858142,-1.016548865,0.9887762019,3.171435927,6.877988774,9.631039532,7.269099418,9.617045057,2.700345385,7.091449927,6.790326442,5.292689359,4.454554428,3.04632956,1.345623588,-0.8912919128,9.684300533,6.348177406,5.94692258,2.173636883,7.51930653,-3.285070303,2.874564478,-1.774340632,4.10564205,1.227767366,3.501238533,2.22752568,3.668870747,
Sweden,0.3064675264,0.2176901154,0.1435320748,0.1520732378,0.1248258249,0.1041268034,0.00585667765,0.09276986698,0.07181490964,0.098073681,0.1899916455,0.1502641769,0.3340592697,0.2310273747,0.2855735278,0.3695953355,0.7693936362,0.3726855638,0.8635811019,0.8867640083,0.8110921576,2.463828143,-0.002029242979,1.833776349,2.881583451,5.889064987,1.986529718,4.056857252,7.858434717,23.42486377,9.658416,4.945212714,4.936410823,1.5915008,3.346792897,3.272750019,7.13838552,6.008120892,7.855390072,2.682873992,1.275054061,
Switzerland,,,,,,,,,,,,,,0.6254404721,0.7921094207,1.27401926,1.488376478,1.299285511,0.2097600453,1.338739992,2.327666342,1.177912005,0.4496285766,0.6993073233,1.36284668,1.316151647,1.43492026,2.761396183,3.539235677,4.632912217,7.908340165,3.683441428,2.43537049,5.374992495,0.5113278091,-0.1409619089,11.50021996,7.696161652,3.180298969,5.951824755,4.111717904,
Syria,-0.004672059479,,0.0003268313328,-0.001389108363,0.0001938150827,0.002050686896,0.001310010102,0.001169436942,,0.0004028326309,-0.000306221947,0.0002577618664,0.0005828612269,-0.0001137062378,0.0002856639603,0.091443651,0.1504527582,0.1937265067,0.2552698486,0.3044635506,0.3249753919,0.4159659011,0.430072936,0.7958550109,2.479742186,0.8774464731,0.6454157662,0.5515250576,0.539443655,1.656810224,1.397089248,0.521331121,0.5328453056,0.7329986231,1.096188304,1.732563836,1.977028989,3.073775351,2.78731464,4.764198491,2.483973883,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,0.4713901184,0.5465496737,0.8914811438,0.8120026296,1.724314553,1.952609906,2.267994488,0.6168876591,2.73584242,0.8785740544,2.953565847,2.03649571,13.10238995,2.35604544,11.96463452,9.677850636,7.280816199,0.3177764068,0.2799015908,
Tanzania,,,,,,,,,,,,,,,,,,,0.07371962408,0.1321217631,0.0002348111754,0.0002017513072,0.2644760395,0.4804883462,1.108459378,2.282231163,2.310078752,2.054755968,1.843795843,5.327999628,4.54948544,3.74438018,3.667031505,3.124237146,1.767783011,6.615231585,2.812312387,3.456124137,1.931187903,1.940010405,1.891520093,
Thailand,,,,,,0.5753379769,0.4658008579,0.5363073012,0.231824938,0.2019639439,0.586827846,0.8338261931,0.5216446839,0.8730831673,0.9594301947,0.4195312952,0.6091039454,0.69640723,1.792474985,2.457343925,2.863204155,2.050177479,1.895890362,1.443109362,0.9468915011,1.230778589,1.28379658,2.581163535,6.53927007,4.976506993,2.742701804,4.385778129,2.633743034,3.668162816,3.632244669,4.56777442,4.565638247,4.586226607,3.132442163,1.842075318,3.038684982,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.517461383,,0.2735632659,2.594146072,2.187048478,7.972784992,8.349665552,39.89258203,
Togo,,,,,-7.902837329,0.844321289,0.9082202381,1.448110411,11.2691004,5.896633493,3.760880398,1.059267827,1.963415463,0.1884872345,-1.383694409,2.134876378,0.5762013813,0.5724626024,0.9403710666,0.677704648,1.120070971,0.4044085881,-0.7743564025,-0.9625422988,1.569206827,1.998548538,1.181188694,1.400974751,1.900133741,2.700024453,3.154090198,4.787888445,3.61513936,1.917831351,2.880051246,3.64003311,3.510769187,1.948220631,0.7549876033,1.537460505,1.302010624,
Tonga,,,,,,,,0.1171667551,0.1202863633,,,,,,0.03260300038,0.2160970512,0.2607311962,0.06027131233,0.02679942115,0.1631785634,0.1742313125,0.2715291517,0.8930248838,1.572716535,1.434915699,0.5077593406,0.1297868988,-0.004961534263,0.02422457204,0.4921911157,2.546232371,0.6682615619,-0.1813651392,1.626757991,1.922886299,2.77463731,3.410034605,9.06575969,1.197118596,-0.01163107727,4.654132928,
Trinidad and Tobago,10.12350205,11.51920353,7.94725956,5.012278239,5.88407841,3.805592798,5.285288148,2.66169297,3.616543501,2.038784066,2.959354934,3.768098548,2.54700021,1.509129632,1.459591321,0.01604763434,-0.3030180011,0.6907172676,1.39893317,3.444202985,2.158844598,3.157686979,3.21544793,8.271346906,10.43366598,5.609349904,6.17063284,17.41706089,12.07482582,9.447822868,8.333011135,9.460759717,8.777486591,7.1938665,7.746389497,5.879635009,4.805059251,3.818112119,10.32250969,3.597901674,2.666482599,
Tunisia,,,,,,,2.431482058,1.824900775,1.529849189,0.6844584886,2.683209229,3.507899288,4.183682688,2.205335369,1.372335201,1.282368229,0.7122514598,0.9458236869,0.6004173777,0.771644491,0.6206453094,0.9595328286,3.39259638,3.84625648,2.763534384,1.466043368,1.2167962,1.634444652,2.980500468,1.524817399,3.502865915,2.047773454,3.417199787,1.970193724,1.903831994,2.239704524,9.512869854,3.934593714,5.879026596,3.665850834,3.162879974,
Turkey,,,,,0.179775716,0.2554123487,0.01950072886,0.04601476853,0.05218964536,0.08389816781,0.02616686422,0.1337274396,0.08521010846,0.07458054912,0.1883650118,0.1472448519,0.1650644194,0.1319218997,0.3896412058,0.6187971612,0.4539533028,0.5362773479,0.5305006336,0.3525063246,0.4652224336,0.5221672043,0.3978497263,0.4240532504,0.3490698216,0.3135116671,0.3683869497,1.710157935,0.4653071769,0.5617063412,0.7101579553,2.076898285,3.802033605,3.406756575,2.670546169,1.36830955,1.236987947,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,2.484881581,4.021680201,9.386726712,4.541706722,4.4022963,2.390923182,5.100611272,4.509990241,4.80936257,6.185526824,3.780882417,5.172299512,5.160188109,7.111583749,6.75922963,6.626357388,20.73399932,10.41463457,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,2.204418776,0,0.3242743946,0,0.3919296224,0.1461272668,-6.609157828,4.245843493,167.3826768,0.05368206664,0.1820524836,-0.09014353079,19.9903046,0.4972059435,5.584865124,8.541015665,4.784566271,
Uganda,0.3334511396,-0.08467450086,-0.7981379606,0.305555604,0.08099306994,0.08899981164,0.0837657827,0.02724358974,0.08139618439,0.09350054347,0.3213858156,,0.09276693456,,,-0.1136462043,,,0.07220847063,-0.03335556448,-0.1373013815,0.03010480197,0.1049884277,1.695420934,2.210287817,2.105695199,2.001791578,2.791365385,3.189155246,2.337226332,2.594761836,2.593888445,2.988527352,3.190820333,3.720440644,4.111665017,6.457341799,6.649080957,5.047222959,4.990630579,4.803891378,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,0.2704811941,0.3046525353,0.3025715441,0.5537825735,1.169260492,1.242263277,1.773979219,1.570582531,1.90329792,2.083698124,1.634707852,2.840447064,2.643216859,9.064101556,5.200779928,6.930401218,6.063033576,4.108241595,4.708933891,
United Arab Emirates,,,,,,0.1083510252,0.2572734149,0.4512745898,0.1645368339,0.206818392,0.2239513878,-0.03433777467,0.2038920143,0.106393608,0.4071952414,-0.5441875274,0.3246855397,0.1284048845,0.5207070698,0.09354878539,-0.2284353098,0.05031796378,0.2391629437,0.7214719498,0.1053197894,0.6081954677,0.4084748671,0.2948159862,0.3404853023,-1.166835753,-0.4852815191,1.145892137,0.08678136375,3.422662616,6.76715192,6.034830889,5.765713028,5.495455808,4.358847875,1.480644772,1.326497633,
United Kingdom,1.192350553,1.2546474,0.7447376488,1.487484297,2.211997536,1.403630878,1.323418117,1.725416204,1.164904995,1.531321844,1.867992619,1.14155953,1.102592621,1.112097805,-0.07914725675,1.179591794,1.502302701,2.272718937,2.651449853,3.682752883,3.308754972,1.558133193,1.516730487,1.683643677,1.011242469,1.878067522,2.245963466,2.759977862,5.127059891,5.94476586,8.269481327,3.66123966,1.584091177,1.484278033,2.604400456,7.779087365,6.304579926,7.183802228,3.547316418,3.358387347,2.341947746,
United States,0.1229508197,0.07816009343,0.1102040816,0.1548236325,0.2241066021,0.1576937292,0.1796473385,0.1440206595,0.257029877,0.3420483586,0.6117434508,0.8115857981,0.3864671438,0.2985542787,0.6348066865,0.4781590518,0.8004293785,1.244355062,1.14059938,1.254664779,0.8431870348,0.3908476234,0.3163627072,0.7805070714,0.6596313614,0.7876376322,1.116228664,1.278871192,2.048163826,3.111955704,3.245585323,1.632026891,0.7966799494,0.5748836706,1.235711927,0.8953949617,1.823240503,1.580321543,2.16895271,1.128846528,1.619457533,
Uruguay,0.09966115509,-0.0295653248,-0.0520666159,0.03506297499,-0.001955869485,0.6398566961,0.08589750471,1.604018831,2.623081361,3.000899501,2.848562698,0.4398852643,-0.1492569436,0.1097548227,0.07009960309,-0.1669478056,0.6292396138,0.6800141064,0.56979256,0.4467379639,0.4467224034,0.2885904169,0.08774547268,0.6765699359,0.8841414972,0.8114972223,0.6668140081,0.5273313931,0.6464211146,0.9810729558,1.176821582,1.420153754,1.423941363,3.456918483,2.428477141,4.880529961,7.627845632,5.67891414,5.958539348,4.145807616,4.166162521,
