Male 5-9 years (%),1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Guam,5,7.692307692,12.5,11.62790698,12.76595745,12,10.90909091,11.29032258,9.85915493,10.52631579,10.12658228,10.71428571,10,8.333333333,7.920792079,7.619047619,7.407407407,7.01754386,6.896551724,6.779661017,6.779661017
Guatemala,13.78225299,14.91803279,15.10242973,14.53561016,14.61370262,14.65901848,15.00282008,15.31936128,15.39318334,14.94876432,15.21029732,14.86856959,14.51612903,13.778732,12.94996604,12.05834018,11.13207547,10.22339028,9.374229093,8.578775129,7.876304024
Guinea,12.79693487,12.5528914,13.43187661,13.64692218,13.85416667,13.89713155,14.11967284,14.38278596,14.61761859,14.70588235,14.58628842,14.28878384,14.11313519,14.00869274,13.57226792,12.91753653,12.15029849,11.40072049,10.74156434,10.13615734,9.540723608
Guinea-Bissau,12.84046693,12.23021583,15.6996587,12.24489796,12.79461279,10.14492754,16.22276029,14.12803532,13.01775148,13.19444444,13.66459627,14.09028728,14.07588739,13.94335512,13.671875,13.2572432,12.79809221,12.23750905,11.67883212,11.11789859,10.63950198
Guyana,12.56038647,14.34599156,16.18705036,15.57632399,16.14730878,15.10989011,13.87434555,12.96296296,13.2231405,10.86956522,10.35422343,11.08247423,9.743589744,7.989690722,7.631578947,7.547169811,7.541899441,7.225433526,6.769230769,5.940594059,5.776173285
Haiti,13.41385887,12.49273678,13.60042172,13.878327,14.22413793,13.95256917,13.35714286,13.93129771,15.37803138,14.57260556,13.76082378,13.15392896,12.21449851,11.67128347,11.05744351,10.51693405,9.969372129,9.361329834,8.797653959,8.286176233,7.840062721
Honduras,13.23529412,13.85681293,15.17857143,15.38461538,15.64121572,15.9076331,15.34246575,15.44983514,15.41903987,14.97498213,14.6529563,13.61652604,12.42448122,11.62735287,10.84390031,10.04260499,9.210275928,8.403967538,7.676384337,7.000332557,6.620489691
"Hong Kong, China",6.594488189,13.44800625,13.75158428,14.50666667,13.6159601,9.333333333,8.19047619,7.703230387,7.563312799,6.506960181,6.178205526,4.983287754,3.494623656,3.835145965,4.445057979,4.396782842,4.2703694,4.00931195,3.810741688,3.933011926,4.21185372
Hungary,8.730512249,8.767123288,9.800664452,8.324831667,6.602832635,7.162426614,7.864302236,8.423114594,6.650592727,6.439854192,6.237134623,5.328040117,5.196451204,5.434782609,5.424020663,5.308964317,5.200528867,5.073759499,4.988662132,5.098759761,5.271713888
Iceland,9.85915493,11.25,11.23595506,12.37113402,11.42857143,9.90990991,9.401709402,9.016393443,8.59375,8.02919708,8.391608392,7.382550336,6.50887574,6.52173913,6.701030928,6,5.882352941,5.339805825,5.263157895,5.238095238,5.238095238
India,11.79114602,11.87639472,13.86024563,13.68173607,13.37893098,13.06885097,12.8321272,12.8112713,12.5834215,12.21921097,11.90969575,11.07288259,10.41579972,9.644853425,9.024471722,8.375294385,7.72437595,7.087202599,6.59644976,6.420919121,6.22122202
Indonesia,12.40919781,11.70911882,13.09017967,14.05259609,14.12225491,14.07735244,13.68004138,13.00062674,12.25403611,11.12733036,10.23813002,9.543072119,9.219210422,8.555710649,7.818504636,7.113659935,6.814849916,6.656012033,6.491243046,6.266555825,6.004576788
Iran,12.12438854,13.71416787,14.60918395,14.55176768,14.66385411,14.912847,14.38512775,14.41622731,15.57365827,13.72071702,10.57330827,7.648575945,7.930808544,8.409451946,8.135665227,7.471643216,6.451684104,5.97008501,5.977069634,6.055884492,5.926339055
Iraq,12.69284712,11.81078638,16.72852598,13.99817017,14.35176267,15.84530026,15.56115309,15.48347613,15.2183454,14.83344405,14.30065149,14.53972699,13.79093595,12.78609155,11.75490196,11.0189678,10.49235856,9.93448969,9.299663533,8.687283878,8.159668542
Ireland,9.536423841,10.37288136,10.39325843,10.51903114,10.77441077,10.50975456,10.5971897,10.02816901,9.738041002,8.207705193,7.199576496,6.787762906,7.139747497,7.47243773,7.170542636,6.424062384,5.840200645,5.611361275,5.693235097,5.849853754,5.852417303
Israel,9.119010819,12.06313416,12.96641791,11.57407407,10.95890411,10.86053412,11.80223285,11.28480703,10.76033793,10.0792752,9.523809524,9.746529873,9.656889873,9.301130524,8.564535585,7.939767283,7.540628386,7.300930714,7.093184979,6.778033794,6.392523364
Italy,8.683324473,9.367521368,8.501687008,8.412412412,9.002545707,8.685104318,8.1210833,6.68115942,5.54368686,5.1503542,5.087630359,4.849421935,5.008204567,5.074939947,4.69396055,4.340419733,4.250283009,4.313264671,4.483179362,4.652310295,4.728715419
Jamaica,12.31671554,12.25033289,14.30395913,15.21997622,16.90450055,16.07324517,13.94686907,12.12653779,12.33822261,11.60493827,11.61137441,10.96625767,9.662921348,9.31085044,8.946608947,8.720514653,8.262108262,7.620416966,7.137654771,6.701414743,6.498470948
Japan,11.78642641,13.00084569,10.35876595,8.276033985,8.211401147,8.29691938,9.023498695,7.408965471,6.366043356,5.470541362,4.979427188,4.852714175,4.696293421,4.377495582,4.067428858,3.84714205,3.804309431,3.862174803,3.948839413,3.990550251,3.98959592
Jordan,14.63414634,15.31791908,14.43965517,14.18563923,14.88595438,15.13622603,16.65221162,15.2758133,15.23022432,13.37183474,12.77866242,12.50873515,11.06088005,10.98623209,10.25774538,9.214354995,8.396075747,7.770562771,7.247877407,6.799601196,6.599574221
Kazakhstan,8.847102343,10.6614786,12.9621936,14.19107392,14.12733608,11.41599413,11.39716115,11.01037971,10.92930302,11.36954262,10.06412043,7.768595041,8.113157192,9.73874806,9.331651955,8.477937531,7.503059976,6.9494803,6.916289053,7.058684893,6.947861746
Kenya,11.5497553,13.51197263,15.15748031,15.58550969,15.86170023,16.03871929,16.43412767,16.54404251,16.50959561,15.90709904,14.37875112,13.92383828,14.14096916,14.46389403,13.73835002,12.65458828,11.73519296,11.1519218,10.7298315,10.24397523,9.644266928
"Korea, Dem. Rep.",18.12261397,15.8769369,9.624732646,14.4561882,12.90463692,14.87560913,13.14346997,8.4517822,9.675785208,8.980855856,9.404221213,8.341240404,7.080168776,6.524258983,6.49751972,6.674153698,6.581046586,6.208,5.842007585,5.727124183,5.821378224
"Korea, Rep.",14.63363646,14.16935026,15.41461085,16.21337446,14.90387666,13.2014904,12.19876306,10.04789414,9.164808621,7.368656383,7.884607067,6.96065532,5.26754112,4.871531346,4.714782253,4.538379618,4.451516905,4.338312645,4.185402975,4.040856554,3.998505232
Kuwait,9.782608696,9.836065574,9.248554913,10.7266436,13.23877069,14.38979964,12.04055767,11.06557377,11.010682,8.486017358,7.300884956,6.695331695,6.574585635,6.639839034,6.220984215,5.704407952,5.368035787,5.20632472,5.212922173,5.231530576,5.187220886
Kyrgyzstan,8.072289157,8.68596882,12.62135922,15.34693878,15.59633028,13.11989956,12.91974957,12.30138391,12.88971615,13.51351351,12.32596233,10.67546584,9.346476816,10.0275672,9.66787241,8.761904762,7.718536888,6.949924127,6.846038864,6.798699379,6.578171091
Laos,12.78928136,13.0387931,14.55938697,14.11564626,13.93072289,13.97350993,14.9689441,14.42676906,14.40798859,14.86261449,14.73528323,14.44178901,11.85438706,11.45862951,11.08502869,10.72806172,10.16223524,9.326534948,8.563926479,8.090364935,7.765186699
Latvia,9.727164887,8.833522084,8.494623656,8.49609375,8.333333333,7.358156028,7.785467128,7.460184409,7.760711399,8.790252393,6.330275229,4.648956357,5.033881897,5.708661417,6.093906094,6.020408163,5.625,5.010660981,4.808743169,5.122494432,5.649717514
Lebanon,10.17881706,11.72839506,13.77497371,14.70054446,14.3902439,13.49782293,13.31403763,12.82593376,12.64685556,10.82654249,10.66594478,10.10505253,8.20931349,7.52886836,7.486631016,7.346585998,7.109802272,6.738321621,6.252554148,5.968331303,5.913325233
Lesotho,13.58381503,14.59459459,14.86146096,15.31322506,15.54621849,15.6899811,15.91289782,16.07669617,16.30727763,15.98513011,14.83578709,14.54545455,13.50253807,12.83783784,12.41890639,11.93895871,11.34380454,10.87328767,10.34482759,9.958506224,9.613804437
Liberia,13.51351351,13.24503311,12.83524904,14.96710526,15.29745042,15.01240695,13.57370095,14.62522852,14.87371375,14.6875,14.60272011,14.58837772,14.27170181,13.81833836,13.29258976,12.5984252,11.82296503,11.08910891,10.44270833,9.869375907,9.286523216
Libya,13.55932203,13.93728223,13.87283237,13.57142857,13.93129771,14.84315226,14.96640195,14.90713587,15.47153412,11.79952644,9.978463747,9.801367633,10.02365464,9.970116816,9.376583882,8.287292818,7.126383764,6.398578094,6.307659301,6.525353283,6.549067315
Lithuania,10,8.916666667,9.87460815,10.38961039,10.25118805,8.886027044,8.587429994,8.028759736,8.176100629,8.362573099,7.434491164,5.90081607,4.924491136,5.152542373,5.489923558,5.610795455,5.535324108,5.231689088,4.857363146,4.848966614,5.224489796
Luxembourg,6.802721088,6.578947368,7.096774194,7.975460123,7.784431138,7.262569832,6.214689266,6.145251397,5.882352941,6,6.603773585,6.52173913,6.147540984,5.836575875,5.860805861,5.862068966,5.863192182,6.191950464,5.882352941,5.698005698,5.737704918
"Macao, China",8,12.90322581,15.29411765,14.28571429,12.97709924,8.527131783,7.874015748,6.622516556,9.340659341,10.55276382,8.530805687,5.603448276,3.831417625,4.460966543,4.642857143,4.593639576,4.210526316,3.873239437,3.533568905,3.597122302,3.703703704
