General government expenditure on health as percentage of total expenditure on health,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Indonesia,35.72074291,36.37807424,35.02495024,34.11464257,34.61584619,36.14781649,43.16823585,38.09619351,40.07149395,39.48355253,38.06441721,41.41627667,45.77441372,46.47652085,46.10407029,49.08335677
Iran,44.75630565,47.41189143,48.53627399,48.53864415,42.40478635,41.63832425,43.69033385,44.02857358,45.81662151,43.46688912,44.20821292,46.36838815,44.60770528,46.30695724,41.11845758,40.13146464
Iraq,,0.41,0.39,3.26428857,3.17926391,1.13670749,1.74068483,2.85831042,45.3669751,72.17530385,67.35152728,63.80629317,69.48484073,74.62972189,78.06910783,81.18189287
Ireland,72.51978298,71.53886545,74.93416803,74.68159488,75.25749936,75.06705914,75.73307065,76.27840547,76.47690244,77.35763456,76.95769351,76.791196,76.88231523,76.70168223,74.90733548,69.1572485
Isle of Man,,,,,,,,,,,,,,,,
Israel,69.21768222,70.87604364,69.58384865,65.66649138,66.02245879,63.99487396,63.22522963,64.6249175,62.91516239,62.25586847,60.48687054,60.26233295,59.41695286,60.3542699,60.32275821,60.32275821
Italy,70.78290469,70.5838667,70.84900725,70.35359404,70.74757094,72.51041233,74.64869767,74.50019909,74.49078477,75.96017306,76.19938182,76.58324249,76.55309576,77.50627627,77.87885943,77.61674175
Jamaica,52.58560971,60.04921007,56.18702122,58.60792299,50.25691822,52.63308093,43.378119,57.4029498,50.5519264,56.69296603,48.81257967,54.72946984,52.03135301,53.54394409,55.36669405,53.50646547
Japan,82.26806902,82.31009207,81.22967712,80.3875794,80.7345727,80.81215802,81.40031773,81.26405794,80.41506031,80.75004467,81.57614921,79.44690828,80.37926324,80.78126041,82.31618743,82.52704437
Jersey,,,,,,,,,,,,,,,,
Jordan,62.07467827,59.71705079,58.39223536,56.94555603,53.32902914,48.01089215,48.33474311,49.87285325,49.3934049,52.86510827,52.75015023,54.84884927,59.84274192,61.8842248,70.30243647,67.65878933
Kazakhstan,63.81392579,63.39612077,64.12102479,63.8724448,52.33782593,50.85847322,56.55152243,53.42144494,54.44996267,58.01655817,61.93267626,58.4912094,52.16297167,58.47543563,59.20692324,59.38879733
Kenya,46.37644676,40.08750216,38.8462473,44.40415732,39.84549023,46.2704731,44.72508923,42.81640384,43.36734548,41.85147493,42.23061331,41.30221871,42.38320613,39.70245286,43.33835953,44.30072206
