"Murdered women, per 100,000, age adjusted",1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Kuwait,,,,,,,,,,,,,,,,,,,,,,,1.954169,,,1.439959,0,0.1786274,1.65148,0.648312,0.6927709,0.42968,0.6967098,0.3771638,0.999512,0.6485848,0.435391,0.2825757,,,,,,0.547937,1.621264,0.8897748,1.678689,0.4541694,0.3619701,2.035722,0.528559,1.648131,0.90492,,0.9405847192
Kyrgyzstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.906421,3.663173,,,3.309295,1.661278,2.954347,3.66793,3.002673,6.432447,4.443369,5.464494,7.351169,7.165354,6.775204,5.972047,4.782862,5.039915,3.498475,4.563915,4.322614,4.470932,4.335384,3.61881
Laos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.837399483
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.427594,4.326058,4.046922,4.003641,3.659555,3.370313,2.84352,2.266279,3.26669,4.895378,4.113721,5.190306,7.079783,10.64047,10.57777,8.86517,6.973507,9.733626,6.202632,6.674498,5.593057,0,5.668045,5.32703,5.563358
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.171588182
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.637527943
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.153287411
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5502484441
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.506567,3.781941,,,2.628943,2.732821,2.460425,2.784401,3.370057,4.128116,4.040565,4.815607,5.198666,6.276248,6.24751,4.840159,4.77664,4.325969,4.1712,4.563696,4.108271,2.981263,4.643355,4.146065
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.359734416
"Macedonia, FYR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3941483,0.9121284,1.06147,0.7865247,0.5655047,1.438383,0.8510826,0.8836324,1.078936,1.356053,1.015076,0.8567227,1.423954,1.468997121
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.433015347
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.541779518
Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.321380615
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.753256798
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.839009285
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8598206043
