Per capita total expenditure on health (PPP int. $),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Jersey,,,,,,,,,,,,,,,,
Jordan,225.85545913,237.10006766,262.91223087,271.62784755,282.31901154,305.26650616,331.29978065,343.43419396,342.82330912,372.74045233,383.00829157,364.45846743,414.07050594,466.30054359,493.17797446,448.44630141
Kazakhstan,168.10434191,163.87305991,185.46563394,193.53506522,184.9240197,198.6921505,193.1490386,224.29855051,255.05034562,305.40742182,353.59880127,387.72567048,373.13848432,440.44591147,514.48170253,540.51646414
Kenya,45.54183466,45.71103566,45.25620373,50.41109927,47.65536817,53.26480359,54.37029734,53.13666666,53.34372076,54.15481627,58.68878943,65.0206061,68.56038596,66.10042594,75.31617562,77.72016975
Kiribati,145.63215989,151.82934968,163.14277975,135.32492661,172.64585974,165.55920998,179.7301363,189.12172076,217.29335217,238.94346353,229.40461083,252.6665734,323.87243738,305.63602282,294.37234093,257.53241329
North Korea,,,,,,,,,,,,,,,,
South Korea,480.32493647,543.24595615,579.54022774,566.65704431,665.32537691,770.62587228,917.84805512,966.12466239,1045.59969677,1135.76948863,1290.61597876,1468.66360087,1650.52261826,1735.58149792,1879.18549619,2023.01088006
United Korea (former)_x000D_,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,
Kuwait,1065.89459775,1005.48741534,1083.47612552,1295.73137931,1010.52040976,704.62007815,1001.11982302,1003.7778693,1060.56803628,997.77148411,950.28791129,941.91459641,917.07385525,1051.78104185,1671.28012016,1132.53508395
Kyrgyz Republic,68.33424575,67.44079628,65.18332929,82.21779372,74.23881264,61.75846105,67.61641473,77.7817672,84.8325906,95.66932619,102.61100964,119.4978258,135.24340007,128.3047346,147.82152681,140.25707978
Lao,37.56685935,44.34514012,64.83231635,68.00617877,42.13392336,39.89428514,50.87275424,52.30495999,66.46786057,68.37550633,71.87531621,72.45350403,78.35203313,93.64346795,92.38241865,97.15043491
Latvia,316.13820212,357.18808505,408.43675438,443.45445091,477.09250672,479.07141424,543.77724308,614.60415647,650.99373993,762.76260966,826.61639165,1014.81428013,1197.64462814,1187.69477703,1066.42389564,1092.5223703
Lebanon,752.17594445,790.99463255,828.65560192,858.97811985,778.54803816,754.04970109,745.45265286,711.7494331,704.05024669,772.59354371,772.54775996,802.17890944,908.97280664,921.15539419,964.68453164,980.43396361
Lesotho,64.76054737,66.29608048,61.9123838,63.6047331,62.18937399,67.91569706,78.90492337,73.52896222,77.25332991,78.16251732,74.87432375,89.88066313,116.06706558,127.07181662,139.25251165,169.9684408
Liberia,,,,15.26064163,18.15160168,21.39684996,22.71972035,21.2713586,15.71627151,16.25039318,17.66217816,25.06461079,45.58909347,48.15363514,49.60513402,49.25285003
Libya,223.00422532,213.3798099,221.12528752,263.85946508,390.34097969,373.57323905,447.0331067,527.48853427,531.74588192,436.35677987,397.23501599,387.93333245,473.67232993,514.88128302,722.40810052,712.65050445
Liechtenstein,,,,,,,,,,,,,,,,
Lithuania,333.57392206,372.327391,419.948657,486.7304007,497.17769509,559.4941311,601.01372477,679.50411132,783.83298322,739.50459973,833.03294779,999.4957304,1137.40179204,1300.01282359,1291.94052399,1299.46345756
Luxembourg,2166.43894934,2275.06674758,2286.75752845,2451.70231283,2859.18665074,4010.94717376,3991.58213399,4756.10378038,4653.68565332,5332.52492165,5430.32287996,6084.05303699,6030.32405328,6075.69247553,6591.55655889,6743.0242363
"Macao, China",,,,,,,,,,,,,,,,
"Macedonia, FYR",423.0178985,445.13200734,480.30219987,551.94564589,497.63239352,520.36995193,496.01051043,565.04039711,597.51690812,612.76995856,637.40175377,687.39051889,651.60928292,742.95128753,763.43315965,790.97153283
Madagascar,19.93268326,22.63398777,24.78078628,23.90435716,24.72862072,29.75331077,32.26163402,27.89429905,27.80111943,30.18919257,32.11231658,36.15028641,40.15881629,46.46258799,40.62962195,36.31271608
Malawi,25.02359617,25.43053663,29.05659292,32.16066877,38.1449633,35.85044689,28.32430606,27.18339772,37.56948033,48.87225344,52.92245284,62.6610404,57.16615469,57.91900904,64.7211988,65.36785294
Malaysia,214.79974817,233.39848871,231.38362361,235.02360055,256.9276815,281.40957273,324.34960754,345.43881682,423.21348808,422.10497141,411.10834041,484.50375803,506.20322097,532.6958581,628.743326,641.13211899
Maldives,124.09011258,142.81909605,157.93419801,172.66036397,189.55060257,217.45280476,216.01598108,226.11753684,322.17667066,364.01729271,425.58456982,497.97004949,510.73109264,621.40941283,457.27934401,463.99855157
Mali,31.63874113,46.86277665,45.58290675,43.52292804,45.42117763,46.39828485,54.89245442,46.29222082,49.43399548,53.43917917,55.01611442,57.28562003,56.36871217,56.16635949,56.82421922,55.58031823
Malta,876.8372822,893.77278152,1000.25097864,1052.12004747,1098.82331368,1247.87622366,1319.38324932,1568.16199174,1649.59071077,1765.76484332,1967.44797897,2058.19697524,2033.73512244,2095.80007265,2140.87232552,2261.40085351
Marshall Islands,325.06584866,392.55468628,399.44027972,278.77019801,267.39654151,332.60552306,303.20400417,301.17407706,283.27683586,311.29923429,310.61735372,340.20054739,371.02635617,340.03429277,391.53910372,377.0870178
Martinique,,,,,,,,,,,,,,,,
Mauritania,54.97372677,46.02905901,45.66191586,56.2840603,72.10543182,72.73068696,61.22500995,73.93564448,69.84736009,81.73393908,76.27786891,71.35071057,84.57150212,94.31608497,78.91708575,79.00587725
Mauritius,212.27088166,219.4937875,234.08738081,252.70564153,254.40470236,304.68149039,323.21454164,363.70765652,363.02360797,415.93125945,466.94950909,541.4611409,600.25090971,652.6571887,714.11644121,802.6551929
Mayotte,,,,,,,,,,,,,,,,
Mexico,385.88785108,369.9130248,406.79177759,434.04549266,470.02926069,508.4350315,551.92721974,583.83946416,628.95971898,688.39771229,730.45370476,776.27006343,841.59665923,890.60969221,920.0872603,
"Micronesia, Fed. Sts.",223.07599602,206.95137363,180.3965098,170.23422275,192.26085191,212.91946658,239.92905782,225.99129088,279.59388302,300.96895776,369.83008906,373.55235438,376.04040686,402.23833731,423.71752446,450.71552871
Moldova,115.18951656,126.97378514,122.157933,98.69549693,72.42361797,97.71581205,113.64564481,141.48233411,159.60973776,179.97966753,216.20939206,272.21511996,296.62132178,343.14030332,356.68987255,360.40311605
Monaco,2247.61774299,2226.16091531,2433.10402794,2475.25421617,2784.54864712,2823.20471435,2977.07206471,3100.11751179,3705.11035209,4015.03537544,4183.14531395,4331.79315724,4513.59323231,5444.11302307,5932.46241409,5949.03610358
Mongolia,50.55235011,61.5381549,66.23435263,70.53077496,77.24867058,89.85619842,92.67419582,103.55851362,99.51040922,100.13433184,96.23344678,112.32344889,161.10136404,220.76856394,216.53221816,217.52530886
Montenegro,439.614297,419.14653472,429.14075165,458.89879199,428.9063518,474.37269359,552.84589302,582.35300875,650.63363028,663.45114318,717.53312244,851.30047372,960.18414082,1096.30188004,1215.08530855,1155.27335453
Montserrat,,,,,,,,,,,,,,,,
Morocco,82.97324729,91.87506198,96.05863409,97.77740934,101.51328163,109.1856007,126.03508466,156.51733781,166.39249185,176.24225604,179.83719925,205.17883436,212.2614555,227.6194151,241.11011988,246.00703515
Mozambique,16.58534724,14.84524394,17.3344905,18.97303782,23.10231604,26.72538558,27.35885057,32.13854659,32.00607349,30.99747146,38.71969316,39.75556339,37.92593766,34.42262512,47.40048971,48.68607508
