Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Gabon,21.903,22.02049,22.13363,22.23929,22.3582,22.46353,22.56431,22.66049,22.77291,22.8877,23.00592,23.14247,23.26579,23.41311,23.55586,23.71741,23.89582,24.07538,24.26376,24.43896,24.60761,24.76765,24.91982,25.07514,25.23539,25.40611,25.58094,25.76457,25.95121
Gambia,20.03307,20.14893,20.27363,20.41185,20.55073,20.69229,20.86157,21.02528,21.18862,21.36146,21.53997,21.71549,21.87857,22.04121,22.19134,22.3403,22.49764,22.66777,22.8482,23.04659,23.23764,23.43574,23.63134,23.81644,24.01381,24.20729,24.41034,24.61564,24.82101
Georgia,25.7688,25.81893,25.86046,25.91248,25.95523,26.00093,26.03347,26.06067,26.08604,26.09822,26.08228,26.01797,25.88204,25.70626,25.56143,25.48309,25.45346,25.46192,25.49816,25.54228,25.59522,25.67591,25.77232,25.88601,26.00189,26.1218,26.21885,26.34015,26.45014
Germany,24.72684,24.77291,24.81385,24.85018,24.88941,24.9334,24.97543,25.012,25.0546,25.10253,25.14284,25.1968,25.25234,25.28572,25.31828,25.35103,25.39147,25.42401,25.4601,25.48559,25.51645,25.54752,25.57631,25.60041,25.62407,25.64736,25.67338,25.70588,25.73903
Ghana,20.88734,20.92107,20.9527,20.98174,21.05385,21.12942,21.22626,21.34407,21.46354,21.5896,21.69897,21.8301,21.97155,22.11708,22.25509,22.39609,22.54765,22.69738,22.85303,23.00865,23.17104,23.32327,23.47061,23.6076,23.75587,23.89845,24.04518,24.19248,24.33014
Greece,24.08765,24.12624,24.15597,24.17237,24.20835,24.24274,24.24868,24.26067,24.29445,24.33792,24.36139,24.39794,24.43087,24.45173,24.48214,24.50314,24.53248,24.56323,24.58858,24.62485,24.65409,24.69536,24.73157,24.77047,24.8148,24.84957,24.87347,24.89717,24.92026
Greenland,25.88384,25.93564,25.97113,26.0033,26.03245,26.04354,26.06956,26.0922,26.1235,26.16381,26.18693,26.21166,26.22446,26.23635,26.25965,26.29168,26.32197,26.35991,26.39041,26.42237,26.4604,26.49154,26.52729,26.55802,26.58244,26.61248,26.63008,26.65427,26.68019
Grenada,24.04597,24.13171,24.21969,24.30735,24.40606,24.50783,24.62475,24.75666,24.8882,25.02804,25.17063,25.317,25.45151,25.58239,25.70459,25.80682,25.91009,25.99494,26.08856,26.19033,26.29778,26.42088,26.54267,26.66401,26.777,26.88584,27.0136,27.17113,27.31948
Guatemala,22.89971,23.06741,23.20926,23.3296,23.44,23.54743,23.67025,23.78384,23.90705,24.03159,24.16488,24.30263,24.43747,24.58809,24.74387,24.90045,25.05412,25.20292,25.35308,25.50237,25.65081,25.7983,25.94954,26.09578,26.23879,26.39038,26.54244,26.69132,26.84324
Guinea,20.44329,20.51619,20.58161,20.63402,20.68589,20.73221,20.78547,20.83604,20.89736,20.95652,21.01443,21.07575,21.14527,21.22004,21.29019,21.36783,21.44557,21.51949,21.60001,21.68763,21.77557,21.86325,21.94696,22.03484,22.11969,22.2031,22.28621,22.36866,22.45206
