Ratio of young literate females to males (% ages 15-24),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Philippines,,,,,,,,,,,,,,,,,,,,,101.5436693,,,,,,,,,,100.6242509,,,,,,,,,,101.3360619,,,103.2083243,,,,,101.516773,,,
Poland,,,,,,,,,,,,,,,,,,,100.0371608,,,,,,,,,,,,,,,,100.1002004,,,,,,,,,,100.1002004,,,,,100.1033739,,
Portugal,,,,,,,,,,,,,,,,,,,,,,100.5711293,,,,,,,,,,100.1164145,,,,,,,,,,,,,,,,,,100.0678963,,
Puerto Rico,,,,,,,,,,,,,,,,,,,,,101.4825974,,,,,,,,,,102.0474387,,,,,,,,,,,,,,100.2283105,,,,,101.1316197,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,103.0535456,,,,,,,,,,,101.7918576,,,,,,,102.7971855,,,99.86890197,101.6432957,100.2501327,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8507988,,,,,,,,,,100.0361064,,,,,,,100.2608107,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0586406,,,,,,,,,,,,,100.0924922,,,,,,,100.124312,,
Rwanda,,,,,,,,,,,,,,,,,,,74.91524191,,,,,,,,,,,,,100,,,,,,,,,97.87994069,,,,,,,,,100.5066719,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.82849072,,,,,,,,,,,,,100.1007049,,,,,100.1594042,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,81.54345527,,,,,,,,,,95.87097201,,,,,,,,,,98.83153457,,,,,,,,101.000571,,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.28244089,,,,,,,,95.55314559,,,,97.65108884,,,,,97.80464874,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.06552199,,,,,,,,,,,,,,70.04927889,,,,76.62800918,,,75.72627856,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.92298793,,,,,,,,
