Breast Female Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Hungary,,,,,,12.22,12.06,12.08,12.09,11.86,12.16,13.08,13.58,14.72,13.49,13.62,14.08,15.29,15.11,16.21,16,17.64,17.87,17.63,18.12,19.31,19.74,19.82,19.68,20.42,20.38,21.12,21.11,20.47,20.22,22.2,22.07,23.03,22.06,22.99,22.52,23.48,23.5,24.04,24.43,22.91,23.15,23.5,22.94,23.13,22.87,22.08,21.44
Iceland,,42.87,19.27,14.08,10.77,18.83,13.28,8.71,20.92,14.9,23.58,25.41,28.5,18.68,25.86,24.08,24.88,11.27,30.42,17.72,14.82,23.94,23.8,15.4,18.58,21.11,14.66,20.51,24.12,19.63,13.71,12.98,22.52,20.03,24.67,23.32,13.28,25.71,22.61,21.89,29.04,21.1,22.36,30.26,22.69,35.38,15.25,23.64,19,16.75,13.06,12.26,16.27
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4
Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.4
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9
Ireland,17.81,17.65,18.3,19.58,19.51,17.39,20.95,20.8,18.49,20.76,19.79,19.09,20.77,22.07,22.57,21.44,19.88,22.94,22.26,25.37,21.92,25.14,23.72,26.08,25.98,25.47,26.36,24.22,26.52,24.65,28.24,24.47,28.72,25.53,25.84,26.7,26.94,26.91,27.72,30.38,25.7,27.55,27.55,25.72,26,25.95,24.58,24.6,22.34,24.4,24.77,23.77,20.4
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,23.72,26.41,23.95,23.3,24.5,23.51,21.97,21.87,27.16,24.75,22.43,23.73,23.59,24.48,22.87,23.49,25.97,24.65,25.59,25.64,26.51,24.58,23.56,23.14,23.16,22.97,21.82,21.62
Italy,,12.41,12.89,13.23,13.65,13.62,14.29,14.33,13.86,14.46,14.67,15.09,15.24,15.52,15.86,16.17,16.12,16.8,16.67,17.55,17.44,17.92,18.38,18.36,18.76,18.64,18.78,18.62,18.84,18.99,19.21,19.75,20.05,20.47,20.89,20.59,20.39,21.07,20.85,20.91,20.59,20.71,19.67,20.61,20.07,19.72,19.5,18.74,18.06,17.37,17.76,17.44,16.96
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.3
