Lung Male Mortality,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.5,33.52,,,39.7,41.09,42.18,45.36,47.7,45.88,42.57,42.12,41.42,44.01,40.75,41.29,35.03,31.37,28.11,28.11,30.59,28.48
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.6
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.5
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Netherlands,22.92,25.86,26.45,27.61,30.74,30.83,34.27,35.31,36.52,40.22,41.81,45.47,47.6,50.47,52.54,52.85,56.33,59.82,62.09,62.83,64.88,68.02,67.5,70.15,70.4,72.97,75.34,74.28,77.89,76,77.9,77.85,78.2,75.91,77.18,76.75,76.96,74.82,74.94,71.72,67.3,67.53,66.23,65.15,62.74,61.25,58.83,57.72,56.19,54.37,50.45,50.42,49.33
New Zealand,16.86,19.48,21.99,21.84,23.68,26.49,26.78,30.16,28.74,29.93,27.96,32.24,34.7,36.6,37.55,37.78,41.04,37.39,45.11,46.05,47,45.99,42.33,45.44,48.88,49.66,51.74,50.33,48.49,49.49,48.64,49.44,46.14,50.98,51.01,45.16,47.92,47.38,44.14,42.92,42.19,40.21,42.35,38.93,38.42,37.47,36.93,35.27,33.42,32.8,31.58,30.17,29.74
Nicaragua,,,,,,,,,,,,0.49,0.51,1.41,0.9,,,,0.26,1.37,,,,0.5,0.52,2.12,0.28,1.36,1.2,,,,,,,,,,3.62,3.5,5.47,3.43,3.42,3.83,5.09,,5.1,5.55,5.41,6.1,6.33,4.6,5.52
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1
Norway,,7.08,7.72,7.21,8.92,7.95,9.15,9.01,10.39,11.53,12.7,12.57,12.28,13.67,14.24,14.56,14.44,16.45,18.27,18.55,19.39,19.52,19.42,20.24,19.83,22.8,23.26,24.09,24.85,24.66,24.24,29.57,28.92,27.53,28.95,29.54,30.97,30.7,31.23,29.66,30.06,31.6,31.14,32.1,32.02,31.45,31.06,31.37,30.56,32.04,30.03,30.01,31.95
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.6
