Annual population growth rate (%),1953,1958,1963,1968,1973,1978,1983,1988,1993,1998,2003,2008,2013,2018,2023,2028,2033,2038,2043,2048
El Salvador,2.014,2.622,3.133,2.854,2.478,1.922,1.393,1.282,1.443,0.744,0.377,0.443,0.6,0.723,0.822,0.8,0.641,0.509,0.405,0.32
Equatorial Guinea,1.048,1.178,1.325,1.531,-4,-1.547,7.096,3.764,3.509,3.142,2.815,2.602,2.367,2.291,2.082,1.877,1.704,1.565,1.456,1.342
Eritrea,2.041,2.38,2.576,2.631,2.714,3.091,2.564,2.358,0.303,2.633,4.027,3.104,2.799,2.235,1.941,1.762,1.654,1.545,1.384,1.182
Estonia,1.044,0.943,1.197,1.115,0.958,0.563,0.697,0.547,-1.705,-0.983,-0.346,-0.11,-0.034,-0.071,-0.176,-0.301,-0.35,-0.301,-0.22,-0.202
Ethiopia,1.926,2.105,2.437,2.558,2.586,1.443,2.956,3.25,3.31,2.79,2.614,2.588,2.489,2.3,2.084,1.869,1.664,1.481,1.303,1.121
EUROPE,0.998,0.983,0.96,0.682,0.601,0.494,0.396,0.392,0.176,-0.022,0.078,0.091,0.034,-0.029,-0.101,-0.162,-0.2,-0.216,-0.236,-0.263
Faeroe Islands,0.235,1.483,1.183,1.203,1.063,1.249,0.963,0.779,-1.847,1.072,1.287,0.629,0.604,0.611,0.57,0.449,0.303,0.202,0.145,0.129
Falkland Islands (Malvinas),-0.529,-0.534,-0.654,-0.796,-0.736,-0.645,0.011,1.46,4.061,3.34,0.517,0.412,0.268,0.136,0,-0.103,-0.176,-0.224,-0.206,-0.168
Fiji,3.014,3.185,3.269,2.292,2.034,1.909,2.238,0.415,1.19,0.86,0.647,0.62,0.463,0.31,0.394,0.286,0.174,0.025,-0.123,-0.262
Finland,1.097,0.9,0.596,0.183,0.453,0.287,0.507,0.341,0.481,0.255,0.273,0.383,0.318,0.235,0.134,0.04,-0.052,-0.104,-0.111,-0.094
France,0.736,1.021,1.312,0.804,0.757,0.458,0.528,0.517,0.403,0.385,0.628,0.525,0.399,0.32,0.256,0.213,0.175,0.123,0.057,0.001
French Guiana,2.298,2.553,4.117,3.709,3.06,3.975,5.084,5.581,3.513,3.49,4.025,2.711,2.419,2.221,2.037,1.832,1.613,1.406,1.232,1.091
French Polynesia,2.678,2.677,3.148,3.546,3.153,3.038,2.825,2.316,1.987,1.786,1.577,1.295,1.191,1.03,0.849,0.679,0.535,0.43,0.322,0.211
