Male contributing family workers (%),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Namibia,,,,,,,,,,,,,,,14.5,,,6.400000095,,,2.599999905,12.80000019,,,3.200000048,,,
Nepal,,,,,,,,,,,,,,,,,,,,,,5.699999809,,,,,,
Netherlands,,,,,,,,,,,,,,,,0.400000006,0.5,0.3000000119,0.200000003,0.200000003,0.3000000119,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003,0.200000003
Netherlands Antilles,,,,,,,,,,,,1.299999952,0.6000000238,0.6000000238,0.6000000238,0.5,0.3000000119,0.3000000119,0.6999999881,,0.1000000015,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,0.3000000119,,,,,,,,,,,
New Zealand,,0.200000003,,,,,0.5,0.400000006,0.3000000119,0.5,0.6999999881,0.8000000119,0.6999999881,0.6999999881,0.6000000238,0.6999999881,0.6999999881,0.6000000238,0.5,0.6000000238,0.5,0.6000000238,0.6000000238,0.5,0.3000000119,0.400000006,0.6000000238,0.8000000119
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,3.099999905,14.80000019,14.39999962,14.5,12.19999981,
Norway,2.799999952,2.200000048,2,1.799999952,2.200000048,1.299999952,1.899999976,1.600000024,1.799999952,1.700000048,1.600000024,1.399999976,0.8999999762,0.6999999881,0.6999999881,0.6000000238,0.6000000238,0.400000006,0.400000006,0.200000003,0.200000003,0.200000003,0.200000003,0.3000000119,0.3000000119,0.200000003,0.200000003,0.200000003
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pakistan,,,,,,,,,,,,,,,,17.20000076,17.20000076,15.10000038,15.69999981,15.69999981,16.70000076,16.70000076,16.39999962,16.39999962,18.29999924,18.29999924,19.10000038,18.60000038
Panama,,,6.5,4.699999809,5.5,5.699999809,5.800000191,7.199999809,8.300000191,7.699999809,,,5.5,4.900000095,4.099999905,4.5,4.5,3.799999952,3.200000048,2.900000095,3,3.400000095,2.900000095,3.099999905,2.799999952,2.799999952,2.799999952,2.299999952
Paraguay,,,,,,,,,,,0.400000006,,,,,,,9.100000381,,,10.5,,13.60000038,10.89999962,,,,10.80000019
