Imports of goods and services (% of GDP),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Malaysia,38.44152478,40.8843485,41.77479987,40.90618774,39.19192992,37.61535422,36.32951941,35.04836336,36.19549097,33.63463173,37.31104843,36.81966826,35.24187582,33.81999174,45.35031979,42.54117373,39.02845945,40.22020196,42.88050304,46.47769967,54.26974929,57.70174023,58.76796655,56.09644263,51.62583469,49.0766845,49.49644647,49.02509792,56.2087235,65.31221623,72.42213349,81.48649729,74.62736625,79.02062993,90.75462459,98.02447422,90.19047588,92.37566515,93.74848014,96.25952311,100.5970803,92.96214465,91.0509299,87.25168291,95.00092818,94.63465054,93.9074683,89.42806546,80.02468576,74.84905602,79.49276792,
Maldives,,,,,,,,,,,,,,,,,,,,,205.1169682,209.0150843,195.4695956,166.8690213,86.93782383,66.84758529,60.74610684,67.17681382,68.67900567,73.97035135,82.62663161,82.8615514,83.30602146,79.72534884,79.21026698,77.19810055,73.09564233,78.4554105,75.78096977,79.9254946,71.61830622,57.84639678,55.96438019,57.35167065,68.21039568,88.67169731,81.61415069,81.68931045,87.80555944,65.3115707,67.29506351,
Mali,,,,,,,,23.90371158,18.09512266,19.01222354,18.20152954,20.21575794,19.56931231,22.84322562,40.87014834,29.26440274,21.0311512,19.57941124,29.82856805,27.22603877,29.10271408,29.31958917,29.78094192,31.50378768,32.8211184,43.97380348,37.28396483,33.09216349,34.57744115,32.70882195,33.72754681,34.60043941,32.84515752,31.22550286,42.86765205,36.23811868,35.75160418,36.75702066,35.24657446,38.18750072,39.38289036,50.26696639,39.22333764,37.36218286,37.76377532,37.30721926,40.23052327,35.57664234,,,,
Malta,,,,,,,,,,,71.35881189,68.93919336,67.45876046,75.91178621,101.0805569,86.33231679,86.49141193,90.42913889,80.53209324,84.61933011,86.4064463,80.57035607,76.56058948,73.65833418,76.47608515,79.15216768,73.82461457,78.46772277,79.91317208,82.46829243,88.65010875,87.86584258,88.70582089,94.09325025,95.74010339,96.28719614,90.46254745,84.18920872,84.33083102,88.17040964,102.7042761,86.56983307,81.96193117,82.52934955,82.80909858,82.43234798,92.82192861,93.30895795,88.30883595,78.19049242,83.41087759,
Marshall Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,22.99161956,27.04719707,31.08756696,29.54331871,22.62492155,21.62159441,21.05360199,23.29832663,21.94422523,23.50614362,24.96127063,24.60692452,49.20603074,46.33998896,59.28841258,60.39777563,77.89495696,73.57380548,64.8456149,59.78753386,66.65642562,74.94532921,84.70312572,76.3028757,73.13771049,80.78802345,79.31299279,66.58464429,63.02860182,56.74050064,60.73168114,40.94122043,42.21904409,45.06337641,55.80165958,64.5165507,68.39221302,60.20820599,38.99473717,36.61691103,45.30321854,46.63004979,42.2672535,46.8123609,66.60890004,82.48062176,51.99249438,61.18734684,81.9249298,66.94931607,73.6201426,
Mauritius,,,,,,,,,,,,,,,,,57.41186561,59.19636441,55.32843923,54.19639681,61.16650994,54.95572306,49.76109564,46.80641514,51.80187139,55.18997064,53.61738514,62.24777709,69.39434091,71.23107186,72.15517241,66.04883918,62.5469302,64.28158035,65.46065331,61.08190202,64.27226626,66.34332674,66.51539326,67.41606075,61.94434447,62.53377771,58.78270278,55.38749021,56.39275043,65.85816455,72.90787133,67.1708677,66.09867778,58.36558829,63.77697854,
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,11.64923625,10.61979388,10.0947515,9.967493138,9.858269494,9.527160278,9.00746575,9.010688497,9.352493864,9.260790711,9.651780421,8.71908998,8.834187877,9.466293757,10.57588983,9.619655401,9.867471042,10.22074365,11.03788961,12.45290576,12.97391821,12.93573692,10.31556292,9.421007416,9.552644091,10.33384699,13.43424423,13.3859822,18.53783002,19.06173181,19.7053901,19.27245176,20.27153981,19.17368449,21.6033558,27.70343171,30.01892695,30.37346506,32.81413462,32.35655429,32.93322023,29.7739296,28.63910356,26.81631766,28.37370446,28.55306909,29.2158214,29.50796866,30.2807732,29.06491745,31.73566573,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,,,,84.31924883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.55808346,33.97683398,40.6166941,29.72409809,44.11641121,57.95794159,73.91702078,74.28636922,75.03824922,67.41971991,75.43191132,73.53492977,77.93391748,87.24663762,82.00039245,91.67175152,91.89767336,97.14084547,93.6035296,73.49164322,78.22795028,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,71.03374571,64.45757007,62.42176735,65.07162808,68.20658897,81.39310792,72.26225862,66.02250878,53.87737127,40.34719346,82.53532746,36.36265371,70.40986979,54.52660159,41.56228664,42.44975006,47.32510392,59.50769627,62.08289793,67.88985829,65.49998589,67.79063714,67.94734398,70.54154332,63.61207609,53.48671802,58.26597799,67.18097748,57.53575784,62.35185889,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.11021029,61.98641032,59.88442026,46.98801404,58.08701641,61.07581267,78.79661425,86.72322373,94.09854262,65.88065224,63.61764505,
Morocco,22.69861019,24.77806595,21.09284464,20.0788279,19.13706966,16.89008043,19.37345425,20.17384536,20.05436424,18.83218789,21.57934169,19.72592155,19.22295995,22.10602278,28.19260584,33.34596688,36.72938899,37.32119531,30.06835406,29.86461003,26.741531,33.3003522,31.96645235,29.16029108,33.59467147,33.35483042,27.779176,27.02762335,26.18629386,27.36634811,31.86169995,28.54711991,31.49094547,31.81558652,30.7469443,34.02428808,30.18627806,32.22983562,28.10541514,29.63967872,33.35138199,31.94215787,32.26035301,31.49316277,34.32412899,37.91528562,39.67894358,44.8641307,50.86921113,39.69218335,42.91602011,
Mozambique,,,,,,,,,,,,,,,,,,,,,27.35932129,25.75439682,26.21442042,22.76344098,18.35996363,11.46612528,12.02635463,31.38506696,37.29756666,38.64891837,36.06815374,34.89525874,43.94388171,47.25464479,48.00204713,41.04412348,29.45055204,24.61039874,24.55603654,33.71651449,36.98020985,38.48484952,48.85038234,47.61967265,41.78822985,43.94459223,47.22149128,45.15001699,46.35292565,42.8024968,43.22746573,
Myanmar,20.68288161,17.58292503,19.0417705,17.32440561,19.47437642,20.38300379,13.68477476,11.34561413,8.104054512,7.594553347,8.742689029,8.163265156,8.549943315,5.999147816,8.005581274,6.576649433,6.56652173,10.60503731,12.70125786,13.05578654,12.94258184,15.14925851,15.74415777,10.43092823,9.405377103,8.576682933,6.668021869,5.918658169,4.841099645,3.159642529,3.634822372,2.856869077,2.151328797,2.198957762,1.762427341,1.703573005,1.487285032,1.283241135,1.048034012,0.7425855583,0.5899559413,0.5179130623,0.2650546509,0.1736253301,0.124893586,0.09371059022,0.09989462852,0.07892916871,0.08508793127,0.06735452417,0.08765688467,
Namibia,,,,,,,,,,,,,,,,,,,,,71.107164,88.43457944,81.00102145,70.96323872,70.01668057,53.87417219,61.89111748,69.10383346,59.3511056,61.47627417,67.40667653,67.8436501,66.93438774,56.68673404,51.32068936,55.6666142,58.59702885,57.53686347,58.01266699,56.91839103,44.54562212,47.67316195,48.07507762,52.46890414,42.07689965,40.31011109,41.55993189,52.04490907,60.07162162,60.16167172,37.81878262,
Nepal,,,,,,13.92359903,8.756693924,6.952455114,7.500348328,10.21916101,8.302919708,9.129558793,7.917831657,10.37215321,10.54809586,13.36672554,14.17730189,14.31712889,15.47232828,15.96668942,18.73153316,19.61768129,18.80727988,21.31516664,19.44909969,19.9995711,20.30274209,20.90661405,22.38186877,22.28332344,21.66144504,23.18430384,25.73568701,28.75661707,31.43813481,34.51735942,35.64019356,37.70769982,33.88755007,29.71850916,32.42658529,33.28327214,28.49358898,28.54801912,29.46459146,29.47926069,31.31536622,31.72365136,33.74940232,34.6677658,37.05063977,
Netherlands,46.99355297,46.45638854,45.52940356,46.71260232,46.68452564,42.98567857,42.55734505,40.89208306,40.49260681,42.17232577,45.94562017,44.52621197,41.72730106,42.97641337,49.44450772,45.39948405,46.64525222,45.94271896,44.86876686,49.53531353,52.42226732,53.02957253,52.63045458,53.2909247,55.32548494,57.90755227,49.17359966,49.04312068,51.1934962,54.11873526,52.64516606,53.05021855,51.58945803,49.15493111,51.15601556,53.68389673,54.35067474,57.64543284,57.88216209,58.82965253,64.53536224,61.48892974,57.63197152,56.72310224,59.0194306,61.0992838,65.09784975,65.97618286,67.96634375,61.99721612,70.5822771,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.7123109,32.61814312,31.68139669,30.26531368,28.46180022,26.38781087,27.74724124,28.21995148,29.3790695,32.99178573,,,,,,,,,,,,
New Zealand,,,,,,,,,,,25.27171999,21.85679439,21.59004956,24.07861172,33.27091173,30.38016803,29.58984066,28.11269662,26.24450206,30.61216428,30.335786,31.46952342,31.27531178,30.12254821,35.00282478,32.01508956,26.5559849,24.26993298,22.5447765,26.03299308,26.27807555,25.89833604,28.52490617,27.38205587,28.46115914,27.89460969,27.14103455,27.28333575,28.69245598,30.8979146,33.35767553,32.26270088,30.16930551,28.32756354,29.27688959,29.57782481,30.03004311,29.15909128,32.11706044,26.45882561,27.18798417,
Nicaragua,26.16901552,24.55332678,28.90352296,30.24250805,30.49998581,32.40707891,34.12060905,35.04412819,30.39229764,27.18018059,29.19188615,28.53957956,29.64206232,37.80274468,42.60728981,36.93972944,31.84204213,37.42649495,31.24929146,28.13236275,43.26836167,41.7809968,26.0552264,29.99261788,29.45081127,21.82626151,20.8316025,13.76036648,58.27020516,65.19225748,46.34244342,52.50598972,53.26639893,47.85803991,32.18506274,34.67183813,39.24994734,47.87328222,46.74840297,54.5995502,51.10446028,48.31031651,48.68977306,51.45151997,54.75844487,58.55537445,62.46251484,68.17224794,72.59088239,60.48690442,69.63478158,
Niger,7.405343038,9.705342881,12.94779219,10.32227025,14.09864077,14.01556847,16.0857537,14.37481907,14.31272676,16.47303892,18.10069121,15.60106324,20.49460775,23.73501858,28.97298049,30.99365418,34.33782084,29.32952037,27.82870095,36.87119429,38.13207619,36.20952466,36.09351513,26.91020128,26.9694594,32.83374705,20.68547109,25.18253598,23.5865713,23.29929461,21.95735968,18.72915018,17.83669742,18.09737526,26.87971052,24.3111425,23.4620873,24.03965718,26.32383341,22.3885387,25.69509528,24.61430575,24.11422528,25.19055118,26.02926587,24.21914147,,,,,,
Nigeria,16.92498113,16.29988373,13.56035918,13.53729639,15.41319504,16.01725412,14.62245481,17.41107464,15.73620458,15.43006668,11.21352452,13.62935405,11.79551778,15.34983186,14.56845542,22.83159152,23.92228273,22.52285246,23.76223893,19.06226696,19.19613986,26.58075678,22.31035688,17.52817449,12.9529303,12.43949907,20.49765952,24.67098315,22.02653484,25.15589649,28.80953203,31.33575301,40.50093779,50.19994211,40.76178421,42.18442594,27.44481808,37.75077382,38.0670184,41.1325849,32.02784649,32.28870241,32.55346974,40.43994744,31.05732457,31.04668206,27.72951917,25.93938983,29.4549477,28.69634558,30.36019975,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,37.348662,37.13225335,35.51213447,35.91044321,35.66790003,36.01878714,36.64972155,37.90756457,35.61532801,34.76737961,37.34452155,37.5884789,34.47072201,38.11704795,42.96633621,42.28611377,44.78489998,43.84933794,36.01435998,37.33423022,37.14767809,35.99120908,36.36067578,33.94824962,34.04230572,35.38806586,37.68558677,34.62633275,33.65456575,34.46871811,33.78143637,32.05560719,31.13528673,31.52101043,32.04969919,31.7932199,31.83257518,33.14906069,35.81728577,32.04350763,29.42766948,28.82235324,27.74776856,27.39886484,28.39899544,27.84593654,28.16258797,30.45236284,29.50657717,28.02377494,28.75608447,
Oman,,,,,,,,22.42268041,14.73951715,11.9,19.66292135,32.13429257,43.75,55.19480519,47.75725862,50.69045248,45.9685719,44.04307643,48.72687345,40.71344637,37.65549296,38.08878441,43.15168132,38.06708407,37.57917713,37.18278803,40.92647163,29.06705369,31.35369825,,27.5991008,34.74133186,35.54794376,38.05479222,34.78751029,35.55614174,35.76596357,38.59101728,49.72464063,37.56279235,31.35145037,36.1254155,28.04514204,32.93492696,39.01127859,31.23790289,32.00480531,40.16510459,37.38835452,41.4872364,,
Pakistan,,,,,,,,18.11188567,14.7708518,13.8652279,14.66995197,12.78995687,16.98249376,16.3036318,20.77731376,22.39241661,19.37401373,19.02081556,18.47913183,22.75728412,24.09991671,23.01231745,21.76449889,22.97756949,22.6261363,22.81417811,22.66660345,21.00362682,21.67018514,21.7469584,23.371188,18.55774035,20.52855782,22.44087016,19.04453515,19.42278402,21.42702506,20.77031288,17.526934,16.96646348,14.6882827,15.71199416,15.31401272,16.12552834,14.63322921,19.5637946,23.21858064,21.34207894,23.88018901,20.39454926,18.76448788,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.51887186,46.20926368,55.59434571,52.91702084,63.4606298,66.93344916,64.38659871,53.88851006,73.88817905,106.0602521,89.45979335,91.28625842,78.96812463,88.54597185,80.79462002,83.04621554,64.07428373,100.2437802,,,
Panama,,,,,,,,,,,,,,,,,,,,,88.75416634,87.48347903,73.45058451,56.33189558,58.01265104,59.54091077,61.50132711,62.73699519,58.60908811,70.21790281,78.60234887,92.93771289,96.2056193,92.61240641,94.99476331,98.0698448,82.17783547,85.70507735,81.10587697,67.73740213,69.81885461,65.9233538,62.28529057,58.54235611,63.90795032,69.05727237,69.47773823,73.93957765,75.35196687,61.11448343,69.15991061,
Papua New Guinea,,28.13357731,27.91595197,30.96590909,34.29933969,37.9759193,40.1317674,39.6298078,40.07386,45.89599515,53.93822536,58.23863886,48.24992818,34.82016889,39.84154194,46.16423673,40.78091324,46.2687728,45.4196549,45.58985684,53.3224135,58.74376207,60.49622685,53.45157606,53.14557322,52.44007878,51.35481552,49.67242349,51.92265281,52.74649401,48.94675145,52.15498025,45.70210751,36.94602667,39.76805722,43.7009943,48.39884426,50.05045145,48.81944253,52.8884385,49.2434789,52.25040006,58.00330011,54.03110295,58.91886147,64.0693911,65.7897901,68.13451908,61.83636332,56.96720253,53.08103354,
Paraguay,17.73237645,20.36849853,14.67731039,12.97437028,14.33638479,15.7525516,16.14319857,15.62742587,16.77181678,18.20153258,16.1210248,15.94296265,13.83915222,14.27011088,17.77726218,18.66791933,18.03857571,22.44131458,22.11457685,21.55609254,28.70363323,23.15881633,19.75040802,13.39689535,22.07251174,26.32288082,31.97066011,34.92160017,36.91400219,32.03432947,39.49312678,38.21434868,38.58348328,47.86810044,67.3624793,71.24819591,62.21545208,58.81648532,59.72457927,46.62812869,48.96783079,44.43958619,48.75694358,51.29451374,50.00533525,55.60966267,58.23735418,53.91644483,55.56439744,51.59740102,54.95595653,
Peru,20.82275497,22.80489507,22.5581039,22.16713304,19.3115833,19.51038475,19.68652014,20.72368449,19.38917184,17.27986783,15.99999973,15.17771482,14.78913892,15.76533103,21.93066565,21.9416884,20.22613191,22.72155706,20.05995814,19.08827809,19.41958986,19.69840668,19.54147103,19.49613038,15.40744522,16.45681162,15.32582395,12.71783903,22.60879039,12.25444324,13.83444792,14.4887065,15.60747563,16.01749444,15.69588272,18.25313547,18.15352181,18.5824083,18.53196452,17.45598353,18.1561232,17.79663603,17.30454212,17.79970637,17.81571546,19.16685927,19.85512881,22.41190582,27.08265335,20.39652157,22.24787591,
Philippines,11.47515382,14.02489369,19.23465574,16.95382182,18.49113208,18.95918999,18.30131039,20.60485833,19.49053126,17.77569415,21.04490457,20.41428811,19.46930767,19.88902426,27.35261104,27.10977304,25.24860272,24.12565056,24.93706988,26.63676688,28.47109116,27.17155073,26.13587997,28.08113212,25.07316757,21.89346422,22.37443072,26.22135906,26.93904517,30.26849815,33.28404056,32.58769354,34.02818523,39.80685771,40.13386244,44.18125125,49.29329875,59.2938354,53.89801488,49.42015002,53.36056603,52.88208903,55.68807513,54.69227825,54.06987225,51.74156444,48.362769,43.35861064,39.37022604,33.35803115,36.61619832,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.66141388,23.25923922,20.26357394,20.07829723,19.65186917,21.04696609,23.73945402,27.33466187,30.81284469,30.10359207,33.54639713,30.72076186,32.09795468,36.0046065,39.84314328,37.82622226,42.1616915,43.6312447,43.8691361,39.39871934,43.48463503,
Portugal,19.17469196,22.58068101,18.96328143,19.94360808,24.63456612,25.89921177,25.5628939,24.29936328,24.53456451,23.55714391,24.67919059,25.59385104,25.4617294,26.89571569,33.63977998,26.13215725,24.60309845,26.68772649,25.94674576,30.20936942,33.52663822,36.04829761,35.87756165,35.15925245,36.03505512,33.00921261,28.66352817,32.97157813,36.37274442,36.21011839,36.70382137,34.58935791,32.57404253,31.2715122,32.77367507,33.8996982,34.37427923,35.90486614,37.18354903,37.41174468,39.92557155,38.32198889,35.90449523,34.42351349,36.36279615,37.07200488,39.5915835,40.18723216,42.51853816,35.43971761,38.20666484,
Puerto Rico,72.16739155,60.10401553,63.77999022,61.6244197,64.23125694,64.85079872,64.3100514,63.01408043,62.21876856,63.15376356,62.75176054,63.38569394,61.41254402,63.04500311,68.79814782,73.78879001,70.31421157,76.45925609,73.256609,72.87843265,72.57639054,72.97141692,68.69758392,67.99370306,69.60746897,69.190996,63.2830225,64.78557669,65.67284353,70.18233684,,,100.5451424,95.36259733,95.73052562,96.90798704,93.9033343,94.51376305,94.30152497,98.65337736,97.65701811,99.92453664,97.49848304,102.6482305,102.0036918,101.0156747,102.2469025,99.35586275,98.63377632,92.42994851,92.3055729,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7741687,43.32928393,39.78347877,36.16622919,39.9624946,25.69218151,22.32930112,29.07581454,28.1269508,28.46736631,28.13058336,33.00397023,35.98098162,33.61140124,29.22606596,31.21891242,,
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.18020748,21.53455238,36.19883235,27.98739971,26.96571652,33.21277326,36.56899286,36.24036509,30.64841213,32.85039184,37.9001366,41.06942122,41.08061771,42.20151254,45.03464558,43.28263208,38.63365116,42.85208286,43.77215805,40.24456721,29.75733701,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.01221726,17.9447375,12.985341,48.25460284,30.49384876,23.19533361,25.89429471,21.84978584,22.52721451,24.55126255,26.17349478,24.03361805,24.21731741,24.4583426,23.87828723,22.16396134,21.51018253,21.00292642,21.54206226,22.07290571,20.50797627,21.70423643,
Rwanda,10.08403166,9.836064335,12.79999921,12.656252,12.61538511,16.9354862,19.99816693,15.41300965,15.13937162,14.35611766,15.2341975,16.86909668,16.25550659,13.44262351,21.33891813,17.69944675,19.39550731,17.66019976,23.80011977,22.75137821,26.38207286,21.75472989,24.15049083,20.75898989,19.66425935,19.88738867,20.15451683,19.14122867,17.60328773,17.28848408,14.06954974,18.05536934,18.26303885,20.50376104,64.79304231,25.82138124,26.19869579,25.67012115,23.20940001,23.19739415,25.66912841,25.47624153,26.23747544,25.12752697,24.76236242,25.21399987,25.28352585,25.53934032,30.18961322,28.97074874,,
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,80.29739777,74.7027027,83.75116063,97.14506173,89.45645056,80.59332509,93.35816263,83.07773665,77.87274454,77.03383163,84.44026018,84.35672515,83.34798759,83.14470296,80.44766627,68.97914227,71.1027186,64.53481933,74.55537721,78.65761689,70.87601078,69.96129032,66.92597284,65.32569693,58.72607109,59.12597173,59.03227908,51.12690348,54.80753918,54.40321545,52.69076361,57.81889811,52.10292268,44.57450068,
Saint Lucia,,,,,,,,,,,,,,,,,,,,101.8976011,94.21742713,85.43034691,83.83760979,70.99194937,63.2953734,70.97405553,81.8503937,86.01246379,95.1171949,102.1472355,84.16571967,83.38927023,76.54871189,73.59313019,71.37244489,69.31032547,68.50640858,68.54483531,64.53391996,64.28116827,61.84625755,58.94964851,57.65021237,66.01019611,60.17127254,67.5172614,71.76404334,70.33140334,72.70784109,58.03110343,60.38679843,
Saint Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,87.14647745,82.65776506,95.1895638,105.1403304,88.5224797,88.73044081,85.64508507,82.89139856,78.71907605,79.99305785,79.96044987,82.81084072,82.69062043,76.82188504,79.85812085,68.35342687,67.84811225,70.30557541,65.48714094,66.17550601,78.12053735,78.33839223,72.30927191,50.27737511,48.42464043,46.28724824,49.90958455,51.96705337,52.67516685,53.20609217,58.68242574,61.27775231,55.36790429,55.02879933,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.25950548,59.84696225,56.56861751,53.36246204,56.28866479,62.27529393,57.19241702,79.15171633,75.53861302,53.96835949,50.1536487,55.41540317,58.98413974,57.05631644,54.37594279,55.29613266,58.81131196,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,24.71525518,24.94257564,23.12528351,18.93926935,19.13013983,21.64830251,13.32627808,21.84689834,24.31506249,32.63117908,41.69011141,34.28671792,27.3391721,30.15084209,39.20320108,47.79205167,45.34823693,36.64241504,35.78628543,37.13259149,35.2028188,38.07738154,31.60216164,36.63675982,36.192134,33.66087076,26.2349059,27.87607831,26.78621014,26.18247077,26.6379819,23.28902696,24.90218154,24.07401333,23.77624737,24.1147682,25.91920713,27.79494465,31.82420235,37.74050793,37.09501423,43.10562953,35.43568765,
Senegal,14.29656444,18.74476017,18.11322431,18.00482785,18.22141976,16.96955295,18.13332473,18.37151412,25.0798183,27.53693616,26.42461133,27.6749713,29.24444219,32.31958042,41.02314675,35.0361371,37.09169193,43.56700833,36.7270384,35.18272672,38.35635286,51.50592888,43.43326605,51.78039558,49.18998716,39.23033801,32.65049558,28.95603649,29.59418132,30.90776225,32.18560787,30.91765283,30.74156934,29.37255526,39.06695039,37.32745523,32.76459233,33.55209808,34.26227447,35.0541669,37.2167906,37.7642929,38.96523972,38.74214202,39.37186609,42.5171031,43.04938236,47.70533516,52.42951718,43.04764343,43.0151093,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.14487868,30.90652778,27.86325706,40.49376189,39.35182433,40.14248422,41.83494687,50.11603734,47.16591942,51.43132559,54.71790401,57.62804344,47.04931414,51.39466834,
Seychelles,,,,,,,,,,,,,,,,,90.37199125,82.39350913,83.34173811,78.24361201,79.13791273,72.60753241,75.96570956,63.93393091,62.65330962,63.76462777,55.90778098,50.06805645,57.68324607,62.49282022,66.74292105,62.07262259,59.61642355,64.47711354,55.28584208,61.88331543,75.74594032,76.58326265,76.72508044,85.28377851,81.42786531,103.0459268,85.17958487,83.99160148,95.83666584,102.7343034,106.8638069,128.8625271,137.9506016,123.7369016,,
Sierra Leone,,,,,29.51622278,31.28165173,31.61819538,31.31433096,26.84775334,25.19268885,29.28108092,32.38659036,29.03382221,23.40366289,26.13347244,34.47126985,28.92645799,26.72976906,24.00784971,27.08566927,38.21722092,39.7384296,25.93331204,22.03507313,12.40520256,16.60939217,15.01014199,23.18885692,14.39148818,17.6707771,23.76862555,23.61015322,23.37217215,21.83202623,25.6486294,26.48313188,35.48382591,15.1535239,19.04369456,28.04139989,39.27933772,34.26108429,35.8725567,40.81128665,33.45316194,36.49801513,32.53297151,27.79155241,29.39232041,29.03524261,29.53545639,
Singapore,,,,,,134.3672457,130.5621796,121.7027455,131.2037228,141.6445153,145.1140231,139.909906,122.3835808,127.4769702,164.6434784,146.5169833,156.5694843,164.4651026,169.5009535,190.7201054,209.5542908,202.2091943,187.9723867,166.9883289,157.5996529,153.0026759,146.6645418,161.767123,175.6375995,168.445337,167.3825767,156.3059993,149.9341986,152.09519,150.9536734,166.3461367,161.9564764,156.9574492,147.4608531,163.0413039,179.5801065,172.500463,171.5641145,179.8111548,193.8970266,200.5805128,204.5493992,186.6161154,212.4879503,176.2892111,183.005063,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.05167621,34.02101808,32.13617758,35.53956754,49.29621574,74.27023774,60.75064136,53.94374875,55.54814374,64.12708168,66.00956411,70.01851531,65.65484362,73.02514748,80.79726142,78.39803412,77.75677411,77.32410988,80.91687502,88.52394941,87.96031825,85.73747546,71.59631577,82.37234454,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.52989632,74.2490197,56.18636177,57.66447551,56.30775647,51.53084741,50.8706697,52.16306606,52.56394314,51.41682616,57.16912011,56.00677311,53.90956059,54.02664845,59.09975012,62.58613991,67.05783264,71.27955136,70.36290047,56.953407,64.8600513,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,79.26380368,62.73224044,72.17391304,56.05590062,62.38372093,74.85013624,56.52719665,59.48995363,67.25721785,64.69281046,76.40565712,62.26670273,68.82968166,68.77165457,58.5312076,55.80968446,65.58813776,52.67078008,42.10458637,38.63246319,35.89058742,30.47957954,31.67567568,42.36714632,54.60583309,57.23534659,56.38105366,57.75675167,51.27157072,61.53615083,
Somalia,17.14505671,23.08252438,27.51407775,25.97315723,30.43608846,20.63875597,22.57398259,22.25312971,21.51855,23.65118981,16.73899944,19.9127354,20.54771493,26.87683285,39.98776794,26.88163455,23.84390724,59.21509679,56.10559982,75.52791544,88.48722098,68.37187815,68.05013513,72.68448708,61.07956252,19.30688783,29.39481668,31.2148393,22.18481574,44.89687052,37.74140482,,,,,,,,,,,,,,,,,,,,,
South Africa,25.31924436,21.98596069,21.2720061,23.8350581,26.3126417,27.58620757,23.83286648,24.9398471,22.87234037,23.10794598,25.33812774,26.08234246,22.81702437,22.76089227,28.54553617,30.15774164,28.96135768,25.22693521,25.64694426,25.76645425,27.34895616,30.36446983,26.86934703,21.00264914,23.65713059,22.56853492,21.76779684,20.34732847,22.60976287,21.38662382,18.76225058,17.47695565,17.30216901,17.81579935,19.85957785,22.09323007,23.19589988,23.43750493,24.51052175,22.74067425,24.91541385,26.07835051,29.08718916,25.54228286,26.72127568,27.85080601,32.45342652,34.22644762,38.6315876,28.2866765,27.51201174,
Spain,6.901322159,8.601501763,10.11912711,10.78005676,11.38362997,13.14597169,13.55625402,11.88360726,12.60040853,13.12857374,13.35302332,12.56301172,13.5000409,14.42068887,18.05399395,16.29774268,17.078463,15.51903768,13.50395956,13.78306568,16.84359085,18.6254251,19.06878435,20.18249198,19.73888255,19.50823332,16.72674956,18.13618468,18.93163379,20.26890565,19.39514511,19.23118046,19.30186355,18.7661334,20.80683087,22.38190539,23.08997478,25.43910653,26.88709585,28.52216256,32.16212914,31.04742624,29.45011423,28.69749364,29.9390518,30.96231041,32.70854753,33.6123933,32.22380905,25.52637122,28.42062468,
