High-technology exports (% of manufactured exports),1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guam,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,,,,,,6.265324896,7.291947599,9.513353292,9.150874133,9.097060422,7.17502327,8.513629352,7.940791797,7.617973695,8.4979716,7.489408617,7.317911472,3.380031945,3.441560223,3.564434333,4.202769097,4.590528422,5.683671346,
Guinea,,,,,,,,0.09597987155,0.06565531992,0.05538559001,0.07385350822,0.009344598664,0.09542915927,0.3268961801,0.0009583888759,,0.2828649281,0.218509471,0.1270977911,0.2512296704,0.1177305546,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,3.933057458,,,,,,,
Guyana,,,,,,,,,,1.530738619,1.733695237,1.711659837,1.955591946,1.626205532,7.214027251,0.6939464952,0.3351446021,0.1925960018,0.2856341175,0.2655521549,0.1107211621,0.04101692005,0.4417937493,
Haiti,7.13875276,2.743584974,13.81534997,13.79013969,5.905240467,3.957799195,2.064457087,1.583284673,4.791996817,3.543423516,,,,,,,,,,,,,,
Honduras,,,,,,1.444707459,1.960202074,2.779987805,3.271210297,1.499219523,2.627895245,3.386807038,0.4443447107,0.2009564605,1.872565353,1.012169063,1.476549663,6.253745658,1.273437832,1.430204569,,1.315192619,,
"Hong Kong, China",,,,,16.70023759,17.07176637,18.44223566,20.56571159,19.39501494,21.10548644,21.05626771,21.05718127,23.40700263,19.78441362,16.98076022,12.67960408,14.35209767,15.5996375,11.36362009,11.51720721,11.25305706,14.70895044,16.10010866,
Hungary,,,,,4.15397896,5.651729652,5.178781477,6.931477696,5.790023582,18.09564543,20.64480231,22.66881133,26.53428609,24.2319073,24.93343867,25.75538583,29.05280472,25.82748708,24.11858851,23.79265563,23.30431461,24.93819337,24.23588939,
Iceland,27.69921483,5.340830993,10.01254138,1.947317793,3.718243445,4.347914067,21.1336807,16.53203788,19.918246,19.93482971,20.45083847,16.60909962,12.85538733,10.10486459,12.00542838,13.64233689,14.04176464,33.96827921,46.88047286,60.66346169,40.74828151,31.44598071,20.86889363,
India,4.068699519,4.200619334,3.943481192,4.692855613,4.046947719,4.248778709,4.783519764,5.804881032,6.872112979,6.538267884,5.619516933,5.742129277,6.255549228,6.970229303,6.237803011,5.947717493,5.998070281,5.803803052,6.072403224,6.403290331,6.777733191,9.093724449,7.180548755,
Indonesia,,1.45487217,1.592896922,1.898487722,3.072878245,4.538731675,6.651505847,7.341590596,8.960798579,11.58807688,10.36910169,10.37253832,16.37362789,14.17833361,16.67002616,14.77894292,16.39094424,16.54892016,13.4699335,11.00217924,10.90277203,12.87447608,11.36808277,
Iran,,,,,,,,,,0.1470384775,0.238673643,0.3483009628,0.6078230878,1.110279473,1.534949708,1.667332921,1.864535365,2.487093059,6.307392087,,,,4.458197392,
Iraq,,,,,,,,,,,,,,,,,,,,0.08699610952,,,,
Ireland,42.34199414,43.58341123,41.1373716,38.38011078,36.58951214,40.14663688,40.86445861,45.95738348,46.7670313,46.45530764,44.43145022,47.07236771,47.83989232,47.6319454,40.79819131,34.67451384,34.04293876,34.73374007,34.52714006,27.25762938,25.72634234,24.26009355,21.22904555,
Isle of Man,,,,,,,,,,,,,,,,,,,,,,,,
Israel,9.932590103,10.68670019,10.6533169,11.25484443,11.69739801,11.98241338,13.0221088,16.01864703,17.04319947,18.54946882,19.79187274,19.29020494,28.9739031,28.31365773,23.21339986,20.94512687,21.37219542,14.02500387,14.50621506,7.479951259,11.11546355,17.6232548,14.66321363,
