Urban population,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
India,77837971,82690546.63,85192315.08,87781893.26,90465456.75,93248811.57,96250505.01,99363393.28,102594799.7,105953204.7,109445480.7,113751884.5,118228753.7,122879005.9,127704318.2,132705664.2,138133117.8,143751923,149557400.8,155541977.9,161699532.9,167286857.8,173009154.4,178867998.4,184867037.3,191007830.2,197206894,203536678.5,209989528.3,216555572.5,223225968.7,229747143.3,236352871,243037426.9,249795236.8,256620831.3,263510956.9,270460871.9,277462092.9,284504821.4,291581989.3,299776947.3,308037280.4,316369566.1,324784774.6,333291531,342182577.5,351170133.4,360260080.2,369459868.2,378773211.3,388524908.9
Indonesia,13586478,13970478.16,14552239.42,15157512.61,15787658.31,16443721.83,17142875.52,17868851.77,18621518.79,19400527.76,20205532.64,21270530.74,22373294.55,23513607.1,24691052.32,25905241.73,27303863.11,28745101.41,30230056.31,31760481.53,33337262.53,35330616,37385595.11,39497130.3,41657673.95,43860620.44,46276956.47,48737378.98,51241037.45,53788590.38,56380361.98,59193529.4,62053712.28,64958819.01,67906406.94,70894796.53,74518774.42,78197262.38,81936066.44,85744701.57,89630340.53,92511315.19,95442928.81,98414539.82,101409848.7,104416259.5,107451053.4,110493252.2,113550013.1,116633669.3,119753166.6,122824688.2
Iran,7263698,7765082.71,8123171.196,8496286.394,8885191.153,9290579.696,9755855.46,10242231.11,10748390.83,11272036.22,11812187.97,12391914.39,12992857.67,13621949.89,14288799.6,15001892.85,15724054.72,16494568.7,17320600.2,18210457.65,19169840.52,20179477.07,21254187.83,22390869.09,23584382.35,24827198.63,26050261.62,27313237.13,28576735.06,29787816.13,30908599.4,32023132.21,33037829.31,33995744.35,34964568.21,35995295.19,37095865.62,38262867.56,39470519.07,40675826.9,41846527.93,42934842.52,43989734.92,45023900.23,46058493.31,47109549.29,47878652.22,48654717.69,49435754.54,50217428.56,50995941.05,51672517.76
Iraq,3216208,3364850.25,3575653.234,3800030.818,4039881,4296779.54,4532955.765,4785699.588,5053788.45,5335011.937,5627633.149,5924797.686,6232251.863,6551368.689,6884386.936,7232682.851,7562735.264,7906447.388,8264352.549,8637005.518,9024982.443,9354511.612,9695139.461,10047222.18,10411127.28,10787233.1,11142307.53,11508984.21,11887639.97,12278663.89,12682458.11,13004950.86,13335549.61,13674454.95,14021872.05,14378012.62,14778153.1,15189312.35,15611790.89,16045895.55,16491942.69,16875959.04,17268824.82,17670739.09,18081909.1,18502544.13,19033213.4,19579057.34,20140509.23,20718013.92,21312028.39,21920955.29
Ireland,1297971,1310504.654,1332285.536,1356554.886,1379716.38,1401504.057,1424513.501,1448734.698,1472842.562,1499153.084,1529548.845,1558989.7,1593945.386,1631517.077,1670768.95,1710683.247,1747698.631,1782680.979,1819466.339,1855333.085,1888404.624,1917153.942,1941932.208,1962362.209,1981215.958,1991055.646,1996427.636,2001102.181,1997010.507,1993543.888,1999662.044,2018359.198,2039393.168,2056865.057,2072270.268,2090240.707,2115764.967,2146097.978,2177704.115,2211598.992,2250608.214,2297020.024,2346523.058,2395698.527,2450737.312,2515791.19,2588634.316,2659705.957,2714253.681,2747323.606,2769536.877,2791138.35
Isle of Man,26667,26770.14506,27011.21943,27410.26027,27934.49789,28556.20685,29105.64156,29740.60085,30415.82456,31071.81522,31665.66827,31828.27052,31895.47107,31904.7706,31907.31037,31937.00835,32362.91597,32825.56565,33260.15967,33576.04135,33717.59808,33725.47986,33561.46248,33345.17848,33240.22879,33361.5072,33761.76031,34392.7923,35142.76454,35844.49897,36384.16498,36725.76524,36908.03844,37005.98009,37135.53134,37378.52289,37759.78228,38244.23768,38787.9009,39323.4398,39801.61869,40105.13684,40352.55764,40559.71104,40753.05318,40952.12836,41164.30013,41375.527,41580.21374,41765.71839,41925.08448,42123.46504
Israel,1623567,1697010.84,1799656.464,1886623.128,1983009.6,2074492.2,2145027.39,2257542.9,2323490.79,2403560.88,2503959.3,2598970.374,2681283.816,2808059.364,2909400.318,2993515.65,3074805.23,3158448.47,3240078.3,3339062.7,3435248.74,3514193.92,3590855.11,3666996.5,3725590.61,3802419.24,3866271.258,3933865.076,4004311.972,4077621.504,4210729.4,4476885.196,4639481.014,4769790.952,4900380.754,5038519.7,5175929.128,5310806.688,5437682.222,5582055.5,5735756.67,5876617.74,6000315.3,6113850.624,6227170.95,6342288.918,6459707.923,6579843.64,6702242.688,6868936.272,7000218.228,7135404.725
Italy,29818622,30249745.16,30707681.49,31186944.5,31701070.26,32227840.61,32734462.47,33229237.47,33698442.69,34149823.86,34592379.43,34902383,35250205.35,35640208.73,36025313.08,36393136.29,36686239.62,36953960.62,37197840.58,37417850.34,37607539.63,37673734.84,37722688.79,37757424.42,37786911.03,37818885.63,37809627.31,37802165.64,37809110.43,37826146.95,37846480.08,37894940.06,37942953.19,37988435.1,38018457.54,38041344.45,38086153.42,38140443.2,38185563.36,38226136.82,38277623.84,38342932.13,38506029.9,38849503.03,39276944.2,39611328.22,39911882.4,40280671.06,40666256.77,40987375.01,41261765.25,41566680
Jamaica,550603,570158.5313,591844.3194,614646.4033,637577.5189,659982.4,682294.8735,704040.6964,725725.4065,748287.5922,772345.56,793544.404,816261.157,839889.8252,863353.3374,885981.69,907969.4994,928858.9866,949631.0395,971982.519,996942.87,1017924.348,1043133.413,1069982,1096335.513,1119127.064,1135852.824,1147844.992,1155484.304,1169400.76,1181711.6,1195278.351,1209399.218,1224090.364,1239368.715,1255252,1276416.538,1294772.253,1312507.699,1327669.145,1341665.784,1350754.815,1358459.082,1363835.843,1371400.456,1378923.608,1385344.62,1391763.854,1397505.232,1401685.044,1404979.816,1410840.882
Japan,40555376,60944671.24,62395831.87,63923414.61,65491767.87,67107936.78,68523996.78,69974060.4,71018192.29,73329292.66,75000055.65,76783374.26,78689497.69,80173434.52,82564436.08,84756490.4,85489214.14,86421561.55,87312598.77,88157603.84,88958688.5,89744717.95,90482954.2,91229795.75,91939308.83,92632808.48,93351294.01,93964652.15,94520154.67,95062295.78,95542280.43,96007051.22,96413878.44,96820762.27,97320376.57,97862490.24,98272915.19,98690416.97,99100130.78,99448619.6,99781986.3,101865167.1,103970395.7,106065201.2,107973631.8,109856669.9,111007954.9,112186807.2,113293660.7,114328156.8,115394920.1,116486531
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,429596,459593.0149,492596.4461,528766.3145,568540.2366,612075.36,655403.7326,702433.3417,751310.6515,799122.8037,844042.68,886182.5448,925289.9503,962897.5822,1001686.234,1043465,1090261.311,1140055.774,1192926.187,1248695.969,1307269.59,1387622.814,1474068.281,1565167.08,1658217.955,1751887.96,1850910.32,1953693.62,2058912.68,2170829.6,2289659.3,2604022.29,2787931.322,2965015.389,3132442.453,3287411.75,3401803.594,3520128.53,3642556.799,3721905.517,3828788.8,3938022.515,4048315.128,4163702.216,4279779.28,4392893.355,4509122.394,4625593.548,4742712.702,4862946.27,4987142.31,5112416.358
Kazakhstan,4418232,4660793.565,4905302.992,5147109.225,5380915.027,5602827.7,5817970.472,6018756.691,6209379.229,6396692.254,6585935.581,6756161.599,6928192.893,7100036.138,7268241.011,7430450.194,7552124.586,7675517.995,7800652.933,7927552.192,8066255.045,8215846.778,8367819.735,8522208.986,8679050.093,8838379.12,8911538.356,8985295.669,9059655.899,9134623.926,9198365.68,9244687.485,9226935.338,9154669.59,9011701.885,8844256.429,8705332.336,8562983.793,8410659.605,8325194.96,8294495.934,8250387.675,8220712.981,8218298.543,8245280.943,8288302.799,8346212.871,8411663.43,8483834.091,8679117.742,8770828.571,8881427.537
Kenya,599714,636354.8394,678166.3598,722274.2823,768797.7413,817873.8418,878418.9312,942428.1934,1010199.211,1082084.542,1158426.138,1261182.244,1370525.11,1486815.065,1610388.243,1741597.02,1882151.667,2031161.7,2189201.451,2356944.454,2534973.563,2650285.213,2770813.939,2896276.831,3026249.57,3160358.322,3305417.188,3454756.484,3608223.061,3765682.695,3926933.204,4133180.815,4345845.948,4563705.205,4785062.505,5008759.244,5240479.583,5474789.358,5713708.07,5960285.976,6216986.203,6494978.598,6784852.233,7086199.585,7397948.688,7719459.348,8058813.754,8409215.176,8772680.687,9151991.717,9549244.274,9979760.383
Kiribati,6634,7037.941805,7458.730586,7891.73243,8336.333091,8792,9361.245277,9944.57544,10541.8734,11153.23902,11779.032,12531.9141,13295.69457,14076.62668,14882.12913,15720.786,16232.5296,16800.83487,17417.26678,18072.63701,18757.004,19310.22841,19902.34825,20522.49728,21159.45566,21801.65,22479.77149,23169.63597,23871.06819,24583.87527,25136.41015,25805.61438,26404.80375,26961.50725,27522.61025,28125.22432,29583.23203,31110.86792,32708.39164,34369.76057,36089.0158,36852.0313,37643.32094,38452.25909,39262.02095,40061.69388,40782.88175,41489.50096,42188.92447,42892.49807,43608.11622,44416.82704
North Korea,4400485,4619694.184,4838386.643,5061476.899,5298492.827,5556719.494,5944768.436,6359133.794,6797010.203,7252939.252,7721750.424,8009573.857,8299055.592,8584095.214,8857068.858,9112874.463,9272089.366,9410029.026,9536707.438,9666343.287,9809184.46,9988352.066,10182472.9,10386288.07,10591302.91,10791468.68,10984212.21,11172206.34,11360070.92,11554667.07,11760412.89,11974925.65,12199112.31,12425762.94,12644769.24,12848748.58,13024280.52,13183568.01,13329700.95,13467849.64,13601839.72,13732464.46,13858521.81,13979386.47,14093867.36,14201260.02,14302252.99,14397240.76,14487378.04,14574174.65,14658864.48,14754394.39
South Korea,6925856,7367307.54,7816471.533,8276244.198,8747134.67,9229740.3,9940341.271,10671442.41,11423583.44,12197462.85,12993937.92,13745590.42,14515665.1,15305102.36,16114981.9,16946522.73,17842190.7,18755020.14,19684217.99,20637169.08,21623932.8,22595335.18,23588678.62,24589987.76,25554693.89,26473300.56,27457208.06,28463575.4,29490291.8,30534959.52,31656184.36,32331147.64,33010101.26,33694469.36,34388840.8,35280312.27,35744135.85,36207983.77,36598297.73,36988072.18,37428239.68,37869403.91,38245513.93,38600867.89,38911686.08,39157856.1,39501832.87,39840737.6,40283950.12,40631906.03,40977195.3,41416526.23
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,208207,224611.139,258286.752,297313.1905,339684.7934,383843.8297,431507.9532,481289.7422,533284.9323,587823.2027,645148.9686,700910.9945,758595.4299,818075.5773,879200.9127,941886.5815,1009646.629,1079225.532,1151175.39,1226289.705,1305099.301,1379274.914,1453903.656,1531302.156,1614786.821,1705551.519,1797582.562,1897240.681,1986499.358,2041041.413,2045390.461,1990136.138,,,,1596052.782,1596475.86,1646407.571,1729886.533,1821866.732,1904105.145,1971876.072,2031251.188,2087444.713,2149277.297,2222741.025,2308879.918,2403830.711,2502888.418,2599420.275,2688620.251,2768861.531
Kyrgyz Republic,742995,778623.885,813166.566,849212.071,886255.701,922553.783,960528.222,998740.405,1037698.06,1075215.564,1108956.134,1136687.03,1165919.028,1195227.124,1226436.038,1257235.864,1285515.555,1313490.214,1340810.873,1368898.176,1397293.098,1421871.066,1448345.511,1476862.691,1504955.028,1531357.431,1555720.905,1580626.102,1603709.128,1632413.275,1658863.624,1673466.13,1679990.693,1667574.673,1654088.825,1657659.796,1672648.219,1687350.77,1703410.496,1718738.913,1729037.232,1745442.276,1761457.584,1779941.956,1801530.305,1821881.54,1841719.475,1859513.39,1877416.001,1900369.5,1923326.616,1948905.272
Lao,167800,174838.2045,180598.5572,186538.9641,192671.4413,199007.9238,210036.313,221438.1394,233314.9722,245814.3821,259028.6738,273982.3253,289805.3365,306034.085,321962.8845,337067.0661,350017.3142,361978.184,373653.3389,386145.6936,400340.8724,417476.5423,436611.8575,457585.5295,480000.7394,503535.9622,529689.0737,557122.6592,585839.7123,615864.6968,647182.9492,682437.6957,718994.5724,756570.7715,794779.6159,833294.5634,898048.7049,964065.5094,1031205.041,1099379.566,1168530.276,1247230.2,1326936.36,1407921.43,1490673.481,1575609.966,1666775.739,1760435.068,1856402.248,1954296.603,2053798.102,2151917.174
Latvia,1126241,1155128.625,1187939.025,1221444.311,1255622.723,1287767.086,1315320.216,1343553.49,1374666.942,1404422.915,1432319.239,1459145.621,1487488.361,1516636.673,1546838.085,1575779.324,1599831.944,1623552.863,1646624.527,1666644.186,1685225.786,1697787.423,1713060.255,1730625.517,1749032.625,1768075.329,1786073.806,1808034.674,1830179.567,1843185.94,1844232.068,1832876.762,1805200.389,1767388.455,1735530.867,1708476,1685983.56,1665938.514,1647011.805,1630394.781,1615219.7,1602669.766,1591204.447,1581855.752,1573026.838,1564348.16,1554505.086,1545162.35,1537082.496,1528164.137,1516166.657,1503250.8
Lebanon,798829,866878.9645,928434.0293,991948.6089,1056814.763,1122557.484,1188108.816,1253621.033,1320402.474,1390579.355,1465634.099,1541721.095,1622874.274,1705274.734,1783165.677,1852135.266,1905110.295,1947665.308,1983584.246,2019042.398,2058865.707,2100509.431,2148311.145,2199217.893,2248131.515,2291706.72,2315431.743,2333820.019,2355206.455,2391414.865,2450686.806,2525550.511,2623597.83,2734380.879,2842659.917,2937294.547,3010248.367,3068251.762,3116786.573,3164719.902,3218402.94,3274831.889,3335733.629,3397921.2,3456547.192,3508179.994,3551806.846,3588920.041,3621449.159,3652338.214,3683758.922,3716237.156
Lesotho,28950,34662.22588,40454.23085,46470.31654,52720.09412,59212.97088,64706.27272,70423.71478,76367.21722,82533.67068,88924.42752,95425.57116,102160.6296,109186.032,116585.5057,124431.0313,129023.0493,133907.1003,139058.2993,144433.7757,149992.8245,154860.6914,159854.8832,164897.8486,169890.4058,174761.5241,185287.0496,195907.1987,206666.719,217653.3626,228943.8516,243110.8467,257648.8386,272628.1498,288145.0883,304262.7311,321182.1156,338757.1627,356719.3212,374653.9962,392225.7142,410382.8844,428056.9363,445449.5069,462934.5009,480824.4355,500330.255,520306.2856,540758.3466,561646.3989,582933.7435,604925.8811
Liberia,196890,220854.4269,234403.8386,248566.6572,263385.5769,278904.5794,296298.9564,314521.1385,333621.0988,353654.252,374675.9393,398021.2651,422505.1261,448216.0812,475260.5402,503724.7492,534812.2572,567058.0124,600936.2449,637160.2237,676098.2351,715756.599,758033.9078,800121.2229,837941.2154,868393.239,879667.9281,883620.05,881796.7674,876691.4137,870727.5663,863160.7664,854756.207,851800.435,862605.4968,892798.4678,946875.3521,1022261.778,1109028.742,1192541.78,1262232.13,1313130.488,1348806.156,1377861.206,1413589.987,1465591.035,1537598.289,1625624.369,1723171.245,1820186.67,1909230.257,1989236.818
Libya,368278,400154.3096,433330.028,468429.6066,505964.4507,546397.8334,622635.7029,704849.0098,793385.1436,888491.5296,990439.74,1087657.177,1191670.999,1302851.976,1421572.624,1548278.1,1652620.436,1762230.401,1879280.017,2006864.552,2146979.22,2288978.842,2442594.406,2601848.001,2758071.522,2904674.855,2998201.591,3078297.675,3148669.784,3215163.936,3282182.389,3350780.64,3419973.391,3489697.208,3559378.922,3628720.339,3698679.154,3769333.376,3841439.711,3915907.84,3993385.059,4075424.73,4159864.343,4247423.501,4339019.144,4434829.126,4538402.222,4646399.914,4752635.423,4848757.197,4929215.521,4992741.814
Liechtenstein,3378,3432.538728,3481.185172,3531.63859,3585.76687,3644.38707,3706.277064,3771.200916,3835.22167,3893.072722,3941.19174,4016.945328,4084.374744,4146.086628,4206.141156,4267.29312,4334.0081,4401.74592,4470.32184,4539.003,4607.42362,4644.608,4681.3188,4716.47137,4750.0775,4781.7966,4809.142888,4834.770028,4859.038692,4882.810482,4906.75008,4945.55556,4984.68096,5023.777016,5062.335888,5099.69562,5078.770048,5054.95452,5028.75972,5000.50988,4970.6589,5002.535978,5033.946704,5063.697436,5089.73142,5111.06776,5135.30628,5155.113348,5172.283852,5188.585512,5205.90336,5232.931168
Lithuania,1097529,1142351.859,1187030.376,1230720.233,1275403.104,1320809.525,1367790.416,1415402.448,1462854.001,1508107.174,1555872.884,1614348.81,1671308.394,1727111.681,1782929.933,1838524.916,1890002.105,1941700.245,1992858.852,2040859.432,2087446.079,2126161.395,2167996.951,2212608.993,2258298.417,2305299.876,2345870.76,2388827.386,2432983.367,2471177.199,2499109.856,2501157.217,2496237.509,2482235.832,2462888.998,2441841.281,2421191.542,2401255.067,2381799.864,2362853.561,2344199.185,2329534.392,2318920.656,2306559.206,2291717.848,2275121.47,2264131.009,2254284.959,2245054.351,2235024.433,2202202.268,2149699.856
Luxembourg,219170,221906.8316,226182.636,230101.9252,234267.834,238540.77,241877.5447,244293.0938,246539.4246,249381.45,252255.0395,256673.9877,261832.7312,266789.8751,272367.3762,277457.5815,280814.6543,283286.6041,285782.8061,288445.1201,291472.943,292791.3867,293490.2572,294026.6312,294787.9651,295818.0631,297353.1003,299492.5915,301881.2951,305041.4694,309096.1195,314771.094,320506.5875,326385.0064,332428.4362,338721.5213,344075.1678,349135.9187,354235.4748,359791.866,365409.976,369941.4348,373994.5932,378726.0789,384308.7222,390397.8062,397863.9361,405263.8498,413802.5022,422789.0044,431852.9826,441587.278
"Macao, China",164495,167189.7019,173135.1308,180813.8202,189617.0549,198995.9836,208948.9441,219345.2186,229278.0963,237607.7819,243545.4684,246780.0354,247606.6757,246641.7726,244833.5012,242976.23,241035.5616,239197.077,238255.1945,239161.8856,242583.3337,248948.0254,257944.3319,269040.1728,281408.0217,294364.6117,307524.3209,321125.123,334616.1661,347348.1921,358856.4897,368725.9325,377212.6071,384619.8328,391438.0642,398067.4166,404516.5382,410828.033,417284.7234,424215.6274,431867,440265,449472,459456,470127,481390,493267,505709,518463,531195,543656,555731
"Macedonia, FYR",473280,495952.7862,520053.0269,545513.0846,571626.8208,597817.7594,625077.917,652471.7686,680210.2927,708675.6681,738183.6547,758452.2307,779380.5653,801090.6197,823729.7799,847333.1526,870162.6442,893962.4729,917703.342,939945.9525,959677.6527,973816.9888,985177.3325,995108.4294,1005625.563,1018205.31,1032939.039,1049840.745,1068066.653,1086256.317,1103396.005,1118596.848,1132771.349,1146201.865,1159385.846,1172690.819,1177106.722,1181455.927,1185611.879,1189376.13,1192616.509,1195528.443,1197955.55,1200010.561,1201855.401,1203605.27,1207094.938,1210498.023,1213768.277,1216829.789,1219626.634,1224210.516
Madagascar,540898,574407.3663,607035.6447,641068.2383,676556.2389,713559.9736,751940.6111,791961.5377,833764.1677,877524.9874,923398.002,978369.1817,1035964.2,1096280.135,1159401.942,1225392.524,1293789.229,1365291.329,1439585.303,1516171.807,1594724.491,1678948.615,1765490.62,1855133.696,1949039.649,2048201.735,2157664.71,2273315.696,2395317.795,2523658.233,2658392.088,2790366.806,2928777.996,3074024.244,3226577.66,3386815.397,3530554.295,3680813.391,3837277.807,3999441.712,4166944.209,4351361.35,4541939.003,4738935.475,4942735.158,5153662.531,5424354.576,5705581.456,5997502.984,6300227.392,6613922.407,6941998.427
Malawi,155272,162111.6528,169821.5794,177888.8018,186305.6478,195077.3926,209314.7191,224211.7635,239892.7307,256530.2522,274278.3784,297475.2302,322186.6496,348458.4277,376294.883,405698.4037,434736.8654,465591.3803,497894.8232,531051.7544,564710.769,594291.2266,623580.8333,655101.0953,692586.2368,738672.9589,799993.0994,871504.3581,947929.6192,1021032.487,1084431.115,1140517.326,1185159.688,1223154.785,1262798.121,1310828.711,1362794.551,1424224.994,1493285.415,1566318.335,1640521.252,1694674.187,1749831.791,1806730.598,1866578.568,1930312.247,1999329.859,2072329.752,2149420.713,2230640.575,2316037.717,2414122.657
Malaysia,2165348,2297703.199,2432159.457,2572435.785,2716440.48,2862524.236,3014359.808,3168042.086,3324288.655,3484442.265,3649614.953,3835041.971,4026657.158,4224277.271,4427442.073,4635991.359,4854942.909,5080541.905,5314432.003,5558849.9,5815772.458,6070456.958,6337995.102,6619986.676,6918260.596,7234047.504,7570471.918,7925545.862,8296211.517,8677814.378,9066771.362,9535876.225,10015238.64,10506762.36,11013826.97,11539004.67,12099332.21,12677616.55,13273240.1,13885083.28,14511858.15,15120861.05,15742808.85,16373271.7,17006237.9,17637237.86,18201291.12,18759263.65,19315650.29,19877553.83,20450436.3,20975987.49
Maldives,11032,10390.6698,10735.63005,11089.55408,11443.1837,11791.31322,12159.77125,12522.89488,12897.46264,13307.01484,13768.76396,15480.45162,17327.99468,19301.62744,21372.54594,23515.2708,25583.22313,27709.00162,29925.54407,32289.20218,34849.285,37079.28424,39489.19651,42064.97351,44776.16586,47596.7952,49402.6362,51235.05679,53076.98009,54907.79203,56712.0816,58232.01916,59698.49155,61109.41193,62464.2487,63764.78256,66160.64336,68545.3973,70924.2832,73307.3864,75702.76616,80322.71207,85028.68078,89819.02446,94690.98706,99643.5,104793.057,110025.6026,115350.9252,120783.899,126335.0469,131596.822
Mali,561636,604452.2226,628708.1296,653587.3109,679212.3241,705699.767,735139.3668,765600.8899,797230.7418,830207.8727,864675.3526,903134.6348,943339.2906,985163.0118,1028372.005,1072795.832,1122666.53,1173839.07,1226665.035,1281682.889,1339276.334,1404244.438,1472373.607,1542586.373,1613213.448,1683079.312,1747837.408,1811659.338,1876688.693,1946165.865,2022686.275,2105583.67,2196527.772,2294752.175,2398670.878,2507116.707,2627224.348,2752822.76,2884679.999,3023936.333,3171501.073,3338433.744,3514680.597,3700115.963,3894365.472,4097145.063,4313075.728,4538135.846,4772346.18,5015720.732,5268309.431,5532085.363
Malta,296429,292946.8205,291533.9686,290122.7583,288758.1325,286362.1,283048.9696,279692.7663,276338.4026,273030.7406,271474.0235,271544.9052,271346.6469,271148.3456,270991.2787,273014.9072,274433.9996,275533.8162,278443.5574,281307.1673,284299.7133,286425.4212,292663.5738,296846.2486,296936.649,302228.1026,307698.8377,310205.9866,313147.5254,316598.1523,320102.3877,323721.4714,327326.8482,330859.4688,334211.8485,336893.9962,340003.8408,343396.4749,346556.6679,349328.345,352257.3758,364035.8966,367771.2556,371216.157,374742.5801,378173.1587,381414.7208,384733.6137,388306.5417,391079.9101,393826.6265,397309.208
Marshall Islands,5340,5568.4699,5970.936708,6416.440226,6888.2824,7373.01966,7997.009632,8640.897102,9323.26986,10071.22696,10910.76324,11702.9028,12588.1432,13542.11664,14525.10936,15508.45296,15972.05564,16397.35953,16819.40514,17285.07827,17826.36244,18824.42813,19916.94144,21103.63518,22381.64767,23741.66015,25149.35093,26627.67604,28111.03362,29511.23624,30762.73552,31693.20053,32446.88661,33055.32312,33571.31706,34036.10816,34458.27728,34833.74878,35160.45282,35432.21136,35646.84345,35804.19637,35926.26892,36041.68627,36191.45062,36406.12594,36691.0996,37050.5733,37494.0352,38027.56328,38654.46216,39379.26624
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,59292,66087.46458,73784.02772,81869.73424,90357.74312,99262.6957,111155.1912,123641.9264,136760.8102,150560.3602,165088.62,183959.105,203840.0429,224769.7541,246777.372,269892.4311,296302.8161,324021.9044,353090.9438,383551.5273,415441.6911,451390.8817,489020.8377,528308.8525,569193.3348,611638.7797,645055.9678,679548.0281,715303.7687,752593.9724,791653.8471,814088.4448,837442.4561,861717.2095,886884.1818,912924.7099,939812.889,967569.0021,996264.8943,1025997.407,1056806.498,1089827.987,1123902.448,1158778.474,1194117.002,1229656.389,1268522.303,1307679.586,1347073.473,1386672.486,1426464.408,1470093.254
Mauritius,219177,231058.3885,243061.6538,254981.3635,266824.6374,278602.47,292191.9175,305823.1898,319515.2216,333292.3188,347184.32,355113.6299,362943.8189,370822.3655,378969.7789,387511.56,391834.1112,396250.1815,400680.0205,405013.4449,409110.66,414621.7215,419491.0175,423694.3196,427210.5586,430022,436923.552,443622.058,450371.7506,457172.2098,464802.225,468528.2063,473397.5364,477691.2917,483055.2889,485844.2879,489446.2816,494203.0611,498001.6347,502929.6568,506438.7091,510813.3393,514018.649,518178.3894,521450.9331,524404.1154,527383.3526,529616.299,532028.5496,533718.1949,535157.238,537535.8807
Mayotte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico,18765464,20472485.54,21476491.48,22509818.8,23571901.23,24663156.58,25772743.75,26910169.2,28086424.88,29317003.59,30613210,31941501.14,33333049.76,34780455.41,36271781.26,37796357.34,39335052.53,40904661.38,42489076.98,44067521.17,45625583.29,47015716.7,48373711.35,49722745.65,51097293.64,52522768.68,53986380.95,55501626.12,57056542.64,58631349.96,60210932.08,61700848.98,63190617.49,64683307.65,66184900.92,67698670.49,69116179.58,70540316.32,71956421.91,73344624.37,74691807.83,76036878.43,77341402.87,78626814.45,79924058.73,81255625.29,82614101.61,84006923.73,85424300.12,86850060.18,88271486.33,89660257.33
"Micronesia, Fed. Sts.",9931,10365.84378,10804.7277,11263.76031,11758.03452,12294.78732,12894.59249,13542.85019,14191.69539,14773.03931,15239.80248,15537.4289,15716.28716,15844.82144,16023.33152,16327.51694,16723.74178,17248.90637,17879.81213,18573.0687,19294.8009,19909.66925,20547.38477,21189.12356,21813.60902,22404.98618,22939.8226,23424.56614,23884.74816,24358.32641,24867.63942,25346.89332,25853.30652,26326.9104,26686.9485,26881.16844,26458.49242,25877.91842,25206.68646,24533.25191,23916.0999,23957.857,24055.6624,24188.9725,24323.1758,24433.2627,24556.28605,24664.57131,24766.79627,24876.86587,25004.94896,25223.21554
Moldova,702819,631775.02,668152.512,704989.332,741701.024,778739.5,817839.672,856923.224,895909.12,935651.352,976470.6,1015914.944,1056411.072,1097292.7,1137827.08,1177939.44,1216886.2,1255229.44,1292894.19,1331783.18,1371946.39,1410855.192,1451506.064,1493114,1535267.552,1577083.2,1609849.064,1642041.728,1673172.884,1702271.088,1728323.52,1729530.904,1727459.332,1722128.46,1713557.944,1701350.331,1685440.238,1669241.839,1653645.959,1638596.651,1622855.893,1608874.775,1594819.849,1580030.451,1565844.452,1551788.407,1574674.332,1597881.709,1621785.367,1646645.384,1671889.42,1696062.804
Monaco,22134,22343,22477,22562,22643,22749,22886,23046,23234,23448,23689,23968,24282,24605,24902,25153,25341,25482,25617,25802,26078,26459,26930,27459,28004,28533,29036,29521,29990,30447,30896,31330,31745,32154,32574,33014,33485,33974,34444,34840,35126,35288,35341,35323,35282,35260,35267,35295,35336,35377,35407,35427
Mongolia,342318,363679.6405,387541.143,412915.0338,439531.6422,467175.6557,487768.4204,508914.7615,530754.3949,553513.3048,577357.1482,604117.1958,632070.2634,661072.4216,690895.3105,721373.3694,751917.5419,783109.5218,815052.5639,847911.347,881828.7313,914951.1675,948777.3542,983818.6281,1020788.196,1060071.501,1098332.912,1138634.416,1179069.588,1216988.304,1250478.752,1268806.795,1282250.187,1292246.977,1300952.075,1309997.715,1322451.303,1335505.756,1349172.754,1363261.433,1377687.451,1417014.325,1457544.128,1499794.379,1544427.821,1591934.035,1641153.041,1693417.191,1748203.775,1804674.144,1862147.196,1916907.642
Montenegro,87735,92904.60676,98330.94874,103831.3251,109214.4875,114329.7364,119582.7813,124487.9044,129218.1408,134071.2672,139293.7613,145489.0706,152116.2514,159106.9434,166314.8753,173604.4638,181470.5225,189468.243,197402.8873,205002.4829,212068.281,218787.4033,224856.46,230659.0538,236806.9357,243790.7303,252033.1134,261210.8995,271191.5903,281694.4554,292456.9419,303033.7497,313867.3097,324536.9197,334476.6287,343258.0886,350406.977,356198.4491,361033.1357,365573.3015,370352.8566,373610.9928,377196.63,381128.44,385355.2835,389831.658,391163.7446,392842.9798,394735.5686,396649.5281,398444.9304,400149.1352
