"GDP per employee, (constant 1990$)",1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006
Spain,28226,29101,29899,30787,32119,33209,33802,34105,34653,35246,35994,36637,37734,39026,40230,40345,40192,40304,40521,40186,40098,40027,40007,39640,39388,38627,38546
Sri Lanka,6346,7114,7247,7411,7574,7710,7939,7864,7921,7981,8339,8797,9281,9466,9850,10247,10287,10800,10564,10880,11120,11078,11017,10858,10859,11323,
Sudan,2741,2724,2985,2951,2747,2529,2589,2612,2615,2786,2534,2676,2536,2665,2588,2544,2437,2691,2751,2795,3014,3119,3216,3400,3406,3618,
Sweden,29180,29128,29475,29921,30879,31148,31673,32410,32687,32983,33126,33270,34405,35579,37306,38177,39022,40460,41304,42281,43068,42717,43500,44389,46500,47650,48769
Switzerland,36160,35891,35197,35373,36093,36591,36362,35747,35924,36502,36708,35744,36292,36515,37148,37276,37467,38161,38691,38887,39874,39646,39592,39591,40387,41120,41310
Syria,24281,25623,25288,24767,22842,23070,20869,20233,21798,18869,19306,20314,21859,22304,22354,22373,21865,20527,20576,18915,18750,18427,18282,17694,17278,17086,
Taiwan,16000,16970,17512,18715,20341,21120,22982,23746,23711,23651,24203,25557,26946,28433,29871,31437,33331,35110,36261,37953,39693,39278,40638,41511,43071,44106,
Tajikistan,,,,,,,,,,8851,8192,7396,5187,4468,3517,3310,2746,2701,2836,3041,3278,3427,3739,4093,4075,4548,
Tanzania,1222,1168,1144,1100,1089,1050,1050,1068,1078,1078,1080,1063,1030,1005,986,988,1006,1014,1027,1038,1068,1110,1167,1208,1257,1312,
Thailand,5333,5221,5397,5619,5756,6057,6192,6549,6959,7514,8291,8916,9265,10102,11030,11871,12706,12180,11247,11766,11984,12067,12420,13148,13568,13946,
"Macedonia, FYR",,,,,,,,,,14788,13148,12436,11706,10940,10836,10780,10967,11675,11455,11832,12267,10745,11570,12250,13289,13270,
Trinidad and Tobago,34805,36181,33103,30623,31527,31121,30802,30817,29682,29907,29698,28449,27643,27335,27554,27588,28686,29844,30954,32748,34054,34714,36316,40209,40631,43351,
Tunisia,10298,10556,10207,10364,10717,10955,10409,10807,10536,10755,11210,11312,11801,11673,11691,11611,12086,12387,12550,12891,13065,13301,13075,13447,13883,14038,
Turkey,11322,11714,12177,12502,13024,13466,14153,15051,15408,15195,16320,15847,16651,18899,16556,17258,17950,19291,19375,18243,19657,18231,19832,21182,22407,23786,24936
Turkmenistan,,,,,,,,,,8745,9011,8301,6827,6717,5345,4798,5031,4369,4620,5071,5472,5595,5426,5462,5586,5992,
Uganda,1298,1307,1371,1430,1242,1219,1179,1208,1251,1297,1306,1288,1286,1355,1406,1529,1630,1675,1690,1785,1830,1863,1932,1952,2001,2068,
Ukraine,,,,,,,,,,12522,12104,11184,10274,9020,7222,6158,5542,5457,5527,6330,6661,7350,7690,8398,9357,9433,
United Arab Emirates,49229,49767,43737,39817,39756,35983,27698,27141,25611,26727,28189,27135,26355,25224,25466,24517,24702,24677,22669,21532,22313,20924,19806,20447,20800,21367,
United Kingdom,28753,29523,30528,31989,32252,32882,34112,35184,35609,35255,35069,35628,36518,37882,39276,40031,40757,41333,42343,43115,44173,44813,45488,46259,47448,48096,49031
United States,41649,42212,41762,42953,44282,45091,45619,46049,46968,47632,47907,48211,49506,50105,50948,51455,52600,53732,55127,56660,57909,58301,59391,60391,62080,62992,63891
Uruguay,22208,22184,19702,18204,17698,17142,17853,18038,17837,17569,17695,18448,19598,19952,20837,20220,21915,23069,25617,25384,25358,24304,22412,23039,24666,25421,
USSR,12971,12985,13195,13534,13627,13679,14156,14268,14513,14674,14269,13404,11731,10834,9634,9250,9006,9292,9213,9871,10653,11254,11760,12569,13441,14265,
Uzbekistan,,,,,,,,,,11565,11015,10543,9354,9153,8552,8405,8436,8753,9014,9320,9587,9851,10048,10210,10639,11065,
Venezuela,32094,32254,30806,29886,30622,29371,28539,27772,27126,26438,26050,27694,28465,27720,26115,26291,25408,26440,25794,23518,23653,23841,21851,20011,23399,26146,
Vietnam,1767,1787,1886,1945,2068,2132,2082,2075,2199,2270,2346,2424,2567,2713,2888,3094,3310,3503,3628,3722,3803,3970,4144,4328,4553,4832,
"Yemen, Rep.",10154,10382,10152,10366,10385,9943,9804,9891,9978,9922,9527,9179,9144,9207,9008,9648,9894,10121,10247,10221,10301,10346,10305,10185,10034,9981,
Yugoslavia,16487,16630,16586,16564,16767,16722,17241,16867,16471,16170,14998,13852,11676,9631,10056,10559,11417,12739,13258,13587,14238,14907,15883,16829,17779,16550,
Zambia,2116,2167,2033,1921,1847,1815,1772,1752,1800,1756,1851,1788,1769,1725,1448,1368,1433,1445,1384,1380,1402,1443,1466,1517,1559,1608,
Zimbabwe,3352,3671,3615,3504,3268,3351,3291,3104,3239,3297,3230,3333,2948,2924,3016,2947,3163,3142,3128,3010,2722,2596,2455,2185,2055,1921,
