Poverty headcount ratio at $2 a day (PPP) (% of population),1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Turkey,,,,,,,,,,7.68,,,,,,,9.84,,,,,,,,9.57,9.96,9.18,6.87,5.71,4.54,4.16,,
Turkmenistan,,,,,,,,,,,50.22,,,,,85.71,,,,,49.65,,,,,,,,,,,,
Turks and Caicos Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,,,,,,,,,,,,85.91,,,88.63,,,,85.95,,,82.67,,,79.86,,,,75.6,,,64.74,
Ukraine,,,,,,,,,,,14.82,,,,0,,,7.97,8.41,,,13.48,,,3.41,1.46,1.25,0.48,0.58,0.21,0.13,0.17,
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,,,,1.91,,,,,,,,1.96,,,2.97,,,1.83,2.26,1.91,2.09,,2.1,2.7,3.43,4.14,5.39,5.37,3.6,2.92,1.91,1.58,1.18
USSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis et Futuna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,12.09,,,,,,13.12,,14.06,,,9.71,,,20.63,,,20.35,23.18,,20.78,29.53,34.76,29.35,21.93,12.91,,,,
West Bank and Gaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.52,,0.34,
West Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Sahara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,85.7,,,,,78.25,,,,68.71,,56.95,,48.06,,43.36,,
