Urban population growth (annual %),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Guyana,3.311948077,2.898241662,2.825922393,2.784659131,2.780670525,2.787688605,2.834167752,2.823176711,2.667118157,2.332140605,1.891105693,1.616652911,1.188825869,0.9270371489,0.8954187047,1.0181034,1.193536882,1.308852368,1.27015227,1.014125108,0.6140781755,-0.4621508547,-0.8257056183,-1.092812081,-1.21178064,-1.211473532,-1.184901454,-1.167298021,-1.087993413,-0.9406520119,-0.7464142386,-0.5067607516,-0.2798134732,-0.1251502732,-0.07834812008,-0.1094577925,-0.1657627002,-0.2022340043,-0.2084785657,-0.1653502999,-0.0891266147,0.03377322131,0.09420699837,0.1231997416,0.1080104036,0.06215865921,0.2812661498,0.2353033532,0.2032321434,0.1928689555,0.1984701971,0.5187007795
Haiti,4.298432541,4.495360041,4.445740137,4.394200081,4.34025185,4.283544343,4.451035844,4.390100003,4.308911481,4.202026812,4.083060097,2.426207352,2.369905684,2.350297177,2.377800336,2.439105977,2.008857083,2.069584994,2.143609498,2.230856453,2.32130601,4.895621952,4.905168545,4.875498669,4.796500236,4.684833009,6.667499465,6.42400498,6.204389934,6.012991159,5.843375755,4.886885957,4.777057941,4.675506,4.582817308,4.495480876,3.770552263,3.712535036,3.641548531,3.553960879,3.455885738,6.336150522,6.065018934,5.814868149,5.585443768,5.375051728,4.925965244,4.759963886,4.614950444,4.493022791,4.388693157,3.809954706
Holy See,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,5.589126206,5.841645538,5.834440376,5.750485732,5.574452557,5.347434464,5.296424124,5.098073552,4.964847185,4.914396206,4.921817864,4.944274071,4.949384087,4.965515918,4.989438827,5.015204431,4.769902025,4.799385365,4.803455419,4.776769062,4.729027025,4.731866806,4.67634631,4.625564867,4.582968943,4.543657345,4.42655954,4.375773385,4.318233599,4.25322556,4.181410215,3.993013036,3.922909711,3.834377401,3.724225607,3.602667247,3.496908002,3.38746182,3.298615622,3.236109239,3.193331605,3.449421299,3.406337177,3.370834558,3.342254907,3.318997244,3.190211937,3.172355789,3.159059438,3.150454593,3.143234115,3.114776251
"Hong Kong, China",4.11455868,3.249484741,4.522120334,3.725481013,2.701274981,2.910594055,1.187488537,2.828200753,2.423726219,1.895870513,2.729851042,2.603621538,2.362291544,3.264631589,2.600926095,3.336377899,1.652978517,1.838924608,2.205363819,5.857567597,3.060663249,2.662997902,1.866279704,1.832209818,1.294800079,1.385115948,2.655771509,2.576129368,2.032708948,2.388637896,1.655985903,0.9262500976,0.9365777516,1.814604595,2.348770615,2.076779465,4.438607795,0.8325128548,0.8348088073,0.9551258143,0.8815940759,0.7369626681,0.4428468273,-0.1974041265,0.7799185623,0.4368714061,0.6422704829,0.9983395695,0.7451342051,0.371923126,0.911067667,0.05375051405
Hungary,0.799757894,1.205531506,1.069335948,1.001323653,1.051289667,1.007603063,1.020078549,1.084873224,1.09073609,1.120205568,1.077579002,0.9887197723,0.9957449263,1.01508609,1.134367886,1.271422343,1.178118478,1.088598095,0.9650709485,0.7970724623,0.6776434999,0.2880412775,0.2215225169,0.1294494192,0.07881223787,0.09628717868,0.05744243001,0.05970403123,0.07371348315,-0.8625115364,-0.8071566785,-0.1969260277,-0.2307609243,-0.3060278394,-0.3292446687,-0.331952311,-0.3664125975,-0.3964795153,-0.4280809894,-0.4790448287,-0.4559331932,0.3234838242,0.2650718534,0.2603834297,0.3224034882,0.3420223637,0.6247752823,0.6195320815,0.5933982495,0.6077259596,0.5308487723,0.389694198
Iceland,2.912082006,2.54965026,2.450706146,2.373582278,2.368061207,2.319503148,2.21914756,2.136387331,1.88792962,1.446756814,1.039137331,1.224562942,1.877913009,1.921519529,1.763656218,1.68796316,1.359328992,1.109560008,1.144343356,1.340966045,1.42007359,1.436993746,1.632144898,1.618708086,1.35742342,1.08060491,0.9957234643,1.358073093,1.827974607,1.499469711,1.038056026,1.352900994,1.450008981,1.209815607,1.059467839,0.7347295326,0.7080570712,0.9870588964,1.238439544,1.376538925,1.536213546,1.466861437,1.029973575,0.829686352,1.01493694,1.719705324,2.473529238,2.656033468,1.98536172,0.4668734971,-0.01842911692,0.4133810193
India,2.18100408,2.968956286,2.980594491,2.994402101,3.011283229,3.030322937,3.168290609,3.182954893,3.200347766,3.221028503,3.242900017,3.859309294,3.860171411,3.857884039,3.85173988,3.841604669,4.008421707,3.98712153,3.959121406,3.923537839,3.882422829,3.397017231,3.363445886,3.33035856,3.298875485,3.267757364,3.193897769,3.159282599,3.121143763,3.078953605,3.033737033,2.87947563,2.834657748,2.788954724,2.742607751,2.695810144,2.649531863,2.603248746,2.555688502,2.506587856,2.45710326,2.771745615,2.71821267,2.669022748,2.625168763,2.585484448,2.632687158,2.59263695,2.555539901,2.521590789,2.489551559,2.541964426
Indonesia,3.680044726,4.08463177,4.079849299,4.07513975,4.073222433,4.071523743,4.163891269,4.147640694,4.12587639,4.098243346,4.065618997,5.136612153,5.054545876,4.971123901,4.886164475,4.800440766,5.258286673,5.143916876,5.036930471,4.938612615,4.845296835,5.807413055,5.653557608,5.494254575,5.32575817,5.153128849,5.362724802,5.180213451,5.009445242,4.852064631,4.705953612,4.869132921,4.718810183,4.575317825,4.437687316,4.306665059,4.985406015,4.818353971,4.670462654,4.54350293,4.431958978,3.163707876,3.119750141,3.066009078,2.998165855,2.921519154,2.865002128,2.791902595,2.728893119,2.679460716,2.639468802,2.532536042
Iran,4.358303861,4.526974027,4.508351117,4.490855386,4.475680231,4.46149754,4.886671386,4.865181294,4.82365753,4.756893457,4.680688995,4.791231673,4.735560217,4.728265794,4.779353098,4.870039796,4.70153046,4.783946916,4.886539894,5.009946931,5.134221242,5.132786344,5.188784929,5.209929522,5.193148252,5.13550429,4.80880402,4.734364982,4.522146636,4.150652777,3.69349878,3.54240801,3.119472462,2.858210286,2.809986133,2.905302876,3.011728389,3.097438579,3.10741303,3.007994154,2.837484671,2.567484722,2.427263324,2.323715558,2.271871729,2.256354318,1.619400565,1.607904482,1.592516264,1.568821034,1.538389338,1.318002649
Iraq,5.027885068,6.09420608,6.076442224,6.086129449,6.120605936,6.165056183,5.350841566,5.425800507,5.450593162,5.415297214,5.339783162,5.145758666,5.059118159,4.993626583,4.958209684,4.935395452,4.462289274,4.444561964,4.427283995,4.410454746,4.394061973,3.586219341,3.576592111,3.567152298,3.557896825,3.548815026,3.2386037,3.237861407,3.237123669,3.236391066,3.235667447,2.511033255,2.510325198,2.509611783,2.508890972,2.508173828,2.744981045,2.744209695,2.743440946,2.742663311,2.741885173,2.301812749,2.301277502,2.300727052,2.300182861,2.299630188,2.827728343,2.827496502,2.827267957,2.827038822,2.826806693,2.817141532
Ireland,0.590369217,1.103626604,1.648362103,1.805239819,1.692964216,1.566803021,1.628436611,1.686020086,1.650369615,1.770608857,2.007248132,1.906516401,2.217433404,2.329798687,2.377366526,2.36088808,2.140700406,1.981854484,2.042483872,1.952100261,1.766811773,1.510940612,1.284169669,1.046549521,0.9561820237,0.4954196636,0.2694428365,0.2338717499,-0.2046803431,-0.1737412405,0.3064285263,0.9306714458,1.036739392,0.8530709591,0.7461747835,0.863447595,1.213720315,1.423486577,1.46198644,1.544461626,1.748471721,2.041214393,2.132204197,2.074016609,2.271407404,2.619841938,2.854310295,2.708512867,2.030145429,1.211017523,0.8052910164,0.7769409613
Isle of Man,-0.435322531,0.2461276417,0.8965037943,1.46650915,1.894500296,2.201190668,1.905770815,2.158112069,2.244987372,2.133812748,1.89319288,0.5121830731,0.2109122008,0.02915204025,0.007960154136,0.09303249134,1.324772467,1.4194454,1.315262196,0.945248327,0.4207141655,0.02337314451,-0.4875172006,-0.6465270062,-0.315233566,0.364190333,1.192605399,1.851820595,2.157173568,1.977135758,1.494354244,0.9344906961,0.4950812295,0.265015236,0.3494705877,0.6522055734,1.014829018,1.274832466,1.411546549,1.371240812,1.208680842,0.759684489,0.6150352219,0.5120455822,0.4755526546,0.4873022009,0.5167595427,0.5118191701,0.4934852285,0.4451445909,0.380845386,0.4720627055
Israel,5.268662181,4.36177669,5.872741938,4.719273289,4.982716443,4.510071017,3.343592069,5.112468792,2.879369624,3.388063207,4.092186135,3.724215748,3.118035905,4.619791132,3.545335669,2.850151571,2.679306005,2.68393571,2.551657966,3.009264268,2.839919758,2.272083677,2.158019312,2.098256829,1.585245765,2.041211398,1.665303709,1.733187913,1.774935102,1.814208022,3.212203312,6.129164902,3.567497369,2.769996881,2.701042863,2.779942163,2.690653605,2.572487768,2.360916559,2.620416979,2.716260311,2.426170128,2.083063572,1.874477353,1.836533717,1.831760283,1.834437224,1.842687852,1.84312178,2.456705762,1.893206643,1.912764925
Italy,1.527491777,1.501145047,1.502507469,1.548672703,1.63508807,1.648025166,1.559772695,1.500171399,1.402149024,1.330580285,1.287598192,0.8921697572,0.991624715,1.100310431,1.07473733,1.015836079,0.8021549276,0.7271087753,0.657788047,0.589716163,0.5056679968,0.1758610741,0.1298574875,0.0920391723,0.07806439152,0.08458239499,-0.02448366852,-0.01973679336,0.01836971627,0.04504915052,0.05373974032,0.1279616538,0.1266204255,0.1197974134,0.07899924274,0.06018137979,0.1177208556,0.1424431587,0.1182301287,0.1061970048,0.1345999819,0.1704720354,0.4244638045,0.8880434799,1.094240034,0.8477458545,0.7558940459,0.9197643547,0.9526948882,0.7865416114,0.6672197637,0.7362594565
Jamaica,4.289685382,3.58179611,3.732917909,3.780352224,3.662871936,3.453730009,3.32487622,3.137423175,3.033555333,3.061567042,3.164468077,2.707743159,2.8224851,2.853637374,2.755331369,2.5872248,2.451450261,2.274614968,2.211659287,2.326429005,2.535564672,2.082741359,2.446347957,2.541274531,2.433144078,2.057570759,1.48347813,1.050250882,0.663330252,1.197187976,1.047244932,1.141519175,1.174463456,1.207428546,1.240414154,1.273419994,1.672022285,1.427824138,1.360476758,1.148530132,1.048708195,0.6751594125,0.568747065,0.3950173082,0.5531246488,0.5470751946,0.464573118,0.4622970613,0.4116767462,0.2986445861,0.2347821117,0.4162959999
Japan,2.872396293,4.047888827,2.353205243,2.418724383,2.423873334,2.437786645,2.088168203,2.094060578,1.481146594,3.202408242,2.252869952,2.349928014,2.452156342,1.868252045,2.938681238,2.620329429,0.8607891333,1.084698208,1.025756863,0.9631397098,0.9045922451,0.8797084921,0.8192308872,0.822006988,0.7747121222,0.7514709433,0.7726349646,0.6548938782,0.5894418078,0.5719333056,0.5036454823,0.4852762493,0.4228519474,0.421129907,0.5146929702,0.5554945236,0.4185124498,0.4239392243,0.4142911769,0.351036385,0.3346544168,2.066237814,2.045615443,1.994780862,1.783303748,1.72894679,1.042534923,1.056353813,0.9817812207,0.9089666743,0.9287451112,0.9415319804
Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan,7.839563475,6.790877421,6.934892341,7.085631374,7.25255028,7.378332466,6.839601922,6.929907804,6.726870724,6.169541403,5.468843133,4.87198998,4.318418632,3.98399051,3.949303971,4.086209202,4.387049631,4.465978305,4.533208415,4.569051273,4.584089738,5.965139782,6.04340387,5.996646237,5.77509261,5.495053607,5.498354223,5.404416208,5.24562732,5.293138043,5.329363056,12.8654255,6.824257495,6.158236351,5.493081403,4.828751633,3.420520679,3.419174328,3.418834932,2.154992046,2.831274008,2.81301846,2.762207921,2.810385749,2.74968039,2.608665041,2.611445487,2.550215398,2.500457457,2.503521062,2.521857973,2.480909859
Kazakhstan,5.976678246,5.349166053,5.113113662,4.811837842,4.442319737,4.041297781,3.768006789,3.392922351,3.118021962,2.972009355,2.915538134,2.551851534,2.514409537,2.450086049,2.341443665,2.207213768,1.624247755,1.620685661,1.617165709,1.613687156,1.734500468,1.837550751,1.832854165,1.828221296,1.823650857,1.819141595,0.824337915,0.8242545056,0.8241712483,0.8240881427,0.6953804287,0.5023235794,-0.1922099959,-0.7862873869,-1.574014452,-1.875568496,-1.583250719,-1.648704672,-1.794880141,-1.021344779,-0.3694299889,-0.5331964084,-0.3603247552,-0.02937448695,0.327783195,0.5204189684,0.6962668219,0.7811358758,0.8543234567,2.275739996,1.051139885,1.253102296
Kenya,5.807048199,6.430477902,6.3636295,6.301233279,6.242296067,6.188017726,7.141552538,7.033610667,6.94431003,6.874176222,6.817299376,8.498726385,8.314438839,8.144233329,7.983900284,7.832722527,7.761310633,7.619226908,7.492894774,7.382921402,7.281715107,4.448405369,4.447385601,4.428494282,4.38980265,4.336132684,4.48772805,4.418927801,4.346345165,4.271374737,4.192959439,5.118851767,5.017315072,4.891440404,4.736424912,4.56891409,4.522478919,4.374078387,4.271441062,4.225025033,4.216679357,4.374409899,4.366315953,4.345665759,4.305358536,4.254157143,4.30220398,4.256178058,4.231427589,4.232910434,4.249048823,4.409706254
Kiribati,,5.970644108,5.80694668,5.643044673,5.480775869,5.321877473,6.2736107,6.044889646,5.832804842,5.637468211,5.459105058,6.195751713,5.91617472,5.707547352,5.56453661,5.482268013,3.203344339,3.441135088,3.603347754,3.693696926,3.71682025,2.906769561,3.020280253,3.06839851,3.056516899,2.989877344,3.063020483,3.022676702,2.98245629,2.942356147,2.222664739,2.627468134,2.295387402,2.086423755,2.059766617,2.165897862,5.054087896,5.034949361,5.007446118,4.954545447,4.881142304,2.092219302,2.124479935,2.12619082,2.084021549,2.016294929,1.784181545,1.717797799,1.671732696,1.653920706,1.654634448,1.837510012
North Korea,5.044293875,4.873823313,4.625281788,4.507699113,4.576408989,4.758550719,6.750366329,6.738059376,6.659066733,6.492396133,6.263427643,3.65964811,3.550416594,3.376937307,3.130478391,2.847230861,1.732055445,1.476729395,1.337225534,1.350179415,1.466904887,1.810048414,1.924827853,1.981858263,1.954670205,1.872270088,1.770310315,1.697012906,1.667553906,1.698477482,1.7649621,1.80758824,1.854825345,1.840878577,1.747165726,1.600278918,1.356892765,1.215585861,1.102349329,1.031063762,0.9899720099,0.9557641248,0.913763784,0.8683513328,0.8155914131,0.7590930353,0.7086382472,0.6619497737,0.6241215861,0.5973312713,0.5794133586,0.6495726985
South Korea,5.387421634,5.859162486,5.918092968,5.715602409,5.533691422,5.370473114,7.417044157,7.096988677,6.810870142,6.554802594,6.325496754,5.623514077,5.451034227,5.29578425,5.156313173,5.031327198,5.150325237,4.989554069,4.835574015,4.727657711,4.670692689,4.394277552,4.302340078,4.157248086,3.848165513,3.531568547,3.649202328,3.599649139,3.543590393,3.481112332,3.606128694,2.109756086,2.078252463,2.052009653,2.039840646,2.559296589,1.306114123,1.289341719,1.072208862,1.059375789,1.183000394,1.17180101,0.9882769314,0.924848974,0.8019858514,0.6306450147,0.8746003681,0.8542873848,1.106318313,0.8600491112,0.8462079028,1.066428576
"United Korea (former)
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,-10.46238357,12.86000432,13.96997736,14.07156871,13.32320127,12.2217667,11.70501656,10.91835216,10.25864,9.737036366,9.305502216,8.289966037,7.908769524,7.54861203,7.205871604,6.887142436,6.947081042,6.664328695,6.453981437,6.320961267,6.228601965,5.527880564,5.269417922,5.186634032,5.308449299,5.468558148,5.255421079,5.395781651,4.597341538,2.708620118,0.2128531812,-2.738565872,,,,,0.02650425415,3.079707219,4.946013378,5.18058339,4.415050569,3.497325234,2.966654191,2.72887403,2.919095252,3.360948521,3.802139279,4.030107137,4.038183793,3.784301677,3.373969536,2.940809174
Kyrgyz Republic,5.198956521,4.748657035,4.340785523,4.337297749,4.269656626,4.014016502,4.033768882,3.901152564,3.826524506,3.551631002,3.08979869,2.469876439,2.539172384,2.482658799,2.577620409,2.480311908,2.224429589,2.152803118,2.058668026,2.073160541,2.05306984,1.743679282,1.844822169,1.949815637,1.884298159,1.739153584,1.578449083,1.588199293,1.449811572,1.774030536,1.607334738,0.8764198591,0.3891250954,-0.7417974184,-0.8119981393,0.2156548212,0.9001284165,0.875157706,0.9472708001,0.8958416177,0.5973908626,0.9443236761,0.913366174,1.043911575,1.205571871,1.123330699,1.082985238,0.9615202791,0.9581528303,1.2151977,1.200795856,1.321151666
Lao,3.093580567,3.250029379,3.241565185,3.236348783,3.234622163,3.235828041,5.393579281,5.286283546,5.224608222,5.218735418,5.236205833,5.612483298,5.614584615,5.448704052,5.073978865,4.584564633,3.770070284,3.360132237,3.17445214,3.288627659,3.610162222,4.191199145,4.481624583,4.691921464,4.782382738,4.786748957,5.063504695,5.049524878,5.026079403,4.998106759,4.960172857,5.304221466,5.218257431,5.094227117,4.926878355,4.732233357,7.483710675,7.093494419,6.732409204,6.401792885,6.100079499,6.517846794,6.194754364,5.924165726,5.71135649,5.541445875,5.624858741,5.466991135,5.307936325,5.138999527,4.966047677,4.666834226
Latvia,2.394471146,2.972478683,2.800819245,2.781412628,2.759762333,2.527813442,2.117036855,2.123781587,2.28935159,2.141500366,1.966849466,1.855609716,1.92379603,1.940613461,1.971773391,1.85370567,1.514862994,1.471828407,1.411057867,1.208468346,1.108741744,0.7426335331,0.8955505983,1.020152002,1.05799359,1.082872044,1.012823634,1.222063338,1.217364635,0.7081477065,0.0567404035,-0.6176233897,-1.521512891,-2.116859657,-1.818966607,-1.571159675,-1.325263657,-1.196047205,-1.142601791,-1.014043589,-0.9351198099,-0.7800142185,-0.7179599154,-0.5892559017,-0.5596998752,-0.553245939,-0.6312004041,-0.602823601,-0.5242849603,-0.5819031814,-0.7881891157,-0.8555250303
Lebanon,6.044777611,7.067939975,6.859996309,6.617197299,6.33434225,6.035010579,5.675326322,5.367337726,5.19004046,5.178386769,5.256751805,5.061140584,5.129943398,4.952741154,4.466402324,3.794891642,2.82007328,2.209147274,1.827405633,1.771790529,1.953186491,2.002469796,2.250211801,2.341977435,2.199763941,1.919739909,1.029933586,0.7910250026,0.9121971821,1.525679432,2.448312992,3.009074855,3.808753037,4.135844712,3.883516382,3.274873124,2.453365371,1.908535155,1.569458571,1.526202667,1.682070201,1.738128114,1.842609763,1.847119889,1.710633647,1.482721348,1.2359062,1.039488813,0.9022932952,0.849330314,0.8566108041,0.8777962008
Lesotho,10.90192918,17.55333081,15.45207302,13.86425222,12.61829206,11.61439451,8.871752706,8.467191651,8.102344589,7.765282943,7.458054054,7.055970406,6.81997905,6.650676878,6.557181503,6.512663887,3.623946769,3.715521307,3.77469866,3.792783839,3.776635327,3.193849129,3.174047608,3.105975937,2.982737418,2.826876783,5.848391672,5.573482944,5.346637141,5.179627504,5.057306629,6.004071483,5.808006853,5.65112108,5.535535399,5.442744296,5.411672569,5.327521582,5.166574095,4.90536657,4.583455231,4.525311286,4.21656271,3.982768483,3.850167707,3.791662719,3.976618587,3.914925858,3.855485099,3.789996847,3.720106384,3.703240769
Liberia,6.341910882,6.052388042,5.954165098,5.866561382,5.790798263,5.725068373,6.04992183,5.968235457,5.895462732,5.831383248,5.774174368,6.044394335,5.969614572,5.907386091,5.858771909,5.816682695,5.988577782,5.854584893,5.802723411,5.853230527,5.931723119,5.700177988,5.738795431,5.403512685,4.618470455,3.569670313,1.28998294,0.4482680705,-0.2065555502,-0.5806542371,-0.6825919394,-0.8728183649,-0.9784671378,-0.3464022011,1.260518829,3.440341898,5.880658504,7.660542004,8.146702391,7.260235318,5.679470664,3.953228663,2.680590005,2.131257386,2.560011313,3.61260389,4.796304868,5.567032277,5.827437072,5.477272158,4.776109249,4.105090259
Libya,6.794165457,8.216977308,7.964938025,7.788621056,7.70805736,7.688093175,13.06142583,12.40220081,11.83251736,11.32163313,10.86239121,9.363225712,9.133051869,8.919916572,8.720805148,8.537966984,6.521876122,6.421810877,6.430845368,6.568484572,6.748826064,6.404395752,6.495495781,6.31612065,5.83097495,5.178974632,3.169118129,2.636410224,2.260333154,2.089827452,2.063021604,2.068478211,2.043942489,2.018220217,1.97710969,1.929399298,1.909570785,1.892239208,1.894905857,1.919996917,1.959206667,2.033571267,2.050749427,2.083010026,2.13357547,2.184076764,2.30859302,2.351769108,2.260658238,2.002313392,1.645742776,1.280536885
Liechtenstein,2.352330857,1.407281019,1.407266114,1.438915057,1.521040887,1.621583303,1.683969105,1.73656101,1.683373888,1.497151368,1.228440101,1.903859547,1.664691002,1.4996253,1.438072919,1.443405913,1.551307558,1.550849016,1.545914381,1.524697838,1.496144869,0.8038143781,0.7872888219,0.7481063806,0.7100004793,0.6655399924,0.5702540849,0.5314689285,0.5007054586,0.4880354183,0.4890851958,0.7877482102,0.7880094775,0.7812643057,0.7645970299,0.7352840874,-0.4111739856,-0.4700260341,-0.5195478233,-0.5633493931,-0.5987476461,0.639257268,0.6259329996,0.5892625582,0.512812793,0.4183274416,0.4731149794,0.3849618029,0.3325236648,0.3146777144,0.3332124212,0.5178330651
Lithuania,4.040883956,4.104264798,3.836553438,3.614484743,3.566273534,3.498253649,3.495177728,3.421730379,3.297541625,3.046601499,3.118139085,3.689493357,3.467512699,3.284367558,3.180757668,3.070553301,2.761436846,2.698606146,2.600621261,2.380079259,2.257033782,1.837684483,1.948548527,2.036868195,2.04392578,2.059914927,1.744589284,1.814595285,1.831561543,1.557640847,1.123997492,0.08189010309,-0.1968909995,-0.5624902634,-0.7824648678,-0.8582672452,-0.8492586041,-0.8268246835,-0.8135098025,-0.7986422417,-0.7926180017,-0.6275428716,-0.4566573001,-0.534495021,-0.6455204505,-0.7268243631,-0.4842419849,-0.435819337,-0.4103100734,-0.4477570714,-1.479426923,-2.412966013
Luxembourg,1.428113271,1.599817874,1.908518059,1.717956699,1.794268675,1.807518856,1.38913455,0.9937123824,0.9153209778,1.146173375,1.145698542,1.736611191,1.989912004,1.875549458,2.069043886,1.851625926,1.202679628,0.8764262183,0.8772982506,0.9272739813,1.044233876,0.451318289,0.2384079012,0.1825902076,0.2585990066,0.3488278166,0.5175708838,0.716935839,0.79441965,1.041385509,1.320456226,1.819339408,1.805714087,1.817485579,1.83469217,1.875369124,1.5681846,1.46011537,1.45005768,1.556383907,1.549423104,1.232476363,1.089663184,1.257185613,1.463299678,1.572004172,1.894384236,1.842825839,2.085047616,2.148443475,2.12119653,2.229047345
"Macao, China",0.717437906,2.309323539,3.494328539,4.339549128,4.753865371,4.8278104,4.880529391,4.85568939,4.428883158,3.568567788,2.468231466,1.319374129,0.3344107072,-0.3904531526,-0.7358577825,-0.761477298,-0.801913873,-0.7656679044,-0.394545691,0.3798323168,1.420462732,2.58988459,3.549965239,4.211691585,4.494494124,4.501352397,4.373500168,4.327666202,4.115326347,3.734361028,3.259484607,2.713107947,2.275533537,1.944642603,1.757190252,1.679407765,1.607124192,1.548209445,1.559406299,1.647310251,1.787578923,1.925914787,2.069674219,2.196962042,2.295969002,2.367488142,2.43728572,2.491079545,2.490726039,2.426052004,2.318750843,2.196767033
"Macedonia, FYR",4.048728595,4.620836479,4.745004812,4.779601011,4.675957595,4.479958998,4.459035193,4.289156254,4.163413257,4.099596782,4.079467616,2.708716986,2.721963893,2.747461682,2.786846523,2.825141068,2.658619171,2.698365609,2.621038393,2.394819468,2.077507342,1.462593987,1.15982685,1.003004747,1.051337232,1.243177882,1.436659719,1.623030669,1.721166669,1.688706474,1.565548843,1.368238403,1.259206605,1.178659841,1.143667227,1.141053138,0.375854332,0.3688017735,0.3511480058,0.3169914659,0.272073078,0.2438659162,0.2028096631,0.1713961652,0.1536172962,0.1454913781,0.2895151304,0.2815268869,0.2697934783,0.2519144142,0.2295830907,0.3751385491
Madagascar,5.228553284,5.598895087,5.524867016,5.454839509,5.387966909,5.325091264,5.239085728,5.185548088,5.143776278,5.115484077,5.09549157,5.782673887,5.720078098,5.659016603,5.59815517,5.535691549,5.431407891,5.379253424,5.298725467,5.183352149,5.051237891,5.146678432,5.02608503,4.952814359,4.937999667,4.962544247,5.206427791,5.221294093,5.227648824,5.219361566,5.201193293,4.845159729,4.841221086,4.840226203,4.843449555,4.846804156,4.156481385,4.167887518,4.162945294,4.139156855,4.102818415,4.330578645,4.286526389,4.245851328,4.210632654,4.178877929,5.119128706,5.054597845,4.989831466,4.924251352,4.859115607,4.841280808
Malawi,4.542643126,4.64207717,4.646304002,4.641029318,4.622994657,4.600777213,7.044258774,6.875202546,6.760088985,6.7054732,6.689697039,8.118739147,7.980007308,7.83878991,7.685416551,7.523693622,6.913090532,6.856744222,6.708047313,6.447062612,6.145420442,5.105579286,4.810892149,4.931116658,5.564319219,6.442251763,7.974782433,8.561776379,8.405939252,7.428937863,6.024117388,5.042642266,3.83955689,3.15558873,3.189657897,3.732955111,3.887786779,4.409039366,4.735086721,4.77491864,4.628617197,3.247647459,3.202916182,3.19992484,3.258819958,3.357466375,3.513027829,3.586140452,3.652491118,3.70904278,3.75690472,4.147808722
Malaysia,5.540092995,5.698615892,5.686951331,5.607369827,5.44691498,5.23814593,5.16836365,4.972628667,4.814195417,4.705227992,4.631367681,4.955870939,4.875616339,4.791164357,4.697382118,4.60280544,4.614728088,4.542058769,4.500820922,4.496509496,4.518238171,4.286026763,4.312860492,4.353086873,4.407102187,4.463432116,4.545670574,4.583578983,4.570777095,4.497073036,4.384653471,5.044489865,4.904666615,4.791128775,4.713239638,4.658152636,4.741725471,4.668770037,4.591202321,4.506513341,4.415099985,4.110919842,4.030836281,3.926655083,3.792998144,3.643224196,3.148007781,3.019515961,2.92279716,2.867548343,2.841307064,2.537411351
Maldives,2.472493648,3.221322967,3.265985194,3.243547055,3.139065133,2.996884988,3.076997211,2.942549471,2.947203806,3.126073032,3.411121769,11.71754964,11.27453416,10.7866032,10.19177828,9.554283316,8.428675886,7.982053853,7.695510355,7.602044405,7.629974411,6.202581694,6.296869104,6.31882827,6.246057472,6.108944535,3.72383559,3.642021349,3.531931362,3.39119556,3.233199755,2.644809351,2.487139203,2.335914275,2.192847665,2.060666811,3.688473452,3.541048515,3.411661402,3.304849912,3.21533276,5.92377203,5.693619931,5.480818607,5.282201547,5.097999421,5.038870319,4.872556987,4.726591652,4.602398462,4.493448975,4.080538961
Mali,4.365381567,4.003657941,3.934449534,3.88090031,3.845765064,3.825610807,4.087020804,4.060090662,4.04831473,4.053196858,4.067800313,4.351751795,4.355437751,4.338110471,4.292513123,4.229119379,4.543851813,4.457294808,4.401949923,4.387483843,4.395544742,4.736997219,4.737640603,4.658467372,4.476764927,4.239691898,3.775421761,3.586392981,3.52657038,3.63523234,3.856525317,4.016623969,4.228512141,4.374702474,4.428993018,4.421858744,4.679453736,4.669893554,4.67871316,4.714542917,4.764559615,5.129675774,5.144689439,5.141550807,5.11665971,5.075964755,5.136087031,5.086504567,5.032172437,4.97390809,4.913239356,4.885532442
Malta,0.999910155,-0.4663775239,-0.4834563182,-0.4852391466,-0.4714711954,-0.8332332014,-1.16371738,-1.192818261,-1.206552647,-1.204181928,-0.5717934696,0.02610653024,-0.07303790529,-0.07310714811,-0.05794335384,0.7439760659,0.5184394615,0.3999572449,1.050500635,1.023182195,1.058181571,0.7449182114,2.154554473,1.419058637,0.03044899106,1.76632256,1.79394662,0.8115044823,0.9437856715,1.095890482,1.100759486,1.124258366,1.107571763,1.073451219,1.008134928,0.7993260532,0.9188584682,0.9928769046,0.9160665696,0.7965947516,0.8349793363,3.28903899,1.020867711,0.9323369701,0.9454810777,0.9112845133,0.8535106818,0.8663893126,0.9243901283,0.7116829084,0.6998865359,0.8804060929
