,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004
Malta,,,,,,,,,,,,,,,,,,,,,3015.73789,3163.275817,3473.012076,3790.488335,4113.320856,5121.247531,6021.618512,6725.742387,7652.162485,8449.350333,8569.554302,8732.367323,8547.082841,8904.568477,9113.475453,9416.671853,10078.69877,10360.19122,10861.35166,11659.41184,11958.71134,12734.13105,13741.66914,14066.3772,14617.45098,15080.55667,15816.91485,16573.35601,17261.04568,18034.31384,18862.83636,18769.92868,19383.41183,18786.71556,18640.15245
Mauritania,,,,,,,,,,,,,,,,,,,,,1276.661219,1261.602852,1242.634106,1228.958729,1322.34294,1376.409459,1494.283874,1510.318491,1382.313223,1392.009369,1271.867051,1320.630569,1158.891158,1162.01862,1160.252468,1158.528076,1211.915309,1204.331603,1209.950881,1247.141259,1236.782526,1245.820132,1191.696044,1322.53342,1335.38086,1385.146933,1397.840983,1429.476189,1424.246197,1486.446279,1521.481384,1508.732835,1501.558427,1429.234543,
Mauritius,5636.043357,5754.187392,5431.329128,5229.663059,4912.562925,4953.02211,4930.814619,4881.483733,4544.130969,4567.342102,3534.292961,4319.26293,4387.793869,4809.267909,4834.796837,4567.693133,4522.498551,4522.855344,4085.381194,4102.156226,4222.009083,4468.584778,4521.047643,5018.329796,5210.952441,5820.34539,6261.106952,6568.092419,6656.349961,6710.877773,6276.088862,6355.184336,6793.236039,6783.529904,6961.510933,7380.1281,7914.305973,8662.697789,9012.129707,9515.140612,9870.967864,10348.92218,10827.6619,11255.09241,11581.60303,12419.07942,12919.22322,13148.63091,13847.10155,14064.2857,15121.00718,16282.06194,15969.98699,16463.80383,16952.76779
Mexico,2698.880103,2869.320787,2896.059787,2800.967261,3021.039292,3172.978962,3302.071878,3462.716158,3533.211369,3502.488389,3695.267648,3684.532201,3721.135779,3941.274131,4329.523103,4414.452996,4536.687382,4648.415021,4893.258619,4947.69277,5108.518519,5178.227031,5438.108719,5698.205349,5850.779793,6029.706427,6109.410471,6115.830479,6438.081835,6831.647476,7200.848062,7623.451793,7405.313473,6936.745949,7027.856853,7082.358576,6684.222082,6619.984813,6529.420683,6676.995776,6877.130184,7034.474062,7147.581081,7151.982377,7327.255686,6768.547504,6957.78094,7288.974411,7527.876882,7701.248373,8082.091173,7973.757954,7926.78883,7938.918467,8167.927145
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,,2297.275602,2278.959404,2233.520237,2881.486602,3245.02914,3150.294035,3066.99268,3047.431985,3123.006806,3093.822514,2785.281281,2960.069564,3011.265826,3299.785107,3260.874992,3421.757986,3515.556679,3423.487764,3501.06975,3402.146345,3424.714939,3536.86082,3569.34461,3717.177856,4226.539417,4274.955604,4038.257196,3774.686895,3735.008648,3465.590145,3781.689247,3793.659783,3823.094173,3853.78478,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2865.528808,2853.711093,2517.392874,2667.826128,2499.331114,2651.558173,2362.01983,2178.570642,2217.594247,2318.555481,2578.801346,2706.516996,2890.443367
Mongolia,,,,,,,,,,,,,,,,,,,,,1066.728531,1085.573135,1093.145581,1155.844165,1168.121827,1207.176813,1219.259418,1279.050257,1336.988928,1354.781043,1402.879637,1478.603457,1558.925336,1603.914576,1653.934081,1700.855987,1809.91571,1821.950793,1863.55101,1861.936619,1768.25248,1567.968475,1391.758288,1329.084634,1340.269687,1412.946899,1413.636283,1448.802045,1478.819251,1505.493465,1500.781274,1495.352063,1534.232856,1596.620211,
Morocco,1302.295443,1263.543907,1298.41347,1324.566256,1336.188096,1290.810019,1282.25502,1243.132915,1270.752158,1319.468584,1313.323508,1529.409803,1716.524858,1918.185688,2050.566852,2000.849388,1954.600505,2068.696966,2245.756288,2317.462387,2286.298698,2358.295178,2419.892272,2460.214518,2490.710656,2564.601397,2759.611427,2805.513814,2971.797328,3074.137436,3091.757577,3045.938222,3247.054305,3175.300633,3218.639172,3278.768666,3530.669681,3362.10174,3607.694267,3605.758912,3635.955551,3826.046452,3586.703311,3503.43908,3825.146686,3484.710839,3831.278622,3643.085383,3825.07095,3748.788809,3720.04828,3892.970246,3952.24632,4059.856654,
Mozambique,,,,,,,,,,,831.065098,835.3049818,890.6181132,898.265061,908.6311245,901.4132714,889.1349378,974.8637909,997.9895799,1038.291297,1001.697463,1050.175984,1071.056733,1089.541898,1126.219681,1142.813384,1169.24027,1129.564666,1107.978162,1107.138369,1132.700747,1144.454194,1088.75417,1009.525386,950.7025515,834.3481992,844.262832,919.1490804,1016.323107,1098.02932,1115.215946,1091.176794,988.8748112,1039.168698,1078.965119,893.0789168,931.5294239,1020.379399,1096.09746,1048.071556,1093.179485,1253.935683,1317.236621,1450.976024,
Namibia,,,,,,,,,,,,,,,,,,,,,5240.994385,5034.31833,4910.820929,4782.691532,4837.321991,5033.871385,4938.678798,5309.7432,5268.8295,5207.236684,4972.548724,5365.585137,5452.03442,5235.536816,5122.438362,4862.472537,5034.010458,5564.542519,5222.389783,4958.896647,4467.441765,4931.087733,4982.44192,4875.57508,4894.392202,4899.077307,4869.22843,4843.334234,4805.477168,4916.753853,5268.552389,5107.508629,5297.850213,5557.187448,
Nepal,,,,,,,,,,,817.6430374,799.3975113,809.5374105,797.6271636,845.6707794,831.4150441,879.7902467,846.990923,834.8752175,864.6059751,882.3394051,861.3585982,877.8564237,853.60334,876.0289195,900.4651506,894.3131927,910.3288651,949.536833,952.901033,872.0805276,928.7521582,964.5054421,931.4930042,985.1206499,1019.156466,1035.869831,1024.441258,1073.864284,1113.716996,1110.157837,1158.757812,1151.744358,1179.984034,1234.647604,1269.390359,1300.741174,1331.750087,1334.831377,1381.320883,1421.008801,1476.545128,1435.309049,1440.940015,
Netherlands,7853.777998,7737.060799,7582.299237,8206.734357,8846.790216,9312.437134,9772.319484,9842.277971,9315.200348,9632.95125,10484.73445,10423.73467,10928.62177,11169.90305,11966.63293,12396.48489,12539.18044,13046.10732,13736.19269,14370.34556,15035.86166,15432.34336,15578.78736,16163.3637,16643.14019,16489.36268,17080.28323,17485.46966,17851.18817,17992.13895,18128.02239,17673.93392,17343.56317,17579.39991,17981.73021,18377.10668,18885.76102,19102.87516,19513.59874,20308.37706,20973.23613,21321.97499,21474.52223,21437.50775,21905.90201,22434.48064,23007.7492,23751.80256,24651.88381,25508.90619,26293.08525,26494.18652,26354.6517,26153.73062,26477.5153
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,12020.31195,12139.72659,12264.90041,13052.6622,12734.62011,12124.77548,12398.48266,12929.34223,13929.56271,14230.07657,15319.65125,15318.44165,14920.75896,14666.58647,14252.85622,13711.56061,12537.42682,12773.57046,12704.67125,13445.0054,13705.76975,13783.24771,14178.29364,14772.03814,15476.05338,15348.45846,15129.5634,15067.25248,14861.33935,14558.7914,14014.4041,14067.66801,14023.9366,14076.73135,
New Zealand,10032.25335,9500.066223,9423.181738,9399.325441,10198.20715,10366.57276,10316.65051,10613.78339,10561.18705,10751.77754,12103.58349,12506.71848,12495.36639,12994.75357,13381.22995,14009.28116,14674.73107,13784.54553,13595.33584,14758.2097,14355.3389,14632.87726,15062.63464,15912.6827,16618.79755,16107.76983,16172.85147,15543.21213,15464.16341,15476.21507,15575.71375,16014.51303,16010.6038,16652.0022,17313.14479,17186.90934,17480.76215,17502.72839,17660.62666,17374.07714,17171.15604,16859.05856,16724.77243,17498.36191,18141.01263,18589.64555,18979.83158,19360.20558,19395.16572,20176.54619,20422.91754,20976.58484,21713.27103,22197.41346,22795.03608
Nicaragua,3523.308575,3801.403947,4242.692319,4277.214642,4571.856697,4660.172586,4579.260285,4793.626335,4676.283663,4454.52707,4493.330801,4644.405965,4979.367301,5151.068831,5471.12353,5863.88762,5803.717335,6085.737072,6015.070809,6140.822242,6074.419004,6203.816388,6306.503873,6273.370513,6411.85607,6861.759672,6997.095422,6879.23553,6812.767016,5552.320425,5296.696361,5329.235509,5202.806229,5550.545455,5525.493728,5111.146484,5080.896623,4539.785873,4279.964391,3861.803049,3893.29001,3437.653408,3387.617666,3259.609008,3199.761587,3269.799494,3291.132384,3198.644851,3236.413465,3252.852783,3437.851178,3470.366633,3358.341806,3410.426951,3419.965339
Niger,,,,,,,,,,,1168.085506,1221.349929,1243.691941,1244.194764,1225.687326,1262.080137,1196.683227,1212.929235,1206.147986,1130.003499,1105.978568,1071.687732,1036.291874,890.623401,837.0143469,1038.574135,1128.536952,1068.479161,1115.736575,1172.868979,1224.443642,1290.438455,1240.648416,1231.960494,1029.586956,1035.043463,1103.141337,1000.497153,987.9677895,981.7510431,997.4664182,948.4122193,911.1017129,871.1004445,858.5208883,841.4761206,805.7619999,833.7818972,883.7618287,884.7633213,807.4544263,832.3061055,826.3451365,834.8224756,806.8394762
Nigeria,713.2053471,748.5755684,792.2961636,791.1673402,835.9269729,857.5640689,827.2666562,834.9165784,876.7367351,907.1128831,1096.018593,1020.662744,1021.616472,1075.716358,1099.590313,1020.984039,932.6397536,786.7352669,787.1632451,917.6977308,1031.153249,1086.643427,1115.978757,1131.581014,1260.376343,1188.939872,1226.910006,1318.814682,1264.43967,1068.580029,987.2200935,1039.788302,1012.489751,955.840231,896.5776156,953.2050139,948.2332484,915.2702805,978.5490932,1012.721566,1060.212576,1080.025461,1081.816714,1080.157644,1061.186995,946.2031685,1046.641871,1045.18094,1040.273144,1055.848768,1073.930404,1071.056784,1088.618809,1223.360174,1209.923711
Norway,7291.809223,7337.949581,7647.31865,8105.725961,8327.048264,8467.308594,8612.750281,8887.241094,8939.556586,9082.808601,9375.205653,9867.246981,10080.97958,10429.90375,10845.56183,11363.88391,11719.11102,12392.66215,12543.14321,12960.43326,13221.75782,13863.77399,14285.76012,14876.26438,15469.76806,16197.62422,17089.15029,17733.10681,17982.0728,18691.85094,19521.16599,19628.84355,19714.52485,20142.1908,21241.79696,22270.48566,23192.47842,23441.516,23340.86869,23575.24635,23991.50711,24702.35837,25370.03366,25956.60473,27270.04863,28343.12907,29780.83246,31306.81761,31948.45828,32357.90714,33092.1546,33718.75218,33850.38533,34012.84961,34767.81355
Oman,,,,,,,,,,,,,,,,,,,,,9790.383121,8551.539545,8637.090681,7331.240784,7830.041783,9245.217415,11196.28307,11066.70354,10406.66268,10267.65579,9483.370842,10511.85845,11036.31394,11679.18237,12602.90145,13566.63382,13403.70595,12799.66668,13404.74378,13210.62156,13842.88021,14298.40615,14854.62107,15326.59761,15323.04475,15704.99873,16011.65719,16369.18281,16197.9029,15861.51207,16193.18187,17070.21058,16747.88712,16272.67251,
Pakistan,839.5086429,821.3999084,819.6975888,857.3063716,825.231532,806.0707015,837.1556485,815.4969725,810.3658483,821.4158974,802.6342345,812.5282772,823.1727414,882.8250825,937.2463834,990.1233121,1031.737587,1055.957301,1091.166011,1094.481943,1234.558279,1242.544871,1292.594068,1292.525244,1288.074007,1336.829085,1349.405303,1417.563319,1417.055724,1504.392207,1590.627989,1634.068296,1703.137405,1758.394264,1838.944659,1890.829275,1972.343201,2073.891515,2148.252636,2162.9163,2197.144605,2255.063841,2278.404467,2295.750378,2362.113552,2425.40161,2383.029181,2405.155941,2435.319036,2485.925093,2477.128568,2450.11903,2506.786822,2591.964139,2685.279428
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8692.201072,7739.748091,7948.427452,7803.014668,7920.137448,7128.65169,7005.48136,6773.565595,8022.32237,8173.600807,8558.424757,8698.441693,8628.488609,8603.19107,9028.315565,9785.555398,10572.40635,10605.40092,10613.06656,9497.151403,9357.119282,9611.225045,9558.245166,9550.069496,
Panama,2105.55682,1967.594154,2091.203053,2197.581853,2195.966909,2310.837995,2289.591836,2387.12163,2264.54915,2185.099321,2519.957898,2704.374492,2858.599429,2919.360631,3017.681616,3177.627775,3292.946406,3491.771564,3709.740074,3722.34533,3834.064983,3958.441336,3902.761785,4151.84284,4036.88071,4239.80727,4319.208784,4628.016363,4808.001034,4880.919307,5762.81502,6094.858794,6228.517093,6116.04653,6165.570658,6458.412361,6536.766037,6533.241003,5958.459251,6077.4303,6145.913133,6814.848994,6942.106691,7019.520478,6957.556596,6928.596293,6924.637485,7249.894734,7677.214744,7823.993856,7934.798559,7945.81301,8051.266524,8243.001912,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,2095.432464,2248.426962,2593.733583,2681.992615,2588.280974,2560.881789,3984.597237,3679.695492,3837.164834,3804.506538,3615.926815,3547.600363,3381.142338,3463.574443,3394.469199,3625.389261,3693.93232,3677.076407,3513.141138,3512.760307,3248.46944,3417.099049,3542.740564,4469.094503,4543.518446,4251.334214,4292.424807,4147.611693,4330.973534,4784.04992,4354.576674,4432.697233,4444.602637,4492.217735,
Paraguay,,2535.585737,2464.422717,2333.621759,2422.265637,2576.374959,2511.219872,2544.71897,2635.538647,2558.295926,2520.5007,2625.655967,2630.970846,2658.461455,2715.522587,2732.967154,2691.812776,2826.882155,2858.689131,2905.585917,2986.044002,3049.176561,3137.848209,3172.49751,3300.951526,3490.821746,3595.773111,3895.552275,4189.301785,4522.47959,4853.529514,5096.674876,5045.854745,4881.112001,4870.608761,4943.842754,4787.489885,4849.115639,5029.351502,5166.669615,5111.126551,5097.816532,5107.296924,5183.11047,5158.268486,5263.797497,5226.91355,5247.834841,5118.708967,5057.396904,4965.413659,4994.720914,4773.001857,4718.461143,
Peru,2397.81194,2684.398027,2748.640539,2724.652175,2748.835363,2862.264779,2999.847432,2974.940704,2900.679944,2787.913666,3048.413165,3218.863759,3441.182793,3612.351548,3722.990755,3857.212343,4083.038708,4124.226074,4203.265406,4290.555145,4629.095273,4705.672782,4716.580046,4868.252575,5122.551547,5205.421305,5181.910584,5113.883695,4784.266028,4776.778223,4969.913701,5051.173642,4986.735807,4323.124142,4338.27487,4337.060357,4713.751449,5034.135813,4487.808372,3775.819582,3522.765605,3509.981696,3417.337169,3493.67374,3826.708457,4047.488132,4079.490201,4261.197363,4158.335824,4152.41907,4204.500412,4144.948713,4265.453353,4351.060422,
Philippines,1372.177734,1394.243413,1550.010533,1600.815323,1708.877183,1721.192587,1895.362667,1816.88603,1901.033204,2017.08815,2037.327215,2080.329292,2136.973051,2237.137458,2225.868808,2285.702739,2311.237142,2308.414407,2329.66018,2359.579494,2427.129814,2492.935573,2591.655574,2771.74112,2744.955068,2866.545992,3042.972774,3134.524516,3159.881302,3152.535415,3293.286142,3381.87216,3312.746028,3331.164214,3200.858611,2927.926734,3028.005269,2972.565828,3086.432686,3164.959721,3208.788175,3187.478044,3167.35526,3156.338995,3289.818342,3274.038578,3339.729063,3514.834853,3317.053247,3457.67988,3825.615375,3644.196749,3616.64975,3576.112685,3938.134717
Poland,,,,,,,,,,,,,,,,,,,,,3898.301836,4149.888134,4530.27451,4991.036483,5338.901461,5820.884417,6299.158348,6638.546391,6761.56297,6581.505105,6236.482107,5653.206719,5118.366295,5318.009641,5539.09425,5839.328238,6057.389474,6160.540887,6338.174225,6291.816722,5897.377507,5793.391644,5906.272127,6132.969472,6384.021814,6792.256886,7180.022555,7630.623139,7969.024894,8304.806352,8611.004483,8728.192041,8867.099535,9217.110476,9707.80779
Portugal,2385.948227,2611.151608,2697.390884,2814.528666,2919.020136,3016.851829,3130.000976,3257.97841,3274.629201,3441.554046,3676.882424,3908.726469,4135.219889,4342.770174,4586.003542,4922.450984,5125.856207,5561.731581,6267.418458,6487.827967,6987.842856,7469.367125,8002.012713,8848.92894,8988.267169,8335.443113,8786.308395,9208.179152,9235.089689,9561.037795,9956.772239,10105.40411,10283.45523,10164.34217,9885.573727,10133.85376,10725.39565,11397.2403,12292.40221,12911.07916,13621.45238,14035.20671,14156.55909,14002.79572,14459.2307,14679.38663,15152.58109,15664.27381,16287.19497,16826.97578,17323.13961,17548.75872,17573.49534,17333.17216,17401.04559
Puerto Rico,,,,,,,,,,,,,,,,,,,,,8415.139049,8855.087564,9379.390898,9416.882628,8701.136636,8904.285839,9784.564588,10252.74825,10898.75281,10774.45245,10721.55724,10420.99169,10163.9423,10863.28908,10992.13669,11872.76324,12361.3326,13132.35675,13954.67302,14675.4505,15119.57043,15426.91781,15648.83634,16154.65513,16688.28573,16419.83812,16780.37738,17862.12562,18572.77678,19336.0657,21211.21486,21008.02266,21489.89985,22230.41865,
Qatar,,,,,,,,,,,,,,,,,,,,,66884.68984,72334.66374,73105.75485,78913.49494,84694.63385,67414.83739,65176.93778,60365.25435,60539.04833,58591.48194,52382.58215,49642.61113,44470.3675,39384.57437,36919.6991,32664.76922,31463.5356,29464.32835,28926.75382,29384.69293,28739.80535,27022.4009,28492.62973,26848.1962,25641.43859,24527.69616,23438.02709,27484.84819,30927.74832,32114.721,32260.65252,31817.75942,33436.99671,36183.09799,
Romania,,,,,,,,,,,1263.498974,1346.202874,1393.5032,1502.204328,1575.164414,1786.540669,1841.035048,2011.334536,2099.543679,2232.422461,2374.590945,2640.789639,2879.013917,3407.571015,3244.360731,3548.107785,4246.404978,4484.246873,5152.460429,5403.074983,5626.536945,5826.691534,5956.126286,6216.576536,6580.167417,6532.606392,6643.650147,6677.511055,6572.885205,6010.624121,5636.691771,4913.551953,4510.858587,4581.905,4800.845901,5236.447149,5518.539601,5281.680381,5144.927483,5146.592394,5211.109604,5474.944471,5789.086675,6057.566802,6585.669648
Russian Federation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12314.6898,10731.44122,9822.60983,9489.138766,8893.726814,8461.583773,7934.389688,8339.782697,8130.870191,8532.885342,9263.459629,10048.81328,10877.14261,11794.72644,
Rwanda,,,,,,,,,,,1022.752651,969.3191656,1062.202556,922.04891,813.6191869,855.7773211,890.5417342,922.0223231,935.5133163,1009.684328,1056.606884,1022.915118,993.5625534,1019.003911,985.2110243,925.0373815,1088.997471,1075.042964,1147.28655,1245.806296,1255.046434,1339.293905,1289.89385,1343.573064,1190.972269,1214.996715,1257.601057,1227.97809,1188.931432,1217.583063,1005.642206,1016.530659,1039.815315,901.3264732,521.7839756,840.7986903,927.8215113,858.8576389,943.1619778,975.2857216,1018.069617,1071.582911,1149.036751,1297.22552,
Samoa,,,,,,,,,,,,,,,,,,,,,2583.847712,2606.643369,2633.115394,2694.144669,2768.517641,2835.903379,2918.743009,2977.865838,3054.120495,3042.367334,3272.396316,2925.035115,3025.954527,2916.385619,2921.882228,3065.016742,3144.384173,3061.450109,3081.531507,3144.585554,2763.753596,2657.542259,2530.497163,2573.228259,2334.72619,2485.784972,2675.962644,2719.237471,2850.668129,2866.397882,3070.917352,3269.687538,3329.056149,3456.854087,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,977.0041099,1076.66337,1092.905854,1042.152216,1117.090009,1199.634506,1209.384919,1593.305519,1616.555268,1932.610214,1806.109533,1427.561517,1437.580773,1319.220049,1214.711088,1315.128317,1262.720777,1270.58655,1429.088153,1485.915594,1475.090795,1437.298207,1341.733813,1299.268944,1298.953629,1269.825598,1229.016629,1316.006919,1296.613544,1242.901144,1300.182921,1355.400789,1352.940709,1383.830937,1323.975173
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,14963.82441,17514.012,20951.63399,26600.12299,32129.46688,30490.9339,31517.4572,30271.19139,28627.97323,30958.6211,30967.70676,30683.27569,24656.50824,19963.23401,18238.42139,17382.99366,17263.63561,16144.03231,16571.77426,16047.44208,17420.47354,18571.08538,18677.84165,17647.57693,17401.01714,16916.23459,16999.69347,16760.03096,16456.28095,15551.73474,15826.51649,15484.40755,14689.66238,16010.1484,
Senegal,,,,,,,,,,,1797.41718,1714.044346,1698.951511,1653.240426,1635.06197,1638.453961,1653.160274,1570.778374,1621.003183,1443.106662,1496.063221,1456.99824,1459.159254,1362.295672,1387.678303,1448.680362,1570.492856,1465.500949,1427.84455,1479.879539,1414.0663,1350.521966,1518.232152,1512.907478,1391.078075,1467.42073,1458.878027,1474.916069,1520.111469,1456.839756,1441.237991,1412.195068,1385.477746,1329.265326,1353.32344,1330.207558,1347.094572,1414.50916,1411.43884,1492.020756,1571.367309,1389.944676,1371.498568,1406.600137,
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4418.764395,3917.557857,2836.335594,1957.503078,2000.927173,2117.957908,2237.128909,2426.211961,2578.585834,1920.334145,2094.669793,2142.997291,2921.877302,2987.080489,
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10592.78626,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,1325.948654,1340.165209,1305.704597,1318.365828,1361.728883,1371.026892,1309.543329,1302.373571,1290.8836,1334.513939,1342.678234,1356.520111,1396.872334,1339.767034,1325.950507,1407.430616,1327.537985,1372.013634,1256.083278,1196.884431,1177.838805,1073.888732,941.5116459,909.4157068,905.6071735,946.1790928,961.9269308,801.6912947,721.5793596,663.0597798,683.7297553,666.4577651,689.5416378,712.7652541,
Singapore,,,,,,,,,,,4211.006845,4285.273864,4437.677372,4632.149904,4392.866633,4537.454531,4763.165699,5028.471738,5571.472505,6028.114351,6843.572589,7445.309524,8046.035736,8835.644341,9419.567022,9351.9179,9842.509006,10176.96246,10957.37499,11947.26419,13001.41037,13130.88314,13420.22098,14406.01782,15187.13397,14594.52941,14700.08538,15894.0103,17036.57251,18142.43449,19472.46287,20217.39805,20937.37464,23092.78316,24501.34899,25819.48122,26739.54013,28305.65474,26454.18702,27484.4567,29433.77118,27194.09586,27413.93515,27004.43229,29418.76314
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9733.075826,9909.799979,10092.36217,9902.724034,8186.587303,7765.793291,7498.719734,7873.202598,8208.261598,8599.626643,8890.820593,9293.782911,9544.202935,9696.866368,9996.398463,10476.22583,10943.35531,11329.29141
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15271.26963,13855.03507,13030.43231,13610.54567,14293.76659,14941.79044,15442.68221,16130.70307,16695.84628,17559.21202,18205.50588,18663.39962,19281.32689,19757.37575,20662.65929
Solomon Islands,,,,,,,,,,,,,,,,,,,,,1994.613893,1867.27013,1727.942527,1842.775874,2146.833332,1931.640548,2144.503195,2319.825861,2476.584222,2892.354769,2620.113265,2610.631127,2425.111962,2070.410041,2140.702545,2126.733667,2035.901529,2051.939793,1938.694703,2156.703299,2188.47857,2219.511296,2509.62226,2530.218959,2518.421956,2675.545406,2672.874823,2553.731935,2514.710433,2423.607109,2012.588027,1784.194312,1695.906421,1711.143657,
Somalia,,,,,,,,,,,,,,,,,,,,,1373.611903,1379.905894,1618.494773,1384.479622,1468.611726,1392.503926,1189.729333,1307.328174,1443.298555,1257.354516,1136.893467,1107.060362,1202.164705,1104.975717,992.3821105,878.3552296,980.0557372,993.0625081,1034.029623,998.8193463,993.5772018,1014.160417,943.4095459,949.6022328,749.1685049,735.8248488,744.2309914,704.7923577,699.4488642,682.7378872,681.6329878,679.992307,679.776106,682.4512769,672.4558601
South Africa,4101.158977,4017.572293,4022.839232,4238.191696,4365.277873,4431.089365,4591.575007,4688.983715,4620.946944,4786.045737,4885.90775,5194.849142,5495.659343,5527.861845,5510.744684,5711.541841,5924.300583,5980.592652,6232.596346,6293.723583,6404.043317,6481.231494,6681.522668,6706.826105,6569.326986,6821.452873,6984.114161,7137.753714,7083.264691,7219.72864,7513.664275,7466.727397,7588.303183,7794.138369,7761.371834,7649.306702,7427.40214,7457.950409,7542.714601,7686.681897,7723.378524,7562.326035,7278.524377,7283.923619,7311.005884,7335.404158,7545.283658,7672.060846,7696.987789,7915.624119,8226.062521,8447.00548,8654.68181,8835.021673,9144.550011
Spain,2971.95763,3444.801188,3584.569572,3424.533846,3857.7021,4052.395353,4327.094785,4479.988791,4632.032747,4484.691089,4965.221954,5531.771009,6045.292943,6576.876085,6858.485596,7249.291579,7722.876809,7961.843709,8373.894733,9058.072432,9327.229939,9624.82572,10354.34738,11084.26862,11620.05388,11554.51089,11839.19764,11956.91994,11958.37088,11896.83309,12063.14531,11953.27408,12034.14655,12186.71761,12346.41036,12584.38494,12946.39351,13612.47361,14252.74244,14889.02747,15396.24235,15733.51221,15825.62496,15595.03952,15916.89516,16312.36829,16661.21885,17259.7167,17983.72388,18741.19834,19536.38089,20030.99314,20319.22857,20642.28614,20972.99883
Sri Lanka,823.016165,828.4974706,871.9221904,823.4948032,885.8471403,860.1924436,777.2887994,778.3798449,843.5906774,820.3513795,865.4489401,952.3711935,932.4109326,999.0706213,1036.227159,1071.490004,1069.943435,1149.621137,1137.531662,1165.889645,1241.144716,1284.918658,1363.238865,1446.971751,1496.679355,1506.406199,1519.338813,1546.024996,1664.928047,1736.755611,1854.034068,1989.478865,2097.892964,2071.074812,2110.448156,2359.48389,2442.047227,2440.262267,2480.191617,2525.874381,2755.89857,2736.807538,2917.281531,3044.458694,3153.56382,3352.83831,3495.903689,3647.106764,3740.133058,3904.470336,4046.630179,4045.619457,4111.028226,4274.167154,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,3816.733474,3743.720901,4192.976509,4386.681053,4310.740615,4480.023089,4389.391923,4269.564773,4828.621672,4922.931762,4998.588856,5971.287358,5914.389371,5918.386068,6522.631404,7035.24532,7343.065233,7712.271156,7228.864515,7604.874952,8313.301894,9032.806852,9565.15767,9982.906189,11266.10652,11477.78439,12222.82829,13184.42239,13513.88985,14940.4198,14393.2954,14394.28247,14612.39832,14649.74227,
St. Lucia,,,,,,,,,,,,,,,,,,,,,2882.750609,3216.174082,3335.838484,3301.59438,3327.771141,3323.343284,3077.560939,3554.805923,3336.722491,3737.168245,3565.164395,3606.250424,3780.823096,4149.142217,4462.120344,4756.993524,5448.808024,5526.783016,6007.796227,6301.207767,6451.135224,6410.537908,6809.017598,6866.470188,6480.032373,6669.466212,6560.769537,6418.694391,6845.661343,6902.41593,6838.996029,6480.115611,6565.68199,6717.363545,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,2536.712006,2614.840964,3242.005803,2844.364505,2562.066304,2335.075212,2432.702503,2506.902846,3004.334371,2941.837918,2840.250475,3327.930076,3529.827188,3737.11551,3949.692106,3931.036498,4147.506338,4214.018478,4513.938129,4799.733232,5559.50626,5385.648714,6073.184947,6495.128306,6269.075321,6649.003345,6780.708503,6462.610094,6432.530658,6961.553483,7671.753286,7632.537577,7948.035865,7747.762331,
Sudan,,,,,,,,,,,,,,,,,,,,,984.2358702,1007.585711,1014.086635,1102.558272,1079.626531,1082.656569,1165.069063,1175.676064,1137.574554,1093.922688,1047.940351,1063.787374,1065.437734,983.4186504,939.854847,966.5362491,997.0308843,1032.728943,1026.295094,1029.535536,1048.20857,1087.370691,1103.254622,1112.578211,1120.811647,1142.797949,1156.32408,1190.612524,1103.467303,979.3831538,1047.713377,1094.561624,1122.894367,1176.318422,
Suriname,,,,,,,,,,,,,,,,,,,,,3727.676008,3806.349982,3714.695941,3646.202941,3684.237024,4007.803446,4272.218314,4709.785624,5002.557953,5010.390457,4647.332178,5006.3495,4875.005739,4912.503957,4779.72037,5311.283588,4926.219353,4352.409151,4959.643264,4857.906037,4679.433362,4867.439728,4578.589711,3747.285249,3051.967313,2828.787515,3855.16666,4446.224558,4829.959774,6252.026397,4753.41978,6121.503519,5939.102201,7865.688755,
