"Total GDP, PPP",1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Argentina,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,506523330,526203470,546647806,567886288,589950842,612871410,636682979,661420668,687118628,713815301,741548224,770359443,800290167,831384065,863686230,897242046,932103081,968317832,1005939980,1045022502,1085625074,1127804289,1171622392,1217143676,1264433206,1313559482,1364595956,1417614359,1472692908,1529910965,1589351896,1651802186,1716705756,1784160792,1854265680,1927125073,2002848630,2081546439,2163335362,2248339356,2336683165,2428498946,2523921485,2623095135,2726163756,2833282956,2944609876,3060312244,3180561468,3305536431,3435419954,3595645836,3763344638,3938866526,4122572151,4314847237,4410793438,4880233811,4628026515,4837309641,4741887606,4820675609,6110808913,6874407901,7376844035,8692030973,8728350932,9340941882,10887945176,11977856441,10958479579,10366908502,12464191635,13247341718,15360585568,17107471374,19010281715,15348328661,16728841838,19822188257,17464739456,19153338966,18923707062,21903833617,24523547134,28121688545,29313398533,29669379736,32394212752,33734640932,35949414097,36505567632,39486087052,39790103703,35112689619,34697880076,33730361950,30962469126,36723645619,38116805575,41109291007,41974990448,45389847918,50782344666,55097862696,54796965646,57524480862,61789616903,65768613331,68835862774,65780260281,61352805648,59296979009,62064314115,66902981504,69685621467,70317793106,75599051308,75939409954,79126635664,80215263420,84524954119,85517867591,84967959849,94799022663,91828748852,99576009649,110332586555,116421167023,115166908987,116702349321,121206787392,114927721514,121126902331,126220687168,135286998002,139084713333,146388813400,155442976211,145194267060,156777256116,168053636146,165323888282,161324010779,178161253506,194658868208,195863259252,201080749047,209818662858,227992188680,240439924717,249573748836,254771832292,264420926418,278896660629,277171540958,277118194113,295043447266,285320374849,305338888559,310008495208,292853750601,283977082244,296067136659,302657384062,281626172367,302670750928,311016947339,305431218039,283994358956,278736107861,308852100057,339756402918,360271032090,382329339492,372020233403,393434737050,426262554430,443283908759,428319986031,424861169709,405644095771,360532354710,392100571880,426927319657,465694321852,503903706646,546168823493,581639836617,585118947552,637104004160,691842623691,703172044039,731127672814
Armenia,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,223492830,226377664,229299336,232259241,235257147,238293365,241369317,244484774,247640063,250836628,254074250,257353828,260675710,264040242,267448346,270900379,274396704,277938837,281525999,285159721,288840387,292568382,296344682,300169687,304044387,307968599,311943921,315970177,320048384,324179573,328363577,332602041,336895416,341243542,345648096,350109542,354628350,359205611,363842428,368538669,373295449,378113895,382993884,387937189,392944968,398016476,403154160,408357921,413628305,418967153,424375031,429852507,435400810,441020522,446712892,452479180,458319331,464235287,470227004,476296447,482444260,488671085,494978935,501367793,507839013,514393959,497942587,586263467,567858037,531667722,533136118,491713065,542013647,618473824,708042437,659728008,731630358,724353205,748752533,800018191,788235792,813481532,890082451,834392737,929102705,828043869,796869121,771004128,847810046,886304581,952257379,885860142,963745902,1019436720,980200940,1015773918,992745661,834808095,701996802,590314632,565542509,541810082,592991792,649008786,710317367,777416809,850854972,931230824,1019199031,1115477909,1173884097,1192697126,1182403075,1235345682,1358026990,1563465711,1681339738,1833408303,1840870508,1928659708,1861102464,1838787242,1816739860,1794955745,1773434621,1752170575,1731160603,1936761533,2203245862,2423029552,2642683090,2660424649,2852384528,3008224736,3196584573,3519406048,3915002117,4058324411,4432862705,4452779223,4950205667,5325579704,5569631465,5543854931,6376936355,6863817442,7324949206,7778367382,8369585879,8623975727,9433534217,9827539871,10022543660,11014952433,11383258478,11452423285,12017627216,12319857574,12640622212,12587380718,12605430758,12710521003,12997650824,13378258086,13507963328,13603596054,14159095328,14351382622,14639026873,14793633812,14228458298,12228229731,7113366042,6625597530,7048008261,7517975974,7849291109,8024363582,8567052727,8801580207,9292505787,10200700153,11776410726,13465171223,14940318022,17099373234,19359047190,22014960662,23525918012,20035318704,20319954108,21119898778,22645135848,23386435610
Aruba,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,16905049,17105871,17309497,17515067,17723497,17933918,18147257,18362633,18580987,18802354,19025836,19251451,19480165,19712015,19946080,20183344,20422873,20665667,20911765,21160212,21412030,21666252,21923912,22184031,22447657,22714832,22984558,23257903,23534912,23814566,24096888,24384051,24673957,24966630,25264287,25563683,25868155,26175535,26486973,26801384,27119935,27442673,27768493,28098584,28432995,28770600,29112611,29459080,29808858,30163181,30522105,30884454,31251494,31623280,31998613,32378786,32763853,33153871,33547613,33946404,34350302,34758055,35171015,35589243,36012798,36440397,36873429,37311954,37756037,38204360,38658348,39118068,39582175,40053543,40529412,41011257,41499147,41991694,42490403,42996819,43506588,44024206,44548268,45077334,45612972,46155254,46704255,47258496,47821153,48389182,48964216,49546332,50135610,50730512,52247229,53807818,55415258,57072734,58778167,60532915,62342200,64205774,66123248,68100266,70134472,72229647,74387608,76610231,78899442,81257230,83685638,86186771,88762797,91413322,94145830,96960123,99855814,102840986,105912502,109078871,112336828,115695333,119150983,122713213,126378483,130153213,134044250,138047834,142174695,146420921,150797808,155293170,162022270,171041227,182277252,195526256,210423776,226417478,242813913,258794322,273580215,286629395,297844308,307700132,317092872,326749799,336812165,347087786,357652524,368532905,379757498,413254840,450011563,490010661,533043767,578900203,627474631,679077110,734363522,794467390,860791082,934289480,1015500871,1105305899,1204106828,1312583568,1431904890,1663426156,1975559350,2215020096,2300332978,2476407849,2611090425,2792360464,3018143663,3100618008,3156868527,3433048975,3695827516,3764451043,3945157627,3920392514,3811122224,3801914254,4066515068,4114285575,4129935946,4227200870,4072712478,3792456830,3578050204,3894858570,,
Australia,278047300,277955340,277863283,277771131,277679687,277588159,277496550,277404864,277313105,277221276,277129381,277038234,276946219,276854963,276763659,276672311,276580102,276488675,276398038,276306550,276215037,276215037,282601512,292181224,311340649,327306836,330500073,338483167,344869642,364029066,447053239,466212664,483775470,501338275,534867268,654613672,659403528,702512233,721671658,699318996,921248997,838224824,793519500,934021946,1084104105,1143178998,1291664538,1532753963,1821741950,1927118785,1907959360,2380558499,3116599725,3820708577,3732894548,3926085412,5190607432,4971870668,4529607285,6055974773,6127822615,6126225997,6044798442,6242779163,6911762403,6870250316,7304530606,8174687804,8567456007,8644093705,9276354715,8821318382,9769709897,10799528966,11155574938,12381778109,12341862641,12855973866,14082177037,14280157757,15032165170,16138621937,15230145890,17484571511,17562805828,18710774682,18947074251,20965200303,21083350087,22903495419,22113169156,23811971466,20885369367,19737400513,20411173610,19264801375,20727304115,19580931880,22627280382,22627280382,23971633337,23259541391,23497437579,25355901760,27057897306,27374027811,29232491992,30418779694,31448598763,34019154889,36391730295,36669541950,37942047064,39693537790,39591354193,38863296060,38593467498,37865409366,36969706268,39097999011,40768062183,42818120609,45064563136,47226384872,50331808266,52691610722,53952939504,54772004903,54872591882,53745379072,48629812719,45369517310,47938476817,51267426831,53981678641,57155756640,59735892478,62756695080,64885307147,65061267301,69328301060,77070547878,85956535705,88991848378,85912545666,81601521869,78698179312,80633741017,85824565588,91499280586,96766286228,100667970600,101909158349,105505250054,112004992636,118030229734,121945683103,124464589616,130680332911,138765655760,144374086529,144976127029,154170578303,163643580788,174901749198,184126378986,189963971839,203785340808,216723320877,229943070910,244346575206,254843381444,262158346174,277006779165,283830985859,292061379216,304548060114,307726702013,316110086345,332353546168,338478332778,348801480918,347167653803,347547347030,372724185913,392470923637,401217572396,421679062719,440665292563,459946807699,466925048695,467783652965,484402479420,503012477584,523900371698,545432932105,565157746552,590003647368,622568272914,647844248207,661083471225,686929122980,709697472076,740395982054,761247310945,789432096366,812556263016,852003960260,874173365852,888531531395,916403645515,940131352739,970109711202,994066334883
Austria,5382946688,5417281195,5451834937,5486609229,5521603690,5556823053,5592266958,5627936751,5663835517,5699961159,5736318515,5772907232,5809728691,5846786052,5884078961,5921610605,5959380634,5997392265,6035646950,6074144342,6112887704,6242688198,6373210789,6508221985,6645928969,6784418200,6927641524,7073718500,7224765760,7376748584,7531752995,7645065817,7762078367,7878487292,7998679631,8120503478,8176109299,8369129030,8495973040,8624533175,8754831240,8904321252,9056021141,9209961224,9366172219,9524685244,9688044937,9851284203,10019489398,10190181085,10363393376,10537476738,10713953505,10895553906,11076933776,11263550855,11449957574,11644523467,11836110789,12030309947,12230041344,12395432732,12565446436,12737210492,12910740921,13089042248,13266174559,13448151823,13632002678,13817744276,13977562482,15022439182,15172396436,14852665399,15552603657,15665119851,16054167517,16642486302,17233286197,17151626928,17427633431,18183265494,18342665827,19143458287,19706827861,19628982334,20316609341,21774700479,21781532451,21625994893,22852195662,23716867875,24299315868,24515831875,26004697194,26760009484,27230114352,27867275411,29500066704,30186139774,30501064067,30692279869,31969302622,32331556898,32904819457,34824678625,36247534294,38562416849,38815345982,38772571517,39408891497,40640419356,42678810296,42466477906,35441309133,32875120539,32474722319,31777058753,31121861666,26262483265,28197741330,31212861261,34015648803,33675916980,37582832947,40130821621,40810285268,42041813127,43995271111,44632268279,43400740420,39918489232,35799240875,34610179494,34907444839,35586908485,36648570433,38602028417,43528139854,49346047327,48072052990,51511837700,48921382548,50110443929,47105083498,21233238953,24800423097,27348411772,34822511883,41404815959,46551750312,49692481461,49781903600,51928984613,57213163399,63545432283,67965934760,72134231242,74737182929,76832377560,83132402234,87534440037,89659752311,93333353600,98944272202,101791649755,107426785772,110503769438,115434492984,122882113176,131782652064,138490841497,146797392703,153612410816,159772559565,159830638338,167487330529,175139893362,174432481358,184021097794,188085450219,187411221360,190704122165,196675946248,197440235931,201952020962,206755257989,210334366311,216965585734,226130801831,234669435565,241677378999,246224338197,246698933142,253790265391,259350939976,266532290508,271509315720,281114213755,290124462838,299930609725,302964176410,306737168736,311760316629,320573605664,328686335754,340678662919,353455048653,358376463212,344874931668,351917936016,360832502876,362711061007,363717142752
Azerbaijan,717589481,717662823,717736172,717809528,717882892,717956263,718029642,718103029,718176423,718249824,718323233,718396650,718470074,718543505,718616944,718690391,718763845,718837306,718910775,718984252,719057736,729585961,740268701,751107648,762105346,773264371,784586492,796074339,807730580,819557059,831557360,843732523,856086201,868621224,881339580,894244160,907337892,920622848,934102919,947780242,961656977,975738044,990024768,1004520320,1019228844,1034152674,1049294166,1064658533,1080246319,1096063783,1112112484,1128395918,1144917622,1161681178,1178691196,1195949392,1213460460,1231228167,1249255321,1267546773,1286106433,1304937236,1324044195,1343431365,1363101814,1383059680,1403311245,1423858679,1444706274,1465859438,1487322586,1509100187,1531196764,1553615808,1576364119,1599445307,1622864118,1646626464,1670736110,1695199096,1720020420,1745204004,1770758367,1796685285,1822992286,1849684689,1792932150,2113781023,2050170058,1922084986,1929980426,1782417067,1967390488,2247938387,2576942657,2404323836,2669945984,2646937712,2739772867,2931288634,2891995668,2988626898,3274437806,3073685862,3427167449,3058494608,2947299541,2855461121,3144133052,3291303777,3540967429,3298491346,3593315010,3806061005,3664487155,3802575620,3408687493,3017708785,1862633680,1619090250,1639068331,1512664332,1770389289,2055977069,2626196190,3308990661,3745976445,3934423783,4171610235,4254986765,4483789816,4561766423,4528460265,4737578428,5215056382,6012034118,6473976790,7068992563,7107294270,7456229254,7204712977,7127881095,7051868803,6976667190,6902267406,6828660662,6755840651,7568344559,8621252532,9493985163,10368539478,10472589803,11244926098,11857734951,12581754858,13818347038,15324538223,15833919498,17242902365,17278531078,19179263367,20595066817,21516285352,21403935178,24605154305,26458411597,28199459110,29898449806,32108427221,33002857340,35991594559,37359792113,37946858517,41527258378,42887844932,43135439403,45269335035,46432363205,47690585839,47566875415,47743485289,48304308165,49620939949,51332274427,52069722155,52638137325,54906802148,55729408730,57055119166,58231798221,57059292411,56715592877,43973455868,33960187481,27381648197,24266194615,24713584258,26282780371,29066080765,31404574276,35113940984,38859384975,43291657920,48500576169,54492223736,68219548726,91822414506,114834346202,127332638147,139231691020,146433699449,146608504232,149598443730,158894330692
Bahamas,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41295902,41600696,41906185,42215434,42526941,42840721,43156791,43473587,43794276,44117305,44442691,44770451,45100602,45433162,45768147,46105575,46445464,46787832,47132697,47480077,47829989,48182452,48537485,48895107,49255335,49618189,49983687,50351850,50722695,51098071,51474353,51853376,53374153,54939034,56550598,58207681,59914816,61670868,63480480,65340596,67257892,69229322,70445367,71682478,72940932,74221010,75525041,76851296,78200066,79573731,80970529,82392876,83943195,85523248,87133446,88774205,90445942,92146885,93881845,95649071,97449003,99284341,100814873,102365870,103944470,105544095,107171983,108821470,110497529,112200500,113928335,115683746,117828560,120011321,122234990,124502601,126809788,129159581,131552557,133991841,136475520,139004190,140433164,141874954,143332292,144805337,146294252,147796521,149314951,150849708,152400960,153966127,154133866,154299886,158972429,163784468,168743199,173853170,179119077,184542322,190131103,195886872,205467331,215511320,226053114,237104239,248697587,260859294,273616727,286998540,301029649,315751439,330941099,346860142,363543010,381031801,399364869,418575851,438712794,443848194,449050988,454307697,459631800,465016557,474168622,483502650,493018641,502730073,512623469,522712307,533003325,582604457,641072078,709423157,788894259,880932344,987326701,1110241056,1252262204,1416447822,1606063429,1776627771,1961413531,2166903560,2393680107,2642732436,2882309454,3159111911,3425693564,3734228203,3524335176,3582499481,3459129802,3722830219,3100494953,2643141144,2781455246,3036855084,3469451784,4377803823,4664326739,4532256986,4820665996,5151857549,5277410997,5496093234,5639731395,5847803038,5977798219,6112987182,6011856206,5757590367,5533525974,5545613821,5711516888,5947702972,6179077016,6459817999,6872558192,7126245303,7248645251,7303524649,7474169908,7559706388,7671236511,7877392094,8095283583,8234463513,8065411152,7692955105,7723380981,7859826442,8008884781,8159856785
Bahrain,86979907,87000431,87020961,87041495,87062033,87082577,87103126,87123679,87144238,87164801,87185369,87205942,87226519,87247102,87267689,87288282,87308879,87329481,87350088,87370699,87391316,87900120,88411886,88926631,89444374,89965131,90488920,91015758,91545664,92078655,92614749,93153964,93696319,94241831,94790520,95342403,95897499,96455826,97017405,97582253,98150390,98721834,99296606,99874724,100456208,101041077,101629352,102221051,102816195,103414805,104016900,104622500,105231626,105844298,106460537,107080365,107703801,108330867,108961583,109595972,110234054,110875851,111521385,112170677,112823750,113480625,114141324,114805870,115474284,116146591,116822812,118157242,119508750,120873834,122256326,123652684,125066786,126495050,127941399,129402212,130881458,132377406,133890222,135420074,136969097,138533544,140117530,141719265,143338924,144976685,146632727,148309280,150004502,151718577,153451693,155206132,156980012,158773526,160588998,162424516,164280277,166156480,168055507,169977597,171918580,173885283,175871293,177881271,179915471,181971872,184050692,186154445,188281081,190433147,193336073,196282817,199276252,202312172,205395841,208527825,211706272,214934150,218209592,221535606,224912785,228341727,231823036,235357324,238942669,242587305,246284249,250039256,253850413,257718370,261649033,294808334,332174163,374272944,421711710,475158750,535379252,603236793,679693471,765838234,862897778,972262759,1095492842,1234334236,1390775071,1567045260,1765657004,1852944032,1967389729,2105251019,2263797959,2436056105,2619875680,2807979820,2992560166,3171140652,3339202120,3497091367,3664224641,3849719740,4054846770,4291694658,4544054949,4816934859,5104757402,5431239346,5824351194,6344985072,6953719410,7572817847,8320844945,7547586506,8834574019,9725708795,10308664496,10447391074,11399501655,11646238762,12295084185,12991700780,13387081272,13234552883,13495006946,13781568692,14313480555,14691966175,14680203382,15333089059,16497026696,17813657059,17732371591,18421366280,19271818378,20065956256,21236133208,22281054679,23429731043,24247285587,25058466925,26641793854,28744557318,32919703311,38534263457,46715007268,55347902262,47619100574,50528419302,53051899264,55240726421,57540204293
Bangladesh,15429667550,15456071628,15482520279,15509014265,15535553544,15562138877,15588769421,15615445136,15642166780,15668933512,15695746893,15722606078,15749511028,15776461701,15803458854,15830501646,15857591636,15884727180,15911909837,15939138765,15966413922,16034132011,16102137466,16170431876,16239015237,16307889939,16377055975,16446516535,16516270814,16586321201,16656668491,16727314272,16798260138,16869506082,16941054493,17012906963,17085063486,17157526451,17230296651,17303374877,17376763521,17450463373,17524476025,17598803067,17673444493,17748402693,17823679257,17899274179,17975190646,18051428653,18127989789,18205212956,18282764496,18360646017,18438859927,18517407036,18596288953,18675505691,18755061252,18834954851,18915188897,18995764996,19076684760,19157948201,19239558525,19321516543,19403823065,19486480501,19569490460,19652853754,19736571991,19897858056,20060462320,20224395570,20389668656,20556291688,20724276450,20893634799,21064376229,21236513541,21410057170,21585018428,21761410335,21939243527,22118529524,22903230523,22266886197,23375270466,23684290989,23133298443,24307069881,22162364477,24040406157,24750714816,25233939639,24714783543,22986793023,27299285149,27467807553,25433116193,26433750617,26972077404,29215211411,29622734664,29754796608,29207685652,30034595747,28209430987,28607775241,32533120451,32581203313,32495691503,32590256090,32011673829,33895862705,33206916216,34313598781,33829287121,29624011108,33853721777,31299388546,33657085881,34900482980,33587016434,35052368613,35287908920,36207790617,36034611104,36213155875,37518505309,37732535164,37297979735,37514328622,37344019719,37492748668,36938555003,38165967059,37341486460,37233441868,37850928310,38895119522,39481372251,38785545834,39794328822,38862567049,37735496024,35284892542,35045982422,35009778987,35428487788,33635596154,34818073516,36264806900,37129275568,38078180017,36277451083,40479388194,40054862592,39636486644,42114100529,44866637379,47786939473,47928754184,53211445141,54254839061,57749744409,59206077051,58656819301,64837231908,66169542880,69217790173,65385195931,56874370029,56328313746,62551933871,61379265978,64034944338,64293397609,68889578169,72129339141,72643467915,75009920388,75990746640,79888029139,84527258287,87539727284,91988859298,96574370649,100116199509,103334030582,110798621751,115096586503,121729075177,128127938150,134091139034,141365716286,148479284395,156910851072,165365241207,173496852209,183708611796,193104451458,201122846143,210898428583,223205848312,234981498337,250314876394,266098278222,281955177414,298618285743,317724289219,338882586841,359913455175,381638417820
Barbados,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,78585658,80415465,82287458,84203236,86163445,88168739,90221779,92322267,94470901,96670426,98921596,101224141,103580892,105991605,108459177,110984451,113568278,116212594,118917209,121686274,124518552,127417177,130384238,133419631,136525484,139703967,142956152,146284272,149689445,153173970,156740186,160389300,163361585,166390046,169473049,172614958,175814147,179072616,182391171,185771869,189214309,192721843,195107302,197522252,199967023,202441945,204948653,207484892,210053615,212653864,215285988,217950339,220708214,223501200,226329692,229194094,232094811,235032254,238006835,241018974,244069094,247157621,250338506,253559372,256822134,260125795,263473783,266863629,270297302,273775305,277298143,280866327,284668855,288523368,292430481,296389236,300401817,304470451,308592596,312770484,317004768,321297747,319222957,317163192,315115771,313081300,311060397,309053687,307058374,305076764,303106000,301150148,300387161,299625778,301324293,303034352,304754477,306483093,308222345,309972566,311730166,313499321,320873678,328418720,336144464,344050785,352141696,360425657,368902618,377579100,386459567,395548580,404850792,414373344,424118775,434094503,444305699,454755119,465450611,476397686,487601968,499071888,510810706,522824418,535119140,547706818,560588307,581007943,602170398,624106188,646837701,694681162,743126845,792017486,841291118,891004740,941373521,992791205,1045850836,1101332016,1160067107,1249527272,1362727501,1293334719,1357793950,1512731201,1572910003,1739728327,1859695045,1999189168,2189204600,2223744265,2246678977,2293050288,2602154453,2548976860,2658419640,2758931779,2894544217,3117644093,3257397737,3185875315,3017803578,3018674947,3110932232,3129526315,3273570885,3341250750,3441376692,3549060766,3421059462,3269717685,3025368083,3043026869,3160191338,3237401962,3334043414,3481474344,3693770348,3707296129,3786288415,3682298517,3693580320,3761361523,3893703902,4047097750,4277374080,4346349508,4360920866,4180953144,4189217974,4211381429,4210549103,4179930596
Belarus,1506823454,1507411682,1508000139,1508588827,1509177744,1509766890,1510356267,1510945874,1511535711,1512125779,1512716076,1513306605,1513897363,1514488353,1515079573,1515671023,1516262705,1516854618,1517446761,1518039136,1518631743,1541303011,1564312525,1587665441,1611366985,1635422449,1659837195,1684615980,1709764968,1735289049,1761194536,1787487142,1814171963,1841254847,1868742414,1896639972,1924954300,1953690851,1982856567,2012457768,2042500851,2072993021,2103939391,2135348794,2167226503,2199580070,2232416403,2265743245,2299567689,2333897676,2368738960,2404101192,2439991076,2476416944,2513386459,2550907375,2588989125,2627638887,2666865519,2706678797,2747085403,2788095331,2829717900,2871961725,2914836356,2958350631,3002514335,3047338220,3092830647,3139001770,3185862729,3233423097,3281693425,3330685271,3380407722,3430871727,3482090143,3534073339,3586831805,3640377959,3694724384,3749881099,3805861895,3862677993,3920341671,3978867224,3857875888,4549535633,4413869981,4139281861,4157460566,3840671962,4240440401,4846491616,5557384456,5186582954,5761206598,5713173942,5915220852,6330494353,6247401192,6457971640,7077564593,6645524806,7411869055,6616414469,6377668754,6180684724,6807441209,7128099814,7670969274,7147700439,7788771324,8252245983,7947532497,8249346347,7396931119,6550346207,4044241258,3516441292,3560836965,3287155854,3848301468,4470346094,5711797966,7198863420,8151846579,8564358661,9083224611,9267385634,9768479355,9941165465,9871374059,10330137876,11374474209,13116454041,14128264144,15431132975,15519124184,16285641472,15740729711,15577270035,15415507546,15255423578,15097001682,14940227435,14785078346,16567912753,18878169433,20795087153,22717078535,22338689798,23344452980,23973169622,24802156823,26598677023,28842943942,29169146874,31104494843,30514944604,33138108555,34773900449,35483738290,34488534614,38792311460,40901073167,42837612422,44714332589,47341537803,48012373316,51683220723,52968092082,53137014604,57455885097,59603881233,60249395363,63579353841,65598844067,67798540166,68066385435,68784137936,70079664253,72503447490,75540913847,77167024848,78543013261,82474238660,84248532009,86760948045,88989738475,87530364303,86265204318,77621910683,71367547357,62801692214,56079839191,57456011242,63784216043,68888722011,70963244894,74822671897,78089948751,81731107755,87001961693,96582252584,105163318866,115547555554,125224721031,139924886679,139712527369,150193628607,158719122611,161199665103,162168965799
Belgium,5899963173,5928922301,5958021737,5987265398,6016653440,6046184136,6075859524,6105681647,6135650664,6165764847,6196028128,6226440668,6257000742,6287712287,6318573577,6349586666,6380751718,6412070791,6443542157,6475167877,6506950011,6581138078,6657577633,6734375170,6811532048,6890969653,6968854376,7049032739,7131521418,7212456381,7295714762,7461648215,7630809318,7803256084,7981105036,8162416659,8347253224,8535678068,8729931571,8927964623,9129845168,9337911551,9552329989,9770936964,9993807944,10221019689,10455083955,10970189455,11015739632,11343944431,11813011712,12139532955,12466115024,12792681291,13588310135,13681879612,14429909330,14804486640,14898057083,14897444901,15645732905,15879839973,16301047555,16770146866,17332121878,17331178262,17846741867,17938669906,18595128280,19294784818,19767379591,19858819774,21079269059,21218961911,21922743384,21874329682,22155016102,22435572519,23092617307,23326069824,24500922322,24828061896,25674602523,26048880646,26281468989,26608408933,26936145212,27969212778,28155801820,29518302925,30175419663,30218897144,30970748519,31439253990,31907714042,32659538929,33316868653,33927076642,34490169224,35194685328,36229171101,36554999857,37305923063,38151951166,39140119077,40270337954,41116576604,41726378895,42147443685,42946423058,44071901058,45103506336,46185824194,46795608613,34535117552,28423728830,31824211567,26387171463,24432727983,29986951846,44830501200,46905250157,50505209883,54173611387,57097103509,57705210879,58926179503,59126776136,63613727556,65719883720,67076182891,65034594775,62309770178,61900613351,60612340347,63523246321,65689804892,69009344847,67856812061,65217588916,53240859695,45073368642,46073507965,37298771244,38058340941,40846532656,64504244944,73358715742,77989930371,80757391159,83412713330,87997351635,87918040857,91619824932,95421368994,99170747741,102866457291,105531669185,103602694804,106445578317,111575385835,117160718089,123290053243,128636092938,137265671645,141618632401,145889998345,151437566980,157767591008,168474098299,179089448265,185832333384,195584119602,207668279837,216424430809,213526464358,225700722486,227240592001,233791837874,239262725033,249823369235,246540668166,249805633743,249668399397,255816817248,258440547381,262532069699,269021165141,282012351859,291331582608,300024473624,305285475652,309559955640,306215306805,315724958940,322934152600,326508758815,337225424575,343486513724,355285523222,368590193649,371755203381,378197419059,383131999362,395955516982,404152651992,414748913855,426336643822,429784178823,416799712050,425500830659,428437474456,425551385729,425149980066
