Median age,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
Mauritania,17.906,18.262,18.126,17.833,17.485,17.295,17.307,17.397,17.496,17.892,18.553,19.343,20.095,20.914,21.967,23.189,24.51,25.962,27.442,28.905,30.342
Mauritius,17.326,16.924,16.666,16.675,17.804,19.461,21.524,23.091,24.896,26.764,28.704,30.688,32.615,34.238,35.603,36.724,38.039,39.461,40.564,41.315,41.713
Mayotte,30.264,22.265,18.9,17.384,16.499,15.546,15.287,15.614,16.296,16.772,17.345,18.549,20.205,22.219,24.154,26.204,28.164,30.14,31.961,33.629,35.143
Melanesia,19.707,18.88,18.288,17.112,17.954,18.068,17.679,18.346,19.004,19.553,19.778,20.219,20.847,21.774,22.966,24.22,25.501,26.86,28.24,29.612,30.974
Mexico,18.682,17.883,17.113,16.631,16.594,16.758,17.43,18.462,19.769,21.52,23.378,25.464,27.593,29.698,31.893,34.033,36.217,38.317,40.341,42.205,43.896
Micronesia,21.057,20.057,18.985,18.311,18.151,18.64,19.154,20.251,21.571,22.406,23.671,24.781,25.795,26.72,27.98,29.399,30.893,32.307,33.659,34.963,36.187
"Micronesia, Fed. Sts.",19.77,18.455,17.469,16.594,16.758,16.135,16.272,16.913,17.569,17.825,18.925,19.784,20.78,22.053,23.52,25.182,26.933,28.732,30.676,32.779,34.878
Middle Africa,19.533,19.227,18.927,18.568,18.18,17.801,17.448,17.101,16.769,16.556,16.67,16.913,17.436,18.082,18.855,19.803,20.873,22.165,23.549,24.987,26.511
Mongolia,19.039,18.699,18.432,18.205,18.062,18.012,18.227,18.603,18.77,20.035,21.925,24.155,26.326,28.603,31,33.136,35.184,36.802,38.041,38.931,39.888
Montenegro,21.343,22.203,22.883,23.627,23.917,25.064,26.831,28.42,29.975,31.773,33.357,34.719,35.856,37.16,38.366,39.639,40.995,41.889,42.667,43.385,43.858
More developed regions,28.951,29.385,29.865,30.028,30.57,31.075,32.028,33.256,34.52,35.914,37.325,38.551,39.671,40.781,41.878,43.037,44.115,45.047,45.537,45.604,45.593
Morocco,17.703,17.575,17.477,17.185,16.252,16.279,18.493,18.929,19.679,20.884,22.519,24.327,26.215,28.025,29.825,31.595,33.291,34.834,36.153,37.47,38.806
Mozambique,19.112,19.018,18.824,18.568,18.279,18.049,18.012,17.556,16.543,17.743,17.999,17.832,17.892,18.308,19.071,20.121,21.239,22.327,23.431,24.58,25.833
Myanmar,22.918,22.285,21.041,19.526,18.928,19.184,19.662,20.215,21.286,22.789,24.568,26.203,27.9,29.638,31.35,33.029,34.618,35.981,37.287,38.504,39.663
Namibia,20.915,20.147,19.336,18.796,18.37,17.815,16.641,16.373,17.794,18.329,19.134,19.866,21.071,22.351,23.559,24.638,25.71,26.864,28.034,29.24,30.518
Nepal,19.324,19.579,19.623,19.507,19.054,18.845,18.683,18.588,18.605,18.789,19.229,20.12,21.562,23.122,24.695,26.423,28.121,29.796,31.311,32.798,34.27
