Total expenditure on health as percentage of GDP (gross domestic product),1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Martinique,,,,,,,,,,,,,,,,
Mauritania,4.8,3.8,4.0,4.9,6.0,6.0,4.8,6.0,5.4,5.9,5.1,3.5,4.4,4.3,4.2,4.4
Mauritius,3.6,3.5,3.5,3.6,3.4,3.7,3.8,4.2,3.9,4.2,4.5,4.3,5.2,5.3,5.6,6.0
Mayotte,,,,,,,,,,,,,,,,
Mexico,5.1,4.7,4.8,4.9,5.1,5.1,5.5,5.6,5.8,6.0,5.9,5.7,5.8,5.9,6.5,
"Micronesia, Fed. Sts.",9.2,8.6,7.9,7.2,7.8,8.1,8.8,8.1,9.8,10.4,12.2,12.0,12.0,12.9,13.4,14.2
Moldova,9.1,10.3,9.5,7.7,5.9,6.7,7.1,8.1,8.3,8.5,9.2,10.6,10.9,11.4,12.5,11.7
Monaco,3.0,3.0,3.1,3.1,3.4,3.2,3.3,3.3,3.9,4.0,3.9,3.8,3.3,3.6,4.2,4.3
Mongolia,3.6,4.2,4.2,4.4,4.7,5.5,5.7,6.0,4.7,4.2,3.7,3.6,4.6,5.7,5.7,5.4
Montenegro,7.7,7.7,7.7,7.7,7.7,7.9,8.9,9.0,9.6,9.1,9.1,8.6,7.8,8.0,9.4,9.1
Montserrat,,,,,,,,,,,,,,,,
Morocco,3.9,3.8,4.1,3.9,4.0,4.2,4.4,5.3,5.3,5.2,5.1,5.2,5.2,5.2,5.2,5.2
Mozambique,5.1,4.3,4.6,4.6,5.2,6.0,5.5,6.0,5.6,5.1,5.8,5.4,4.8,4.1,5.4,5.2
Myanmar,2.1,2.1,1.9,1.8,1.8,2.1,2.1,2.4,2.3,2.3,2.1,2.1,2.0,2.0,2.1,2.0
Namibia,6.2,6.6,6.9,6.8,7.0,6.1,6.2,6.2,6.5,6.5,7.3,7.2,6.9,6.8,7.2,6.8
Nauru,13.0,14.2,14.1,14.7,13.5,12.3,12.4,12.3,11.9,13.0,15.5,16.1,21.7,14.2,11.2,11.2
Nepal,4.7,4.8,5.1,5.3,5.1,5.2,5.3,5.5,5.4,6.0,6.0,5.8,5.4,5.9,5.8,5.3
Netherlands,8.3,8.2,7.9,8.1,8.1,8.0,8.3,8.9,9.8,10.0,9.8,9.7,9.7,9.9,12.0,11.9
Netherlands Antilles,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,
New Zealand,7.1,7.0,7.2,7.7,7.5,7.6,7.7,8.0,7.9,8.0,8.4,8.8,8.5,9.3,10.0,10.1
Ngorno-Karabakh,,,,,,,,,,,,,,,,
Nicaragua,8.4,8.3,6.8,7.3,6.9,7.0,6.8,7.4,7.9,7.9,7.9,8.2,9.1,9.3,9.6,
Niger,3.4,3.2,3.6,3.7,3.7,3.4,3.7,3.8,3.6,3.9,6.0,6.0,5.4,5.2,5.4,5.2
Nigeria,4.4,4.5,4.6,5.6,5.4,4.6,5.2,3.9,6.5,7.0,6.6,5.7,6.0,5.7,6.1,5.1
Niue,8.0,9.3,9.4,8.2,8.3,7.9,,11.1,12.5,15.1,12.9,15.6,16.1,16.5,17.5,17.4
Norfolk Island,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,
Norway,9.1,8.7,8.4,9.3,9.3,8.4,8.8,9.8,10.0,9.6,9.0,8.6,8.7,8.5,9.7,9.5
Oman,3.6,3.6,3.4,3.7,3.5,3.1,3.1,3.2,3.2,3.0,2.6,2.3,2.5,2.1,3.0,2.8
Pakistan,3.3,3.3,3.3,3.6,3.7,3.0,2.8,3.0,2.8,2.8,2.7,2.7,2.6,2.5,2.2,2.2
Palau,12.4,12.7,12.4,10.9,12.0,12.8,10.4,10.4,10.3,11.5,10.5,10.5,10.8,10.2,10.6,10.3
Panama,7.7,7.2,7.1,7.1,6.9,7.8,7.7,8.0,7.6,8.1,7.5,7.0,6.7,7.3,8.1,8.1
Papua New Guinea,3.5,3.7,3.4,3.8,4.1,4.0,4.5,4.5,3.9,4.4,3.9,3.4,3.2,3.3,3.7,3.6
Paraguay,6.7,6.8,7.0,7.2,7.8,9.4,9.1,8.7,7.2,6.6,6.5,6.6,6.1,6.0,6.6,5.9
Peru,4.5,4.5,4.3,4.5,4.9,4.7,4.7,4.8,4.5,4.4,4.5,4.5,5.1,5.7,5.3,5.1
Philippines,3.4,3.5,3.6,3.2,3.2,3.2,3.0,2.8,3.2,3.2,3.5,3.5,3.4,3.3,3.6,3.6
Pitcairn,,,,,,,,,,,,,,,,
Poland,5.5,5.9,5.6,5.9,5.7,5.5,5.9,6.3,6.2,6.2,6.2,6.2,6.4,7.0,7.4,7.5
Portugal,7.5,7.8,7.8,7.7,8.0,9.3,9.3,9.3,9.8,10.1,10.4,10.1,10.0,10.1,10.7,11.0
Puerto Rico,,,,,,,,,,,,,,,,
Qatar,3.7,3.6,3.2,3.4,2.9,2.3,2.7,2.8,4.2,3.7,3.3,2.7,2.4,2.1,2.6,1.8
Reunion,,,,,,,,,,,,,,,,
Romania,3.5,3.7,4.8,4.6,5.1,5.2,5.4,5.7,5.3,5.5,5.5,5.1,5.2,5.4,5.6,5.6
Russia,5.4,5.6,7.1,6.6,5.8,5.4,5.7,6.0,5.6,5.2,5.2,5.3,5.4,4.8,5.6,5.1
Rwanda,4.5,4.6,4.6,5.3,4.7,4.2,4.4,4.2,6.3,6.2,6.5,10.8,9.5,9.4,10.1,10.5
St. Barthélemy,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,
St. Kitts and Nevis,5.4,5.4,5.1,5.1,5.3,5.5,5.1,5.0,4.7,4.4,4.4,5.3,5.4,5.0,5.2,6.7
St. Lucia,4.7,5.5,5.0,5.0,5.0,5.1,5.7,5.8,5.9,5.8,6.0,7.3,7.2,8.1,8.4,8.7
St. Martin,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,4.45833258,4.44634447,4.7281377,4.1684158,4.1527164,3.72180631,3.63980325,3.92617262,3.90135665,3.71947805,3.65532249,3.88226523,3.9172185,4.6289586,4.60065661,4.47059913
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,
Samoa,4.6977826,5.22342626,5.45316699,5.58489223,6.28075985,6.01843157,5.75678294,5.52869249,5.14551282,4.9266523,4.95060798,5.31983442,5.86637027,5.49409403,5.44408597,6.46982259
San Marino,7.83999165,7.55147442,7.53528908,7.40877649,7.44438531,7.51906667,7.36293853,9.28118717,7.32551256,7.57805489,7.48865306,7.20196413,7.108691,7.14165292,7.12611545,7.12611545
Sao Tome and Principe,8.23324072,7.73768994,8.88817135,7.93407725,8.98203574,9.4870383,9.70914787,9.86959833,10.89366855,10.14680653,9.49611341,7.58308372,7.45394716,7.01813204,7.24194682,7.1688313
Saudi Arabia,2.96343516,2.96182194,3.05675942,3.34299955,4.12657313,4.25943342,4.5140298,4.29718242,4.02387964,3.69506901,3.54521791,3.8083032,3.82925982,3.19192117,4.37508458,4.29186721
Senegal,3.93442496,4.08432135,4.08141909,4.10328832,4.36302521,4.33077043,4.52513583,5.06424157,5.40001387,5.70509225,5.40084188,5.82945478,5.7243396,5.81767131,5.66216259,5.6642273
Serbia,7.31661157,7.31657912,7.22357867,7.40327177,7.40933991,7.4155493,7.57920399,8.87407275,8.81049039,8.6612779,9.05257374,9.4184197,10.35888797,10.36336542,10.51252172,10.36114619
Serbia and Montenegro,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,
Seychelles,5.18969549,5.33529273,5.84536015,5.22847419,5.29394573,4.81819736,4.64011248,4.38333417,4.80140746,5.142936,4.16324926,3.99217625,3.44997619,3.33321428,3.29209398,3.40385947
Sierra Leone,14.33894344,14.53401106,13.53529751,13.28618861,16.01257445,15.61839028,14.96244618,14.8586967,7.7703857,13.51779005,14.48132071,11.061053,12.83727079,13.77868517,13.86115877,13.06796543
