CME under 5 mortality,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.5,180.2,175.8,172,167.6,164.3,160.4,156.8,153.5,149.9,146.2,143,139.7,136.5,133.6,130.2,127.1,124.3,121.4,118.6,115.7,112.7,110,107.4,104.6,102,99.9,97.1,95,92.8,90.1,87.8,85.9,83.5,81.7,79.5,77.1,75.4,73.4,71.6,70,68.3,66.3,64.5,62.4
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.1,115.7,113.4,111.2,108.9,106.6,104.5,102.2,100.1,97.9,95.9,93.8,91.8,89.9,88,86.1,84.3,82.6,80.8,78.8,76.6,74.6,72.8,71.2,69.8,69,68.4,68.4,68.8,69.7,70.9,72.2,73.5,74.5,75,74.8,73.7,69,63.1,58.6,54.3,50.1,45.9,41.5
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Nepal,,,,,,,,,,,,,,,,,,,340,335.1,330.3,325.3,321,317.1,312.3,307.7,302.9,298.5,294,289.7,285.5,281.4,277.1,272.9,268.9,264.5,260.6,256.8,253,249.2,245.3,241.5,237,232.3,227.6,222,216.8,211,205.8,199.7,193.8,187.2,180.9,174.5,168.1,161.2,154.7,147.8,141,134.6,128.2,122.4,116.7,111.1,106,100.9,96,91.6,87.2,82.9,78.9,75.1,71.6,68,64.6,61.5,58.4,55.6,52.9,50.3,48
Netherlands,,,,,,,,,,,,,,,,,,35.1,33.5,31.9,30.5,29,27.7,26.4,25.2,24.2,23.2,22.3,21.6,20.9,20.4,19.8,19.3,18.7,18.3,17.9,17.4,16.8,16.3,15.8,15.2,14.7,14.1,13.6,13.1,12.6,12.1,11.7,11.3,10.9,10.6,10.4,10.2,9.9,9.7,9.4,9.2,8.9,8.6,8.3,8,7.7,7.4,7.2,6.9,6.7,6.5,6.4,6.3,6.2,6,5.9,5.8,5.5,5.3,5.1,4.9,4.6,4.4,4.2,4
New Zealand,,,,,,,,,,,,,,,,,,37.5,36.6,35.6,34.7,33.8,33,32.2,31.4,30.7,30,29.3,28.6,27.7,26.8,25.8,24.8,23.9,23.2,22.6,22.1,21.6,21.2,20.7,20.3,19.8,19.3,18.8,18.2,17.7,17.1,16.6,16,15.6,15.1,14.7,14.4,14.1,13.8,13.4,12.9,12.3,11.7,11.1,10.5,10,9.5,9.1,8.7,8.4,8.1,7.9,7.6,7.4,7.2,7,6.9,6.8,6.6,6.5,6.4,6.2,6.1,6,5.9
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,213.6,210.3,206.4,202.8,199.4,195.8,192.6,189.4,186.3,182.7,179.9,176.7,173.5,170.7,167.2,164.1,161.2,157.4,154.8,150.3,145.3,140.6,134.2,127.9,121,114,106.5,100.2,93.7,88.5,85,79.9,76.6,73.7,70.9,68.5,66.1,63.3,60.5,57.9,55.2,52.7,50.4,48.3,46.1,44.2,42.3,40.4,38.7,36.9,35.3,33.7,32.3,30.9,29.5,28.2,27,25.6
Niger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.4,320.3,321.8,323.2,323.8,325.1,325.2,325.4,325.6,326,326.5,325.3,323.1,319.5,316.6,314.1,311.1,312.3,314.4,318,320.3,321,319.8,317.9,313.7,307.9,298.3,288.9,278.6,267,257.3,247.6,236.9,226.3,215.6,205.1,195.4,185.7,177,168.5,160.2,152.3,144.9,137.8,130.9,124.5
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.1,293.1,288.4,283.9,278.9,274.7,270.9,266.2,261.3,258.5,253.7,250.2,246.6,243.3,239.3,235.3,230.2,226,221.5,217.3,214.7,212.5,211.4,209.9,209.9,211.1,212,213.1,213.2,213.6,213.8,214.3,214.1,212.8,211.3,207.2,203.4,199.6,193.6,187.9,181.3,174.6,168.3,162,156,150.3,144.6,139.1,133.9,129.2,124.1
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.1,8.9,9.7,10.5,11.4,12.4,13.2,14.2,14.5,14.5,14.5,14.9,15.8,17.2,19.5,22.5,26.1,29.4,31.8,31.1,30.1,29,27.9,26.4,25.3,24.1,23,21.9,21.1
Norway,,,,,,,,,,,,,,,,,,,32.4,31.2,30.1,29,28,27.1,26.1,25.3,24.5,23.9,23.3,22.7,22.1,21.5,20.8,20.2,19.6,18.9,18.2,17.5,16.8,16.2,15.5,14.9,14.2,13.5,12.9,12.2,11.6,11.1,10.6,10.3,10.1,10,10,10,10,10,9.8,9.4,9,8.4,7.8,7.2,6.6,6.2,5.8,5.5,5.3,5.1,5,4.9,4.7,4.5,4.3,4.2,4,3.8,3.7,3.5,3.4,3.2,3.1
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.8,361.6,342.2,323.6,308,290.5,274.2,261,245.8,231.9,220.2,207,195,182.8,172.9,163.5,153.1,144.1,135.3,126.2,117,109,101.1,94.1,87.1,80.5,74.3,68.5,63.1,59,54.7,50.6,47.5,44.4,41.3,38.6,35.8,33,30.5,28,25.8,23.6,21.7,20.1,18.5,17,15.6,14.4,13.3,12.2,11.2,10.3,9.4,8.7
Pakistan,,,,,,,,,,,,,,,,,,,376,360.2,345,330.1,317.4,303.8,291.8,279.6,268.5,257.4,247.9,237.6,228.5,219.7,211.8,204.1,198.9,194,190,185.6,183.6,181.5,178.5,174.6,171.1,166.4,161.6,156.6,152.5,148.8,146.8,145.2,143.4,141.7,140.2,137.8,135.7,132.8,129.8,126.7,124.6,122.2,120,117.4,114.9,112.7,109.8,106.3,102.7,99.9,97.8,95.3,93,90.6,88.6,86.2,83.9,82,80,78.1,75.7,73.7,72
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3,36,35.6,34.2,33.3,32.3,31.1,30.2,29.7,29,28.1,27.5,27.3,26.4,25.6,24.8,24.3,23.6,22.8,22.3,21.5,21.3,20.7,20.2,19.2,19.1,18.6
Panama,,,,,,,,,,,,,,,120.3,117.7,114.8,111.5,109.2,106.1,103.3,100.9,98.1,95.7,93.5,90.8,88.7,86.1,83.8,81.8,79.5,77.4,75.3,73.4,71.5,69.4,67.3,65.4,63.5,61.6,59.5,57.6,55.9,54,52.5,50.7,49.1,47.6,46,44.4,43,41.6,40.3,39,38,36.9,36,35.1,34.1,33.3,32.4,31.6,30.8,30,29.2,28.5,27.8,27.1,26.4,25.7,25.1,24.5,23.9,23.3,22.7,22.2,21.7,21.1,20.6,20,19.5
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,242.5,235.4,228.2,221.7,214.9,208.6,202.4,197,191.1,185.5,180,174.7,169.7,164.5,159.6,155,150.6,146.4,142.3,138.4,134.1,130.3,126.6,123.1,119.2,115.5,111.8,108.6,105.9,103.1,100.9,98.4,96.1,93.9,91.9,89.8,88,86,84.4,82.3,80.8,79.2,77.7,76.1,74.6,73.3,71.7,70.7,69.2,68,66.4,65.4,63.8,62.7,61.5,59.7,59.5,57.8
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9,81.8,82,81.6,80.7,79.9,78.7,78.1,77.6,76.2,74.6,73.3,72.8,71.9,71.7,71.5,71.7,71,70.6,70.2,68.3,66.6,65.4,64.3,62.5,60.3,58.6,56.8,55.2,54.1,52.6,51.3,49.2,47.3,45.2,43.4,41.5,39.8,38.2,36.7,35.3,33.8,32.3,30.8,29.9,28.6,27.5,26.2,25.4,24.3,23.4,22.4
Peru,,,,,,,,,,,,,,,,,,,,,288.7,280.4,272.7,264.4,257,249.2,241.8,235,227.3,220.2,213.6,207,201.2,195.9,189.8,183.6,176.3,169.9,163.4,158.2,153.3,148.7,144.4,140.3,135.9,132.2,128.5,124.6,121.4,118.5,115.6,112,108,103.2,97.7,92.8,88.3,83.7,79.3,75.1,70.9,66.9,62.6,58.7,54.8,51.2,47.8,44.6,41.7,38.9,36.3,33.8,31.6,29.5,27.5,25.7,23.9,22.3,20.8,19.4,18.1
Philippines,,,,,,,,,,,,,,,,,,135.4,132.5,130.3,126.8,124.4,121.5,119.2,117,114.6,112.2,109.7,107.9,105.8,103.8,101.6,99.6,97.7,95.6,93.7,91.9,90.3,88.9,87.8,86.7,85.9,85,84.4,83.6,82.8,82,81.1,79.9,78.9,76.9,75.2,73,71.2,68.6,66.4,64,61.6,59.2,57,54.9,52.7,50.8,48.8,47,45.2,43.5,41.9,40.3,38.8,37.3,35.8,34.5,33.2,32,30.7,29.5,28.5,27.4,26.4,25.4
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,81,75.6,70.1,65.3,60.8,56.5,52.7,49.1,46.2,43.7,41.3,39.3,37.4,35.6,34,32.4,31,29.6,28.3,27.1,26.2,25.5,24.8,24,23.3,22.5,21.8,21.1,20.4,19.7,19.1,18.4,17.8,17.3,16.8,16.3,15.6,14.8,13.8,12.9,12,11.1,10.3,9.6,9,8.6,8.2,7.9,7.5,7.2,6.9,6.6,6.3,6.1,5.8
Portugal,,,,,,,,,,,,,,,,,,,,,,,135.2,132.4,128.7,125.4,122,118.6,115.2,111.7,107.1,102.1,96.9,91.6,86.6,82.1,78.3,74.2,70.1,65.9,61.7,57,52.4,47.6,43.2,39.4,36,33,30.4,28,26.1,24.4,23,21.7,20.4,19.2,18,16.9,15.7,14.6,13.5,12.5,11.5,10.7,10,9.3,8.7,8.2,7.7,7.2,6.7,6.1,5.6,5.2,4.9,4.6,4.3,4,3.8,3.6,3.4
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.7,60.5,57.4,54.5,51.7,49,46.5,44.2,41.8,39.9,37.8,36,34,32.3,30.6,29,27.5,26.1,24.8,23.5,22.3,21.2,20.2,19.2,18.3,17.4,16.6,15.9,15.1,14.4,13.8,13.2,12.6,12.1,11.5,11,10.5,10,9.6,9.2,8.8,8.4,8.1,7.7
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,82.9,80.4,78,75.2,72.8,70.2,68.1,65.8,64,62.1,59,56,53.1,50.7,48.8,47.2,45.5,43.9,42.4,41.1,40.1,39.4,39.3,39.3,39.2,39.1,38.8,38.3,37.4,36.3,35.1,34,33.1,32.2,31.2,30.2,29,27.9,26.8,25.7,24.5,23.3,21.9,20.5,18.9,17.5,16,14.8,13.6,12.5
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4,39.7,38.9,38.1,37.3,36.6,35.8,35.1,34.4,33.7,32.9,32.3,31.6,31,30.4,29.8,29.3,28.7,28.3,27.7,27.3,26.9,26.5,26.1,25.7,25.2,24.5,23.9,23.2,22.4,21.3,20.3,19.3,18.3,17.4,16.5,15.7,14.8,14,13.3,12.5,11.9
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,247.1,242.9,238.9,235.1,231.6,228.3,225,221.9,218.7,215.4,213.3,212.2,213.4,215.9,219.1,223,227.1,231,234.2,237.7,240.4,243.8,242.2,236.1,225.8,212.8,198,184.6,174.9,166.9,162.9,160,157.3,154.9,153.4,156.3,163,182.4,208.4,299,275.1,227.2,237.8,244.1,205,183,165.4,149.6,134.2,120.5,108,96.6,86,75.8,67.7,60.4,54.1
Saint Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.2,68.7,66,63.5,61,58.4,55.9,53.6,51.3,49,47,45,43.2,40.9,38.8,36.8,34.7,32.6,31.1,29.6,28.3,27.2,26.2,25.3,24.3,22.9,21.4,20.1,18.6,17.4,16.3,15.1,14.2,13.3,12.3,11.4,10.6,10,9.3,8.6,8.1,7.4
Saint Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.3,63.1,59.2,55.4,52.2,49.3,46.2,43.5,41,38.7,36.3,34.2,32,30.2,28.7,27.5,26.6,25.7,25,24.1,23.3,22.5,21.7,20.9,20.3,19.8,19.4,19.1,18.9,18.7,18.5,18.1,17.9,17.6,17.4,17.1,16.9,16.7,16.5,16.2,16.1,15.8,15.6
Saint Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3,90.4,84.6,79.1,74.3,69.5,64.9,61.2,57.2,53.5,50.3,47.3,44.3,41.7,38.9,36.3,34.2,32.2,29.9,28.4,26.5,25.6,24.7,24,23.2,22.7,22.3,22,22,21.8,21.9,21.7,21.8,21.7,21.5,21.6,21.5,21.3,21.2,21.2,21.2,20.9
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.3,40.7,38.6,36.5,34.6,32.9,31.2,29.5,28,26.4,25.7,25.2,24.7,24.4,23.9,23.5,23.1,22.7,22.3,21.9,21.5,21.2,20.9,20.5,20,19.8,19.3,18.9,18.7
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.7,17.6,16.7,15.9,15.1,14.2,13.4,12.7,11.9,11.3,10.6,10,9.4,8.7,7.9,7.2,6.5,5.9,5.3,4.8,4.3,3.9,3.5,3.2,2.9,2.6,2.4,2.1,1.9,1.8
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.9,96.2,96.3,95.6,96.2,95.8,95.5,95.6,95.3,95.4,95.9,95.7,96,96.1,95.9,96,96.4,96.3,96.3,96.5,96.4,96.7,96.9,97,97.1,96.8,96,96.1,95.4,95.1,95.1,94.1,93.7,93.3,92.8,93.3,92.5,92.3,91.3,91,90.2,90.8,90.2,89.6,89.7,89.1,89.1,88.8
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.2,159.1,147.8,137.5,127.8,118.8,110.3,102.6,95.5,88.7,82.5,76.6,71.3,66.3,61.6,57.2,53.2,49.4,45.9,42.7,39.7,37,34.3,31.9,29.7,27.6,25.6,23.8,22.2,20.6,19.1,17.8,16.6,15.4,14.3,13.3,12.4,11.5,10.7,9.9,9.2
Senegal,,,,,,,,,,,,,377.1,370.9,363.6,356.7,351.4,344.7,338.6,332.8,327.2,322.8,318.1,312.9,308.3,303.6,299,296.5,293.8,292.1,291.2,290.9,292.6,295.4,298,300.6,300.6,299.6,296.6,294.6,288.3,281.6,273.3,263.2,252.7,241.9,230.6,219.7,209.9,201.4,194.7,189.4,184.2,177.8,169.5,160.7,152.2,144.8,139.7,135.9,135.2,136.8,138.5,140.2,141.7,143.1,142.2,140.6,136.6,130.4,124.8,117.6,110.3,103.7,97,90.6,84.7,78.7,73.5,69.1,64.8
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,43.5,40.5,37.9,35.3,32.8,30.6,28.6,26.6,24.5,22.6,20.7,19,17.4,16,14.7,13.7,12.7,11.9,11.1,10.5,9.8,9.2,8.8,8.4,8.1,7.7,7.4,7.1
Seychelles,,,,,,,,,,,,144.3,140.4,138.4,134.6,131.7,128.4,125.5,122.4,119.7,117.2,114,111.2,107.7,105.3,102.7,100.5,97.9,95.2,93.1,90.9,88.5,86,83.1,80.5,77.3,74.4,71.6,68.9,65.6,62.3,58.4,54.1,50.4,46.2,42.4,39,35.6,32.8,30.3,28.1,25.9,24.1,22.5,21.1,19.8,18.9,18,17.3,16.6,16,15.4,15.1,14.8,14.5,14.3,14.1,13.9,13.8,13.8,13.7,13.6,13.7,13.7,13.8,13.8,13.8,13.8,13.8,13.9,13.8
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,379,381.4,383.3,385.2,387.1,388.5,389.9,390.9,392.3,391.6,387.2,383.5,377.6,369.4,357.6,341.5,329.9,319.3,309,296.8,292,282.2,276.4,272.4,269.6,263.6,259.6,254.4,250.2,244.2,244.8,245.9,251.7,254.4,257.7,266.7,275.1,275,276.3,271.8,262.4,254.9,245.7,242.9,242.2,240.6,235.5,230,225.3,219.5,214.4,209.3,204,199.7,193.9,188.8,185.3
Singapore,,,,,,,,,,,,,,,,,,,,,,,84.8,78.2,72.2,66.5,61.4,56.5,52.2,48.1,44.7,41.7,39.2,37,35,33.3,31.7,30.1,28.6,27,25.2,23.2,21.3,19.6,18.2,17.1,16.2,15.4,14.8,14.2,13.7,13,12.3,11.6,10.9,10.2,9.6,8.9,8.2,7.5,6.9,6.4,5.9,5.5,5.2,5,4.7,4.4,4.2,3.9,3.7,3.4,3.2,3.1,3,2.9,2.8,2.8,2.7,2.6,2.6
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.3,26.1,24.9,23.8,22.8,21.8,20.9,20,19.2,18.4,17.6,16.9,16.3,15.7,15,14.4,13.7,13.1,12.5,12,11.6,11.2,10.9,10.5,10.2,9.9,9.6,9.2,8.8,8.4,8,7.7
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,18.2,17.2,16.2,15.2,14.3,13.5,12.6,11.9,11.1,10.4,9.6,9,8.3,7.8,7.3,6.8,6.3,5.9,5.6,5.4,5.2,5,4.8,4.5,4.3,4,3.8,3.5,3.3,3,2.8
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.6,172.4,164.4,155.7,147.7,139.9,133.3,126.4,119.5,113.4,107.6,102.4,97,92.2,87.4,83.1,79,75.2,71,67.6,64.3,61.1,57.9,55.2,52.6,50.8,49.2,47.7,46.1,44.7,43.3,41.8,40.7,39.3,38,36.9,35.8,34.8,33.6,32.4,31.4,30.5,29.6,28.8,27.8,26.9,26.1,25.5,24.5,23.8,23.2,22.2,21.6
Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.5,133.1,127.1,121.3,115.7,110.6,105.6,100.9,96.4,92.1,88,84.2,80.5,77.1,73.8,70.7,67.9,65.4,63.5,62.3,61.5,60.9,60.6,60.9,61.8,63.4,65.7,68.5,71.4,74.1,76.3,78.3,79.3,79.1,78.2,75.8,71.1,66.6,61.3,52.6,46.7
South Sudan,,,,,,,,,,,,,,,,,,,,,,,388.6,381.8,376.4,371.1,365.3,360.2,354.6,350.2,344.2,339.1,335.5,330.8,325.7,320.8,317.3,312.7,307.3,302.2,299.1,293.9,291.3,286.5,284,280.5,278.2,275.8,273.8,272.5,268.6,265.5,259.7,253.9,247.3,241.8,235.6,229.1,223.2,217.3,211.2,204.9,199.6,194,188.7,183.6,178.8,173.5,169,164.5,159.4,155.6,150.8,146.6,142.7,138.8,135,130.7,127.2,123.7,120.5
Spain,,,,,,,,,,,,,,,,,,,110.5,103.6,97.4,91.3,85.8,80.6,75.7,71.2,67.2,63.2,59.4,55.6,52.1,48.9,45.9,43.2,40.7,38.3,36,33.7,31.3,29.1,27.3,25.9,24.8,23.9,23,22.3,21.5,20.5,19.3,18,16.8,15.8,14.9,14.1,13.5,12.9,12.4,11.9,11.4,10.9,10.4,9.9,9.3,8.8,8.3,7.9,7.4,7.1,6.8,6.6,6.4,6.2,6,5.8,5.7,5.5,5.2,4.9,4.7,4.5,4.2
Sri Lanka,,,,,,,,,,,,,,,,,134.8,131.4,128.6,125.4,122.3,119.6,116.3,113.7,111.4,108.4,105.8,103.6,100.8,98.9,96.5,94.1,91.7,88.9,86.7,84.5,82.4,80.4,78.5,75.8,72.3,69.2,65.8,62.5,59.1,56.6,53.5,50.8,48.3,45.8,43.6,41.4,39.3,37.4,35.7,34.1,32.7,31.3,30.1,28.9,27.7,26.5,25.5,24.5,23.5,22.5,21.6,20.7,20,19.1,18.4,17.7,17,16.3,15.7,15.1,14.4,13.8,13.3,12.6,12.2
Sudan,,,,,,,,,,,,,,,,,,,,,,,199.4,195.7,191.9,187.9,183.6,180.8,177,174.2,170.6,167.4,164.6,161.5,158.5,155.2,152.7,150.5,149.3,147.9,146.9,145.7,144.6,143.6,142.4,141.8,141.4,140.7,139.9,138.9,137.5,136,135.2,133.7,132.4,130.7,128.8,127.1,125.1,122.8,120.9,118.7,116.6,114.6,112.6,110.2,108.8,107.2,105.6,103.7,102.3,100.3,98.5,96.9,95.1,93.9,92.4,91,89,87.7,86
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.2,63.3,62,60.5,58.9,57.5,55.8,54.7,53.2,51.9,50.8,49.3,48.1,46.7,45.4,44.5,43.2,41.9,40.7,39.9,38.6,37.5,36.6,35.7,34.5,33.8,32.7,32,30.9,29.8,29.5
Swaziland,,,,,,,,,,,,,,,,,,,,247.3,244.3,241.2,238.2,235.2,232,228.9,225.8,222.7,219.6,216.4,213.3,210.1,206.9,203.8,200.6,197.5,194.2,190.9,187.3,181.3,174.1,169.3,163.5,158.5,152.3,145.7,136.9,130.5,123.5,117.7,111.9,107.9,102.7,99.2,95.3,91.1,87.6,85.9,83.1,83.3,83,81.8,84.1,87.1,90.9,95.1,99.6,104.5,109.6,114.2,118.1,121.8,125,127.1,128.2,124.6,120.6,119,115.3,109.2,103.6
Sweden,,,,,,,,,,,,,,,,,,,26.9,26,25.1,24.2,23.4,22.7,22,21.3,20.7,20.3,19.9,19.4,18.9,18.3,17.7,17,16.3,15.6,15,14.4,13.8,13.3,12.7,12.1,11.5,10.9,10.4,9.9,9.5,9.1,8.8,8.5,8.3,8.1,7.9,7.7,7.6,7.5,7.4,7.2,7,6.7,6.4,6,5.6,5.2,4.9,4.6,4.4,4.3,4.2,4.1,4,4,3.8,3.7,3.6,3.4,3.3,3.2,3.1,2.9,2.8
Switzerland,,,,,,,,,,,,,,,,,,,40.6,39,37.4,35.9,34.4,33,31.6,30.3,29.2,28.2,27.4,26.6,25.8,25.1,24.3,23.4,22.5,21.6,20.7,19.8,19,18.3,17.4,16.5,15.6,14.7,13.8,13,12.2,11.5,11,10.5,10.1,9.8,9.5,9.2,9,8.9,8.7,8.6,8.3,8.1,7.8,7.4,7.1,6.7,6.4,6.2,6,5.9,5.8,5.7,5.6,5.5,5.3,5.2,5.1,4.9,4.8,4.7,4.6,4.5,4.4
Syria,,,,,,,,,,,,,,,,,,238.9,232.6,226.7,220.3,213.8,207,200.6,196.3,190.7,185.1,179.9,174.5,169.6,164.9,159.1,153.8,148.9,144.1,138,132.5,125.9,119.5,113,106.8,101.2,95.3,90.1,85.6,80.6,75.8,71.5,67.1,63.6,59.9,56.3,53.1,50.3,47.5,44.9,42.4,40.2,38.2,36.1,34.2,32.5,30.7,29.1,27.8,26.6,25.6,24.7,23.7,22.8,22,21.2,20.4,19.7,19,18.3,17.7,17.1,16.4,15.9,15.3
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.7,125.3,125.4,125.3,125.2,125.2,125.1,125.2,124.9,124.7,124.5,123.9,124.1,123.7,123.3,121.6,119.3,116.8,115.2,114.3,112.4,111.4,111.2,111.1,111.4,109.1,105.1,101.5,98,94.7,91.6,87.9,85,82,78.9,76.1,73.4,71,68.2,66.1,63.3
Tanzania,,,,,,,,,,,,,,,,,,,,,,275.7,271.7,267.7,263.7,259.6,255.6,251.7,247.8,243.9,240.1,236.4,232.6,229,225.5,222,218.7,215.4,212,208.4,204.5,200.5,196.4,192.3,188.2,184.4,180.7,177.6,174.7,172.3,170,168.1,166.6,165.2,164.4,163.2,162,160.5,159.3,157.9,157.1,156.4,155.6,154.6,152.8,148.9,144.3,138.4,132.3,126.4,120.4,114.7,109.1,103.6,98.1,92.7,87.2,82,77.2,72.5,67.6
Thailand,,,,,,,,,,,,,,,,,,205.2,198.9,193.5,188,181.5,176.4,170.8,165.5,159.9,155.1,150.3,145.3,140.5,135.5,130.3,124.2,119,114.5,111.1,108.6,106.1,104.2,101.6,95.6,90.1,84.7,79.2,78,76.3,72.3,71.2,69.6,65.8,61.6,58.1,55.3,53,50.5,47.2,43.7,40.7,38.1,35,32,30,27.3,24.8,22.7,21,20.4,20,19.3,18.5,17.9,17,16.6,15.9,15.7,15,14.2,13.7,13.4,12.8,12.3
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.1,231.8,223.9,214.9,208.5,200.4,193.9,186.7,180,173.2,167.1,160.7,154.1,147.5,140.3,131.9,124.2,116.8,109.4,102.8,96.5,90.5,84.8,79.1,74.2,70,65.1,60.9,57.6,54.1
Togo,,,,,,,,,,,,,,,375.1,367.1,360.1,352.6,344.9,338.2,331.1,323.9,317.4,310.5,303.8,297.2,291.2,284.8,279,273.1,267.1,261.5,255.8,250.6,245.3,240.1,234.8,230,225.3,220.3,215.3,210.8,205.8,201.2,196.5,192.3,187.8,183.7,179.3,175.4,171.8,168,165.1,161.7,158.8,156.4,153.9,151.5,149.1,147,144.9,142.9,141,139,136.9,135.1,133.2,131.3,129.6,127.8,126,124.6,122.8,121.2,119.7,117.9,116.5,114.7,113.2,111.7,110.1
Tonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.2,54.6,52.8,51.2,49.4,48,46.3,44.9,43.4,42.1,40.8,39.5,38.3,37.1,36,34.8,33.7,32.6,31.6,30.6,29.7,28.8,28,27.3,26.7,26.2,25.6,25,24.5,24,23.5,22.9,22.4,21.9,21.4,21,20.5,20,19.6,19.1,18.8,18.4,17.9,17.6,17.2,16.8,16.5,16.1,15.7,15.4
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,74.5,72.6,71.1,69.8,68.4,67.1,65.5,64.4,63,61.7,60.6,59.3,58,56.9,55.7,54.7,53.5,52.5,51.5,50.3,49.4,48.3,47.4,46.4,45.4,44.5,43.8,43.1,42.4,41.9,41.3,40.7,40.1,39.7,39,38.5,37.9,37.4,36.8,36.3,35.9,35.3,34.9,34.2,33.8,33.5,32.9,32.6,32.1,31.6,31.2,30.9,30.4,29.9,29.6,29.1,28.7,28.3,28,27.7
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.2,269,257,246.4,236.2,226.1,216.6,206.7,198.1,189.4,180.7,171.8,161.9,152.5,142.1,132.8,123.8,115.5,107.7,100.3,93.4,86.9,80.8,75.7,71.5,67.6,64.2,60.7,57.4,54.3,51.1,48.3,45.7,43.3,41,38.8,36.7,34.8,33,31.2,29.6,27.9,26.5,25.1,23.7,22.4,21.3,20.3,19.2,18.1,17.2,16.2
Turkey,,,,,,,,,,,,,,,,,,,,,,299.8,295.8,290.3,285.1,279.6,274.6,268.9,263.6,258.1,252.2,244.2,235.8,228.1,220.6,213.9,207.8,203.3,199,194.4,189,183.7,177.3,170.6,163.5,155.8,148.6,142.3,135.9,129.5,121.9,114.9,108.7,102.3,95.9,89.9,84.4,80.1,76,72,68.1,64.6,61,57,52.7,48.4,44.5,41.3,38.2,35.3,32.8,30.3,28.2,26,24,22.3,20.6,19.1,17.7,16.3,15.2
