Internet users (per 100 people),1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Hong Kong, China",0,0.1231648579,0.8661675284,1.35102205,2.79002186,3.212474534,4.625447085,10.39687705,14.59079321,21.50748906,28.32175875,39.33127008,43.67434817,52.9091428,56.60151818,56.87209785,60.58621446,64.30299947,66.20931619,69.24419013,71.85115708,75.03293901
Hungary,0,0.003378531588,0.04827579876,0.1932418673,0.4835375885,0.677645965,0.9694985011,1.942611452,3.894040868,5.857778952,6.999384325,14.52440006,16.67109125,21.6405934,27.74891169,38.96950163,47.02684287,53.22999187,55.9090561,47.90228692,52.9131968,58.97110059
Iceland,0,0.5042707823,1.532226528,2.654280027,6.766408647,11.21629503,14.87271634,27.65197484,36.47077117,41.44671501,44.47132454,49.22382703,78.91636829,83.19829429,84.14708437,87.00263873,88.69322442,88.90033765,89.06540354,92.13686385,95.6257841,96.6183615
India,0,,0.0001113077273,0.0002181756767,0.001069562387,0.02622887881,0.04633397674,0.07076784871,0.1390273288,0.2732242767,0.5275324499,0.660146377,1.537875582,1.686489971,1.976136492,2.388075,2.805499865,3.95,4.38,5.12,7.5,10.07
Indonesia,0,,,,0.001059744382,0.02610947719,0.05662398874,0.1949102636,0.2553066463,0.444415936,0.9255638645,2.018613859,2.134135733,2.38701978,2.600285876,3.602024763,4.764813134,5.786274729,7.917479385,6.92,10.92,18
Iran,0,,,,0.0004083319514,0.004179752373,0.01582608024,0.04675609414,0.09981522053,0.3785690945,0.93419002,1.484221332,4.626175115,6.933721953,7.49,8.1,8.76,9.47,10.24,11.07,16,21
Iraq,0,,,,,,,,,,,0.09845323519,0.4932603954,0.5926952857,0.8903256172,0.892206863,0.9425670489,0.9194588193,0.9881651354,1.047516616,2.471962007,4.954945487
Ireland,0,0.05685053849,0.1692511017,0.2803305826,0.5578016419,1.109036524,2.199874404,4.083458214,8.082906648,10.92262373,17.84392784,23.13628061,25.87520606,34.43006076,37.13008038,41.59127511,54.38362398,59.63731624,64.26494271,66.6733848,69.78043656,77.48431238
Isle of Man,,,,,,,,,,,,,,,,,,,,,,
Israel,0.1069692593,0.2013244311,0.2914584188,0.3779980247,0.5518899527,0.8946959028,2.090186749,4.244706374,9.951673681,12.92580374,19.9642019,16.54818798,16.87662057,18.60461806,21.6409437,24.01060117,26.70097182,46.3858372,57.63095479,61.22570013,65.68314182,68.16559743
Italy,0.01757954369,0.03512351087,0.07017438823,0.1226898145,0.192716666,0.5255543045,1.024694733,2.276654913,4.554096002,14.36763832,23.12882205,27.32818331,28.20751226,29.17090839,33.29055081,35.03831801,38.0806226,40.87240673,44.57413393,48.87539307,53.73987452,56.81747275
Jamaica,0,,,,0.03650782488,0.1086719468,0.5851985388,0.7898632313,1.96074827,2.34078518,3.106463921,3.862326887,6.119745568,7.86110302,10.10157689,12.9509351,16.60466284,21.36212953,23.89053855,24.61708273,28.06679822,31.9880041
Japan,0.02008245917,0.04004058744,0.09585976305,0.3984336456,0.7941593014,1.58225972,4.340087015,9.090448285,13.2989712,21.20239483,29.71896567,38.15162324,46.08358834,47.85357434,61.680143,66.19826223,67.99107845,73.57005113,74.71545815,77.38468963,77.64879296,78.70865201
Jersey,,,,,,,,,,,,,,,,,,,,,,
