"","wages","education","age","sex","language"
"3974",26.58,13,35,"Male","English"
"3975",NA,14,43,"Male","Other"
"3976",12.84,9.5,20,"Female","English"
"3977",NA,17,73,"Male","English"
"3978",10.61,12,39,"Female","English"
"3979",15.66,17,45,"Female",NA
"3980",18,11,47,"Male","English"
"3981",18.56,18,53,"Female","English"
"3982",NA,8,83,"Female","English"
"3983",12.8,11,64,"Female","English"
"3984",NA,14,34,"Female","English"
"3985",13.44,12,24,"Male","English"
"3986",NA,12.5,49,"Female","Other"
"3987",NA,9,73,"Male","English"
"3988",NA,10,62,"Female","English"
"3989",6.95,12.5,32,"Male","English"
"3990",NA,13,19,"Female","English"
"3991",7.18,13.2,24,"Male","English"
"3992",NA,8,72,"Female","Other"
"3993",NA,16,69,"Female","French"
"3994",NA,9,64,"Male","English"
"3995",NA,12.5,65,"Male","English"
"3996",NA,13.5,28,"Female","English"
"3997",NA,11,71,"Female","English"
"3998",30.24,19,40,"Female","English"
"3999",18,20,42,"Male","Other"
"4000",3.24,14,23,"Male","English"
"4001",13.71,11.5,33,"Female","English"
"4002",7.84,12.4,19,"Female","English"
"4003",NA,15.5,22,"Male","English"
"4004",NA,12.5,34,"Male","English"
"4005",21.6,11,33,"Male","English"
"4006",NA,11,20,"Male","English"
"4007",8.78,12.5,35,"Male","English"
"4008",18.24,12,31,"Male","English"
"4009",31.99,16,34,"Male","French"
"4010",9,9,60,"Male","English"
"4011",23.81,17,45,"Male","English"
"4012",NA,11,58,"Female","English"
"4013",12.19,12.7,24,"Female","English"
"4014",26.4,12.5,37,"Male","English"
"4015",10.97,12.5,46,"Female","English"
"4016",17.5,12,33,"Male","English"
"4017",NA,13,19,"Male","English"
"4018",NA,14,50,"Female","English"
"4019",31.04,14,47,"Male","English"
"4020",6.7,14,19,"Male","Other"
"4021",NA,12,29,"Female","English"
"4022",10.78,12.5,40,"Female","English"
"4023",NA,8,54,"Male","English"
"4024",7.68,12,34,"Female","English"
"4025",15.22,13.5,32,"Male","English"
"4026",NA,12.5,32,"Male","English"
"4027",44.95,17,46,"Male","English"
"4028",NA,8,36,"Female","English"
"4029",NA,10,17,"Male","English"
"4030",8.74,14.1,18,"Female","English"
"4031",NA,10.5,76,"Male","English"
"4032",NA,18.3,42,"Male","English"
"4033",6.51,12,18,"Female","English"
"4034",NA,10,61,"Female","English"
"4035",13.5,10.5,38,"Male","English"
"4036",NA,14,68,"Female","English"
"4037",NA,10,44,"Male","English"
"4038",20,14,37,"Male","English"
"4039",8.6,18.5,26,"Female","English"
"4040",NA,8,63,"Female","English"
"4041",NA,NA,54,"Female","English"
"4042",22.77,18,32,"Female",NA
"4043",NA,8.5,57,"Female","French"
"4044",31.49,16,45,"Male","English"
"4045",NA,11.1,26,"Female","French"
"4046",20,14,36,"Male","Other"
"4047",NA,12,67,"Female","English"
"4048",18.64,10.5,43,"Male","English"
"4049",15,12,51,"Male","English"
"4050",21.6,7.5,63,"Male","English"
"4051",NA,10,68,"Male","English"
"4052",23.04,14.8,39,"Female","English"
"4053",26.88,19,47,"Male","English"
"4054",NA,13,19,"Male","French"
"4055",8.64,12.5,35,"Female","English"
"4056",NA,10,25,"Male","English"
"4057",32.31,8,49,"Female","English"
"4058",18,14,35,"Female","English"
"4059",NA,14,41,"Male","English"
"4060",NA,13.3,26,"Male","Other"
"4061",24.04,11.5,50,"Male","English"
"4062",6.9,16.5,28,"Female","English"
"4063",19.2,13,36,"Male","English"
"4064",NA,11,76,"Female","English"
"4065",6.35,15.5,22,"Male","English"
"4066",NA,17,31,"Female","Other"
"4067",NA,15,26,"Male","English"
"4068",20.67,19,29,"Female","English"
"4069",NA,8,56,"Female","Other"
"4070",NA,8,59,"Female","French"
"4071",23.62,18,58,"Female","English"
"4072",NA,15,74,"Male","English"
"4073",14.4,17,25,"Male","English"
"4074",NA,5,71,"Male","Other"
"4075",6.35,12,20,"Male","English"
"4076",36.27,13.5,28,"Female","English"
"4077",7,13.5,26,"Female","English"
"4078",NA,18,47,"Female","Other"
"4079",18.1,13,40,"Male","Other"
"4080",NA,8,55,"Male","English"
"4081",NA,13.6,23,"Male","English"
"4082",17.5,10.5,45,"Male","English"
"4083",11.94,8,47,"Male","English"
"4084",7,12,20,"Female","English"
"4085",3.23,12,30,"Female","English"
"4086",NA,10.5,78,"Female","English"
"4087",19.98,17.4,26,"Male","Other"
"4088",16,15.4,38,"Female","English"
"4089",NA,15,37,"Male","English"
"4090",NA,8,84,"Female","Other"
"4091",NA,15,38,"Female","English"
"4092",NA,10,49,"Female","Other"
"4093",NA,10,74,"Female","English"
"4094",NA,8,75,"Female","French"
"4095",23.93,16,45,"Male","English"
"4096",NA,1,69,"Female","French"
"4097",8.89,16,21,"Male","English"
"4098",NA,7,83,"Female","English"
"4099",NA,9,81,"Male","English"
"4100",NA,18,36,"Female","English"
"4101",12.35,13,25,"Female","English"
"4102",NA,18,45,"Female","English"
"4103",NA,13.5,35,"Male","English"
"4104",NA,13,32,"Female","English"
"4105",NA,11.5,41,"Female","English"
"4106",NA,11,58,"Female","English"
"4107",17.48,10.5,48,"Male","English"
"4108",16.83,16,46,"Male","English"
"4109",NA,12,45,"Female","English"
"4110",NA,NA,45,"Female","English"
"4111",NA,17,64,"Male","English"
"4112",NA,12,24,"Female","English"
"4113",NA,12,66,"Male","English"
"4114",31.2,NA,38,"Male",NA
"4115",13.55,17,24,"Female","English"
"4116",6.21,13,33,"Male","English"
"4117",11.1,12,42,"Female","English"
"4118",9.9,14.5,46,"Female","English"
"4119",12.96,12,40,"Female","English"
"4120",NA,10,62,"Male","English"
"4121",NA,10,63,"Male","English"
"4122",7.3,13,20,"Female","English"
"4123",13.31,13.5,31,"Male","English"
"4124",NA,20,36,"Male","Other"
"4125",12.62,12,45,"Female","English"
"4126",NA,14,35,"Female","English"
"4127",NA,12,34,"Female","English"
"4128",35.84,20,47,"Female","Other"
"4129",17,12,27,"Male","English"
"4130",20,16,51,"Male","English"
"4131",NA,4,75,"Female","Other"
"4132",7.64,11,17,"Male","English"
"4133",12.17,15,54,"Female","English"
"4134",NA,10.5,27,"Female","English"
"4135",13.61,NA,36,"Female","English"
"4136",NA,8,77,"Male","English"
"4137",NA,12.4,18,"Male","English"
"4138",NA,12,71,"Male","English"
"4139",17.63,14,29,"Female","English"
"4140",NA,12,79,"Male","English"
"4141",NA,14,69,"Male","Other"
"4142",26.11,16.8,42,"Female","English"
"4143",14.5,16,31,"Female","English"
"4144",NA,12,65,"Male","English"
"4145",NA,12.5,55,"Male","English"
"4146",NA,11,66,"Male","English"
"4147",7.55,11.6,20,"Male","English"
"4148",NA,10,16,"Female","English"
"4149",NA,16,28,"Male","Other"
"4150",8,16.5,24,"Male","English"
"4151",5.8,16.3,21,"Male","English"
"4152",NA,15,42,"Female","English"
"4153",NA,8,78,"Female","French"
"4154",NA,0,84,"Male","English"
"4155",10.79,12.1,28,"Female","English"
"4156",13.1,9.5,55,"Female","English"
"4157",20.4,11,38,"Male","English"
"4158",20.87,18,28,"Male","Other"
"4159",NA,9,73,"Male","English"
"4160",NA,7,69,"Male","Other"
"4161",16,13,38,"Female","English"
"4162",15.53,18.5,26,"Male","English"
"4163",NA,16,26,"Male","English"
"4164",41.85,20,53,"Male","English"
"4165",NA,15.9,30,"Female","French"
"4166",9.59,16,32,"Male","English"
"4167",11.5,10,24,"Male","Other"
"4168",13.5,10,50,"Male","English"
"4169",NA,11,18,"Male","English"
"4170",6.7,12,18,"Male","Other"
"4171",6.21,10,67,"Male","English"
"4172",NA,8.5,55,"Male","Other"
"4173",11.86,9,46,"Male","English"
"4174",32.64,14,52,"Male","English"
"4175",16.48,13.2,53,"Male","English"
"4176",9.85,12,30,"Female","English"
"4177",36.57,20,62,"Male","English"
"4178",NA,12,80,"Male","English"
"4179",8.57,12,33,"Male","English"
"4180",NA,16,78,"Female","English"
"4181",10,14,53,"Female","English"
"4182",34.25,17.1,44,"Male","English"
"4183",NA,NA,44,"Male",NA
"4184",NA,14,48,"Female","English"
"4185",25.6,20,59,"Female","English"
"4186",22.56,17.6,44,"Female","English"
"4187",19.04,13,36,"Female","English"
"4188",NA,8,63,"Female","English"
"4189",NA,10,71,"Female","Other"
"4190",NA,NA,65,"Male",NA
"4191",21.53,12,45,"Male","English"
"4192",NA,12,68,"Female","English"
"4193",7.4,20,33,"Female","English"
"4194",19.2,12,39,"Female","English"
"4195",NA,12.3,39,"Male","Other"
"4196",13.45,14,29,"Male","English"
"4197",NA,6,61,"Female","English"
"4198",NA,10,62,"Male","English"
"4199",9.92,14,36,"Female","English"
"4200",7.61,11,41,"Female","Other"
"4201",24.55,NA,37,"Female","English"
"4202",13.62,12,43,"Female","English"
"4203",NA,5,57,"Male","English"
"4204",NA,10,40,"Female","English"
"4205",NA,10,74,"Female","Other"
"4206",9.64,12,52,"Female","English"
"4207",NA,NA,16,"Female",NA
"4208",11.95,10,51,"Male","English"
"4209",12.73,8,57,"Female","Other"
"4210",10.95,12,26,"Male","English"
"4211",20,9,42,"Male","English"
"4212",NA,4,80,"Male","English"
"4213",NA,14,46,"Male","English"
"4214",NA,12.5,49,"Female","English"
"4215",19.2,9.5,38,"Male","English"
"4216",23.04,10.5,50,"Female","English"
"4217",NA,12,69,"Female","French"
"4218",NA,9,67,"Female","English"
"4219",NA,8.5,29,"Female","English"
"4220",NA,11,18,"Female","Other"
"4221",16.8,11,32,"Male","English"
"4222",18.92,14,45,"Male","English"
"4223",NA,12,48,"Female","English"
"4224",20.92,14,30,"Male","English"
"4225",NA,11,69,"Female","English"
"4226",NA,NA,64,"Male","French"
"4227",20.58,19,31,"Female","English"
"4228",12.57,15.5,30,"Female","English"
"4229",NA,12,19,"Female","English"
"4230",7,16,24,"Male","English"
"4231",NA,13.5,38,"Male","Other"
"4232",11.02,NA,23,"Female","English"
"4233",NA,8,63,"Male","English"
"4234",15.87,12,53,"Female","Other"
"4235",11.21,17,26,"Female","English"
"4236",NA,10,72,"Female","English"
"4237",19.18,11.5,47,"Female","English"
"4238",29.28,16.5,46,"Female","English"
"4239",6.5,12,42,"Female","English"
"4240",14.4,14.1,38,"Female","English"
"4241",NA,13,39,"Female","English"
"4242",6.7,12,19,"Female","English"
"4243",NA,11,68,"Female","English"
"4244",7.77,12,26,"Female","English"
"4245",23.31,16,50,"Female","English"
"4246",6.7,10,16,"Male","English"
"4247",NA,11,64,"Male","English"
"4248",9.33,12,33,"Female","English"
"4249",7.46,9,54,"Male","Other"
"4250",16.46,16.5,54,"Female","Other"
"4251",NA,10,59,"Male","English"
"4252",14,NA,52,"Male","Other"
"4253",NA,10,27,"Female","French"
"4254",8.54,12,29,"Female","English"
"4255",32,11,47,"Male","English"
"4256",18,12,50,"Male","English"
"4257",12.5,NA,27,"Male","English"
"4258",NA,9,62,"Female","English"
"4259",15,12,43,"Male","English"
"4260",NA,9.5,39,"Female","English"
"4261",14.77,14,39,"Male","English"
"4262",7.04,11,17,"Female","English"
"4263",14,8,52,"Male","English"
"4264",25.77,12.5,34,"Female","English"
"4265",NA,13,66,"Female","French"
"4266",21.88,12,31,"Male","English"
"4267",11.6,12.5,32,"Female","English"
"4268",NA,7,62,"Female","English"
"4269",20.09,12.8,36,"Male","English"
"4270",NA,8,63,"Male","English"
"4271",NA,13.5,75,"Male","English"
"4272",NA,14,75,"Female","English"
"4273",25.2,19,32,"Female","Other"
"4274",20.83,15,32,"Female","English"
"4275",NA,19,49,"Male","English"
"4276",NA,10,54,"Male","Other"
"4277",22.5,20,42,"Male","English"
"4278",20.64,18,34,"Female","Other"
"4279",7.25,17,38,"Female","English"
"4280",NA,12.5,75,"Male","English"
"4281",20,12,43,"Male","Other"
"4282",23.44,14.7,28,"Male","English"
"4283",NA,12,66,"Female","English"
"4284",17.92,17,54,"Female","English"
"4285",12.61,12,34,"Female","English"
"4286",18.75,12.5,56,"Male","English"
"4287",10.45,2,49,"Female","Other"
"4288",NA,12,39,"Female","English"
"4289",NA,11,60,"Female","English"
"4290",6.69,13.2,52,"Female","English"
"4291",38.44,14,20,"Male","English"
"4292",NA,8.5,68,"Male","English"
"4293",NA,11,75,"Male","English"
"4294",15.91,15,57,"Female","Other"
"4295",4.8,13,18,"Male","English"
"4296",7.2,13.7,20,"Male","English"
"4297",NA,9,74,"Female","English"
"4298",NA,15,61,"Female","English"
"4299",9.44,11,17,"Male","English"
"4300",36.7,16,32,"Female","English"
"4301",24,NA,58,"Male",NA
"4302",NA,13,68,"Female","English"
"4303",14.85,13,28,"Female","English"
"4304",13.01,11.5,29,"Male","English"
"4305",28.32,20,47,"Male","English"
"4306",NA,3,57,"Female","Other"
"4307",22.59,15,29,"Female","French"
"4308",13.4,12,46,"Female","Other"
"4309",NA,10,52,"Female","French"
"4310",19.2,17,44,"Male",NA
"4311",14.85,12,39,"Male","French"
"4312",NA,15,43,"Female","English"
"4313",7.75,17,23,"Female","English"
"4314",NA,15,26,"Female","French"
"4315",NA,11,36,"Male","English"
"4316",NA,8,59,"Male","English"
"4317",32.16,13,48,"Male","English"
"4318",8,13,30,"Female","English"
"4319",10,9,25,"Male","Other"
"4320",11.9,15,34,"Male","English"
"4321",33.6,13,41,"Male","English"
"4322",NA,14.6,25,"Female","English"
"4323",NA,16,80,"Female","Other"
"4324",9,16,21,"Male","English"
"4325",NA,10,67,"Female",NA
"4326",NA,14,72,"Female","English"
"4327",4.84,10,34,"Female","English"
"4328",24,13,32,"Male","French"
"4329",16.66,15,47,"Female","English"
"4330",40.35,11,36,"Female","English"
"4331",29.14,15,30,"Female","Other"
"4332",NA,13,73,"Female","English"
"4333",7.99,12,19,"Female","English"
"4334",NA,13.5,31,"Female","English"
"4335",7,12,23,"Male","French"
"4336",17.9,9,42,"Male","English"
"4337",NA,13,68,"Female","English"
"4338",13.81,8,50,"Female","English"
"4339",NA,NA,43,"Male","Other"
"4340",NA,11,28,"Female","English"
"4341",NA,10,50,"Male","English"
"4342",NA,15,57,"Female","English"
"4343",NA,15,30,"Female","English"
"4344",8.01,9.5,20,"Female","English"
"4345",8,13,48,"Female","English"
"4346",20.57,12.5,42,"Female","English"
"4347",NA,14,54,"Female","Other"
"4348",NA,15,48,"Female","English"
"4349",7,12,52,"Female","English"
"4350",14.97,15,26,"Female","English"
"4351",NA,10,33,"Male","English"
"4352",11,NA,22,"Female",NA
"4353",NA,NA,74,"Female",NA
"4354",NA,10.5,38,"Male","English"
"4355",6.3,17,25,"Female","English"
"4356",NA,10,24,"Female","English"
"4357",NA,17.5,38,"Female","French"
"4358",7,12.5,21,"Female","English"
"4359",10,20,45,"Male","Other"
"4360",NA,6,54,"Male","English"
"4361",NA,19,85,"Male","Other"
"4362",18,12,48,"Male","English"
"4363",18.91,14,53,"Male","English"
"4364",9.5,12.5,22,"Male","French"
"4365",7,15.5,22,"Male","English"
"4366",10.08,12,43,"Female","English"
"4367",NA,11,71,"Male","English"
"4368",NA,13,66,"Male","English"
"4369",10,14.3,31,"Female","Other"
"4370",NA,14,78,"Female","English"
"4371",7.3,14,25,"Female","English"
"4372",17.44,12,30,"Male","English"
"4373",NA,13,37,"Male","English"
"4374",NA,10,16,"Male","English"
"4375",10.36,16,25,"Female","English"
"4376",NA,8,64,"Male","English"
"4377",18.53,14,30,"Male","English"
"4378",NA,20,37,"Male","English"
"4379",NA,12.5,47,"Male","English"
"4380",7.45,10,42,"Male","English"
"4381",NA,15,53,"Male","English"
"4382",NA,4,62,"Female","Other"
"4383",NA,10,74,"Female","English"
"4384",NA,11,48,"Female","English"
"4385",13.71,12,39,"Female","English"
"4386",14.51,14,26,"Female","English"
"4387",20.16,16,51,"Male","French"
"4388",6.67,13.6,20,"Female","English"
"4389",12.1,15.8,37,"Female","English"
"4390",6.97,13,38,"Female","English"
"4391",18.92,14,31,"Male","English"
"4392",26.36,17.3,50,"Male","English"
"4393",NA,10,61,"Female","English"
"4394",NA,8,71,"Female","English"
"4395",5.8,15.5,21,"Female","English"
"4396",9.6,14,30,"Female","English"
"4397",15.7,15.1,25,"Male","English"
"4398",NA,6,65,"Male","French"
"4399",NA,10,71,"Male","English"
"4400",NA,5,53,"Male","Other"
"4401",19.6,11.1,53,"Male","English"
"4402",NA,NA,40,"Male","English"
"4403",NA,8,66,"Female","English"
"4404",NA,18,26,"Male","English"
"4405",20.26,13.5,34,"Female","English"
"4406",NA,8,58,"Female","English"
"4407",NA,12,52,"Female","English"
"4408",36.67,12,38,"Female","English"
"4409",NA,16,35,"Male","English"
"4410",NA,8,65,"Male","English"
"4411",22.18,19.1,35,"Female","English"
"4412",9.5,17,25,"Female","English"
"4413",15.36,20,46,"Male","English"
"4414",NA,11,75,"Male","Other"
"4415",NA,NA,76,"Female","English"
"4416",NA,8,37,"Female","Other"
"4417",6.97,15.3,27,"Female","English"
"4418",NA,10,36,"Female","English"
"4419",10.16,12.5,36,"Female","French"
"4420",10.16,12,33,"Female","Other"
"4421",7.5,12,34,"Female","English"
"4422",7,12.1,30,"Female",NA
"4423",NA,3,58,"Male","English"
"4424",28,18,69,"Male","French"
"4425",NA,13,70,"Female","English"
"4426",24.48,12,46,"Male","English"
"4427",NA,8,58,"Female","Other"
"4428",9.63,10,46,"Female","Other"
"4429",6.72,14,47,"Female","Other"
"4430",18.68,14,36,"Male","French"
"4431",NA,13,69,"Female","French"
"4432",NA,12,50,"Female","Other"
"4433",NA,13,43,"Female","English"
"4434",13.5,13,26,"Female","French"
"4435",9.37,15.5,22,"Female","French"
"4436",NA,12.9,45,"Female","Other"
"4437",16,NA,27,"Male",NA
"4438",7.37,18,28,"Male","French"
"4439",11.58,14,28,"Male","English"
"4440",NA,11.8,19,"Male","English"
"4441",NA,9,70,"Male","Other"
"4442",7.5,10,24,"Female","English"
"4443",NA,15,44,"Female","English"
"4444",NA,8,81,"Male","Other"
"4445",NA,11.5,34,"Male","English"
"4446",10,15,36,"Male","English"
"4447",20.85,NA,45,"Female","English"
"4448",19.66,NA,34,"Female","English"
"4449",19.93,11,61,"Male","Other"
"4450",NA,14,75,"Female","Other"
"4451",NA,14.1,23,"Female","English"
"4452",6,12,66,"Female","English"
"4453",NA,15,39,"Female","English"
"4454",12.12,11.6,30,"Male","English"
"4455",11.52,12,54,"Female","English"
"4456",6.25,12,18,"Male","English"
"4457",NA,10,80,"Female","English"
"4458",NA,8,68,"Male","Other"
"4459",NA,16,40,"Female","English"
"4460",NA,10,32,"Male","English"
"4461",16.32,13,42,"Male","English"
"4462",20,15.5,56,"Male","English"
"4463",4.26,12,18,"Male","English"
"4464",8.26,12.5,22,"Male","English"
"4465",7.62,12,21,"Male","English"
"4466",NA,11,17,"Male","English"
"4467",NA,10,18,"Male","English"
"4468",9,12.5,35,"Male","English"
"4469",14.63,13,29,"Female","English"
"4470",NA,10,47,"Male","Other"
"4471",34.56,17,30,"Male","English"
"4472",NA,9.1,39,"Male","English"
"4473",NA,14,67,"Male","English"
"4474",NA,12.5,29,"Female","English"
"4475",10.63,14,24,"Male","English"
"4476",NA,13.6,21,"Male","English"
"4477",9.69,8,49,"Female","Other"
"4478",8,14.5,25,"Male","English"
"4479",NA,13,50,"Female","English"
"4480",NA,12.6,39,"Female","English"
"4481",NA,13,80,"Female","English"
"4482",NA,12,35,"Female","Other"
"4483",NA,13,71,"Female","English"
"4484",7,12,19,"Male","English"
"4485",NA,18,26,"Male",NA
"4486",21.45,15,48,"Male","English"
"4487",20,13.5,49,"Male","English"
"4488",12.14,12,41,"Female","English"
"4489",33.28,18,48,"Male","French"
"4490",10.34,NA,40,"Female","English"
"4491",16,12,32,"Male","English"
"4492",12,9,46,"Male","English"
"4493",14.83,15,46,"Male","English"
"4494",NA,13.5,47,"Female","English"
"4495",NA,11,39,"Female","English"
"4496",NA,14,44,"Female","English"
"4497",NA,13.5,65,"Female","English"
"4498",NA,13,33,"Male","Other"
"4499",NA,13,43,"Female","English"
"4500",NA,10,43,"Male","English"
"4501",20.01,13,51,"Male","English"
"4502",20,20,29,"Female","French"
"4503",NA,9,76,"Female","English"
"4504",NA,8,56,"Female","Other"
"4505",NA,10,17,"Male","Other"
"4506",NA,8,82,"Female","French"
"4507",13.31,13,34,"Female","English"
"4508",NA,8,47,"Female","English"
"4509",13,10,58,"Male","English"
"4510",13.09,16,49,"Female","English"
"4511",12.36,14,26,"Female","English"
"4512",9.38,14.9,46,"Female","English"
"4513",18.61,12.5,49,"Female","English"
"4514",22.5,6.5,44,"Male","Other"
"4515",23.42,13,20,"Female","English"
"4516",NA,13.5,29,"Female","English"
"4517",NA,19,33,"Female","Other"
"4518",19.2,16,39,"Male","English"
"4519",NA,16,55,"Female","English"
"4520",NA,10,73,"Male","English"
"4521",16.2,9,27,"Male","English"
"4522",7.5,10,45,"Female","English"
"4523",NA,8,63,"Male","Other"
"4524",NA,12,76,"Female","Other"
"4525",21.42,12.5,39,"Male","French"
"4526",7.2,13.6,23,"Male","English"
"4527",20.8,12,43,"Male","English"
"4528",NA,12.5,39,"Female","English"
"4529",NA,11,20,"Female","English"
"4530",23.04,15,43,"Male","English"
"4531",NA,8,68,"Female","Other"
"4532",17.5,12,31,"Male","English"
"4533",18.64,14,45,"Male","English"
"4534",19.58,16.2,24,"Male","English"
"4535",14.87,15,43,"Female","French"
"4536",17.07,12,51,"Male","French"
"4537",NA,8,69,"Female","Other"
"4538",NA,20,66,"Male","English"
"4539",10.23,12,43,"Male","French"
"4540",NA,14.5,57,"Female","Other"
"4541",NA,7,71,"Male","Other"
"4542",NA,8,73,"Male","English"
"4543",30.72,12,30,"Male","English"
"4544",6.86,12,18,"Male","English"
"4545",16.14,12,26,"Male","English"
"4546",23.07,17,44,"Female","English"
"4547",NA,12,56,"Male","English"
"4548",14,15,43,"Female","English"
"4549",NA,12.5,42,"Female","English"
"4550",NA,9,16,"Male","English"
"4551",NA,12,37,"Female","English"
"4552",28.06,13.5,38,"Male","English"
"4553",NA,9,33,"Female","English"
"4554",14.15,12,25,"Male","English"
"4555",42.5,11,35,"Female","English"
"4556",6.31,14,19,"Male","English"
"4557",16.8,14.5,37,"Male","English"
"4558",NA,12,29,"Male","English"
"4559",NA,10,16,"Male","English"
"4560",6.82,16,29,"Female","English"
"4561",NA,11.1,42,"Female","English"
"4562",25.44,14.5,56,"Male","Other"
"4563",NA,10.5,36,"Female","English"
"4564",NA,8,67,"Male","Other"
"4565",NA,13,38,"Female","English"
"4566",26.11,17,39,"Female","English"
"4567",11,NA,27,"Male",NA
"4568",NA,11,57,"Female","English"
"4569",5.27,17,22,"Female","Other"
"4570",NA,11,33,"Female","English"
"4571",NA,10,59,"Female","Other"
"4572",NA,12,39,"Male","English"
"4573",23.16,14,32,"Female","English"
"4574",14,10.5,26,"Female","English"
"4575",18,16.1,46,"Male","Other"
"4576",NA,13,69,"Female","English"
"4577",18,18.2,28,"Female","English"
"4578",9.04,14,51,"Female","Other"
"4579",5.77,14.3,19,"Female","English"
"4580",NA,12,42,"Female","English"
"4581",23,17,64,"Female","French"
"4582",26.4,19,30,"Female","English"
"4583",9.5,12,33,"Male","Other"
"4584",NA,12,19,"Male","English"
"4585",30.69,14,56,"Female","English"
"4586",22.33,11.3,30,"Male","English"
"4587",NA,8,82,"Female","Other"
"4588",18.46,12,31,"Male","English"
"4589",NA,18,80,"Female","English"
"4590",25.8,10,37,"Male","English"
"4591",19.62,12.5,36,"Female","English"
"4592",NA,15,69,"Female","English"
"4593",6.75,12,23,"Male","English"
"4594",NA,11,17,"Female","English"
"4595",NA,12,78,"Female","English"
"4596",NA,7,71,"Female","Other"
"4597",NA,20,51,"Male","English"
"4598",8.49,12,22,"Female","English"
"4599",NA,9,86,"Male","English"
"4600",10.36,12,43,"Female","English"
"4601",9.3,13.5,44,"Female","English"
"4602",15,13,33,"Male","English"
"4603",15.36,10.6,60,"Male","English"
"4604",11,11,39,"Female","English"
"4605",13.51,15.1,40,"Male","English"
"4606",7.02,14.1,20,"Male","English"
"4607",12.5,15.5,24,"Female","English"
"4608",NA,18,47,"Female","English"
"4609",10.72,10,42,"Female","Other"
"4610",NA,10,66,"Male","English"
"4611",NA,8,79,"Female","French"
"4612",NA,11.5,27,"Female","English"
"4613",6.25,10,16,"Female","French"
"4614",NA,13,66,"Male","English"
"4615",NA,7,85,"Female","Other"
"4616",9,12.5,35,"Male","English"
"4617",NA,11,16,"Female","English"
"4618",30.82,16,54,"Female","English"
"4619",18.96,17,29,"Female","English"
"4620",14.4,12.8,39,"Female","English"
"4621",26.99,10,36,"Male","English"
"4622",NA,8,64,"Male","Other"
"4623",NA,8,69,"Male","English"
"4624",15,4,53,"Male","French"
"4625",22.08,20,45,"Male","English"
"4626",9,12,19,"Male","English"
"4627",12.8,17,55,"Female","Other"
"4628",NA,12,30,"Female","English"
"4629",13.44,14,36,"Female","English"
"4630",10.45,14.8,59,"Female","French"
"4631",NA,10,79,"Female","English"
"4632",NA,12,63,"Female","Other"
"4633",10.75,12,32,"Male","English"
"4634",14.13,13,32,"Male","English"
"4635",14.75,12,32,"Female","English"
"4636",6.7,8,38,"Female","English"
"4637",14.85,15.5,36,"Female","English"
"4638",24.9,16.9,33,"Male","English"
"4639",NA,8,61,"Male","English"
"4640",NA,12,31,"Male","French"
"4641",NA,15,86,"Female","English"
"4642",12.85,12,33,"Male","English"
"4643",NA,16,76,"Female","English"
"4644",NA,16,73,"Male","English"
"4645",15,13,25,"Female","English"
"4646",8,14,28,"Female","English"
"4647",NA,11,70,"Female","English"
"4648",NA,13,64,"Female","English"
"4649",NA,12,54,"Female","French"
"4650",NA,12,70,"Female","English"
"4651",NA,19,39,"Male","Other"
"4652",NA,10,17,"Male","English"
"4653",19,9,54,"Female","English"
"4654",16,12.5,35,"Male","English"
"4655",7,13,20,"Male","English"
"4656",24,18,30,"Male","English"
"4657",12.47,13.5,48,"Female","Other"
"4658",6.94,17,23,"Female","English"
"4659",8.5,13.5,57,"Female","English"
"4660",22.53,16,42,"Male","English"
"4661",NA,3,66,"Female","Other"
"4662",NA,12,79,"Male","English"
"4663",25.6,13,32,"Male","English"
"4664",NA,9,66,"Female","Other"
"4665",NA,12,67,"Male","English"
"4666",9.54,14.1,60,"Female","English"
"4667",NA,9,48,"Female","English"
"4668",NA,17.5,32,"Female","Other"
"4669",NA,17.5,60,"Male","English"
"4670",4.53,14.3,26,"Female","English"
"4671",NA,10,16,"Female","English"
"4672",14.4,16.3,33,"Male","English"
"4673",31.2,14,57,"Female","English"
"4674",NA,10.5,67,"Female","English"
"4675",15.05,15.6,33,"Female","English"
"4676",15.36,18,25,"Male","French"
"4677",16,13,43,"Female","English"
"4678",11.5,NA,61,"Female","English"
"4679",NA,15,54,"Female","English"
"4680",3.9,14.5,21,"Male","Other"
"4681",8.17,12,42,"Female","English"
"4682",NA,12,70,"Female","English"
"4683",25.7,16,35,"Female","English"
"4684",9.33,11,17,"Male","English"
"4685",17.3,12,24,"Male","English"
"4686",3.84,14,28,"Female","English"
"4687",13.79,14,25,"Male","English"
"4688",NA,9,21,"Female","English"
"4689",NA,16,33,"Female","Other"
"4690",12,9,52,"Male",NA
"4691",10.32,8.8,46,"Female","Other"
"4692",6.9,10,16,"Female","English"
"4693",NA,9,28,"Male","English"
"4694",NA,12,74,"Male","Other"
"4695",13.4,17,22,"Female","French"
"4696",12,12.5,23,"Male","English"
"4697",NA,8.5,55,"Male","English"
"4698",21.5,14,53,"Female","English"
"4699",5.64,12.5,21,"Male","English"
"4700",7,14,54,"Female","English"
"4701",NA,NA,77,"Female","English"
"4702",9.5,12,45,"Female","English"
"4703",24,12,40,"Male","French"
"4704",6.87,13,20,"Female","English"
"4705",NA,13,54,"Male","English"
"4706",28.76,13,59,"Male","Other"
"4707",6.7,NA,16,"Female",NA
"4708",7.5,12,21,"Female","English"
"4709",NA,9,38,"Male","Other"
