Event_id,cause_of_death,dataset,date,quarter,Date-month,Year,dead,dead_and_missing,description,latitude,location,longitude,latlong,missing,name,route,source,source_url
34780,,United,2007-08-02T00:00:00Z,3Q2007,2007 -- 8,2007,0,3,"found on boat near Tenerife (E) on way from Mauritania (Aug 2, 2007)",28.291564,tenerife,-16.62913,"28.291564, -16.62913",0,"Event at Tenerife on Aug 02, 2007",Western African route,EP/FE/Reu/EITB24,
34781,,Del grande,2007-08-01T00:00:00Z,3Q2007,2007 -- 8,2007,0,1,"Sinking boat off the coast of Samos, dies drowned a woman of 27 years (Aug 2, 2007)",37.743215,samos,26.820351,"37.743215, 26.820351",0,"Event at Samos on Aug 01, 2007",Eastern Mediteranean route Sea,Kathimerini,http://www.ekathimerini.com/4dcgi/news/content.asp?aid=86467
34782,,Del grande,2007-07-30T00:00:00Z,3Q2007,2007 -- 7,2007,0,2,"The Moroccan border police opened fire on a group of 37 people at the time of embarkation to the Canary Islands, on the coast of El 'Ayun and kills 2 people. Two injured in hospital of El 'Ayun. The others are arrested (Jul 31, 2007)",16.666667,ayun,-9.616667,"16.666667, -9.616667",0,"Event at 'Ayun on Jul 30, 2007",,Afrik,http://www.afrik.com/article12221.html
34784,Drowned,United,2007-07-29T00:00:00Z,3Q2007,2007 -- 7,2007,0,20,"reportedly drowned, boat sank between island Mayotte (F) and Comoros Islands  (Jul 29, 2007)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Jul 29, 2007",,NOB,
34783,,United,2007-07-29T00:00:00Z,3Q2007,2007 -- 7,2007,0,4,"died in Mayotte hospital (F) after boat sank between Mayotte (F) and Comoros Islands (Jul 29, 2007)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Jul 29, 2007",,NOB,
34786,Drowned,United,2007-07-27T00:00:00Z,3Q2007,2007 -- 7,2007,0,8,"1 found, at least 7 missing; 21 migrants found on tuna pen near Libya  (Jul 27, 2007)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jul 27, 2007",Central Mediteranean route,MNS,
34785,,Del grande,2007-07-27T00:00:00Z,3Q2007,2007 -- 7,2007,0,25,"Lost track of a vessel with 25 passengers on board, probably sank in stormy seas between Libya and Malta, after having sounded the alarm (Jul 28, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jul 27, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=269443
34787,,Del grande,2007-07-26T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"A dead on a boat drifting for 10 days on routes to Sardinia, rescued off Tabarqa (Jul 27, 2007)",40.120875,sardinia,9.012893,"40.120875, 9.012893",0,"Event at Sardinia on Jul 26, 2007",Central Mediteranean route,France Presse,http://www.algerfree.com/news/un-mort-et-sept-survivants-algeriens-au-large-de-la-Tunisie.html
34788,,Del grande,2007-07-25T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"Fished out a dead body on the coast of Arzew, near Oran (Jul 26, 2007)",35.696944,oran,-0.633056,"35.696944, -0.633056",0,"Event at Oran on Jul 25, 2007",Western Mediteranean route,Le Quotidien dOran,http://www.lequotidien-oran.com/index.php?news=503381
34791,Central Mediteranean route,United,2007-07-24T00:00:00Z,3Q2007,2007 -- 7,2007,0,3,"unknown death's reason, 3 among 46 persons on board died on the way from LY to  I (Jul 24, 2007)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jul 24, 2007",,MNS,
34790,Drowned,United,2007-07-24T00:00:00Z,3Q2007,2007 -- 7,2007,0,9,"drowned, at least 9 died after two vessels from Libya sank off the coast of Sicily (I) (Jul 24, 2007). From Del Grande's data set (translated): Nine missing after the overthrow of a boat at the boundary between the Italian and Maltese waters (Jul 25, 2007)",37.599994,sicily,14.015356,"37.599994, 14.015356",0,"Event at Sicily on Jul 24, 2007",Central Mediteranean route,MNS,http://www.timesofmalta.com/core/article.php?id=269443
34789,,Del grande,2007-07-24T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"Recovered a body near the small boat overturned, 18 miles south of Capo Passero, Syracuse. No trace of the other passengers, perhaps drowned (Jul 25, 2007)",38.158524,capo,14.742693,"38.158524, 14.742693",0,"Event at Capo on Jul 24, 2007",Central Mediteranean route,La Sicilia,http://www.lasicilia.it/articoli.nsf/%28ArchivioLaSiciliait%29/67DB96764E171BFEC1257323003BD1C2?OpenDocument
34794,Drowned,United,2007-07-22T00:00:00Z,3Q2007,2007 -- 7,2007,0,29,"2 died, 27 missing, boat sank off Mayotte Island (F) in Indian Ocean from Comoros Islands (Jul 22, 2007). From Del Grande's data set (translated): Sinking boat coming from the Comoros Islands and directed the French island of Mayotte, in the Indian Ocean. Two dead and 27 missing (Jul 21, 2007)",-12.8275,mayotte,45.166244,"-12.8275, 45.166244",0,"Event at Mayotte on Jul 22, 2007",,NOB,http://www.lemonde.fr/web/article/0
34792,,Del grande,2007-07-22T00:00:00Z,3Q2007,2007 -- 7,2007,0,2,"Capsizes 80 miles off the Libyan coast, fishing boat rescued from Mazara ""Savior Cristina"", 2 dead (Jul 23, 2007)",23.14632,mazara,58.825119,"23.14632, 58.825119",0,"Event at Mazara on Jul 22, 2007",,Repubblica,http://www.repubblica.it/2007/07/sezioni/cronaca/immigrati/immigrati/immigrati.html
34793,,Del grande,2007-07-22T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"Egyptian police opened fire on a group of 26 migrants along the Israeli border, 15 km south of Rafah. A Sudanese woman killed dies (Jul 23, 2007)",31.280267,rafah,34.240191,"31.280267, 34.240191",0,"Event at Rafah on Jul 22, 2007",,AFP,http://platform.blogs.com/passionofthepresent/2007/07/sudanese-man-sh.html
34795,Drowned,United,2007-07-22T00:00:00Z,3Q2007,2007 -- 7,2007,0,3,"drowned, 2 found, 1 missing near the coasts of Malta (Jul 22, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jul 22, 2007",Central Mediteranean route,DPA,
34797,,Del grande,2007-07-21T00:00:00Z,3Q2007,2007 -- 7,2007,0,42,"Shipwreck in the waters of Naa'ila, 150 km north of El 'Ayun, on routes to the Canary Islands. 2 bodies fished out, at least 40 missing, all Saharawi (Jul 22, 2007)",16.666667,ayun,-9.616667,"16.666667, -9.616667",0,"Event at 'Ayun on Jul 21, 2007",,Alter Forum,http://fortresseurope.blogspot.com/2007/07/sahara-occidentale-2-morti-e-40.html
34798,Drowned,United,2007-07-21T00:00:00Z,3Q2007,2007 -- 7,2007,0,2,"drowned, 80 km from Libyan coast after their boat collided with a fisher boat (Jul 21, 2007)",26.3351,libyan,17.228331,"26.3351, 17.228331",0,"Event at Libyan on Jul 21, 2007",,DPA,
34796,,Del grande,2007-07-21T00:00:00Z,3Q2007,2007 -- 7,2007,0,3,"Tips, 30 miles south of Malta, Maltese vessel rescued by the Navy. Two dead, one missing (Jul 22, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jul 21, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=269156&hilite=migrant
34800,Drowned,United,2007-07-18T00:00:00Z,3Q2007,2007 -- 7,2007,0,52,"drowned, 150 miles south Tenerife (E) in rough sea while Spanish boat tried to rescue them (Jul 18, 2007). From Del Grande's data set (translated): Canoe capsizes at sea during the rescue operation, 90 miles south of the Canary Island of Tenerife. At least 88 victims, all scattered at sea (Jul 18, 2007)",28.291564,tenerife,-16.62913,"28.291564, -16.62913",0,"Event at Tenerife on Jul 18, 2007",Western African route,Guardian Un./BBC/DS/AP/FR/VK/LR/MNS/EP/Raz/Mugak/SP/NOB/Berliner Zitg/EP,http://www.diariosur.es/20070906/espana/archivan-querella-contra-salvamento-20070906.html
34799,,Del grande,2007-07-18T00:00:00Z,3Q2007,2007 -- 7,2007,0,3,"3 bodies recovered 90 miles south of Tenerife, in the area of __the sinking (Jul 19, 2007)",28.291564,tenerife,-16.62913,"28.291564, -16.62913",0,"Event at Tenerife on Jul 18, 2007",Western African route,El Pais,http://www.elpais.com/articulo/espana/dispositivo/busqueda/desplegado/ha/recuperado/cuerpos/inmigrantes/naufragados/elpepuesp/20070719elpepunac_2/Tes
34802,Drowned,United,2007-07-17T00:00:00Z,3Q2007,2007 -- 7,2007,0,16,"drowned, 4 died, 12 missing when boat sank 40 miles south of Lampedusa (I) (Jul 17, 2007). From Del Grande's data set (translated): Shipwreck 187 miles south of Lampedusa. The Italian fishing boat Monastir, gets shipwrecked and a corpse. 11 missing (Jul 18, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jul 17, 2007",Central Mediteranean route,MNS/Reu/LR,http://www.repubblica.it/2007/07/sezioni/cronaca/peschereccio-allarme/peschereccio-allarme/peschereccio-allarme.html
34801,,Del grande,2007-07-17T00:00:00Z,3Q2007,2007 -- 7,2007,0,4,"Tips vessel 40 miles south of Lampedusa. Sphinx recovered from the ship of the Navy, the bodies of 4 drowned, including that of a child (Jul 18, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jul 17, 2007",Central Mediteranean route,Repubblica,http://www.repubblica.it/2007/07/sezioni/cronaca/peschereccio-allarme/peschereccio-allarme/peschereccio-allarme.html
34804,Drowned,United,2007-07-16T00:00:00Z,3Q2007,2007 -- 7,2007,0,12,"drowned 1 found, 11 missing trying to embark on Italian fishing boat near Libya (Jul 16, 2007)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jul 16, 2007",Central Mediteranean route,HNS/Migreurop/MSN,
34803,,United,2007-07-16T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"body found in a boat sailing for 10 days from Mauritania to Tenerife (E) (Jul 16, 2007). From Del Grande's data set (translated): Landing in the Canary Islands, Los Cristianos. A dead aboard the pirogue (Jul 17, 2007)",28.291564,tenerife,-16.62913,"28.291564, -16.62913",0,"Event at Tenerife on Jul 16, 2007",Western African route,EP/EPress,http://www.elpais.com/articulo/sociedad/Llega/Tenerife/cayuco/56/inmigrantes/muerto/elpepusoc/20070717elpepusoc_5/Tes
34805,,Del grande,2007-07-15T00:00:00Z,3Q2007,2007 -- 7,2007,0,34,"Landed in Lampedusa, a witness said he counted 34 dead bodies in the desert between Madama and the Libyan border to Toumou, a month earlier. Deaths dehydrated, it is unclear whether the journey to Libya as if following the expulsion from Libya. No trace of the car they were traveling on board the (Jul 16, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jul 15, 2007",Central Mediteranean route,Fortress Europe,http://fortresseurope.blogspot.com/2006/01/luglio-2006.html
34806,Suffocated,United,2007-07-13T00:00:00Z,3Q2007,2007 -- 7,2007,0,3,"stowaways froze to death, found near Mestre (Italy) hidden in truck going to Germany (Jul 13, 2007). From Del Grande's data set (translated): Found in Mestre, the bodies of three young people died of asphyxiation in the cell of a refrigerator truck and started from Greece to Germany (Jul 14, 2007)",45.493488,"Mestre, italy",12.246318,"45.493488, 12.246318",0,"Event at Mestre, Italy on Jul 13, 2007",,LR/Unita/CDS/Tgcom/AP/MNS,http://www.repubblica.it/2007/07/sezioni/cronaca/mestre-clandestini-morti/mestre-clandestini-morti/mestre-clandestini-morti.html
34807,,United,2007-07-11T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"body found on boat that landed on Crete (GR), the vessel disembarked from Egypt (Jul 11, 2007)",35.240117,crete,24.809269,"35.240117, 24.809269",0,"Event at Crete on Jul 11, 2007",Eastern Mediteranean route Sea,AthensNewsAgency/NOB,
34808,Suicide - put on fire,United,2007-07-11T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"suicide, asylum seeker set himself on fire in the Town Hall of Haren (NL) (Jul 11, 2007)",53.171826,"Haren, netherland",6.605243,"53.171826, 6.605243",0,"Event at Haren, Netherland on Jul 11, 2007",,NRC/Nopoliceraid/AD,
34809,Starvation,United,2007-07-10T00:00:00Z,3Q2007,2007 -- 7,2007,0,52,"died of starvation and dehydration, boat motor broke down on way from Senegal to E (Jul 10, 2007)",14.497401,senegal,-14.452362,"14.497401, -14.452362",0,"Event at Senegal on Jul 10, 2007",Western African route,ELM/DiarioVasco/Diario de Navarra/MNS/Diario de Noticias/ABC/PUB/ELC/MUGAK/APDHA/PICUM/Vivre,
34810,Drowned,United,2007-07-08T00:00:00Z,3Q2007,2007 -- 7,2007,0,10,"at least 10 people drowned after their boat capsized off the island of Gran Canaria (E) (Jul 8, 2007)",28.291564,canaria,-16.62913,"28.291564, -16.62913",0,"Event at Canaria on Jul 08, 2007",Western African route,MNS/BBC,
34811,,United,2007-07-07T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"stowaway, crushed to death under the weels of a lorry leaving the port of Algeciras (E) (Jul 7, 2007)",36.132977,algeciras,-5.453909,"36.132977, -5.453909",0,"Event at Algeciras on Jul 07, 2007",Western Mediteranean route,EP,
34813,Drowned,United,2007-07-06T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"drowned, body found in advanced state of decomposition near Marsascala (M) (Jul 6, 2007). From Del Grande's data set (translated): Fished in the sea the bodies of two drowned men, one 110 miles off the island, the other in the bay of Marsascala (Jul 8, 2007)",35.861313,marsascala,14.565384,"35.861313, 14.565384",0,"Event at Marsascala on Jul 06, 2007",Central Mediteranean route,MNS,http://www.maltamedia.com/artman2/publish/law_order/article_2601.shtml
34812,,United,2007-07-06T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"car accident fleeing from the police, trying to cross the border from (F) to (GB)  (Jul 6, 2007). From Del Grande's data set (translated): Twenties live in England, died hit by a car fleeing from police in Calais (Jul 8, 2007)",50.95129,calais,1.858686,"50.95129, 1.858686",0,"Event at Calais on Jul 06, 2007",,Salam,http://associationsalam.org/infos/index.php?2007/07/08/364-elle-aurait-eu-20-ans-dans-3-mois
34814,No medical treatment,United,2007-07-05T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"died of malaria after being deported from Germany to Luanda (Angola) (Jul 5, 2007)",-11.202692,angola,17.873887,"-11.202692, 17.873887",0,"Event at Angola on Jul 05, 2007",,IRR,
34815,,United,2007-07-04T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"died in hospital in E after being rescued in the sea next to Gibraltar by a British ship (Jul 4, 2007)",36.140751,gibraltar,-5.353585,"36.140751, -5.353585",0,"Event at Gibraltar on Jul 04, 2007",Western Mediteranean route,IRR/TheHerald/SC,
34816,Starvation,United,2007-07-04T00:00:00Z,3Q2007,2007 -- 7,2007,0,1,"died of starvation, found on a dinghy next to Palermo coast (I)  (Jul 4, 2007)",38.115688,palermo,13.361267,"38.115688, 13.361267",0,"Event at Palermo on Jul 04, 2007",Central Mediteranean route,ANSA/LR/Unita/MP/Alicenews,
34817,,Del grande,2007-07-03T00:00:00Z,3Q2007,2007 -- 7,2007,0,2,"Landing in the Canary Islands, Tenerife. Two dead aboard boat (Jul 4, 2007)",28.291564,tenerife,-16.62913,"28.291564, -16.62913",0,"Event at Tenerife on Jul 03, 2007",Western African route,El Pais,http://www.elpais.com/articulo/internacional/muertos/patera/llegada/noche/costas/canarias/elpepuesp/20070704elpepuint_13/Tes
34818,,Del grande,2007-07-03T00:00:00Z,3Q2007,2007 -- 7,2007,0,20,"The Tunisian coast guard fished 20 dead bodies off of Ben Guerdane, on the border with Libya, victims of a shipwreck on the routes to Sicily (Jul 4, 2007)",36.81881,tunis,10.16596,"36.81881, 10.16596",0,"Event at Tunis on Jul 03, 2007",Central Mediteranean route,Le Monde,http://www.lemonde.fr/web/depeches/0
34819,,Del grande,2007-07-02T00:00:00Z,3Q2007,2007 -- 7,2007,0,4,"Boat rescued off the coast of Arzew, on routes to Spain, 4 missing at sea (Jul 3, 2007)",35.85,arzew,-0.316667,"35.85, -0.316667",0,"Event at Arzew on Jul 02, 2007",Western Mediteranean route,Le Quotidien dOran,http://www.lequotidien-oran.com/index.php?news=502488
34820,Drowned,United,2007-06-29T00:00:00Z,2Q2007,2007 -- 6,2007,0,11,"drowned in waters between Libya and Malta after the boat sank (Jun 29, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 29, 2007",Central Mediteranean route,taz/MNS,
34822,,Del grande,2007-06-28T00:00:00Z,2Q2007,2007 -- 6,2007,0,8,"27 castaways rescued in Libyan waters from Icelandic fishing Eyborg. Recovered the body of a drowned woman, 7 missing (Jun 29, 2007)",26.3351,libyan,17.228331,"26.3351, 17.228331",0,"Event at Libyan on Jun 28, 2007",,Times of Malta,http://www.timesofmalta.com/core/article.php?id=266590&hilite=migrant
34823,,Del grande,2007-06-28T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"Recovered the body of a drowned man, 10 miles south of Lampedusa (Jun 29, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jun 28, 2007",Central Mediteranean route,Repubblica,http://newscontrol.repubblica.it/item/333913/clandestini-cadavere-recuperato-al-largo-di-lampedusa
34821,,Del grande,2007-06-28T00:00:00Z,2Q2007,2007 -- 6,2007,0,4,"The 23 castaways rescued yesterday, 60 miles south of Lampedusa, talk about 4 missing at sea: a man, two women and a child. Yesterday, a Maltese tug had recovered the body of a woman (Jun 29, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jun 28, 2007",Central Mediteranean route,Adnkronos,http://it.notizie.yahoo.com/adnkxml/20070628/tit-immigrati-clandestini-soccorsi-a-lar-afde0ec_1.html
34824,Suicide - other,United,2007-06-28T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"suicide, after asylum claim rejected, left alone to face her desperate life without status  (Jun 28, 2007)",55.57156,Netherland,-4.410332,"55.57156, -4.410332",0,"Event at Netherland on Jun 28, 2007",,SVZV,
34825,,Del grande,2007-06-27T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"Fished, 8 miles off the coast of Dingli, a corpse of a drowned man, in an advanced state of decomposition (Jun 28, 2007)",35.860278,Dingli,14.381389,"35.860278, 14.381389",0,"Event at Dingli on Jun 27, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=266424&hilite=migrant
34826,,Del grande,2007-06-27T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"Tug Malta rescues 23 castaways clinging to tuna cages. A woman dies (Jun 28, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 27, 2007",Central Mediteranean route,Ansa,http://www.ansa.it/site/notizie/regioni/sicilia/news/2007-06-28_12879108.html
34827,Starvation,United,2007-06-27T00:00:00Z,2Q2007,2007 -- 6,2007,0,3,"died of starvation and dehydration, bodies thrown overboard on the way to Italy  (Jun 27, 2007). From Del Grande's data set (translated): Landing in Pozzallo, Ragusa. Passengers speak of 3 died during the crossing. Their bodies were abandoned at sea (Jun 29, 2007)",36.926927,ragusa,14.725513,"36.926927, 14.725513",0,"Event at Ragusa on Jun 27, 2007",Central Mediteranean route,LR,http://www.ansa.it/
34828,,United,2007-06-26T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"found death in a boat at 400 m. from Gran Canaria (E) with other 62 survivors (Jun 26, 2007). From Del Grande's data set (translated): Landing in Gran Canaria, one died on board the pirogue (Jun 27, 2007)",28.291564,canaria,-16.62913,"28.291564, -16.62913",0,"Event at Canaria on Jun 26, 2007",Western African route,ELM/EFE,http://www.elmundo.es/elmundo/2007/06/27/espana/1182926761.html
34829,Suicide - Hanged,United,2007-06-26T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"hanged himself in deportation custody in Frankfurt (D) after knowing he should be deported  (Jun 26, 2007)",50.110922,frankfurt,8.682127,"50.110922, 8.682127",0,"Event at Frankfurt on Jun 26, 2007",,FL/jW/IRR,
34831,,Del grande,2007-06-25T00:00:00Z,2Q2007,2007 -- 6,2007,0,2,"Landing in Malta, passengers say they have abandoned at sea the bodies of two men who died of starvation during a voyage of seven days (Jun 26, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 25, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=266201&hilite=migrant
34832,,Del grande,2007-06-25T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"Recovered at sea the body of a drowned woman, about a mile from the port of Mgarr, Island of Gozo (Jun 26, 2007)",36.0443,Island of Gozo,14.251222,"36.0443, 14.251222",0,"Event at Island Of Gozo on Jun 25, 2007",Central Mediteranean route,Ansa,http://www.ansa.it/
34830,,Del grande,2007-06-25T00:00:00Z,2Q2007,2007 -- 6,2007,0,3,"Landing in Sicily, Capo Passero, Syracuse. Passengers said they had thrown overboard the bodies of a child, a man and a woman, died of starvation during a voyage lasted 12 days (Jun 26, 2007)",38.158524,capo,14.742693,"38.158524, 14.742693",0,"Event at Capo on Jun 25, 2007",Central Mediteranean route,Repubblica,http://www.repubblica.it/2007/05/sezioni/cronaca/sbarchi-immigrati/morti-in-mare/morti-in-mare.html
34833,Drowned,United,2007-06-21T00:00:00Z,2Q2007,2007 -- 6,2007,0,20,"reportedly drowned, missing after boat capsized near Lampedusa (I)  (Jun 21, 2007). From Del Grande's data set (translated): The Italian Valeria fishing boat rescues man clinging to a capsized boat, 80 miles south of Malta. At sea for three days, the man speaks of the other 24 passengers drowned (Jun 21, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jun 21, 2007",Central Mediteranean route,LR,http://www.repubblica.it/2007/05/sezioni/cronaca/sbarchi-immigrati/nuovi-sbarchi/nuovi-sbarchi.html
34834,,Del grande,2007-06-20T00:00:00Z,2Q2007,2007 -- 6,2007,0,4,"Fished out the bodies of drowned 4, 55 miles south of the island, perhaps victims of the sinking of the first day (Jun 21, 2007)",35.937496,Malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 20, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=265741&hilite=migrant
34835,Drowned,United,2007-06-19T00:00:00Z,2Q2007,2007 -- 6,2007,0,22,"reportedly drowned, vessel capsized 100 km south the Island of Malta (Jun 19, 2007). From Del Grande's data set (translated): Wreck 76 miles south of the island. The 4 survivors are saved by clinging to tuna cages of the tug Budafel. Recovered a corpse, 21 missing in sea (Jun 20, 2007)",35.937496,malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 19, 2007",Central Mediteranean route,MNS,http://www.timesofmalta.com/core/article.php?id=265626&hilite=migrant
34836,Drowned,United,2007-06-17T00:00:00Z,2Q2007,2007 -- 6,2007,0,8,"at least 8 migrants drowned after vessel capsized near the coast of southern Sicily (I) (Jun 17, 2007). From Del Grande's data set (translated): Fished 60 miles south of Lampedusa, the bodies of 11 men drowned, the other 3 are missing (Jun 17, 2007)",35.508622,lampedusa,12.59292,"35.508622, 12.59292",0,"Event at Lampedusa on Jun 17, 2007",Central Mediteranean route,MNS,http://www.repubblica.it/2007/05/sezioni/cronaca/sbarchi-immigrati/cadaveri-lampedusa/cadaveri-lampedusa.html
34837,,United,2007-06-15T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"died in the course of rescue operation, survivors saved from fishing vessel near Libya (Jun 15, 2007). From Del Grande's data set (translated): A fisherman recovered the remains of two shipwrecks along the coast of Zarzis, near the Libyan border (Jun 15, 2007)",33.503681,zarzis,11.11538,"33.503681, 11.11538",0,"Event at Zarzis on Jun 15, 2007",Central Mediteranean route,MNS,http://www.eng.fsu.edu/%7Eabichou/Ocean/index.htm
34838,Drowned,United,2007-06-15T00:00:00Z,2Q2007,2007 -- 6,2007,0,14,"drowned in Sicily Channel waters (I), 11 bodies found, 3 still missing (Jun 15, 2007)",37.599994,sicily,14.015356,"37.599994, 14.015356",0,"Event at Sicily on Jun 15, 2007",Central Mediteranean route,LR/MNS,
34839,,Del grande,2007-06-14T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"The Spanish fishing vessel ""Nuestra Madre de Loreto"" takes on board 25 castaways adrift 90 miles off the coast of Libya, the more the body of an eighteen year old who died during the crossing (Jun 15, 2007)",26.3351,libya,17.228331,"26.3351, 17.228331",0,"Event at Libya on Jun 14, 2007",,El Dia,http://www.eldia.es/2007-06-15/vivir/vivir13.htm
34840,,Del grande,2007-06-13T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"Rescued boat. A man is lost at sea, lost overboard during the voyage of 10 days (Jun 14, 2007)",35.937496,Malta,14.375416,"35.937496, 14.375416",0,"Event at Malta on Jun 13, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=264871
34841,Suffocated,United,2007-06-13T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"stowaway, asphyxiated on board a Formula1 powerboat from GR to Devon (GB) (Jun 13, 2007)",51.302229,Greece to Great Britain,-3.867187,"51.302229, -3.867187",0,"Event at Greece To Great Britain on Jun 13, 2007",,BBC/IRR,
34842,,United,2007-06-12T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"stowaway, manner of death unclear, found in truck on way from I to F with 3 migrants (Jun 12, 2007). From Del Grande's data set (translated): Discovered in Saint Michel de Maurienne, in Savoy, near the Italian border, 4 guys hidden in the hold of a boat transported by a truck coming from Italy. One of them died of suffocation (Jun 13, 2007)",45.217675,saint michel de maurienne,6.47587,"45.217675, 6.47587",0,"Event at Saint Michel De Maurienne on Jun 12, 2007",,Nouvel Obs,http://tempsreel.nouvelobs.com/actualites/societe/20070613.OBS1729/un_clandestin_retrouvemort_dans_un_camion.html
34845,,Del grande,2007-06-10T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"Twenty-three died during a scuffle with the Spanish police line on the plane which was to be deported to Nigeria (Jun 11, 2007)",17.607789,niger,8.081666,"17.607789, 8.081666",0,"Event at Niger on Jun 10, 2007",,El Pais,http://www.elpais.com/articulo/espana/nigeriano/papeles/fallece/avion/era/deportado/custodia/policial/elpepunac/20070611elpepinac_18/Tes
34843,,Del grande,2007-06-10T00:00:00Z,2Q2007,2007 -- 6,2007,0,25,"Lost at sea a boat with 25 passengers on board. Locked in a stormy sea 47 miles off the Libyan coast, on Thursday raised the alarm. Malta had asked Libya to intervene, but Tripoli had sent a reconnaissance plane in only two days later. An Iranian cargo ship 20 miles away from the castaways had wanted them not help fearing they were armed (Jun 11, 2007)",32.876174,tripoli,13.187507,"32.876174, 13.187507",0,"Event at Tripoli on Jun 10, 2007",Central Mediteranean route,Times of Malta,http://www.timesofmalta.com/core/article.php?id=264586
34844,,Del grande,2007-06-10T00:00:00Z,2Q2007,2007 -- 6,2007,0,2,"Fished in the waters of the island of Samos the bodies of drowned migrants 2 (Jun 11, 2007)",37.743215,samos,26.820351,"37.743215, 26.820351",0,"Event at Samos on Jun 10, 2007",Eastern Mediteranean route Sea,Kathimerini,http://www.ekathimerini.com/4dcgi/news/content.asp?aid=84368
34846,Minefield,United,2007-06-08T00:00:00Z,2Q2007,2007 -- 6,2007,0,1,"killed by a roadside bomb in Kirkuk (Iraq), rejected asylum seeker, was deported from GB (Jun 8, 2007)",35.46883,"Kirkuk, iraq",44.39098,"35.46883, 44.39098",0,"Event at Kirkuk, Iraq on Jun 08, 2007",,IRR,
34847,,Del grande,2007-06-04T00:00:00Z,2Q2007,2007 -- 6,2007,0,2,"Landing in Gran Canaria, 2 dead aboard boat (Jun 5, 2007)",28.291564,canaria,-16.62913,"28.291564, -16.62913",0,"Event at Canaria on Jun 04, 2007",Western African route,El Pais,http://www.elpais.com/articulo/espana/Llega/patera/Gran/Canaria/46/subsaharianos/bordo/muertos/elpepuesp/20070605elpepunac_15/Tes
