"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"European Union","EUU","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1350436","1382952","2298449","2409948","2324549","2260201","2279166","1972623","1758494","1798544","1707486","1744018","1827472","1784315","1680475","1491705","1398876","1365184","1390548","1414743","1394390","1347063","1339598","980984","",
"Fragile and conflict affected situations","FCS","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4293183","3670929","3855177","4158453","5390446","4908717","3819701","3385496","3339585","3475139","3532097","3553332","3603310","3375403","3496266","3542366","4300731","5197929","4860516","4963930","5084547","4892865","4850759","4617178","",
"Finland","FIN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2348","4561","5950","8511","9511","10191","11382","12017","12290","12869","13276","12728","12490","10843","11325","11809","11827","6204","6617","7447","8724","9175","9919","11252","",
"Fiji","FJI","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","9","","","","","","","","","","","","","2","1","7","6","5","",
"France","FRA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193000","174756","156512","166269","195288","155245","151329","146558","140215","129722","132508","131601","132182","130838","139852","137316","145996","151789","171206","196364","200687","210207","217865","232487","",
"Faeroe Islands","FRO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","2","1","1","","","","","",
"Gabon","GAB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","417","220","272","","597","791","798","862","1124","15070","17982","15581","13473","14005","13787","8545","8429","8826","9001","8845","9015","1773","1663","1594","",
"United Kingdom","GBR","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43632","43371","64726","80230","85160","90909","98577","107933","121716","148922","186248","233389","260687","276522","298844","303181","301556","299718","292097","269363","238150","193510","149799","126055","",
"Georgia","GEO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","95","162","20","5180","7620","7901","4192","3864","2559","2497","1373","1047","996","870","639","462","469","847","",
"Ghana","GHA","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8123","8128","12114","150100","113666","83200","35617","22858","14557","13261","12720","11792","33515","43947","42053","53537","44938","34958","18206","13658","13828","13588","16016","18681","",
"Guinea","GIN","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","325000","547960","478491","577158","553244","672298","663854","435300","482467","501544","427206","178444","182163","184341","139252","63525","31468","25226","21488","15325","14113","16609","10371","8560","",
