pincode,lat,lon,place
400055,-0.16485895,0.33383012,"Waghri Wada Vakola, Mumbai"
400055,-0.16485895,0.33383012,"Yeshwant Nagar, Mumbai"
400055,-0.16485895,0.33383012,"Yoga Institute, Mumbai"
400056,-0.16499846,0.33417416,"Ansari Road, Mumbai"
400056,-0.16499846,0.33417416,"Bajaj Cross Road, Mumbai"
400056,-0.16499846,0.33417416,"Bajaj Road, Mumbai"
400056,-0.16499846,0.33417416,"Bajaj Road Co-Op. Hg. Society, Mumbai"
400056,-0.16499846,0.33417416,"Baptista Road, Mumbai"
400056,-0.16499846,0.33417416,"Beasant Road, Mumbai"
400056,-0.16499846,0.33417416,"Bhagat Singh Road, Mumbai"
400056,-0.16499846,0.33417416,"Church Road, Mumbai"
400056,-0.16499846,0.33417416,"Dadabhoy Cross Road, Mumbai"
400056,-0.16499846,0.33417416,"Dadabhoy Road, Mumbai"
400056,-0.16499846,0.33417416,"Dashrathlal Joshi Road Juhu, Mumbai"
400056,-0.16499846,0.33417416,"Gavthan Road, Mumbai"
400056,-0.16499846,0.33417416,"Gowalia Tank Cross Lane, Mumbai"
400056,-0.16499846,0.33417416,"Gulmohar Rd, Mumbai"
400056,-0.16499846,0.33417416,"Irla Gavthan Road, Mumbai"
400056,-0.16499846,0.33417416,"Irla Lane, Mumbai"
400056,-0.16499846,0.33417416,"Irla Passage Road, Mumbai"
400056,-0.16499846,0.33417416,"Irla Village, Mumbai"
400056,-0.16499846,0.33417416,"Khandubhai Desai Road, Mumbai"
400056,-0.16499846,0.33417416,"Narsi Monji Road, Mumbai"
400056,-0.16499846,0.33417416,"New Juhu Road, Mumbai"
400056,-0.16499846,0.33417416,"North South Road 1 To 6, Mumbai"
400056,-0.16499846,0.33417416,"Old Police Station Road, Mumbai"
400056,-0.16499846,0.33417416,"P R, Mumbai"
400056,-0.16499846,0.33417416,"Pond Gavthan Road, Mumbai"
400056,-0.16499846,0.33417416,"Rashtriya Shala Road, Mumbai"
400056,-0.16499846,0.33417416,"Sarojini Road, Mumbai"
400056,-0.16499846,0.33417416,"Society Road, Mumbai"
400056,-0.16499846,0.33417416,"South Anthony Road, Mumbai"
400056,-0.16499846,0.33417416,"South Pond Road, Mumbai"
400056,-0.16499846,0.33417416,"St Anthony Road, Mumbai"
400056,-0.16499846,0.33417416,"St Brana Road, Mumbai"
400056,-0.16499846,0.33417416,"St Francis Road, Mumbai"
400056,-0.16499846,0.33417416,"St John Road, Mumbai"
400056,-0.16499846,0.33417416,"St Mary Road, Mumbai"
400056,-0.16499846,0.33417416,"St Xavier Road, Mumbai"
400056,-0.16499846,0.33417416,"St Xavier School Raod, Mumbai"
400056,-0.16499846,0.33417416,"Swami Vivekananda Road, Mumbai"
400056,-0.16499846,0.33417416,"Vallabhbhai Patel Road, Mumbai"
400056,-0.16499846,0.33417416,"Vileparle Irla, Mumbai"
400056,-0.16499846,0.33417416,"Vileparle West, Mumbai"
400056,-0.16499846,0.33417416,"Vithalbhai Patel Road, Mumbai"
400056,-0.16499846,0.33417416,"West Gavthan Road, Mumbai"
400056,-0.16499846,0.33417416,"Xavier High School Road, Mumbai"
400057,-0.16477847,0.3342154,"Agashe Lane, Mumbai"
400057,-0.16477847,0.3342154,"Ajamal Road, Mumbai"
400057,-0.16477847,0.3342154,"Anandibai Keskar M. Park, Mumbai"
400057,-0.16477847,0.3342154,"Andheri Sahar Road, Mumbai"
400057,-0.16477847,0.3342154,"Bhagwati Wadi, Mumbai"
400057,-0.16477847,0.3342154,"Bhansali Wadi, Mumbai"
400057,-0.16477847,0.3342154,"C P W D Quarters, Mumbai"
400057,-0.16477847,0.3342154,"Chemburkarwadi, Mumbai"
400057,-0.16477847,0.3342154,"Chhatrapati Shivaji Mrj M, Mumbai"
400057,-0.16477847,0.3342154,"Chittaranjan, Mumbai"
400057,-0.16477847,0.3342154,"Church Pakhadi, Mumbai"
400057,-0.16477847,0.3342154,"D P Co Operative Hous Soc, Mumbai"
400057,-0.16477847,0.3342154,"Dabholkar Wadi, Mumbai"
400057,-0.16477847,0.3342154,"Dayaldas Road, Mumbai"
400057,-0.16477847,0.3342154,"Dixit Cross Road, Mumbai"
400057,-0.16477847,0.3342154,"Dixit Extension Road, Mumbai"
400057,-0.16477847,0.3342154,"Dixit Road, Mumbai"
400057,-0.16477847,0.3342154,"Domestic Quarters Airport, Mumbai"
400057,-0.16477847,0.3342154,"East Gavthan, Mumbai"
400057,-0.16477847,0.3342154,"Fernandez Street, Mumbai"
400057,-0.16477847,0.3342154,"G I Marg, Mumbai"
400057,-0.16477847,0.3342154,"Gokhale Rd, Mumbai"
400057,-0.16477847,0.3342154,"Gomantak Co Op Hsg Soc, Mumbai"
400057,-0.16477847,0.3342154,"Gonsalve Street, Mumbai"
400057,-0.16477847,0.3342154,"Govind Co Op Hsg Society, Mumbai"
400057,-0.16477847,0.3342154,"Gulab Compound, Mumbai"
400057,-0.16477847,0.3342154,"Hanuman Cross Rd 1St&2Nd, Mumbai"
400057,-0.16477847,0.3342154,"Hanuman Road, Mumbai"
400057,-0.16477847,0.3342154,"Hira Baug, Mumbai"
400057,-0.16477847,0.3342154,"Indira Colony, Mumbai"
400057,-0.16477847,0.3342154,"Indolkar Marg, Mumbai"
400057,-0.16477847,0.3342154,"Ishwarlal Park, Mumbai"
400057,-0.16477847,0.3342154,"Karandikar Wadi, Mumbai"
400057,-0.16477847,0.3342154,"Karnik Wadi, Mumbai"
400057,-0.16477847,0.3342154,"Kartiki Co Op Hou Society, Mumbai"
400057,-0.16477847,0.3342154,"Mahant Road, Mumbai"
400057,-0.16477847,0.3342154,"Malaviya Road, Mumbai"
400057,-0.16477847,0.3342154,"Mandrekar Wadi, Mumbai"
400057,-0.16477847,0.3342154,"Meterogical Office, Mumbai"
400057,-0.16477847,0.3342154,"Misquitto Road, Mumbai"
400057,-0.16477847,0.3342154,"Mongibai Road, Mumbai"
