,Australia,Belgium,Canada,Switzerland,Germany,Denmark,Spain,Finland,France,UK,Ireland,Italy,Japan,S. Korea,Luxembourg,Netherlands,Norway,New Zealand,Sweden,US,South Africa,,Aggregate HPI,,
1996:Q1,44.85,56.56,62.20,92.17,104.36,47.81,37.95,45.15,48.04,37.15,23.94,59.57,143.85,78.44,46.72,42.20,51.98,52.24,47.87,55.55,25.04,,68.51,,
1996:Q2,45.32,57.19,62.05,91.53,104.23,48.92,38.33,46.05,48.42,36.95,25.66,58.98,143.17,78.88,47.35,43.62,52.57,53.53,47.69,55.63,25.26,,68.52,,
1996:Q3,45.49,56.82,61.65,91.59,103.97,50.49,37.77,46.44,48.91,37.78,26.85,58.24,142.44,79.12,47.91,44.59,54.04,53.74,48.41,55.82,25.40,,68.55,,
1996:Q4,45.71,58.40,61.65,89.70,103.60,52.52,38.72,48.00,48.84,39.08,27.25,57.34,141.90,79.42,48.36,46.17,55.94,54.72,49.21,56.32,25.67,,68.82,,
1997:Q1,46.12,56.46,62.24,88.47,102.63,53.94,39.06,49.46,47.51,39.91,28.34,55.85,141.50,80.75,48.70,47.63,55.99,55.76,49.96,56.77,25.97,,68.89,,
1997:Q2,46.54,58.42,62.82,87.85,102.18,55.22,40.13,51.25,48.65,40.40,29.77,55.32,141.06,81.53,49.08,48.79,58.18,56.72,51.09,57.28,26.74,,69.27,,
1997:Q3,47.50,59.52,64.11,88.12,101.79,56.46,40.44,53.73,48.42,41.76,31.21,55.46,140.58,81.63,49.50,49.86,59.24,57.38,51.98,58.00,28.12,,69.73,,
1997:Q4,48.44,60.19,64.45,87.88,101.49,57.18,39.65,54.72,48.77,42.13,35.15,55.65,140.11,81.36,49.88,51.44,60.50,57.69,52.92,58.81,29.60,,70.12,,
1998:Q1,49.63,61.06,65.02,87.92,101.08,58.36,40.09,56.31,48.51,43.64,36.46,56.09,139.60,78.81,50.22,52.63,61.31,56.88,54.43,59.65,30.55,,70.52,,
1998:Q2,50.52,61.58,65.02,87.45,100.95,60.55,41.61,57.57,49.21,45.46,39.11,56.40,139.03,73.62,50.68,53.85,62.86,55.70,55.52,60.23,31.15,,70.82,,
1998:Q3,50.79,63.18,65.12,87.07,100.94,61.30,42.63,59.52,49.62,46.67,42.46,56.38,138.44,71.89,51.32,55.37,63.89,55.02,56.84,61.01,31.98,,71.25,,
1998:Q4,51.54,64.20,65.01,86.84,101.08,62.62,42.73,60.27,50.15,47.26,44.96,56.95,137.54,70.91,51.99,57.28,63.16,55.65,58.74,61.79,32.00,,71.63,,
1999:Q1,52.48,65.80,65.14,87.32,101.64,63.61,43.39,60.12,51.27,48.13,47.43,57.94,136.23,71.96,53.06,59.55,65.02,56.32,59.42,62.39,31.93,,72.11,,
1999:Q2,53.44,67.25,66.21,87.14,101.89,64.28,43.65,62.44,52.04,49.44,47.09,58.90,135.07,72.54,53.85,62.10,66.50,57.11,61.02,63.28,32.66,,72.73,,
