date,latitude,longitude,depth,magnitude
1925-01-18T20:05:00.000Z,47.912,153.635,35,7.2
1925-03-22T15:42:00.000Z,-18.581,168.529,35,7.1
1925-04-17T02:52:00.000Z,21.798,121.111,35,7.1
1925-05-04T00:21:00.000Z,1.216,126.576,35,7.1
1925-05-15T18:57:00.000Z,-25.5,-70.546,35,7.1
1925-11-10T21:50:00.000Z,-0.633,130.267,35,7.2
1925-11-13T20:14:00.000Z,12.726,124.849,35,7.2
1926-01-25T08:36:00.000Z,-9.994,159.027,35,7.2
1926-02-08T23:17:00.000Z,12.011,-88.758,35,7.1
1926-03-21T21:19:00.000Z,-60.631,-23.673,35,7.1
1926-03-27T17:48:00.000Z,-8.563,160.554,35,7.1
1926-04-12T15:32:00.000Z,-10.709,160.626,35,7.2
1926-04-28T18:13:00.000Z,-22.665,-68.164,35,7.1
1926-06-03T11:47:00.000Z,-15.048,168.192,77.2,7.1
1926-06-27T02:46:00.000Z,36.605,26.888,101.8,7.7
1926-06-29T21:27:00.000Z,26.986,127.473,142.2,7.4
1926-08-30T18:38:00.000Z,36.901,22.996,85.2,7.1
1926-10-04T02:38:00.000Z,-49.809,161.703,15,7.3
1926-10-26T10:44:00.000Z,-3.219,139.097,35,7.5
1926-11-05T14:55:00.000Z,12.67,-86.736,35,7.1
1927-01-24T09:05:00.000Z,-18.388,168.226,35,7.1
1927-03-07T17:27:00.000Z,35.802,134.924,9.6,7.1
1927-04-14T13:23:00.000Z,-32.477,-69.675,35,7.2
1927-04-20T00:30:00.000Z,15.25,120.454,139.1,7.1
1927-05-23T05:32:00.000Z,37.386,102.311,25,7.7
1927-06-03T14:12:00.000Z,-7.071,130.96,169,7.2
1927-08-06T04:12:00.000Z,37.873,142.191,35,7.1
1927-08-10T18:36:00.000Z,-0.534,131.673,35,7.1
1927-10-24T22:59:00.000Z,57.44,-136.373,15,7.1
1927-11-22T07:12:00.000Z,-45.112,-73.622,15,7.1
1927-12-29T02:20:00.000Z,55.663,160.039,35,7.5
1928-03-10T02:05:00.000Z,-2.954,88.801,15,7.7
1928-03-16T12:01:00.000Z,-22.281,170.476,35,7.5
1928-03-22T11:17:00.000Z,16.127,-96.505,35,7.5
1928-05-15T05:14:00.000Z,-5.261,-78.559,35,7.2
1928-05-27T16:50:00.000Z,39.813,142.999,35,7.1
1928-06-17T10:19:00.000Z,16.028,-97.036,35,7.7
1928-06-30T05:49:00.000Z,-15.664,170.701,35,7.1
1928-08-05T01:26:00.000Z,16.418,-98.266,35,7.2
1928-10-09T10:01:00.000Z,16.229,-97.55,35,7.5
1928-12-01T12:06:00.000Z,-35.086,-71.683,35,7.7
1928-12-19T19:37:00.000Z,6.977,124.856,35,7.3
1929-01-13T08:03:00.000Z,50.447,154.872,35,7.4
1929-03-07T09:34:00.000Z,50.786,-169.524,25,7.8
1929-05-01T22:37:00.000Z,37.957,57.693,25,7.1
1929-06-04T22:15:00.000Z,6.021,125.639,35,7.1
1929-06-13T16:24:00.000Z,7.945,126.806,35,7.1
1929-06-17T05:47:00.000Z,-41.831,172.292,35,7.5
1929-06-27T19:47:00.000Z,-54.714,-29.549,35,8
1929-07-08T04:23:00.000Z,51.347,-177.91,35,7.2
1929-10-19T17:12:00.000Z,-23.038,-68.737,35,7.4
1929-11-16T02:50:00.000Z,7.522,142.735,25,7.1
1929-11-19T04:32:00.000Z,44.539,-56.008,15,7.4
1929-12-17T18:58:00.000Z,53.783,171.512,35,7.7
1930-05-05T20:45:00.000Z,17.665,96.543,35,7.2
1930-05-07T05:34:00.000Z,38.152,44.685,25,7.1
1930-06-11T07:49:00.000Z,-5.873,148.886,35,7.1
1930-07-03T04:03:00.000Z,25.641,90.245,35,7.1
1930-12-04T02:51:00.000Z,17.972,96.422,35,7.3
1931-01-15T09:50:00.000Z,16.053,-96.614,35,7.8
1931-01-28T04:09:00.000Z,25.675,96.755,35,7.6
1931-01-29T05:24:00.000Z,10.778,144.803,35,7.1
1931-02-03T06:46:00.000Z,-39.772,176.025,35,7.7
1931-02-10T14:34:00.000Z,-5.433,102.458,35,7.1
1931-02-13T09:27:00.000Z,-39.479,176.813,35,7.1
1931-02-20T13:33:00.000Z,44.43,135.642,356.7,7.4
1931-03-09T10:48:00.000Z,40.484,142.664,35,7.7
1931-03-18T15:02:00.000Z,-33.825,-71.546,35,7.1
1931-03-28T19:38:00.000Z,-7.369,129.491,150.9,7.2
1931-05-20T09:22:00.000Z,37.472,-16.072,25,7.1
1931-08-07T09:11:00.000Z,-2.859,142.079,35,7.1
1931-08-11T04:18:00.000Z,46.571,89.965,35,7.9
