@lat	@lon	addr:housenumber
45.5156148	-73.5747576	33
45.5157581	-73.5746482	55
45.5159366	-73.5744872	77
45.5168617	-73.5733651	3725
45.5161140	-73.5717550	3661
45.5160593	-73.5716326	3657
45.5159950	-73.5714887	3635
45.5159471	-73.5713814	3633
45.5159011	-73.5712785	3623
45.5158661	-73.5712001	3621
45.5157919	-73.5710340	3611
45.5153967	-73.5714617	3601
45.5155426	-73.5717824	3629
45.5157061	-73.5710989	3604
45.5152708	-73.5716862	3608
45.5162363	-73.5737834	3738
45.5149399	-73.5719294	3625
45.5158398	-73.5738961	3741
45.5157781	-73.5740759	3748
45.5148602	-73.5720505	3600
45.5149886	-73.5736359	3700
45.5149010	-73.5728254	3621
45.5148392	-73.5730713	3625
45.5147621	-73.5728878	3619
45.5146053	-73.5728175	3622
45.5144271	-73.5724320	3604
45.5154550	-73.5744345	3741
45.5138526	-73.5726220	3608
45.5146985	-73.5745117	3710
45.5148014	-73.5747208	3724
45.5149171	-73.5749740	3730
45.5140248	-73.5726550	3601
45.5146522	-73.5740744	3685
45.5147240	-73.5742690	3697
45.5150307	-73.5749415	3725
45.5099495	-73.6893116	1130
45.4930537	-73.5754322	1652
45.4929574	-73.5755266	1652
45.4929995	-73.5754923	1650
45.4918904	-73.5765178	1770
45.4917548	-73.5763177	1080
45.4916708	-73.5760608	1070
45.4920719	-73.5789315	1225
45.4920511	-73.5785681	1850
45.4919825	-73.5786253	1860
45.4931855	-73.5786363	1801
45.4930655	-73.5784279	1804
45.4935409	-73.5789515	1278
45.4927004	-73.5777469	1812
45.4921510	-73.5783936	1840
45.4926504	-73.5781103	1819
45.4923315	-73.5784537	1847
45.4930327	-73.5788312	1817
45.4927341	-73.5791894	1817
45.4929091	-73.5785910	1816
45.4926263	-73.5789172	1844
45.4936612	-73.5792261	1800
45.4934970	-73.5794118	1822
45.4932392	-73.5797031	1844
45.4928790	-73.5801102	1866
45.4932942	-73.5785738	1250
45.4934265	-73.5787884	1272
45.4914230	-73.5777155	1167
45.4919224	-73.5786511	1209
45.4921269	-73.5790287	1225
45.4922499	-73.5792378	1243
45.4927106	-73.5800072	1285
45.4923796	-73.5794922	1251
45.4925301	-73.5772091	1170
45.4927888	-73.5776812	1198
45.4928670	-73.5778014	1210
45.4931605	-73.5783419	1232
45.4923284	-73.5768932	1160
45.4921667	-73.5769225	1819
45.4919464	-73.5770546	1825
45.4913447	-73.5776383	1875
45.4917298	-73.5815178	2000
45.4909455	-73.5812198	2085
45.5251445	-73.5820347	501
45.5263316	-73.5810164	837
45.5116096	-73.5647822	81
45.5114734	-73.5649049	71
45.5113617	-73.5650038	61
45.5121157	-73.5652292	115
45.5119991	-73.5653307	105
45.5118905	-73.5654327	95
45.5142310	-73.5648401	1810
45.5142741	-73.5648013	1820
45.5141878	-73.5648790	1800
45.5141620	-73.5646973	1760
45.5142069	-73.5646569	1750
